region_id,year,composite_index,shock,distribution,income,distortion,structural
ADILABAD_TELANGANA,2015.0,0.4774572573995879,0.6734887049693082,0.5389934531830681,0.5,0.3684210526315789,0.3063830762139844
ADILABAD_TELANGANA,2016.0,0.4803610168773207,0.6734887049693082,0.5539834058655628,0.5,0.3421052631578947,0.3322277103938377
ADILABAD_TELANGANA,2017.0,0.5276593194571577,0.5699142755529933,0.6735029117506551,0.6,0.4736842105263157,0.3211951994558243
ADILABAD_TELANGANA,2018.0,0.4891488197960572,0.6734887049693082,0.5706799513357069,0.55,0.3421052631578947,0.3094701795173761
ADILABAD_TELANGANA,2019.0,0.4939890319073449,0.6734887049693082,0.5954445444547015,0.55,0.3421052631578947,0.3089066469548204
ADILABAD_TELANGANA,2020.0,0.4200832656997089,0.6734887049693082,0.3625633508978186,0.3,0.4736842105263157,0.2906800621051016
ADILABAD_TELANGANA,2021.0,0.4761965644876872,0.6734887049693082,0.4243623293653675,0.3999999999999999,0.4210526315789473,0.462079156524813
ADILABAD_TELANGANA,2022.0,0.5073115742881279,0.6734887049693082,0.6043684064333592,0.5,0.3421052631578947,0.4165954968800771
ADILABAD_TELANGANA,2023.0,0.481303735508552,0.6734887049693082,0.5068125536257194,0.6,0.3421052631578947,0.2841121557898379
ADILABAD_TELANGANA,2024.0,0.4402175489060307,0.6734887049693082,0.3980021788759275,0.3,0.4736842105263157,0.3559126501586024
AGRA_UTTAR PRADESH,2015.0,0.4823426227070198,0.8021082991319262,0.6734710628692121,0.6,0.2368421052631578,0.0992916462708028
AGRA_UTTAR PRADESH,2016.0,0.5043519112619621,0.6734887049693082,0.8465361187222082,0.6,0.2631578947368421,0.1385768378814518
AGRA_UTTAR PRADESH,2017.0,0.508603935260882,0.6734887049693082,0.8504948346339432,0.65,0.2631578947368421,0.1058782419643167
AGRA_UTTAR PRADESH,2018.0,0.4634986862087213,0.8305352996327335,0.6734671636811331,0.5,0.2105263157894736,0.1029646519402664
AGRA_UTTAR PRADESH,2019.0,0.4855435006319778,0.6734887049693082,0.7471003697571316,0.6,0.2894736842105262,0.1176547442229231
