District,State,Year,Registered_HH,Employment_Demanded,Employment_Availed,Persons_Employed,Total_Persondays,HH_Completed_100Days,Unskilled_Wage_Current,Unskilled_Wage_Previous_Liability,Total_Expenditure,Avg_Wage_Per_Personday,Cost_Per_Personday,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total,total_area,total_production,agri_yield_index,asset_index_0_1,Annual_Rainfall_mm,Total_Income,ADJ_TOT_EXP,NFHS-4_MPI,NFHS-5_MPI,Rural_Population,Area_sqkm
ADILABAD,TELANGANA,2014,644584,332146,280593,525708,14539265,30955,16403.4,666.76,25385.34,126.56,183.75,280593.0,275544.0,120610.0,236703.0,389781.0,728487.0,1.8689648802789256,0.248219692,622.5579993206521,10949.73709,66167110,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2015,669440,346659,299747,559369,16305987,33924,22881.45,1971.37,28493.96,145.73,168.06,299747.0,294225.0,126433.0,255196.0,431890.0,1029344.0,2.3833476116603767,0.253957414,588.6115828804348,9899.68029,36999030,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2016,154851,90202,79765,152455,3652716,6553,5391.43,208.11,7730.17,161.87,220.45,79765.0,75222.0,25782.0,54058.0,127090.0,314102.0,2.4714926430088915,0.241635595,696.6470363451087,10431.21974,50151171,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2017,154142,94725,71569,136136,3510005,6667,5092.7,536.24,8875.32,156.7,213.38,71569.0,67819.0,23323.0,44920.0,164915.0,472749.0,2.8666221993147984,0.221670872,459.7477072010869,10710.20811,46861660,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2018,158980,80659,74113,139671,3613927,6637,5888.4,415.04,10161.9,166.19,230.31,74113.0,69952.0,23047.0,48598.0,166866.0,396773.0,2.3777941581868087,0.28944506,850.179347826087,11432.9101,61421207,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2019,162018,76062,73490,136040,3477133,5929,6034.7,120.14,7174.98,175.48,198.81,73490.0,67404.0,22330.0,46048.0,164845.0,697609.0,4.231908762777154,0.329334598,768.253566576087,11953.5653,59961635,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2020,170672,107822,97499,187193,5702065,14235,10983.8,22.23,16093.88,193.63,261.26,97499.0,91849.0,31429.0,68868.0,197609.0,485072.0,2.4547060103537794,0.290126006,579.6448284646739,5178.668845,23767280,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2021,174719,95438,93441,177081,5283304,13882,10457.48,14.68,16321.91,202.64,265.68,93441.0,87453.0,28634.0,64956.0,182165.0,430040.0,2.360716932451349,0.287206961,834.7381114130435,11356.62767,47929381,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2022,167892,105291,82375,155849,3526329,461,6485.38,232.71,11279.47,188.86,214.63,82375.0,78121.0,25620.0,54610.0,182091.009,511506.0029,2.809067870561363,0.305318847,938.441066576087,20248.79809,89202258,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2023,171510,95754,84805,155269,4460754,3239,8678.97,160.5,15770.0,202.69,262.19,84805.0,77515.0,25058.0,50843.0,182091.009,511506.0029,2.809067870561363,0.369958362,769.672214673913,27918.53095,156347567,0.125,0.064,1980980.0,15751.3
ADILABAD,TELANGANA,2024,173588,102878,94080,170724,5483868,5378,12523.09,360.71,19442.12,238.49,317.88,94080.0,85832.0,27289.0,58914.0,182091.009,511506.0029,2.809067870561363,0.438853169,952.0966372282608,41678.65185,153442832,0.125,0.064,1980980.0,15751.3
AGRA,UTTAR PRADESH,2014,151686,44276,38538,43107,1231670,574,1598.34,255.56,2615.88,155.63,216.69,38538.0,10083.0,14404.0,28234.0,12375.0,31343.0,2.532767676767677,0.32773009,717.7482096354166,14876.52956,99737422,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2015,154914,51890,44417,51629,1682119,1719,2271.78,294.47,3116.9,160.98,186.51,44417.0,13607.0,18437.0,32619.0,12980.0,34460.0,2.654853620955316,0.387807847,683.7993977864584,13000.7034,86773924,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2016,148211,49756,42337,49287,1271504,62,1923.04,379.95,2818.14,173.82,199.23,42337.0,12585.0,17247.0,31561.0,6592.0,22706.0,3.4444781553398056,0.357892449,1164.1381022135415,10555.61697,70544303,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2017,151928,47502,40171,48249,1272535,112,2064.84,276.86,3076.19,174.98,211.5,40171.0,13799.0,16427.0,31389.0,7045.0,29197.0,4.144357700496807,0.366815381,881.57861328125,14683.9278,73857801,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2018,157625,47108,38957,46545,1481666,270,2487.73,137.94,4195.85,175.0,257.22,38957.0,13809.0,15247.0,30909.0,6456.0,25324.0,3.922552664188352,0.380694643,567.5051676432291,17815.26028,92741675,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2019,164949,63632,51814,62364,2256604,711,4077.86,109.26,5346.51,181.99,226.0,51814.0,19550.0,20427.0,41470.0,6379.0,29089.1,4.5601348173694936,0.42429784,957.7161458333334,21299.48898,95729721,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2020,210966,112866,96749,121546,3962774,7197,7875.11,32.42,13427.33,200.84,307.51,96749.0,37988.0,39677.0,80999.0,7156.0,18468.82,2.58088596981554,0.378573968,1391.83349609375,12875.36448,57631109,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2021,221989,94719,83259,104184,3158982,4628,6343.99,57.15,8507.07,203.99,229.26,83259.0,33710.0,33307.0,70068.0,6519.0,14954.0,2.29391010891241,0.381632553,1188.6302083333333,15104.92781,66617382,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2022,202224,91272,83322,105948,3820560,8136,7868.8,65.22,16436.45,212.9,349.97,83322.0,38571.0,32203.0,73256.0,8118.0,19870.0,2.4476472037447645,0.394146099,1154.384521484375,14105.85129,78342666,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2023,169130,96845,91022,116106,4828907,7759,10896.39,234.11,15578.05,229.15,311.54,91022.0,45647.0,34427.0,81184.0,8118.0,19870.0,2.4476472037447645,0.422390626,1058.7247721354167,16840.30665,109600671,0.154,0.08,2394602.0,3793.04
AGRA,UTTAR PRADESH,2024,184268,90084,84307,104918,4539296,9510,10564.05,147.71,15730.39,235.9,371.57,84307.0,42442.0,30612.0,73870.0,8118.0,19870.0,2.4476472037447645,0.486863362,993.672607421875,23618.15682,117337304,0.154,0.08,2394602.0,3793.04
AHMADABAD,GUJARAT,2014,124796,9729,8898,21772,368873,444,478.51,31.54,767.56,133.31,201.49,8898.0,10461.0,1569.0,20124.0,285179.0,603487.0,2.116169142889203,0.311683771,642.07353515625,9839.367795,84045047,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2015,111868,3404,3154,7227,162023,230,240.07,7.97,421.84,159.61,212.46,3154.0,3424.0,615.0,6546.0,257415.0,626809.0,2.4350134996018102,0.305433386,435.512890625,9546.102709,87261347,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2016,112221,12377,9762,19567,393239,328,607.83,18.14,1178.7,160.5,291.12,9762.0,8560.0,1309.0,18164.0,257113.0,651428.0,2.533625293159039,0.290198319,494.681640625,10120.82626,83523220,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2017,115085,9865,7613,14769,329566,170,551.12,21.25,759.87,172.7,225.04,7613.0,6511.0,873.0,13801.0,259085.0,622180.0,2.4014512611691146,0.288058399,670.026318359375,12868.59533,99429989,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2018,119962,11675,10528,21223,550801,1008,980.54,13.52,1407.79,181.65,253.18,10528.0,9382.0,1676.0,18961.0,227688.0,366446.0,1.6094216647341977,0.354980793,407.156396484375,17308.25631,133529948,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2019,123193,10596,9838,19798,465181,300,804.17,20.84,1108.68,174.15,227.32,9838.0,8698.0,1244.0,18102.0,263914.0,512544.0,1.9420871950711216,0.35187075,929.9376953125,13890.32351,120597704,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2020,119069,15901,13917,28727,659526,395,1275.73,4.15,1606.24,194.15,241.41,13917.0,12633.0,1704.0,26845.0,286003.0,611012.0,2.136383184791768,0.324449788,858.81015625,6676.033716,72560835,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2021,108720,15443,11935,24037,619736,394,1228.92,4.06,1664.25,199.54,239.39,11935.0,10281.0,1543.0,22330.0,271992.0,372936.36,1.3711298861731227,0.339878414,718.63857421875,17383.13782,140827431,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2022,94171,14003,12276,25680,698577,527,1367.93,7.2,2219.48,196.2,283.95,12276.0,11308.0,1378.0,24045.0,249382.0,668219.0,2.679499723316037,0.356863647,599.51767578125,12874.5906,124213143,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2023,77214,9427,8568,16079,433844,103,911.67,2.09,1520.15,211.78,323.84,8568.0,6688.0,889.0,15089.0,249382.0,668219.0,2.679499723316037,0.315827181,726.983447265625,10286.65026,106935368,,,1151178.0,7186.56
AHMADABAD,GUJARAT,2024,82478,9217,8066,13453,423075,65,931.0,6.58,1671.45,221.34,392.05,8066.0,5538.0,771.0,12397.0,249382.0,668219.0,2.679499723316037,0.319642797,732.5603515625,13110.50414,111977177,,,1151178.0,7186.56
AJMER,RAJASTHAN,2014,409987,238233,215345,256926,9131379,7032,8680.48,2541.82,17166.04,101.76,151.61,215345.0,186038.0,42685.0,206359.0,17331.0,64295.12,3.709833246783221,0.322915482,508.6381022135417,11383.85438,31542936,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2015,414540,243397,225124,273748,12758496,15897,12347.64,591.76,16580.69,107.43,129.07,225124.0,195344.0,46365.0,219576.0,14445.0,41290.04,2.8584312911041883,0.388261945,429.4143880208333,10808.51646,31814543,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2016,418292,271951,251873,311259,14345902,10394,15661.31,1283.04,23055.26,112.57,139.45,251873.0,219667.0,51939.0,250170.0,9884.0,32294.0,3.267300687980575,0.413131104,624.2353922526041,14000.12335,40489623,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2017,424196,275764,256242,316610,14646627,10207,16869.57,499.1,25341.85,118.68,158.31,256242.0,222151.0,53417.0,253431.0,12070.0,55055.0,4.561309030654515,0.458257659,760.2635091145834,14261.64321,59152510,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2018,440015,311508,290309,367560,18413710,52760,21219.08,483.86,29529.55,120.49,144.31,290309.0,254078.0,62986.0,291669.0,10781.0,47497.0,4.405620999907244,0.455300441,303.7132568359375,22505.29002,80061333,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2019,448558,320334,302260,382378,18557649,55759,22327.05,988.15,30695.11,120.96,135.21,302260.0,264508.0,67209.0,301180.0,10067.0,39500.0,3.923711135392868,0.461576731,683.5943196614584,21452.7898,85497718,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2020,475409,375355,361177,465207,24726497,78857,35157.99,133.81,43165.22,144.15,161.22,361177.0,313195.0,76718.0,373036.0,16861.0,81855.0,4.854694264871597,0.461795334,959.9938151041666,14263.83135,53826600,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2021,486204,377229,362786,452402,23580755,63073,38451.09,486.32,47270.75,165.68,188.69,362786.0,313097.0,74354.0,362176.0,12690.0,43695.35,3.44328999211978,0.47875528,693.13525390625,7018.965059,49663449,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2022,491067,364478,349803,428884,23843838,45336,38494.27,607.52,56891.07,164.96,188.73,349803.0,305970.0,69733.0,343154.0,8332.0,30138.59,3.6172095535285647,0.502598387,780.6608072916666,16579.12304,137958185,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2023,487567,371973,362935,434823,24576095,51366,42846.64,842.05,50657.55,180.79,172.77,362935.0,314691.0,69877.0,349659.0,8332.0,30138.59,3.6172095535285647,0.566073414,449.8077799479167,13516.84183,131457995,0.08,0.041,1547642.0,8091.33
AJMER,RAJASTHAN,2024,494558,347995,334414,381433,19050319,21305,34739.2,1583.02,47185.26,184.19,258.56,334414.0,288542.0,60672.0,307774.0,8332.0,30138.59,3.6172095535285647,0.695546463,741.60205078125,21609.05621,141670287,0.08,0.041,1547642.0,8091.33
ALAPPUZHA,KERALA,2014,239323,134209,125516,135294,5353673,3296,8368.23,5159.71,14703.55,213.58,234.41,125516.0,126674.0,20379.0,114685.0,34469.9,103345.0,2.998123000066725,0.26582896,81.45173645019531,9348.711023,42562801,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2015,248534,142171,136741,150093,8311176,18776,12860.64,3061.34,16844.93,230.7,238.46,136741.0,139191.0,22455.0,127349.0,31768.01,93187.66,2.933380466702195,0.296676895,56.10000228881836,11499.04017,46839946,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2016,251982,145603,140264,155361,7846116,12843,18308.38,6304.56,28907.61,241.52,285.38,140264.0,142822.0,23232.0,131835.0,32493.0,105659.0,3.2517465300218507,0.289664889,16.100000381469727,9545.071641,41592005,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2017,259525,137269,130756,143218,7450727,15217,19048.89,631.74,23424.15,259.73,299.81,130756.0,132624.0,21231.0,121710.0,36353.0,107976.0,2.9702087860699256,0.330799078,186.55828857421875,12743.80164,59343021,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2018,269131,153294,148041,168214,13839846,76853,37230.81,306.16,41662.21,272.58,288.51,148041.0,152141.0,23507.0,143780.0,38652.08,130097.0,3.3658473230936083,0.356173626,79.55448913574219,13830.86468,62866715,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2019,277638,149098,142647,160003,7557406,14184,20536.69,500.18,26834.75,272.56,309.77,142647.0,145196.0,21759.0,137443.0,40374.01,128480.65,3.182261311175184,0.363085193,343.875732421875,17598.48137,81386962,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2020,291823,162392,157850,177088,10478815,32847,30481.5,62.55,39249.77,292.6,327.63,157850.0,162418.0,27922.0,148378.0,40080.71,126037.88,3.144601979356154,0.347327647,235.808334350586,8090.095414,48126337,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2021,301205,162751,157866,176534,11349563,46619,32599.86,179.44,40718.33,292.89,313.72,157866.0,160948.0,27680.0,148045.0,36561.36,93453.62,2.556076141587731,0.309825903,106.26031494140624,10075.71779,49596998,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2022,295089,159425,154187,170869,10461373,39179,31311.95,641.54,40627.13,310.82,364.25,154187.0,156052.0,26944.0,143147.0,38943.32,120456.56,3.093125085380497,0.356004946,158.413330078125,20255.79521,85211207,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2023,272489,152195,148241,163640,11212642,59350,36976.12,1204.09,44323.55,332.33,372.83,148241.0,148815.0,25581.0,137326.0,38943.32,120456.56,3.093125085380497,0.411412063,127.23082733154295,20792.10158,97191067,0.003,0.0,979643.0,864.89
ALAPPUZHA,KERALA,2024,264913,143046,138714,152601,10470387,58082,35570.06,286.55,42699.66,344.3,386.42,138714.0,137782.0,23308.0,128594.0,38943.32,120456.56,3.093125085380497,0.475310288,336.7950134277344,23790.68314,89757984,0.003,0.0,979643.0,864.89
ALIGARH,UTTAR PRADESH,2014,168810,55362,47521,54240,1231845,753,1563.16,139.93,2816.08,155.73,230.13,47521.0,9808.0,17833.0,36288.0,105264.0,595137.0,5.653756269949841,0.316978392,777.37177734375,14838.04434,67719228,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2015,184789,81585,67559,79058,1838668,1114,2146.65,323.19,3408.14,161.18,192.85,67559.0,15508.0,24045.0,54874.0,101043.0,526952.0,5.215126233385786,0.388125389,620.869677734375,14423.36683,68169901,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2016,169115,78463,65626,75255,1393226,68,2305.99,803.01,3880.49,173.92,197.76,65626.0,15554.0,22541.0,52625.0,101124.0,481125.0,4.757772635576124,0.383148613,848.46123046875,13186.46406,58433735,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2017,179089,67218,57926,64951,1598061,119,2760.36,160.07,4597.5,174.99,238.39,57926.0,13729.0,18586.0,46225.0,98504.0,771816.0,7.8353772435637135,0.373766888,819.2416015625,15300.55872,56181882,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2018,186963,65168,54088,60386,1789688,147,3110.01,92.02,6010.54,174.98,264.07,54088.0,13654.0,17130.0,43185.0,112601.0,921457.0,8.18338203035497,0.406393851,536.3208984375,22334.58399,70705999,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2019,194705,73187,61613,68723,2337343,699,4304.68,78.06,5385.59,181.96,209.13,61613.0,16398.0,21022.0,47608.0,110132.0,960327.88,8.719789706897178,0.436385042,666.3630859375,27965.05663,65913147,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2020,246359,153069,119338,134854,4188967,6717,8517.81,39.72,13866.19,200.9,284.82,119338.0,31183.0,36595.0,98063.0,94773.0,413464.82,4.362685786036107,0.394015571,1169.52978515625,18067.22154,49081302,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2021,286126,138661,114497,129687,3393628,3375,6881.18,71.58,8588.12,203.96,217.52,114497.0,28242.0,33031.0,96441.0,101369.0,321176.0,3.16838481192475,0.40374921,976.9849609375,17385.437,48738554,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2022,234732,109237,94701,107242,3429086,3866,7175.54,41.61,12219.44,212.72,289.96,94701.0,25783.0,27464.0,79641.0,103113.0,598477.0,5.804088718202361,0.412075361,1082.7037109375,16675.44571,53973215,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2023,176700,101109,84430,94782,3394280,3849,7654.92,116.74,11582.09,228.33,278.45,84430.0,24859.0,23445.0,71208.0,103113.0,598477.0,5.804088718202361,0.430566141,783.449609375,18785.09064,65864405,0.173,0.095,2456698.0,3423.12
ALIGARH,UTTAR PRADESH,2024,190147,84785,74436,84185,3138468,4736,7303.17,97.08,11718.75,234.85,376.63,74436.0,24830.0,20392.0,63672.0,103113.0,598477.0,5.804088718202361,0.504341938,925.751953125,24122.1585,62537186,0.173,0.095,2456698.0,3423.12
ALIRAJPUR,MADHYA PRADESH,2014,114765,47079,42840,113798,1687669,2120,2228.29,243.0,4384.97,149.96,254.07,42840.0,52347.0,26183.0,6190.0,40000.0,55670.0,1.39175,0.195636591,820.6228637695312,6901.508249,3371155,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2015,116014,42152,39664,93744,1666572,1967,1645.79,294.64,3350.35,156.23,215.14,39664.0,41269.0,20287.0,4838.0,18000.0,19330.0,1.073888888888889,0.206896622,797.6588745117188,6647.350769,4207719,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2016,114989,66402,57782,142955,2656251,1283,4187.66,964.02,8145.84,163.98,262.04,57782.0,63364.0,29918.0,7168.0,12000.0,12330.0,1.0275,0.212139041,986.318115234375,7542.774644,4617649,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2017,112972,63650,55813,119796,2316514,764,3881.41,161.39,6506.78,170.47,271.84,55813.0,49845.0,23060.0,5980.0,18260.0,18170.0,0.9950711938663744,0.207322658,738.443603515625,2195.403276,949753,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2018,118176,75163,63568,125847,3172653,1418,5407.57,69.52,10509.57,173.77,287.93,63568.0,51162.0,24489.0,6683.0,16775.0,26525.33,1.5812417287630405,0.183650507,589.7890625,4315.010469,634017,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2019,125978,81057,67599,136763,3635810,1907,6250.73,103.82,9101.39,172.99,232.47,67599.0,57638.0,24866.0,7317.0,27783.0,34198.66,1.230920346974769,0.253339142,1289.8026123046875,7565.909785,1569617,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2020,137581,117558,96475,221163,5871432,5411,10760.9,37.0,15702.82,184.28,258.81,96475.0,98890.0,37211.0,12604.0,24318.0,29712.33,1.2218245743893412,0.318003273,864.656982421875,5714.530101,1191582,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2021,134696,108097,85913,183232,4471236,3080,7635.84,52.67,9649.23,174.63,207.67,85913.0,80840.0,28809.0,10430.0,26090.0,148824.05,5.704256420084323,0.380584161,842.13037109375,11873.77007,1546979,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2022,137658,93763,74069,138954,3419425,1894,6422.4,139.43,11139.43,188.99,287.01,74069.0,59412.0,21288.0,7576.0,29829.0,34323.0,1.1506587549029468,0.357891366,771.9216918945312,3033.331504,347180,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2023,131339,91977,73783,130229,3462973,1928,6878.73,36.67,12215.39,201.37,335.09,73783.0,54474.0,19725.0,7010.0,29829.0,34323.0,1.1506587549029468,0.356730745,1124.9573974609375,3360.848433,727271,0.407,0.192,671925.0,3139.36
ALIRAJPUR,MADHYA PRADESH,2024,146519,91487,75713,124158,3853686,2899,8828.63,60.87,15187.84,231.42,406.45,75713.0,50726.0,18197.0,6442.0,29829.0,34323.0,1.1506587549029468,0.43223314,1393.2293701171875,3535.447965,705322,0.407,0.192,671925.0,3139.36
ALWAR,RAJASTHAN,2014,392243,77005,62912,76953,2039676,1622,2778.65,116.76,4307.89,138.08,199.72,62912.0,48234.0,26672.0,38903.0,22377.0,63312.64,2.829362291638736,0.369088065,719.802001953125,16113.63927,91095348,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2015,393153,93137,80545,100902,3201623,2936,4340.72,30.61,5698.78,145.77,185.42,80545.0,65029.0,33030.0,51147.0,30064.0,78647.84,2.616013837147418,0.397010259,456.1523844401042,12691.34824,80511130,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2016,325867,105555,93840,121117,3639546,971,5202.62,315.68,9047.68,149.24,212.41,93840.0,77914.0,37175.0,64772.0,37673.0,124973.0,3.3173094789371698,0.384623502,716.0379231770834,14060.01987,85080900,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2017,325490,97895,85082,109396,3245219,817,4885.66,214.91,8848.56,156.87,230.29,85082.0,71094.0,34876.0,58461.0,47249.0,132313.0,2.8003343986116107,0.401485688,753.7042643229166,17583.86177,115558458,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2018,335410,109511,94659,122500,4182048,5904,6388.96,187.18,9424.48,160.64,203.74,94659.0,80364.0,39440.0,65435.0,64008.0,138995.0,2.17152543432071,0.426403875,446.0716959635417,24385.38366,156110669,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2019,343201,119611,103570,133624,4662021,8775,7565.75,338.51,11686.26,163.48,219.25,103570.0,89405.0,42621.0,70695.0,72596.0,199954.0,2.754339082043088,0.446261292,655.8180745442709,22453.7532,148843227,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2020,383765,197618,183112,241249,8847411,21120,16256.58,93.4,21136.99,185.9,229.92,183112.0,154152.0,67868.0,136061.0,63334.0,193586.0,3.0565888780118105,0.460671143,1046.349365234375,17267.19923,132975613,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2021,385101,179280,163843,206025,7112891,8993,13337.33,193.11,18818.54,191.12,248.2,163843.0,139715.0,56381.0,113928.0,55746.0,153752.8,2.7580956481182506,0.461078843,949.180908203125,14814.59619,115052855,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2022,315641,145476,129617,158843,5495037,9530,10771.94,258.63,15242.97,201.64,237.6,129617.0,113567.0,46624.0,87566.0,45307.0,113224.29,2.4990462842386383,0.486651228,867.7649739583334,18023.20747,152322975,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2023,314366,130000,117229,139231,4598362,5307,9488.8,313.04,12307.6,212.78,193.74,117229.0,102947.0,42166.0,74141.0,45307.0,113224.29,2.4990462842386383,0.516113018,621.4304606119791,19809.05162,168370495,0.135,0.089,3019728.0,8146.42
ALWAR,RAJASTHAN,2024,319954,105723,91543,106086,3102960,2179,6644.62,295.04,9422.18,218.02,327.22,91543.0,80016.0,33221.0,54931.0,45307.0,113224.29,2.4990462842386383,0.62635695,551.2200927734375,33501.34168,165945668,0.135,0.089,3019728.0,8146.42
AMBALA,HARYANA,2014,22810,6867,5908,7109,173634,180,386.8,57.07,612.69,236.0,312.51,5908.0,2888.0,3955.0,3154.0,93000.0,1007000.0,10.827956989247312,0.381391768,529.492431640625,17419.06945,13241942,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2015,24047,3137,2656,3289,55985,8,93.03,23.68,218.83,251.0,313.77,2656.0,1437.0,1883.0,1406.0,96000.0,1003000.0,10.447916666666666,0.425554034,659.8128662109375,13197.33079,11809205,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2016,25573,5641,4856,6089,125513,36,313.56,46.43,572.03,258.99,389.42,4856.0,2834.0,3452.0,2637.0,92800.0,1085000.0,11.691810344827584,0.391234376,363.1067504882813,17530.17306,14971578,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2017,27015,4895,4105,5134,122593,40,0.0,10.52,119.17,276.94,361.09,4105.0,2569.0,2859.0,2273.0,96800.0,1289200.0,13.318181818181818,0.456149279,693.9918212890625,21202.03402,13946075,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2018,28393,5032,4145,5248,121283,52,0.0,1.38,431.61,281.0,496.68,4145.0,2700.0,2755.0,2493.0,96501.0,1106601.0,11.467249044051355,0.582954542,352.77349853515625,29336.70766,19061953,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2019,29326,4328,3739,4858,135627,89,381.08,16.19,613.85,283.98,416.05,3739.0,2409.0,2581.0,2277.0,102300.0,1270000.0,12.41446725317693,0.639106067,756.0037841796875,33817.25779,22714212,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2020,31490,8592,7455,9989,267351,225,816.96,4.36,1131.14,309.02,409.57,7455.0,4635.0,5292.0,4697.0,106300.0,1198140.0,11.271307619943556,0.573962944,734.7079467773438,25248.08822,17326450,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2021,34164,5957,5146,6560,188968,150,588.71,8.93,902.41,314.89,386.06,5146.0,3478.0,3835.0,2725.0,103896.0,1193651.0,11.488902363902364,0.578935697,850.24169921875,25700.58393,21108056,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2022,34740,4191,3607,4357,137575,117,442.34,4.92,622.95,330.4,384.97,3607.0,2698.0,2682.0,1675.0,104990.0,390440.0,3.718830364796647,0.569803874,1025.829345703125,20786.48674,23060007,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2023,36874,7179,6188,7468,172281,10,594.87,13.55,756.03,348.99,441.57,6188.0,4729.0,4555.0,2913.0,104990.0,390440.0,3.718830364796647,0.607460235,334.55596923828125,26915.26496,25072965,0.008,0.016,627576.0,1440.4
AMBALA,HARYANA,2024,38415,4551,3769,4352,92214,0,320.84,6.35,450.37,360.75,505.4,3769.0,2764.0,2661.0,1691.0,104990.0,390440.0,3.718830364796647,0.780440107,910.6022338867188,42887.42757,31598376,0.008,0.016,627576.0,1440.4
