District,Year,Total Income
ANAND,2019,15641.51815
ANAND,2020,9982.831242
ANAND,2021,17688.1014
ANAND,2022,8180.863565
ANAND,2023,12176.02512
ANAND,2024,18038.03872
ANAND,2025,22630.46016
ANANTAPUR,2014,11872.18997
ANANTAPUR,2015,7547.969613
ANANTAPUR,2016,10829.27341
ANANTAPUR,2017,10619.75873
ANANTAPUR,2018,10876.52518
ANANTAPUR,2019,10365.82332
ANANTAPUR,2020,8240.509239
ANANTAPUR,2021,9768.53024
ANANTAPUR,2022,9034.124104
ANANTAPUR,2023,15492.24273
ANANTAPUR,2024,27158.12348
ANANTAPUR,2025,35823.89339
ANANTNAG,2014,20621.22859
ANANTNAG,2015,20863.88444
ANANTNAG,2016,16285.04445
ANANTNAG,2017,22592.83448
ANANTNAG,2018,22881.66791
ANANTNAG,2019,7313.284982
ANANTNAG,2020,7002.466264
ANANTNAG,2021,11824.44421
ANANTNAG,2022,20460.6527
ANANTNAG,2023,25230.72549
ANANTNAG,2024,20332.4034
ANANTNAG,2025,25677.81154
ANUGUL,2014,7113.789384
ANUGUL,2015,7691.619952
ANUGUL,2016,7741.63151
ANUGUL,2017,7552.594767
ANUGUL,2018,12065.66062
ANUGUL,2019,13595.16199
ANUGUL,2020,5988.666207
ANUGUL,2021,9723.918535
ANUGUL,2022,12379.36037
ANUGUL,2023,14493.89395
ANUGUL,2024,16156.64808
ANUGUL,2025,14992.72925
ANUPPUR,2014,9964.852753
ANUPPUR,2015,13714.60915
ANUPPUR,2016,18721.41383
ANUPPUR,2017,21184.41014
ANUPPUR,2018,31728.03802
ANUPPUR,2019,27453.30813
ANUPPUR,2020,26873.8274
ANUPPUR,2021,32620.03314
ANUPPUR,2022,29395.43962
ANUPPUR,2023,31231.01517
ANUPPUR,2024,31905.46038
ANUPPUR,2025,-99.0
ARARIA,2017,2627.381619
ARARIA,2018,9724.671287
ARARIA,2019,8591.112017
ARARIA,2020,6961.022633
ARARIA,2021,2668.764873
ARARIA,2022,8198.155012
ARARIA,2023,3584.019327
ARARIA,2024,6476.1525
ARARIA,2025,17924.28
ARWAL,2017,3396.481192
ARWAL,2018,8493.888254
ARWAL,2019,8865.1234
ARWAL,2020,4619.027614
ARWAL,2021,9942.58777
ARWAL,2022,12623.82142
ARWAL,2023,10730.96762
ARWAL,2024,11290.10224
ARWAL,2025,-99.0
AURAIYA,2014,9580.458984
AURAIYA,2015,7173.987824
AURAIYA,2016,4449.816249
AURAIYA,2017,8798.612467
AURAIYA,2018,12558.2202
AURAIYA,2019,16786.10956
AURAIYA,2020,13689.01183
AURAIYA,2021,20105.05357
AURAIYA,2022,17731.7475
AURAIYA,2023,13368.47062
AURAIYA,2024,17614.72377
AURAIYA,2025,13353.17334
AURANGABAD,2014,12395.79536
AURANGABAD,2015,15350.27779
AURANGABAD,2016,11837.09049
AURANGABAD,2017,14841.3943
AURANGABAD,2018,18313.54248
AURANGABAD,2019,22769.43393
