District,Year,Total Income
BIKANER,2025,-99.0
BILASPUR,2014,7103.014551
BILASPUR,2015,8560.285882
BILASPUR,2016,8759.645353
BILASPUR,2017,10886.75627
BILASPUR,2018,15549.21448
BILASPUR,2019,15656.03343
BILASPUR,2020,7810.386753
BILASPUR,2021,13110.92776
BILASPUR,2022,13358.03215
BILASPUR,2023,12281.79108
BILASPUR,2024,13219.02027
BILASPUR,2025,16212.41529
BIRBHUM,2014,5715.579161
BIRBHUM,2015,6641.403734
BIRBHUM,2016,7760.663851
BIRBHUM,2017,7966.606737
BIRBHUM,2018,7713.364522
BIRBHUM,2019,9838.64656
BIRBHUM,2020,3615.545308
BIRBHUM,2021,1811.08214
BIRBHUM,2022,864.0546774
BIRBHUM,2023,2545.911824
BIRBHUM,2024,8786.195693
BIRBHUM,2025,16278.18514
BOKARO,2014,5956.657142
BOKARO,2015,6421.934421
BOKARO,2016,7953.918543
BOKARO,2017,12617.40113
BOKARO,2018,15507.21286
BOKARO,2019,15795.39281
BOKARO,2020,10144.86457
BOKARO,2021,11486.59251
BOKARO,2022,9593.346469
BOKARO,2023,6785.146146
BOKARO,2024,5241.416083
BOKARO,2025,-99.0
BUDAUN,2014,8670.486038
BUDAUN,2015,8034.989172
BUDAUN,2016,12198.54333
BUDAUN,2017,15777.36478
BUDAUN,2018,23580.98776
BUDAUN,2019,24078.68604
BUDAUN,2020,13343.33931
BUDAUN,2021,13885.50158
BUDAUN,2022,12133.66905
BUDAUN,2023,21966.48647
BUDAUN,2024,24607.70495
BUDAUN,2025,42507.5538
BULANDSHAHR,2017,10239.08001
BULANDSHAHR,2018,17370.03254
BULANDSHAHR,2019,13921.82264
BULANDSHAHR,2020,15497.07161
BULANDSHAHR,2021,15062.61798
BULANDSHAHR,2022,10545.29882
BULANDSHAHR,2023,9943.129763
BULANDSHAHR,2024,20699.44878
BULANDSHAHR,2025,21840.65853
BULDANA,2014,15702.54895
BULDANA,2015,14423.28589
BULDANA,2016,13027.09784
BULDANA,2017,18524.14115
BULDANA,2018,23316.05588
BULDANA,2019,26502.1713
BULDANA,2020,15487.71102
BULDANA,2021,27525.46873
BULDANA,2022,20197.57103
BULDANA,2023,21225.14455
BULDANA,2024,32230.3423
BULDANA,2025,38596.05653
BUNDI,2014,7913.039922
BUNDI,2015,8235.755256
BUNDI,2016,8443.63363
BUNDI,2017,12341.00565
BUNDI,2018,20018.99547
BUNDI,2019,19376.11533
BUNDI,2020,14180.9392
BUNDI,2021,16394.96613
BUNDI,2022,9388.210329
BUNDI,2023,14460.2488
BUNDI,2024,17896.31683
BUNDI,2025,19763.19701
BURHANPUR,2014,9413.380982
BURHANPUR,2015,9366.901374
BURHANPUR,2016,10378.04674
BURHANPUR,2017,13686.6072
BURHANPUR,2018,18317.13836
BURHANPUR,2019,13735.55902
BURHANPUR,2020,12387.20784
BURHANPUR,2021,15621.241
BURHANPUR,2022,14391.78092
BURHANPUR,2023,8267.224512
BURHANPUR,2024,11299.98852
BURHANPUR,2025,7901.416971
BUXAR,2014,12516.88074
BUXAR,2015,10440.97797
BUXAR,2016,6741.914013
BUXAR,2017,5053.42889
BUXAR,2018,11132.05005
BUXAR,2019,7773.164069
BUXAR,2020,10189.19274
BUXAR,2021,15315.51358
BUXAR,2022,6200.244458
BUXAR,2023,2600.603427
BUXAR,2024,3163.744534
BUXAR,2025,1989.578191
CACHAR,2014,6679.918536
CACHAR,2015,7577.013806
CACHAR,2016,8359.469339
CACHAR,2017,10616.60831
CACHAR,2018,11476.17891
CACHAR,2019,15148.44833
CACHAR,2020,11457.06873
CACHAR,2021,11723.96809
CACHAR,2022,10630.8669
CACHAR,2023,6746.458545
CACHAR,2024,14439.88344
CACHAR,2025,16813.03002
CHAMARAJANAGAR,2015,11539.47585
CHAMARAJANAGAR,2016,5093.033192
CHAMARAJANAGAR,2017,7986.756998
CHAMARAJANAGAR,2018,11129.19202
CHAMARAJANAGAR,2019,12861.27258
CHAMARAJANAGAR,2020,6309.788587
CHAMARAJANAGAR,2021,21165.7511
CHAMARAJANAGAR,2022,6534.202553
CHAMARAJANAGAR,2023,11271.66743
CHAMARAJANAGAR,2024,16733.32221
CHAMARAJANAGAR,2025,-99.0
CHAMOLI,2017,13248.9783
CHAMOLI,2018,20004.83932
CHAMOLI,2019,17921.04539
CHAMOLI,2020,7399.03171
CHAMOLI,2021,9484.340921
CHAMOLI,2022,2389.558904
CHAMOLI,2023,5423.304654
CHAMOLI,2024,-99.0
CHAMOLI,2025,-99.0
CHANDIGARH,2014,28450.73497
CHANDIGARH,2015,28998.19534
CHANDIGARH,2016,25694.92531
CHANDIGARH,2017,31685.70207
CHANDIGARH,2018,47409.30067
CHANDIGARH,2019,43717.48592
CHANDIGARH,2020,37617.30168
CHANDIGARH,2021,42986.60489
CHANDIGARH,2022,46001.59037
CHANDIGARH,2023,33687.34312
CHANDIGARH,2024,41493.11319
CHANDIGARH,2025,55324.70468
CHANDRAPUR,2014,17323.55089
CHANDRAPUR,2015,15888.41516
CHANDRAPUR,2016,15085.85992
CHANDRAPUR,2017,14014.20585
CHANDRAPUR,2018,13514.29068
CHANDRAPUR,2019,14550.99361
CHANDRAPUR,2020,8778.077159
CHANDRAPUR,2021,13435.11438
CHANDRAPUR,2022,18001.80102
CHANDRAPUR,2023,24736.1375
CHANDRAPUR,2024,32254.69834
CHANDRAPUR,2025,46091.73921
CHATRA,2014,4551.846063
CHATRA,2015,5006.624338
CHATRA,2016,5145.912324
CHATRA,2017,6637.722914
CHATRA,2018,9044.533801
CHATRA,2019,9519.055506
CHATRA,2020,4499.962026
CHATRA,2021,4484.819087
CHATRA,2022,2378.801414
CHATRA,2023,2240.775208
CHATRA,2024,12771.25247
CHATRA,2025,8628.20567
CHENNAI,2014,24101.37571
CHENNAI,2015,21190.14641
CHENNAI,2016,23619.37096
CHENNAI,2017,21192.93985
CHENNAI,2018,23271.29552
CHENNAI,2019,23163.14642
CHENNAI,2020,10502.3397
CHENNAI,2021,14339.16834
CHENNAI,2022,15641.51989
CHENNAI,2023,8603.620535
CHENNAI,2024,14464.23232
CHENNAI,2025,14636.6628
CHHATARPUR,2017,2239.547159
CHHATARPUR,2018,8391.702652
CHHATARPUR,2019,13479.50081
CHHATARPUR,2020,11729.18779
CHHATARPUR,2021,11797.86239
CHHATARPUR,2022,10656.04134
CHHATARPUR,2023,2417.082048
CHHATARPUR,2024,11403.5247
CHHATARPUR,2025,14526.95702
CHHINDWARA,2014,6607.88617
CHHINDWARA,2015,7520.528979
CHHINDWARA,2016,5631.169822
CHHINDWARA,2017,6776.755805
CHHINDWARA,2018,8720.345095
CHHINDWARA,2019,12216.26984
CHHINDWARA,2020,8980.361327
CHHINDWARA,2021,10582.91778
CHHINDWARA,2022,12461.63807
CHHINDWARA,2023,14319.69761
CHHINDWARA,2024,15079.68102
CHHINDWARA,2025,9144.168786
CHIKKABALLAPURA,2014,17427.98193
CHIKKABALLAPURA,2015,15776.59458
CHIKKABALLAPURA,2016,16891.05946
CHIKKABALLAPURA,2017,19742.87109
CHIKKABALLAPURA,2018,15617.0981
CHIKKABALLAPURA,2019,14109.47821
CHIKKABALLAPURA,2020,6492.885979
CHIKKABALLAPURA,2021,13121.16712
CHIKKABALLAPURA,2022,25594.74552
CHIKKABALLAPURA,2023,11494.99734
CHIKKABALLAPURA,2024,24501.84038
CHIKKABALLAPURA,2025,39449.19658
CHIKMAGALUR,2014,11186.47873
CHIKMAGALUR,2015,11236.15103
CHIKMAGALUR,2016,6767.035998
CHIKMAGALUR,2017,12193.30355
CHIKMAGALUR,2018,10818.84553
CHIKMAGALUR,2019,12170.50699
CHIKMAGALUR,2020,5411.343163
CHIKMAGALUR,2021,7702.15801
CHIKMAGALUR,2022,12390.0671
CHIKMAGALUR,2023,13922.19622
CHIKMAGALUR,2024,13726.36813
CHIKMAGALUR,2025,-99.0
CHIRANG,2014,9718.920706
CHIRANG,2015,8746.130409
CHIRANG,2016,10684.32667
CHIRANG,2017,10470.95816
CHIRANG,2018,12326.06778
CHIRANG,2019,11278.26241
CHIRANG,2020,9365.99239
CHIRANG,2021,8109.739942
CHIRANG,2022,9657.68553
CHIRANG,2023,-99.0
CHIRANG,2024,2857.040862
CHIRANG,2025,-99.0
CHITRADURGA,2014,7713.570282
CHITRADURGA,2015,7224.097404
CHITRADURGA,2016,7266.519494
CHITRADURGA,2017,8272.807239
CHITRADURGA,2018,8395.181253
CHITRADURGA,2019,11712.19605
CHITRADURGA,2020,4279.601147
CHITRADURGA,2021,5832.724452
CHITRADURGA,2022,9204.87939
CHITRADURGA,2023,4494.414584
CHITRADURGA,2024,10439.3251
CHITRADURGA,2025,-99.0
CHITRAKOOT,2014,11264.43013
CHITRAKOOT,2015,13487.94825
CHITRAKOOT,2016,15485.70532
CHITRAKOOT,2017,14945.89498
CHITRAKOOT,2018,19792.12781
CHITRAKOOT,2019,22867.9638
CHITRAKOOT,2020,18837.40262
CHITRAKOOT,2021,20703.60565
CHITRAKOOT,2022,17445.02422
CHITRAKOOT,2023,19986.23517
CHITRAKOOT,2024,29061.29419
CHITRAKOOT,2025,35852.72448
CHITTAURGARH,2014,14987.21625
CHITTAURGARH,2015,13328.13282
CHITTAURGARH,2016,15582.68283
CHITTAURGARH,2017,14021.12865
CHITTAURGARH,2018,21215.13606
CHITTAURGARH,2019,20512.17882
CHITTAURGARH,2020,16855.1883
CHITTAURGARH,2021,17445.31565
CHITTAURGARH,2022,20867.63201
CHITTAURGARH,2023,24076.86468
CHITTAURGARH,2024,26728.55609
CHITTAURGARH,2025,32845.02592
CHITTOOR,2014,9372.117755
CHITTOOR,2015,8390.167559
CHITTOOR,2016,9730.576203
CHITTOOR,2017,9770.554774
CHITTOOR,2018,11105.51555
CHITTOOR,2019,12884.01921
CHITTOOR,2020,3088.708515
CHITTOOR,2021,4417.957532
CHITTOOR,2022,4957.362725
CHITTOOR,2023,13194.42673
CHITTOOR,2024,16871.11823
CHITTOOR,2025,18916.09012
CHURU,2017,6902.968526
CHURU,2018,25420.65422
CHURU,2019,26100.99777
CHURU,2020,22627.61859
CHURU,2021,18154.86278
CHURU,2022,14359.77888
CHURU,2023,28589.02905
CHURU,2024,20780.22906
CHURU,2025,-99.0
COIMBATORE,2014,11090.85227
COIMBATORE,2015,9950.945646
COIMBATORE,2016,10174.01306
COIMBATORE,2017,12181.45398
COIMBATORE,2018,17582.00016
COIMBATORE,2019,11756.86068
COIMBATORE,2020,2058.906278
COIMBATORE,2021,8602.613982
COIMBATORE,2022,9208.026407
COIMBATORE,2023,5378.23785
COIMBATORE,2024,13517.69846
COIMBATORE,2025,13920.96562
CUDDALORE,2014,13628.4133
CUDDALORE,2015,13199.9897
CUDDALORE,2016,13405.21129
CUDDALORE,2017,13803.8108
CUDDALORE,2018,13402.32308
CUDDALORE,2019,14660.44351
CUDDALORE,2020,8837.734102
CUDDALORE,2021,12464.33652
CUDDALORE,2022,10136.81589
CUDDALORE,2023,11185.93197
CUDDALORE,2024,17477.21463
CUDDALORE,2025,12115.16451
CUTTACK,2014,6959.646783
CUTTACK,2015,7922.51393
CUTTACK,2016,7707.556525
CUTTACK,2017,6409.479131
CUTTACK,2018,9351.372643
CUTTACK,2019,9615.354654
CUTTACK,2020,4286.756122
CUTTACK,2021,4412.31658
CUTTACK,2022,7393.23511
CUTTACK,2023,12072.61837
CUTTACK,2024,15908.94802
CUTTACK,2025,14804.67339
DAKSHIN DINAJPUR,2014,5255.712682
DAKSHIN DINAJPUR,2015,5552.609785
DAKSHIN DINAJPUR,2016,6803.924301
DAKSHIN DINAJPUR,2017,8036.189357
DAKSHIN DINAJPUR,2018,8582.617623
DAKSHIN DINAJPUR,2019,10522.09124
DAKSHIN DINAJPUR,2020,6871.807583
DAKSHIN DINAJPUR,2021,7557.107573
DAKSHIN DINAJPUR,2022,-99.0
DAKSHIN DINAJPUR,2023,13727.19875
DAKSHIN DINAJPUR,2024,15936.36281
DAKSHIN DINAJPUR,2025,15716.38218
DAKSHINA KANNADA,2014,10172.47877
DAKSHINA KANNADA,2015,9162.590161
DAKSHINA KANNADA,2016,10253.98501
DAKSHINA KANNADA,2017,12951.9024
DAKSHINA KANNADA,2018,14480.90165
DAKSHINA KANNADA,2019,15398.79799
DAKSHINA KANNADA,2020,3836.179502
DAKSHINA KANNADA,2021,11039.82141
DAKSHINA KANNADA,2022,13047.91603
DAKSHINA KANNADA,2023,14543.30887
DAKSHINA KANNADA,2024,12744.37294
DAKSHINA KANNADA,2025,15249.1409
DAMOH,2014,9363.980121
DAMOH,2015,13767.24759
DAMOH,2016,12824.41443
DAMOH,2017,6355.222212
DAMOH,2018,6471.137387
DAMOH,2019,11579.60474
DAMOH,2020,10153.4317
DAMOH,2021,11712.1826
DAMOH,2022,14522.95057
DAMOH,2023,13872.71427
DAMOH,2024,12447.86048
DAMOH,2025,24140.05257
DANTEWADA,2023,1319.189727
DANTEWADA,2024,-99.0
DANTEWADA,2025,6875.039507
DARBHANGA,2014,9196.229068
DARBHANGA,2015,10767.91932
DARBHANGA,2016,8304.730158
DARBHANGA,2017,8889.565628
DARBHANGA,2018,10335.35579
DARBHANGA,2019,10407.20715
DARBHANGA,2020,6376.926263
DARBHANGA,2021,7294.280684
DARBHANGA,2022,7542.252279
DARBHANGA,2023,4265.774029
DARBHANGA,2024,6139.27151
DARBHANGA,2025,13944.04938
DARJILING,2017,10611.61561
DARJILING,2018,10397.62643
DARJILING,2019,13119.75789
DARJILING,2020,9631.19212
DARJILING,2021,13335.35183
DARJILING,2022,15530.439
DARJILING,2023,14406.51569
DARJILING,2024,8561.406689
DARJILING,2025,11796.13616
DATIA,2014,5711.772719
DATIA,2015,6427.777778
DAUSA,2014,12275.36816
DAUSA,2015,11292.49611
DAUSA,2016,12855.74915
DAUSA,2017,12811.8174
DAUSA,2018,18388.03225
DAUSA,2019,17421.1247
DAUSA,2020,10738.3935
DAUSA,2021,15196.5472
DAUSA,2022,15654.82964
DAUSA,2023,23900.41357
DAUSA,2024,20270.4968
DAUSA,2025,25658.48927
DAVANAGERE,2014,11456.73738
DAVANAGERE,2015,12633.39481
DAVANAGERE,2016,11880.63465
DAVANAGERE,2017,8653.588823
DAVANAGERE,2018,6261.11719
DAVANAGERE,2019,5173.988489
DAVANAGERE,2020,1626.05718
DAVANAGERE,2021,16152.83034
DAVANAGERE,2022,5343.331993
DAVANAGERE,2023,7504.448203
DAVANAGERE,2024,357.2995676
DAVANAGERE,2025,-99.0
DEBAGARH,2017,-99.0
DEBAGARH,2018,4822.978987
DEBAGARH,2019,10873.52564
DEBAGARH,2020,4566.438769
DEBAGARH,2021,8596.594866
DEBAGARH,2022,3293.841486
DEBAGARH,2023,14153.00384
DEBAGARH,2024,15317.37738
DEBAGARH,2025,-99.0
DEHRADUN,2014,18666.67503
DEHRADUN,2015,20658.36926
DEHRADUN,2016,18011.73406
DEHRADUN,2017,21626.9024
DEHRADUN,2018,25028.7671
DEHRADUN,2019,25053.15161
DEHRADUN,2020,14455.00436
DEHRADUN,2021,21260.46886
DEHRADUN,2022,20739.8798
DEHRADUN,2023,12497.99413
DEHRADUN,2024,19325.01682
DEHRADUN,2025,28184.03136
DEOGARH,2014,12996.99066
DEOGARH,2015,10524.42306
DEOGARH,2016,11404.10955
DEOGARH,2017,11914.90523
DEOGARH,2018,16460.22435
DEOGARH,2019,17371.18412
DEOGARH,2020,11810.48905
DEOGARH,2021,11580.29257
DEOGARH,2022,16318.54089
DEOGARH,2023,7558.338557
DEOGARH,2024,5995.012884
DEOGARH,2025,21479.41907
DEORIA,2014,9018.049873
DEORIA,2015,7116.926854
DEORIA,2016,8087.347683
DEORIA,2017,10595.38585
DEORIA,2018,16470.60397
DEORIA,2019,12020.93201
DEORIA,2020,7920.6326
DEORIA,2021,10059.52585
DEORIA,2022,9959.273704
DEORIA,2023,8231.21048
DEORIA,2024,15572.72413
DEORIA,2025,21168.18895
DEWAS,2014,7704.746149
DEWAS,2015,10593.75924
DEWAS,2016,9381.788127
DEWAS,2017,11524.62296
DEWAS,2018,14690.73539
DEWAS,2019,14991.81227
DEWAS,2020,10055.56021
DEWAS,2021,10802.64056
DEWAS,2022,13906.80323
DEWAS,2023,9826.378442
DEWAS,2024,16523.57704
DEWAS,2025,15041.46017
DHALAI,2017,4029.962159
DHALAI,2018,15809.38062
DHALAI,2019,17077.88032
DHALAI,2020,11016.85818
DHALAI,2021,12188.34767
DHALAI,2022,12098.41758
DHALAI,2023,9253.487201
DHALAI,2024,8572.306822
DHALAI,2025,11709.81666
DHAMTARI,2014,9286.999676
DHAMTARI,2015,9106.450224
DHAMTARI,2016,10794.11186
DHAMTARI,2017,12273.40212
DHAMTARI,2018,13196.28345
DHAMTARI,2019,15961.14887
DHAMTARI,2020,7767.621202
DHAMTARI,2021,12261.89476
DHAMTARI,2022,16754.55148
DHAMTARI,2023,12424.19348
DHAMTARI,2024,11286.38025
DHAMTARI,2025,32323.15697
DHANBAD,2014,8019.671042
DHANBAD,2015,6303.504218
DHANBAD,2016,10051.00244
DHANBAD,2017,15414.19635
DHANBAD,2018,18689.02633
DHANBAD,2019,18344.75606
DHANBAD,2020,14560.89916
DHANBAD,2021,14954.60093
DHANBAD,2022,14623.43628
DHANBAD,2023,13587.00322
DHANBAD,2024,18384.42114
DHANBAD,2025,14035.12756
DHAR,2014,10522.98906
DHAR,2015,11134.4186
DHAR,2016,11822.84663
DHAR,2017,10081.88773
DHAR,2018,13770.70497
DHAR,2019,14245.19403
DHAR,2020,11279.91346
DHAR,2021,10157.05275
DHAR,2022,9423.119526
DHAR,2023,4597.066755
DHAR,2024,540.4299227
DHAR,2025,2928.609013
DHARMAPURI,2014,9931.679527
DHARMAPURI,2015,8114.162684
DHARMAPURI,2016,10391.24375
DHARMAPURI,2017,12344.01585
DHARMAPURI,2018,13918.6441
DHARMAPURI,2019,10825.16567
DHARMAPURI,2020,4441.502318
DHARMAPURI,2021,8283.324697
DHARMAPURI,2022,9101.985358
DHARMAPURI,2023,8507.36607
DHARMAPURI,2024,16796.56138
DHARMAPURI,2025,23213.24773
DHARWAD,2014,9933.331283
DHARWAD,2015,11485.03743
DHARWAD,2016,13035.338
DHARWAD,2017,12797.02338
DHARWAD,2018,16822.7259
DHARWAD,2019,13096.16913
DHARWAD,2020,10258.27098
DHARWAD,2021,17625.19287
DHARWAD,2022,12239.20328
DHARWAD,2023,20789.22776
DHARWAD,2024,15255.37261
DHARWAD,2025,14241.13279
DHAULPUR,2017,12519.04336
DHAULPUR,2018,10758.54355
DHAULPUR,2019,8094.877782
DHAULPUR,2020,459.7488575
DHAULPUR,2021,418.5292404
DHAULPUR,2022,2624.843592
DHAULPUR,2023,8232.426486
DHAULPUR,2024,27904.2537
DHAULPUR,2025,19264.57767
DHENKANAL,2017,4549.168552
DHENKANAL,2018,8869.947397
DHENKANAL,2019,8422.865237
DHENKANAL,2020,3487.912953
DHENKANAL,2021,5979.709227
DHENKANAL,2022,8292.449747
DHENKANAL,2023,5304.269741
DHENKANAL,2024,11732.55577
DHENKANAL,2025,13441.10823
DHUBRI,2017,1590.745795
DHUBRI,2018,8792.241374
DHUBRI,2019,6317.150776
DHUBRI,2020,1296.552961
DHUBRI,2021,702.4038861
DHUBRI,2022,3819.47292
DHUBRI,2023,1535.53449
DHUBRI,2024,1283.754614
DHUBRI,2025,5299.38501
DHULE,2014,9304.971264
DHULE,2015,9353.331422
DHULE,2016,7311.757949
DHULE,2017,10596.32043
DHULE,2018,13419.71551
DHULE,2019,24823.42573
DHULE,2020,5803.995755
DHULE,2021,19808.35129
DHULE,2022,7853.395359
DHULE,2023,9368.972452
DHULE,2024,26606.88463
DHULE,2025,32397.79115
DIBRUGARH,2014,8791.515973
DIBRUGARH,2015,10401.36716
DIBRUGARH,2016,8759.960033
DIBRUGARH,2017,9195.517644
DIBRUGARH,2018,11153.52506
DIBRUGARH,2019,12186.33333
DIBRUGARH,2020,8254.533705
DIBRUGARH,2021,8030.78184
DIBRUGARH,2022,5877.785145
DIBRUGARH,2023,1279.674404
DIBRUGARH,2024,2690.488287
DIBRUGARH,2025,-99.0
DINDIGUL,2014,8411.920025
DINDIGUL,2015,7715.893415
DINDIGUL,2016,11237.72526
DINDIGUL,2017,16489.13539
DINDIGUL,2018,15461.84558
DINDIGUL,2019,10021.4703
DINDIGUL,2020,6906.988613
DINDIGUL,2021,8375.302963
DINDIGUL,2022,7860.205392
DINDIGUL,2023,10193.13825
DINDIGUL,2024,18561.78152
DINDIGUL,2025,22402.29436
DOHAD,2017,5139.822711
DOHAD,2018,10145.9632
DOHAD,2019,7933.666587
DOHAD,2020,7059.140134
DOHAD,2021,2719.400118
DOHAD,2022,17082.77439
DOHAD,2023,-99.0
DOHAD,2024,7677.581065
DOHAD,2025,-99.0
DUMKA,2014,7317.918324
DUMKA,2015,5162.918931
DUMKA,2016,6649.025941
DUMKA,2017,9743.742116
DUMKA,2018,11756.1911
DUMKA,2019,15993.79738
DUMKA,2020,12239.38383
DUMKA,2021,12703.02445
DUMKA,2022,11024.10545
DUMKA,2023,6630.378271
DUMKA,2024,15484.61187
DUMKA,2025,14707.73068
DUNGARPUR,2014,4862.320853
DUNGARPUR,2015,3514.266617
DUNGARPUR,2016,4613.32226
DUNGARPUR,2017,2044.809997
DUNGARPUR,2018,422.9905768
DUNGARPUR,2019,4878.099921
DUNGARPUR,2020,7666.281452
DUNGARPUR,2021,2973.976058
DUNGARPUR,2022,9004.198963
DUNGARPUR,2023,-99.0
DUNGARPUR,2024,-99.0
DUNGARPUR,2025,10128.54698
DURG,2014,10246.98694
DURG,2015,9376.752634
DURG,2016,12410.28825
DURG,2017,14856.77303
DURG,2018,18215.23537
DURG,2019,20964.44876
DURG,2020,10147.1567
DURG,2021,16312.84596
DURG,2022,22067.22496
DURG,2023,16137.68993
DURG,2024,15006.11002
DURG,2025,32033.79412
EAST GODAVARI,2014,9013.929419
EAST GODAVARI,2015,11762.49235
EAST GODAVARI,2016,8773.581373
EAST GODAVARI,2017,10038.04135
EAST GODAVARI,2018,12349.41554
EAST GODAVARI,2019,12559.75463
EAST GODAVARI,2020,9039.913884
EAST GODAVARI,2021,14066.19699
EAST GODAVARI,2022,12775.7706
EAST GODAVARI,2023,22913.4328
EAST GODAVARI,2024,27904.25722
EAST GODAVARI,2025,25092.56701
EAST KHASI HILLS,2017,15827.48193
EAST KHASI HILLS,2018,18211.07953
EAST KHASI HILLS,2019,32806.10576
EAST KHASI HILLS,2020,16387.91182
EAST KHASI HILLS,2021,26281.9135
EAST KHASI HILLS,2022,42382.09021
EAST KHASI HILLS,2023,44876.58094
EAST KHASI HILLS,2024,46957.70113
EAST KHASI HILLS,2025,43439.94984
EAST NIMAR (KHANDWA),2014,11016.75343
EAST NIMAR (KHANDWA),2015,7260.834234
EAST NIMAR (KHANDWA),2016,8642.530071
EAST NIMAR (KHANDWA),2017,12437.51398
EAST NIMAR (KHANDWA),2018,15038.05916
EAST NIMAR (KHANDWA),2019,11778.78393
EAST NIMAR (KHANDWA),2020,13111.9085
EAST NIMAR (KHANDWA),2021,15232.69169
EAST NIMAR (KHANDWA),2022,15370.66099
EAST NIMAR (KHANDWA),2023,13187.35651
EAST NIMAR (KHANDWA),2024,12198.06246
EAST NIMAR (KHANDWA),2025,8080.36833
EAST SIKKIM,2018,9858.777759
EAST SIKKIM,2019,12781.45496
EAST SIKKIM,2020,7128.973614
EAST SIKKIM,2021,3969.871828
EAST SIKKIM,2022,11688.38537
EAST SIKKIM,2023,21194.17097
EAST SIKKIM,2024,22904.16311
EAST SIKKIM,2025,25808.20625
ERNAKULAM,2014,12341.20779
ERNAKULAM,2015,14126.24052
ERNAKULAM,2016,13544.54129
ERNAKULAM,2017,17630.16319
ERNAKULAM,2018,21357.66322
ERNAKULAM,2019,21354.76323
ERNAKULAM,2020,16230.96383
ERNAKULAM,2021,15462.25899
ERNAKULAM,2022,20495.11958
ERNAKULAM,2023,27825.66336
ERNAKULAM,2024,28908.99525
ERNAKULAM,2025,33379.41452
ERODE,2014,13231.68888
ERODE,2015,9856.307216
ERODE,2016,9824.255294
ERODE,2017,13574.90901
ERODE,2018,16687.96298
ERODE,2019,11618.78626
ERODE,2020,3042.530789
ERODE,2021,7841.850156
ERODE,2022,10800.11248
ERODE,2023,8809.097763
ERODE,2024,16601.42312
ERODE,2025,14550.04625
ETAH,2014,15267.48335
ETAH,2015,15595.57563
ETAH,2016,13616.68616
ETAH,2017,16306.56299
ETAH,2018,23064.12176
ETAH,2019,27526.11265
ETAH,2020,19215.82663
ETAH,2021,21460.04845
ETAH,2022,17412.54228
ETAH,2023,22421.29017
ETAH,2024,30379.26896
ETAH,2025,46753.64199
ETAWAH,2014,12447.08507
ETAWAH,2015,10709.14152
ETAWAH,2016,8723.594715
ETAWAH,2017,12705.1064
ETAWAH,2018,14661.00973
ETAWAH,2019,18953.04818
ETAWAH,2020,16033.865
ETAWAH,2021,23464.32064
ETAWAH,2022,19968.51255
ETAWAH,2023,14428.83094
ETAWAH,2024,20302.81326
ETAWAH,2025,27654.47298
FAIZABAD,2014,10498.14037
FAIZABAD,2015,8857.799505
FAIZABAD,2016,10397.36989
FAIZABAD,2017,9254.643336
FAIZABAD,2018,17489.0448
FAIZABAD,2019,12678.39432
FAIZABAD,2020,10002.25138
FAIZABAD,2021,9343.841928
FAIZABAD,2022,10454.37429
FAIZABAD,2023,12378.6093
FAIZABAD,2024,13038.19792
FAIZABAD,2025,26718.07323
FARIDABAD,2014,21999.31637
FARIDABAD,2015,21961.53912
FARIDABAD,2016,24779.83853
FARIDABAD,2017,29786.04795
FARIDABAD,2018,45105.66866
FARIDABAD,2019,51168.00719
FARIDABAD,2020,28732.48145
FARIDABAD,2021,24788.56854
FARIDABAD,2022,35321.18967
FARIDABAD,2023,27104.54831
FARIDABAD,2024,47283.69514
FARIDABAD,2025,50957.53724
FARIDKOT,2017,40320.4818
FARIDKOT,2018,41128.93652
FARIDKOT,2019,34768.70272
FARIDKOT,2020,21858.42168
FARIDKOT,2021,28285.09417
FARIDKOT,2022,26261.45819
FARIDKOT,2023,29480.55734
FARIDKOT,2024,27869.19656
FARIDKOT,2025,53647.63692
FARRUKHABAD,2014,14676.585
FARRUKHABAD,2015,11832.38465
FARRUKHABAD,2016,11683.22187
FARRUKHABAD,2017,11485.82895
FARRUKHABAD,2018,20499.7168
FARRUKHABAD,2019,20595.16513
FARRUKHABAD,2020,12734.12981
FARRUKHABAD,2021,15547.63006
FARRUKHABAD,2022,15308.78414
FARRUKHABAD,2023,18450.45861
FARRUKHABAD,2024,27634.59468
FARRUKHABAD,2025,46339.84439
FATEHABAD,2014,20236.91021
FATEHABAD,2015,16966.41415
FATEHABAD,2016,21979.03343
FATEHABAD,2017,22928.88831
FATEHABAD,2018,26826.33542
FATEHABAD,2019,33413.32529
FATEHABAD,2020,16564.05308
FATEHABAD,2021,18799.29912
FATEHABAD,2022,26009.09161
FATEHABAD,2023,24690.53068
FATEHABAD,2024,24992.47355
FATEHABAD,2025,36682.96633
FATEHGARH SAHIB,2017,70114.89596
FATEHGARH SAHIB,2018,58162.88584
FATEHGARH SAHIB,2019,39720.20462
FATEHGARH SAHIB,2020,41694.22362
FATEHGARH SAHIB,2021,33975.7127
FATEHGARH SAHIB,2022,26767.38448
FATEHGARH SAHIB,2023,11830.74435
FATEHGARH SAHIB,2024,20876.86238
FATEHGARH SAHIB,2025,8242.910458
FATEHPUR,2014,6274.32624
FATEHPUR,2015,7414.257897
FATEHPUR,2016,7974.924436
FATEHPUR,2017,9557.461747
FATEHPUR,2018,10734.18726
FATEHPUR,2019,14082.90986
FATEHPUR,2020,10555.1483
FATEHPUR,2021,13073.59739
FATEHPUR,2022,14642.24528
