District,Year,ADJ_TOT_EXP
ANAND,2017,5598087
ANAND,2018,18016118
ANAND,2019,15773605
ANAND,2020,10999339
ANAND,2021,19384836
ANAND,2022,10575854
ANAND,2023,14641690
ANAND,2024,17185416
ANAND,2025,5948374
ANANTAPUR,2014,39149271
ANANTAPUR,2015,33246432
ANANTAPUR,2016,43808929
ANANTAPUR,2017,52169371
ANANTAPUR,2018,53318705
ANANTAPUR,2019,53159009
ANANTAPUR,2020,40223429
ANANTAPUR,2021,59541994
ANANTAPUR,2022,60468012
ANANTAPUR,2023,95322807
ANANTAPUR,2024,101369720
ANANTAPUR,2025,36827536
ANANTNAG,2014,57167582
ANANTNAG,2015,57830373
ANANTNAG,2016,56082461
ANANTNAG,2017,63466807
ANANTNAG,2018,87858817
ANANTNAG,2019,22336604
ANANTNAG,2020,19626503
ANANTNAG,2021,45308103
ANANTNAG,2022,104034377
ANANTNAG,2023,105591007
ANANTNAG,2024,55921371
ANANTNAG,2025,19360629
ANUGUL,2014,27411780
ANUGUL,2015,24498065
ANUGUL,2016,27366828
ANUGUL,2017,27649516
ANUGUL,2018,43856099
ANUGUL,2019,55285948
ANUGUL,2020,20385450
ANUGUL,2021,36095977
ANUGUL,2022,47245355
ANUGUL,2023,62692967
ANUGUL,2024,37316527
ANUGUL,2025,12585201
ANUPPUR,2014,22925464
ANUPPUR,2015,22819487
ANUPPUR,2016,25537964
ANUPPUR,2017,25487291
ANUPPUR,2018,28566249
ANUPPUR,2019,30662379
ANUPPUR,2020,22495809
ANUPPUR,2021,31704793
ANUPPUR,2022,38648618
ANUPPUR,2023,48925793
ANUPPUR,2024,71399866
ANUPPUR,2025,-50490
ARARIA,2017,2181853
ARARIA,2018,13485111
ARARIA,2019,12804277
ARARIA,2020,8209617
ARARIA,2021,2699682
ARARIA,2022,12229376
ARARIA,2023,6088111
ARARIA,2024,8802691
ARARIA,2025,7144309
ARWAL,2017,524765
ARWAL,2018,2232181
ARWAL,2019,2307167
ARWAL,2020,1308357
ARWAL,2021,3483904
ARWAL,2022,4404511
ARWAL,2023,3671708
ARWAL,2024,2343412
ARWAL,2025,-12672
AURAIYA,2014,4026588
AURAIYA,2015,4523994
AURAIYA,2016,3464831
AURAIYA,2017,4132648
AURAIYA,2018,4341354
AURAIYA,2019,6722547
AURAIYA,2020,6133577
AURAIYA,2021,5477453
AURAIYA,2022,6861895
AURAIYA,2023,4821431
AURAIYA,2024,7574335
AURAIYA,2025,978371
AURANGABAD,2014,132143918
AURANGABAD,2015,152790810
AURANGABAD,2016,125981312
AURANGABAD,2017,126959981
AURANGABAD,2018,149111116
AURANGABAD,2019,165897279
AURANGABAD,2020,98200971
AURANGABAD,2021,148682245
AURANGABAD,2022,114309441
AURANGABAD,2023,112773185
AURANGABAD,2024,136897232
