District,State,Year,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total
CHHATARPUR,MADHYA PRADESH,2018,78422.0,44689.0,27765.0,90166.0
CHHATARPUR,MADHYA PRADESH,2019,77981.0,48681.0,23945.0,98781.0
CHHATARPUR,MADHYA PRADESH,2020,117746.0,84711.0,43548.0,160416.0
CHHATARPUR,MADHYA PRADESH,2021,117301.0,89980.0,41424.0,172226.0
CHHATARPUR,MADHYA PRADESH,2022,89403.0,61225.0,30573.0,112230.0
CHHATARPUR,MADHYA PRADESH,2023,80048.0,45755.0,19328.0,94195.0
CHHATARPUR,MADHYA PRADESH,2024,75876.0,39015.0,17955.0,83068.0
CHHATARPUR,MADHYA PRADESH,2025,82963.0,43179.0,20381.0,90805.0
CHHINDWARA,MADHYA PRADESH,2014,106832.0,80256.0,30763.0,55368.0
CHHINDWARA,MADHYA PRADESH,2015,131904.0,101073.0,39067.0,62619.0
CHHINDWARA,MADHYA PRADESH,2016,128936.0,96739.0,36438.0,57868.0
CHHINDWARA,MADHYA PRADESH,2017,130687.0,97624.0,37685.0,65281.0
CHHINDWARA,MADHYA PRADESH,2018,144623.0,105860.0,39852.0,70296.0
CHHINDWARA,MADHYA PRADESH,2019,142400.0,107918.0,39916.0,64510.0
CHHINDWARA,MADHYA PRADESH,2020,213882.0,180638.0,62553.0,119689.0
CHHINDWARA,MADHYA PRADESH,2021,205075.0,169408.0,54235.0,113435.0
CHHINDWARA,MADHYA PRADESH,2022,178629.0,144514.0,45952.0,90131.0
CHHINDWARA,MADHYA PRADESH,2023,171275.0,140960.0,41371.0,82872.0
CHHINDWARA,MADHYA PRADESH,2024,167130.0,136062.0,38980.0,79020.0
CHHINDWARA,MADHYA PRADESH,2025,154858.0,126999.0,35873.0,77673.0
CHHOTAUDEPUR,GUJARAT,2014,23742.0,15847.0,1072.0,3808.0
CHHOTAUDEPUR,GUJARAT,2015,30527.0,21171.0,1262.0,5632.0
CHHOTAUDEPUR,GUJARAT,2016,44883.0,29120.0,1934.0,11402.0
CHHOTAUDEPUR,GUJARAT,2017,55387.0,32763.0,1857.0,12133.0
CHHOTAUDEPUR,GUJARAT,2018,60772.0,38944.0,1816.0,14566.0
CHHOTAUDEPUR,GUJARAT,2019,51361.0,32857.0,1626.0,13311.0
CHHOTAUDEPUR,GUJARAT,2020,48874.0,31159.0,1534.0,12802.0
CHHOTAUDEPUR,GUJARAT,2021,43913.0,26539.0,1141.0,10089.0
CHHOTAUDEPUR,GUJARAT,2022,36814.0,22620.0,946.0,8972.0
CHHOTAUDEPUR,GUJARAT,2023,36542.0,20969.0,1138.0,8439.0
CHHOTAUDEPUR,GUJARAT,2024,35697.0,19748.0,907.0,6963.0
CHHOTAUDEPUR,GUJARAT,2025,31688.0,18173.0,604.0,5783.0
CHIRANG,ASSAM,2014,32301.0,22404.0,3394.0,24706.0
CHIRANG,ASSAM,2015,56461.0,42541.0,6361.0,49500.0
CHIRANG,ASSAM,2016,59686.0,43853.0,6269.0,47795.0
CHIRANG,ASSAM,2017,36117.0,32519.0,3809.0,35815.0
CHIRANG,ASSAM,2018,58768.0,40058.0,5279.0,40465.0
CHIRANG,ASSAM,2019,56295.0,41362.0,5005.0,41125.0
CHIRANG,ASSAM,2020,50801.0,37348.0,4297.0,37584.0
CHIRANG,ASSAM,2021,58692.0,45798.0,4970.0,39993.0
CHIRANG,ASSAM,2022,49968.0,41422.0,4782.0,40270.0
CHIRANG,ASSAM,2023,46239.0,38489.0,5532.0,33841.0
CHIRANG,ASSAM,2024,41328.0,34267.0,3613.0,27247.0
CHIRANG,ASSAM,2025,32210.0,27137.0,2794.0,26060.0
CHITRAKOOT,UTTAR PRADESH,2014,38488.0,25640.0,32725.0,25685.0
CHITRAKOOT,UTTAR PRADESH,2015,57324.0,41285.0,49354.0,43199.0
CHITRAKOOT,UTTAR PRADESH,2016,49522.0,35335.0,41436.0,37107.0
CHITRAKOOT,UTTAR PRADESH,2017,39175.0,28564.0,33546.0,28679.0
CHITRAKOOT,UTTAR PRADESH,2018,46726.0,32804.0,36155.0,36513.0
CHITRAKOOT,UTTAR PRADESH,2019,54552.0,36599.0,39236.0,43328.0
CHITRAKOOT,UTTAR PRADESH,2020,97805.0,68147.0,66554.0,87093.0
CHITRAKOOT,UTTAR PRADESH,2021,72048.0,49231.0,50852.0,58208.0
CHITRAKOOT,UTTAR PRADESH,2022,56912.0,37547.0,39063.0,41740.0
CHITRAKOOT,UTTAR PRADESH,2023,52699.0,33866.0,30216.0,42061.0
CHITRAKOOT,UTTAR PRADESH,2024,44303.0,28372.0,25193.0,33510.0
CHITRAKOOT,UTTAR PRADESH,2025,29848.0,19550.0,16629.0,22266.0
CHITTOOR,ANDHRA PRADESH,2014,182254.0,163933.0,94742.0,184874.0
CHITTOOR,ANDHRA PRADESH,2015,203008.0,181572.0,104061.0,209400.0
CHITTOOR,ANDHRA PRADESH,2016,238092.0,206516.0,111935.0,248923.0
CHITTOOR,ANDHRA PRADESH,2017,276640.0,245488.0,122336.0,308408.0
CHITTOOR,ANDHRA PRADESH,2018,279240.0,249229.0,119964.0,315858.0
CHITTOOR,ANDHRA PRADESH,2019,235441.0,205217.0,102685.0,247284.0
CHITTOOR,ANDHRA PRADESH,2020,323529.0,289963.0,151195.0,354989.0
CHITTOOR,ANDHRA PRADESH,2021,313104.0,280109.0,142512.0,339298.0
CHITTOOR,ANDHRA PRADESH,2022,146742.0,135874.0,73161.0,159790.0
CHITTOOR,ANDHRA PRADESH,2023,149229.0,133364.0,73981.0,151629.0
CHITTOOR,ANDHRA PRADESH,2024,153840.0,138213.0,67704.0,166023.0
CHITTOOR,ANDHRA PRADESH,2025,113710.0,99657.0,46795.0,119081.0
CHITTORGARH,RAJASTHAN,2014,71504.0,63971.0,19501.0,52107.0
CHITTORGARH,RAJASTHAN,2015,90114.0,80067.0,24930.0,70566.0
CHITTORGARH,RAJASTHAN,2016,102316.0,91065.0,29227.0,81873.0
CHITTORGARH,RAJASTHAN,2017,96311.0,84611.0,29140.0,80107.0
CHITTORGARH,RAJASTHAN,2018,95707.0,84360.0,28294.0,77123.0
CHITTORGARH,RAJASTHAN,2019,105950.0,94355.0,30455.0,83823.0
CHITTORGARH,RAJASTHAN,2020,159744.0,144081.0,46562.0,140781.0
CHITTORGARH,RAJASTHAN,2021,137719.0,121428.0,38034.0,114651.0
CHITTORGARH,RAJASTHAN,2022,121076.0,106698.0,33379.0,95322.0
CHITTORGARH,RAJASTHAN,2023,119497.0,105449.0,31294.0,90587.0
CHITTORGARH,RAJASTHAN,2024,116352.0,102503.0,30294.0,85886.0
CHITTORGARH,RAJASTHAN,2025,94398.0,82566.0,24274.0,66240.0
CHURACHANDPUR,MANIPUR,2014,56625.0,16227.0,2.0,1221.0
CHURACHANDPUR,MANIPUR,2015,57020.0,16326.0,3.0,1244.0
CHURACHANDPUR,MANIPUR,2016,61321.0,20116.0,6.0,1327.0
CHURACHANDPUR,MANIPUR,2017,53728.0,23024.0,7.0,1404.0
CHURACHANDPUR,MANIPUR,2018,48273.0,20249.0,8.0,1075.0
CHURACHANDPUR,MANIPUR,2019,53223.0,22406.0,36.0,1147.0
CHURACHANDPUR,MANIPUR,2020,54473.0,23567.0,40.0,1164.0
CHURACHANDPUR,MANIPUR,2021,54214.0,23816.0,61.0,1164.0
CHURACHANDPUR,MANIPUR,2022,50012.0,26899.0,64.0,1353.0
CHURACHANDPUR,MANIPUR,2023,44232.0,21780.0,44.0,436.0
CHURACHANDPUR,MANIPUR,2024,49201.0,25017.0,40.0,525.0
CHURACHANDPUR,MANIPUR,2025,50111.0,26680.0,31.0,565.0
CHURU,RAJASTHAN,2014,134770.0,97211.0,54201.0,116544.0
CHURU,RAJASTHAN,2015,135982.0,101912.0,54120.0,124250.0
CHURU,RAJASTHAN,2016,158447.0,121899.0,64281.0,152333.0
CHURU,RAJASTHAN,2017,170846.0,135751.0,69999.0,171824.0
CHURU,RAJASTHAN,2018,193585.0,155544.0,81330.0,194797.0
CHURU,RAJASTHAN,2019,196929.0,157824.0,87205.0,188189.0
CHURU,RAJASTHAN,2020,243987.0,186370.0,104744.0,235961.0
CHURU,RAJASTHAN,2021,206706.0,160150.0,90096.0,191453.0
CHURU,RAJASTHAN,2022,179493.0,143468.0,80749.0,159741.0
CHURU,RAJASTHAN,2023,186478.0,148155.0,79067.0,165748.0
CHURU,RAJASTHAN,2024,186561.0,147528.0,79303.0,163148.0
CHURU,RAJASTHAN,2025,147442.0,116371.0,63547.0,122457.0
COIMBATORE,TAMIL NADU,2014,65043.0,62022.0,25907.0,42106.0
COIMBATORE,TAMIL NADU,2015,72975.0,66638.0,28072.0,47242.0
COIMBATORE,TAMIL NADU,2016,75526.0,71288.0,30011.0,48449.0
COIMBATORE,TAMIL NADU,2017,72348.0,68119.0,28302.0,46998.0
COIMBATORE,TAMIL NADU,2018,62307.0,57395.0,21407.0,44123.0
COIMBATORE,TAMIL NADU,2019,65483.0,60716.0,23709.0,44216.0
COIMBATORE,TAMIL NADU,2020,83114.0,76650.0,29628.0,57395.0
COIMBATORE,TAMIL NADU,2021,76224.0,70750.0,27706.0,51180.0
COIMBATORE,TAMIL NADU,2022,62792.0,59141.0,23411.0,40565.0
COIMBATORE,TAMIL NADU,2023,56669.0,53580.0,21214.0,36262.0
COIMBATORE,TAMIL NADU,2024,52562.0,49652.0,19395.0,33940.0
COIMBATORE,TAMIL NADU,2025,34222.0,32528.0,13564.0,20587.0
CUDDALORE,TAMIL NADU,2014,352601.0,358389.0,195300.0,317220.0
CUDDALORE,TAMIL NADU,2015,370971.0,372314.0,204238.0,331084.0
CUDDALORE,TAMIL NADU,2016,383702.0,385682.0,209953.0,346687.0
CUDDALORE,TAMIL NADU,2017,367030.0,364113.0,194028.0,323986.0
CUDDALORE,TAMIL NADU,2018,346152.0,339615.0,176919.0,298163.0
CUDDALORE,TAMIL NADU,2019,341207.0,331098.0,180169.0,272082.0
CUDDALORE,TAMIL NADU,2020,372142.0,361929.0,199666.0,304743.0
CUDDALORE,TAMIL NADU,2021,378191.0,367461.0,196989.0,309888.0
CUDDALORE,TAMIL NADU,2022,365991.0,355756.0,181790.0,296585.0
CUDDALORE,TAMIL NADU,2023,393498.0,386414.0,194373.0,330547.0
CUDDALORE,TAMIL NADU,2024,387271.0,376013.0,180569.0,316352.0
CUDDALORE,TAMIL NADU,2025,342642.0,328644.0,149368.0,263043.0
CUDDAPAH,ANDHRA PRADESH,2014,191545.0,185028.0,81578.0,224657.0
CUDDAPAH,ANDHRA PRADESH,2015,196805.0,183895.0,80531.0,228819.0
CUTTACK,ODISHA,2014,34114.0,7337.0,9829.0,28156.0
CUTTACK,ODISHA,2015,52137.0,15668.0,16450.0,47966.0
CUTTACK,ODISHA,2016,57100.0,20381.0,18107.0,56160.0
CUTTACK,ODISHA,2017,72433.0,34293.0,24206.0,76625.0
CUTTACK,ODISHA,2018,54025.0,29108.0,15307.0,62879.0
CUTTACK,ODISHA,2019,55403.0,38017.0,14886.0,77430.0
CUTTACK,ODISHA,2020,97304.0,55770.0,31912.0,120442.0
CUTTACK,ODISHA,2021,88085.0,53166.0,27913.0,110505.0
CUTTACK,ODISHA,2022,63874.0,39547.0,19699.0,76775.0
CUTTACK,ODISHA,2023,65314.0,46313.0,18808.0,84923.0
CUTTACK,ODISHA,2024,25335.0,16447.0,5766.0,29409.0
CUTTACK,ODISHA,2025,35343.0,22935.0,9475.0,38927.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2014,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2015,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2016,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2017,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2018,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2019,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2020,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2021,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2022,0.0,0.0,0.0,0.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2023,818.0,1082.0,0.0,84.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2024,4644.0,5537.0,32.0,300.0
DADRA AND NAGAR HAVELI,DN HAVELI AND DD,2025,5074.0,5382.0,28.0,202.0
DAMOH,MADHYA PRADESH,2014,60767.0,35710.0,17094.0,61414.0
DAMOH,MADHYA PRADESH,2015,44494.0,24597.0,12467.0,41785.0
DAMOH,MADHYA PRADESH,2016,49845.0,27994.0,14242.0,46956.0
DAMOH,MADHYA PRADESH,2017,64079.0,36335.0,19843.0,60659.0
DAMOH,MADHYA PRADESH,2018,81655.0,51310.0,28416.0,82624.0
DAMOH,MADHYA PRADESH,2019,71672.0,42142.0,21768.0,68728.0
DAMOH,MADHYA PRADESH,2020,109756.0,69758.0,28754.0,117395.0
DAMOH,MADHYA PRADESH,2021,119156.0,78839.0,31359.0,133541.0
DAMOH,MADHYA PRADESH,2022,124628.0,80024.0,29530.0,140228.0
DAMOH,MADHYA PRADESH,2023,111168.0,62561.0,21169.0,113156.0
DAMOH,MADHYA PRADESH,2024,102369.0,54042.0,18595.0,95738.0
DAMOH,MADHYA PRADESH,2025,109072.0,58124.0,20835.0,103181.0
DANG,GUJARAT,2014,19680.0,12656.0,19.0,548.0
DANG,GUJARAT,2015,14068.0,11684.0,5.0,452.0
DANG,GUJARAT,2016,22008.0,20611.0,14.0,795.0
DANG,GUJARAT,2017,25150.0,22928.0,25.0,1001.0
DANG,GUJARAT,2018,20650.0,16782.0,28.0,813.0
DANG,GUJARAT,2019,17588.0,13078.0,22.0,721.0
DANG,GUJARAT,2020,20304.0,15463.0,23.0,831.0
DANG,GUJARAT,2021,26426.0,20606.0,56.0,1217.0
DANG,GUJARAT,2022,24991.0,19013.0,78.0,1211.0
DANG,GUJARAT,2023,22095.0,16028.0,71.0,934.0
DANG,GUJARAT,2024,21823.0,15699.0,56.0,941.0
DANG,GUJARAT,2025,21798.0,16084.0,57.0,990.0
DANTEWADA,CHHATTISGARH,2014,15572.0,13084.0,549.0,4249.0
DANTEWADA,CHHATTISGARH,2015,23523.0,21684.0,1066.0,6884.0
DANTEWADA,CHHATTISGARH,2016,25510.0,23435.0,1129.0,6950.0
DANTEWADA,CHHATTISGARH,2017,24950.0,22559.0,1290.0,8075.0
DANTEWADA,CHHATTISGARH,2018,23260.0,21374.0,1045.0,6989.0
DANTEWADA,CHHATTISGARH,2019,26262.0,24429.0,1276.0,8074.0
DANTEWADA,CHHATTISGARH,2020,31039.0,30275.0,1503.0,10525.0
DANTEWADA,CHHATTISGARH,2021,31169.0,31493.0,1547.0,10038.0
DANTEWADA,CHHATTISGARH,2022,29813.0,29181.0,1313.0,9658.0
DANTEWADA,CHHATTISGARH,2023,22341.0,19449.0,759.0,6555.0
DANTEWADA,CHHATTISGARH,2024,18845.0,15643.0,637.0,5532.0
DANTEWADA,CHHATTISGARH,2025,12856.0,10040.0,378.0,3912.0
DARBHANGA,BIHAR,2014,37460.0,25135.0,17151.0,36328.0
DARBHANGA,BIHAR,2015,41835.0,26889.0,14255.0,42728.0
DARBHANGA,BIHAR,2016,74283.0,51186.0,23503.0,79193.0
DARBHANGA,BIHAR,2017,82768.0,59158.0,24242.0,92367.0
DARBHANGA,BIHAR,2018,132619.0,90636.0,26942.0,135287.0
DARBHANGA,BIHAR,2019,160922.0,109200.0,20951.0,162592.0
DARBHANGA,BIHAR,2020,265531.0,175192.0,26096.0,275371.0
DARBHANGA,BIHAR,2021,244317.0,157843.0,22779.0,246843.0
DARBHANGA,BIHAR,2022,209841.0,136157.0,25737.0,211751.0
DARBHANGA,BIHAR,2023,185207.0,117345.0,37607.0,162556.0
DARBHANGA,BIHAR,2024,185046.0,117045.0,43856.0,151895.0
DARBHANGA,BIHAR,2025,177234.0,117220.0,37118.0,148459.0
DARRANG,ASSAM,2014,40308.0,10768.0,1174.0,46709.0
DARRANG,ASSAM,2015,53351.0,32845.0,2429.0,88821.0
DARRANG,ASSAM,2016,34344.0,27046.0,1513.0,66547.0
DARRANG,ASSAM,2017,47904.0,35503.0,2969.0,83261.0
DARRANG,ASSAM,2018,36586.0,22626.0,1965.0,53111.0
DARRANG,ASSAM,2019,37010.0,26561.0,1550.0,58868.0
DARRANG,ASSAM,2020,77697.0,61216.0,3203.0,128228.0
DARRANG,ASSAM,2021,105495.0,86548.0,4741.0,176069.0
DARRANG,ASSAM,2022,95197.0,84998.0,3446.0,172420.0
DARRANG,ASSAM,2023,91423.0,77035.0,3505.0,155197.0
DARRANG,ASSAM,2024,67140.0,51779.0,2370.0,102277.0
DARRANG,ASSAM,2025,65471.0,54489.0,1999.0,101042.0
DATIA,MADHYA PRADESH,2014,14557.0,11565.0,10371.0,19855.0
DATIA,MADHYA PRADESH,2015,14461.0,10861.0,9544.0,19411.0
DATIA,MADHYA PRADESH,2016,15700.0,9227.0,9411.0,17392.0
DATIA,MADHYA PRADESH,2017,17843.0,8176.0,9530.0,16507.0
DATIA,MADHYA PRADESH,2018,19961.0,9476.0,10543.0,18576.0
DATIA,MADHYA PRADESH,2019,18974.0,8384.0,8277.0,18073.0
DATIA,MADHYA PRADESH,2020,32678.0,14133.0,11590.0,31650.0
DATIA,MADHYA PRADESH,2021,33444.0,14646.0,11554.0,31453.0
DATIA,MADHYA PRADESH,2022,29301.0,12967.0,10068.0,27092.0
DATIA,MADHYA PRADESH,2023,24442.0,11460.0,7638.0,22882.0
DATIA,MADHYA PRADESH,2024,23417.0,10923.0,7329.0,20782.0
DATIA,MADHYA PRADESH,2025,22095.0,10616.0,7902.0,20318.0
DAUSA,RAJASTHAN,2014,59076.0,54598.0,15181.0,41991.0
DAUSA,RAJASTHAN,2015,59440.0,55874.0,15138.0,37701.0
DAUSA,RAJASTHAN,2016,56603.0,53259.0,15174.0,35695.0
DAUSA,RAJASTHAN,2017,49257.0,46364.0,13768.0,35788.0
DAUSA,RAJASTHAN,2018,66848.0,64000.0,19676.0,41386.0
DAUSA,RAJASTHAN,2019,76535.0,73471.0,22155.0,45724.0
DAUSA,RAJASTHAN,2020,113791.0,108220.0,31444.0,68672.0
DAUSA,RAJASTHAN,2021,97032.0,92321.0,25658.0,56224.0
DAUSA,RAJASTHAN,2022,82865.0,79727.0,22006.0,47849.0
DAUSA,RAJASTHAN,2023,65256.0,61974.0,17562.0,35090.0
DAUSA,RAJASTHAN,2024,55753.0,52324.0,14851.0,28389.0
DAUSA,RAJASTHAN,2025,46359.0,43724.0,12322.0,23362.0
DEHRADUN,UTTARAKHAND,2014,14547.0,4132.0,4146.0,7583.0
DEHRADUN,UTTARAKHAND,2015,25952.0,8432.0,7823.0,11147.0
DEHRADUN,UTTARAKHAND,2016,29501.0,11555.0,8596.0,14186.0
DEHRADUN,UTTARAKHAND,2017,28456.0,12129.0,8410.0,13699.0
DEHRADUN,UTTARAKHAND,2018,26655.0,11442.0,7454.0,13836.0
DEHRADUN,UTTARAKHAND,2019,22797.0,9726.0,6246.0,11954.0
DEHRADUN,UTTARAKHAND,2020,34405.0,16115.0,9141.0,20186.0
DEHRADUN,UTTARAKHAND,2021,31665.0,15440.0,9087.0,17451.0
DEHRADUN,UTTARAKHAND,2022,30138.0,14954.0,8699.0,16013.0
DEHRADUN,UTTARAKHAND,2023,32337.0,16461.0,9389.0,16745.0
DEHRADUN,UTTARAKHAND,2024,30639.0,15043.0,8476.0,15548.0
DEHRADUN,UTTARAKHAND,2025,20555.0,9454.0,5910.0,8881.0
DEOGARH,ODISHA,2014,17946.0,11954.0,4555.0,13526.0
DEOGARH,ODISHA,2015,23976.0,17940.0,6421.0,18629.0
DEOGARH,ODISHA,2016,25780.0,21293.0,7034.0,22241.0
DEOGARH,ODISHA,2017,34327.0,29131.0,9643.0,29673.0
DEOGARH,ODISHA,2018,29476.0,23741.0,7355.0,24174.0
DEOGARH,ODISHA,2019,28471.0,23575.0,6916.0,25358.0
DEOGARH,ODISHA,2020,43973.0,37544.0,10649.0,37920.0
DEOGARH,ODISHA,2021,37583.0,30893.0,8936.0,32786.0
DEOGARH,ODISHA,2022,36249.0,29582.0,7844.0,31541.0
DEOGARH,ODISHA,2023,33937.0,27437.0,7198.0,29453.0
DEOGARH,ODISHA,2024,32110.0,25529.0,6349.0,27514.0
DEOGARH,ODISHA,2025,32198.0,25770.0,6199.0,27306.0
DEOGHAR,JHARKHAND,2014,70733.0,21796.0,10590.0,65791.0
DEOGHAR,JHARKHAND,2015,63647.0,17696.0,9037.0,56549.0
DEOGHAR,JHARKHAND,2016,96962.0,34168.0,12686.0,92527.0
DEOGHAR,JHARKHAND,2017,78423.0,28831.0,9558.0,74423.0
DEOGHAR,JHARKHAND,2018,73326.0,28235.0,8870.0,67826.0
DEOGHAR,JHARKHAND,2019,76813.0,32623.0,8591.0,73015.0
DEOGHAR,JHARKHAND,2020,123760.0,57738.0,11707.0,123044.0
DEOGHAR,JHARKHAND,2021,143285.0,71624.0,14592.0,142770.0
DEOGHAR,JHARKHAND,2022,118094.0,59616.0,11819.0,113702.0
DEOGHAR,JHARKHAND,2023,123749.0,61059.0,9999.0,116091.0
DEOGHAR,JHARKHAND,2024,119537.0,60195.0,9353.0,111163.0
DEOGHAR,JHARKHAND,2025,143212.0,77884.0,11812.0,135981.0
DEORIA,UTTAR PRADESH,2014,60045.0,15442.0,20328.0,40910.0
DEORIA,UTTAR PRADESH,2015,70464.0,20795.0,23884.0,48569.0
DEORIA,UTTAR PRADESH,2016,77479.0,27897.0,24511.0,55706.0
DEORIA,UTTAR PRADESH,2017,74017.0,28218.0,25427.0,51390.0
DEORIA,UTTAR PRADESH,2018,75170.0,29097.0,23740.0,53459.0
DEORIA,UTTAR PRADESH,2019,73751.0,27653.0,22013.0,53410.0
DEORIA,UTTAR PRADESH,2020,122667.0,46000.0,33027.0,94979.0
DEORIA,UTTAR PRADESH,2021,103835.0,40568.0,26754.0,82217.0
DEORIA,UTTAR PRADESH,2022,92262.0,38933.0,23633.0,71553.0
DEORIA,UTTAR PRADESH,2023,85204.0,36941.0,21757.0,65940.0
DEORIA,UTTAR PRADESH,2024,80157.0,35483.0,20178.0,62102.0
DEORIA,UTTAR PRADESH,2025,67274.0,30395.0,17510.0,51702.0
DEVBHUMI DWARKA,GUJARAT,2014,8463.0,8596.0,775.0,18268.0
DEVBHUMI DWARKA,GUJARAT,2015,9929.0,10963.0,2013.0,21970.0
DEVBHUMI DWARKA,GUJARAT,2016,13083.0,13680.0,2422.0,26793.0
DEVBHUMI DWARKA,GUJARAT,2017,7971.0,5675.0,1597.0,12303.0
DEVBHUMI DWARKA,GUJARAT,2018,15097.0,11822.0,2675.0,24376.0
DEVBHUMI DWARKA,GUJARAT,2019,6399.0,4428.0,1090.0,9689.0
DEVBHUMI DWARKA,GUJARAT,2020,10168.0,7184.0,1976.0,15175.0
DEVBHUMI DWARKA,GUJARAT,2021,10955.0,8409.0,2231.0,17054.0
DEVBHUMI DWARKA,GUJARAT,2022,8475.0,6479.0,1602.0,13049.0
DEVBHUMI DWARKA,GUJARAT,2023,4748.0,3112.0,827.0,6507.0
DEVBHUMI DWARKA,GUJARAT,2024,4581.0,2343.0,508.0,5940.0
DEVBHUMI DWARKA,GUJARAT,2025,2655.0,1499.0,316.0,3502.0
DEWAS,MADHYA PRADESH,2014,47129.0,67479.0,33379.0,86801.0
DEWAS,MADHYA PRADESH,2015,32175.0,38656.0,19777.0,51499.0
DEWAS,MADHYA PRADESH,2016,36310.0,33781.0,19671.0,47440.0
DEWAS,MADHYA PRADESH,2017,59064.0,34737.0,24371.0,56350.0
DEWAS,MADHYA PRADESH,2018,65732.0,35527.0,24400.0,56849.0
DEWAS,MADHYA PRADESH,2019,61338.0,30864.0,19845.0,54533.0
DEWAS,MADHYA PRADESH,2020,103007.0,63259.0,32795.0,102568.0
DEWAS,MADHYA PRADESH,2021,82744.0,52152.0,23129.0,80901.0
DEWAS,MADHYA PRADESH,2022,67216.0,36869.0,18450.0,58089.0
DEWAS,MADHYA PRADESH,2023,53066.0,27848.0,12834.0,47220.0
DEWAS,MADHYA PRADESH,2024,44349.0,22103.0,10524.0,37949.0
DEWAS,MADHYA PRADESH,2025,63650.0,33599.0,17500.0,51495.0
DHALAI,TRIPURA,2014,75549.0,70458.0,20866.0,26463.0
DHALAI,TRIPURA,2015,73648.0,63220.0,19127.0,23293.0
DHALAI,TRIPURA,2016,75774.0,63119.0,18968.0,23148.0
DHALAI,TRIPURA,2017,74956.0,53143.0,14746.0,18148.0
DHALAI,TRIPURA,2018,78135.0,53441.0,16112.0,20170.0
DHALAI,TRIPURA,2019,81049.0,60337.0,16953.0,22151.0
DHALAI,TRIPURA,2020,83690.0,65335.0,17691.0,23566.0
DHALAI,TRIPURA,2021,85791.0,65077.0,17382.0,23460.0
DHALAI,TRIPURA,2022,85973.0,67734.0,18245.0,24295.0
DHALAI,TRIPURA,2023,88555.0,69798.0,18218.0,24700.0
DHALAI,TRIPURA,2024,89825.0,69528.0,17344.0,23821.0
DHALAI,TRIPURA,2025,90865.0,66999.0,15913.0,22167.0
DHAMTARI,CHHATTISGARH,2014,101672.0,97584.0,11235.0,121964.0
DHAMTARI,CHHATTISGARH,2015,113966.0,110012.0,12149.0,129831.0
DHAMTARI,CHHATTISGARH,2016,118294.0,116376.0,13694.0,142374.0
DHAMTARI,CHHATTISGARH,2017,120855.0,119528.0,14026.0,144422.0
DHAMTARI,CHHATTISGARH,2018,122848.0,122746.0,14146.0,151826.0
DHAMTARI,CHHATTISGARH,2019,126771.0,125984.0,14496.0,155043.0
DHAMTARI,CHHATTISGARH,2020,141115.0,146481.0,17332.0,186141.0
DHAMTARI,CHHATTISGARH,2021,139197.0,144149.0,16440.0,180336.0
DHAMTARI,CHHATTISGARH,2022,129380.0,130607.0,13549.0,155518.0
DHAMTARI,CHHATTISGARH,2023,122309.0,120920.0,12167.0,140195.0
DHAMTARI,CHHATTISGARH,2024,120812.0,119344.0,12160.0,137434.0
DHAMTARI,CHHATTISGARH,2025,81303.0,75353.0,7686.0,87000.0
DHANBAD,JHARKHAND,2014,38870.0,11255.0,5679.0,29333.0
DHANBAD,JHARKHAND,2015,33208.0,9844.0,4623.0,25035.0
DHANBAD,JHARKHAND,2016,63837.0,24623.0,9061.0,53718.0
DHANBAD,JHARKHAND,2017,53347.0,23600.0,7589.0,47967.0
DHANBAD,JHARKHAND,2018,43793.0,19820.0,6167.0,38685.0
DHANBAD,JHARKHAND,2019,56183.0,26948.0,6514.0,51980.0
DHANBAD,JHARKHAND,2020,85794.0,44680.0,10030.0,80906.0
DHANBAD,JHARKHAND,2021,73301.0,40453.0,9052.0,67737.0
DHANBAD,JHARKHAND,2022,68717.0,41901.0,8947.0,61514.0
DHANBAD,JHARKHAND,2023,75710.0,45518.0,7952.0,67349.0
DHANBAD,JHARKHAND,2024,66534.0,39006.0,6234.0,58846.0
DHANBAD,JHARKHAND,2025,70260.0,43273.0,7063.0,63214.0
DHAR,MADHYA PRADESH,2014,113340.0,134882.0,35088.0,59418.0
DHAR,MADHYA PRADESH,2015,106558.0,113178.0,32069.0,53299.0
DHAR,MADHYA PRADESH,2016,114242.0,106882.0,31330.0,45533.0
DHAR,MADHYA PRADESH,2017,135960.0,110391.0,33900.0,55163.0
DHAR,MADHYA PRADESH,2018,148159.0,132140.0,32090.0,63261.0
DHAR,MADHYA PRADESH,2019,129585.0,133122.0,27906.0,60143.0
