District,State,Year,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total
AJMER,RAJASTHAN,2024,334414.0,288542.0,60672.0,307774.0
AJMER,RAJASTHAN,2025,281725.0,242693.0,48396.0,252636.0
AKOLA,MAHARASHTRA,2014,27222.0,15396.0,6781.0,36901.0
AKOLA,MAHARASHTRA,2015,28871.0,17467.0,7223.0,39085.0
AKOLA,MAHARASHTRA,2016,24410.0,13874.0,6340.0,31407.0
AKOLA,MAHARASHTRA,2017,34598.0,17892.0,10118.0,40801.0
AKOLA,MAHARASHTRA,2018,41422.0,22286.0,12321.0,48939.0
AKOLA,MAHARASHTRA,2019,39537.0,19939.0,11993.0,44192.0
AKOLA,MAHARASHTRA,2020,37434.0,19682.0,9991.0,43724.0
AKOLA,MAHARASHTRA,2021,46472.0,25003.0,11122.0,56631.0
AKOLA,MAHARASHTRA,2022,35620.0,19616.0,8361.0,42782.0
AKOLA,MAHARASHTRA,2023,40482.0,20768.0,10345.0,45208.0
AKOLA,MAHARASHTRA,2024,72480.0,42502.0,17203.0,87591.0
AKOLA,MAHARASHTRA,2025,80160.0,52148.0,14522.0,108130.0
ALAPPUZHA,KERALA,2014,125516.0,126674.0,20379.0,114685.0
ALAPPUZHA,KERALA,2015,136741.0,139191.0,22455.0,127349.0
ALAPPUZHA,KERALA,2016,140264.0,142822.0,23232.0,131835.0
ALAPPUZHA,KERALA,2017,130756.0,132624.0,21231.0,121710.0
ALAPPUZHA,KERALA,2018,148041.0,152141.0,23507.0,143780.0
ALAPPUZHA,KERALA,2019,142647.0,145196.0,21759.0,137443.0
ALAPPUZHA,KERALA,2020,157850.0,162418.0,27922.0,148378.0
ALAPPUZHA,KERALA,2021,157866.0,160948.0,27680.0,148045.0
ALAPPUZHA,KERALA,2022,154187.0,156052.0,26944.0,143147.0
ALAPPUZHA,KERALA,2023,148241.0,148815.0,25581.0,137326.0
ALAPPUZHA,KERALA,2024,138714.0,137782.0,23308.0,128594.0
ALAPPUZHA,KERALA,2025,129844.0,127538.0,21002.0,119421.0
ALIGARH,UTTAR PRADESH,2014,47521.0,9808.0,17833.0,36288.0
ALIGARH,UTTAR PRADESH,2015,67559.0,15508.0,24045.0,54874.0
ALIGARH,UTTAR PRADESH,2016,65626.0,15554.0,22541.0,52625.0
ALIGARH,UTTAR PRADESH,2017,57926.0,13729.0,18586.0,46225.0
ALIGARH,UTTAR PRADESH,2018,54088.0,13654.0,17130.0,43185.0
ALIGARH,UTTAR PRADESH,2019,61613.0,16398.0,21022.0,47608.0
ALIGARH,UTTAR PRADESH,2020,119338.0,31183.0,36595.0,98063.0
ALIGARH,UTTAR PRADESH,2021,114497.0,28242.0,33031.0,96441.0
ALIGARH,UTTAR PRADESH,2022,94701.0,25783.0,27464.0,79641.0
ALIGARH,UTTAR PRADESH,2023,84430.0,24859.0,23445.0,71208.0
ALIGARH,UTTAR PRADESH,2024,74436.0,24830.0,20392.0,63672.0
ALIGARH,UTTAR PRADESH,2025,60664.0,21069.0,16829.0,51602.0
ALIRAJPUR,MADHYA PRADESH,2014,42840.0,52347.0,26183.0,6190.0
ALIRAJPUR,MADHYA PRADESH,2015,39664.0,41269.0,20287.0,4838.0
ALIRAJPUR,MADHYA PRADESH,2016,57782.0,63364.0,29918.0,7168.0
ALIRAJPUR,MADHYA PRADESH,2017,55813.0,49845.0,23060.0,5980.0
ALIRAJPUR,MADHYA PRADESH,2018,63568.0,51162.0,24489.0,6683.0
ALIRAJPUR,MADHYA PRADESH,2019,67599.0,57638.0,24866.0,7317.0
ALIRAJPUR,MADHYA PRADESH,2020,96475.0,98890.0,37211.0,12604.0
ALIRAJPUR,MADHYA PRADESH,2021,85913.0,80840.0,28809.0,10430.0
ALIRAJPUR,MADHYA PRADESH,2022,74069.0,59412.0,21288.0,7576.0
ALIRAJPUR,MADHYA PRADESH,2023,73783.0,54474.0,19725.0,7010.0
ALIRAJPUR,MADHYA PRADESH,2024,75713.0,50726.0,18197.0,6442.0
