DISTRICT,YEAR,asset_index_0_1
Anantapur,2014,0.2620907125833083
Anantapur,2015,0.281295392147016
Anantapur,2016,0.23280987890016874
Anantapur,2017,0.2070556794222224
Anantapur,2018,0.2819064132171455
Anantapur,2019,0.3225982363952266
Anantapur,2020,0.339105328272221
Anantapur,2021,0.3569650478570721
Anantapur,2022,0.28078868464465
Anantapur,2023,0.3840410964079991
Anantapur,2024,0.42198321211549017
Anantapur,2025,0.41718249975763017
Chittoor,2014,0.1960150837619739
Chittoor,2015,0.20569543802245965
Chittoor,2016,0.18033452326625524
Chittoor,2017,0.16728325117799933
Chittoor,2018,0.20941189781863145
Chittoor,2019,0.26521058373538803
Chittoor,2020,0.26726623983119335
Chittoor,2021,0.2773769836429829
Chittoor,2022,0.3310155027135899
Chittoor,2023,0.3952811947565964
Chittoor,2024,0.4755656963155593
Chittoor,2025,0.470931246658772
East Godavari,2014,0.2618232675986382
East Godavari,2015,0.3063688009527436
East Godavari,2016,0.2996306216084346
East Godavari,2017,0.2852722129472914
East Godavari,2018,0.33228118686095715
East Godavari,2019,0.3512985328500568
East Godavari,2020,0.34493523271217835
East Godavari,2021,0.3490605417543711
East Godavari,2022,0.365189467047389
East Godavari,2023,0.3934456017557085
East Godavari,2024,0.4607114025436414
East Godavari,2025,0.47690941576069845
Guntur,2014,0.2439414655175127
Guntur,2015,0.2818936412222048
Guntur,2016,0.2687846685264898
Guntur,2017,0.26608130238061656
Guntur,2018,0.3386820845072767
Guntur,2019,0.36681317062347363
Guntur,2020,0.3429213867427322
Guntur,2021,0.3692424044627458
Guntur,2022,0.34268533598640866
Guntur,2023,0.3702021617194878
Guntur,2024,0.5627393378990391
Guntur,2025,0.5419707801256614
Krishna,2014,0.2857086493230312
Krishna,2015,0.34828558069627613
Krishna,2016,0.3282458715603489
Krishna,2017,0.2875536870329969
Krishna,2018,0.3549459958251874
Krishna,2019,0.3716442260197545
Krishna,2020,0.3462416924648399
Krishna,2021,0.3786674001222019
Krishna,2022,0.382545679562067
Krishna,2023,0.40189950153297976
Krishna,2024,0.46129692776176284
Krishna,2025,0.47093764318252335
Kurnool,2014,0.19047329850567285
Kurnool,2015,0.23400041537666158
Kurnool,2016,0.20475849182658543
Kurnool,2017,0.18909570108999157
Kurnool,2018,0.2631068659080464
Kurnool,2019,0.3087999296469729
Kurnool,2020,0.3146441504944392
Kurnool,2021,0.3175377713005248
Kurnool,2022,0.2970799431285937
Kurnool,2023,0.35355176668387883
Kurnool,2024,0.3828898378881229
Kurnool,2025,0.39020772646170465
Prakasam,2014,0.2588869006498176
Prakasam,2015,0.27739841396759685
Prakasam,2016,0.24323361423843148
Prakasam,2017,0.2384092782247901
Prakasam,2018,0.3343792909856965
Prakasam,2019,0.35892341970560077
Prakasam,2020,0.34022927691884386
Prakasam,2021,0.3664342003090823
Prakasam,2022,0.3451812745519538
Prakasam,2023,0.3895160506595878
Prakasam,2024,0.5436241342474092
Prakasam,2025,0.5395741725703092
Sri Potti Sriramulu Nellore,2014,0.20864837011942905
Sri Potti Sriramulu Nellore,2015,0.2130255301064407
Sri Potti Sriramulu Nellore,2016,0.20805755804021014
Sri Potti Sriramulu Nellore,2017,0.1931819533850412
Sri Potti Sriramulu Nellore,2018,0.24414309742943083
Sri Potti Sriramulu Nellore,2019,0.2725118637145135
Sri Potti Sriramulu Nellore,2020,0.24619294204923503
Sri Potti Sriramulu Nellore,2021,0.28479431452053955
