,shock,distribution,income,distortion,structural,composite_equal
shock,1.0,-1.6022897097959348e-16,-0.2908074362862573,0.015791497439804274,-2.7177092272199618e-15,0.1672361101428226
distribution,-1.6022897097959348e-16,1.0,0.7840990998065043,-0.7745024167050695,-1.1449600464519654e-16,0.7978171835284572
income,-0.2908074362862573,0.7840990998065043,1.0,-0.6175609800545466,1.1905287876474508e-15,0.7459821743073187
distortion,0.015791497439804274,-0.7745024167050695,-0.6175609800545466,1.0,4.532314585946576e-16,-0.36559659786226056
structural,-2.7177092272199618e-15,-1.1449600464519654e-16,1.1905287876474508e-15,4.532314585946576e-16,1.0,0.28375637151347655
composite_equal,0.1672361101428226,0.7978171835284572,0.7459821743073187,-0.36559659786226056,0.28375637151347655,1.0
