region_id,year,shock,distribution,income,distortion,structural,composite_equal,composite_weighted
ADILABAD_TELANGANA,2015.0,0.3265112950306917,0.5389934531830681,0.5,0.42857142857142855,0.4466203960385024,0.4481393145647382,0.4430363078877013
ADILABAD_TELANGANA,2016.0,0.3265112950306917,0.5539834058655628,0.5,0.42857142857142855,0.47861647232628896,0.45753652035879444,0.4524335136817576
ADILABAD_TELANGANA,2017.0,0.43008572444700643,0.673502911750655,0.6,0.2857142857142857,0.4843553656927634,0.4947316575209421,0.5019502294575782
ADILABAD_TELANGANA,2018.0,0.3265112950306917,0.5706799513357068,0.55,0.42857142857142855,0.4660036211830088,0.4683532592241672,0.46325025254713037
ADILABAD_TELANGANA,2019.0,0.3265112950306917,0.5954445444547015,0.55,0.2857142857142857,0.48611042295292345,0.4487561096305205,0.45079596009634076
ADILABAD_TELANGANA,2020.0,0.3265112950306917,0.36256335089781866,0.3,0.7142857142857143,0.32477516998864064,0.40562710604057306,0.38623838507782193
ADILABAD_TELANGANA,2021.0,0.3265112950306917,0.4243623293653675,0.4,0.5714285714285714,0.5162522524333445,0.447710889651595,0.43546502583170105
ADILABAD_TELANGANA,2022.0,0.3265112950306917,0.6043684064333591,0.5,0.42857142857142855,0.5839259382860936,0.48867541366431466,0.48357240698727777
ADILABAD_TELANGANA,2023.0,0.3265112950306917,0.5068125536257194,0.6,0.42857142857142855,0.4032883412152044,0.45303672368860876,0.447933717011572
ADILABAD_TELANGANA,2024.0,0.3265112950306917,0.3980021788759275,0.3,0.5714285714285714,0.4100374072498738,0.4011958905170129,0.38895002669711887
AGRA_UTTAR PRADESH,2015.0,0.1978917008680737,0.6734710628692121,0.6,0.5714285714285714,0.4015750966709221,0.48887328636735583,0.470196442839331
AGRA_UTTAR PRADESH,2016.0,0.3265112950306917,0.8465361187222081,0.6,0.2857142857142857,0.4805652229752808,0.5078653844884933,0.5099052349543136
AGRA_UTTAR PRADESH,2017.0,0.3265112950306917,0.8504948346339432,0.65,0.2857142857142857,0.45151052143534925,0.512846187362854,0.5148860378286744
AGRA_UTTAR PRADESH,2018.0,0.16946470036726646,0.6734671636811331,0.5,0.42857142857142855,0.43072431131798267,0.4404455207875622,0.4274901843773541
AGRA_UTTAR PRADESH,2019.0,0.3265112950306917,0.7471003697571315,0.6,0.42857142857142855,0.39696632880995314,0.4998298844338409,0.49472687775680413
AGRA_UTTAR PRADESH,2020.0,0.3265112950306917,0.6476309847239535,0.6,0.5714285714285714,0.3869545741441047,0.5065050850654643,0.49425922124557026
AGRA_UTTAR PRADESH,2021.0,0.3265112950306917,0.7363853982243819,0.6,0.42857142857142855,0.5109661533874787,0.5204868550427962,0.5153838483657593
AGRA_UTTAR PRADESH,2022.0,0.3265112950306917,0.6455110027867447,0.55,0.42857142857142855,0.40084037027479824,0.47028681933273264,0.46518381265569575
AGRA_UTTAR PRADESH,2023.0,0.3265112950306917,0.4572518036330523,0.4,0.2857142857142857,0.3614210824468508,0.3661796933649761,0.36821954383079647
AGRA_UTTAR PRADESH,2024.0,0.3265112950306917,0.5336031176970168,0.45,0.42857142857142855,0.5224857095883421,0.4522343101774958,0.447131303500459
AJMER_RAJASTHAN,2015.0,0.5861358581622519,0.6735243163593146,0.5,0.42857142857142855,0.38022309251479575,0.5136909391215582,0.5215691606010994
AJMER_RAJASTHAN,2016.0,0.3265112950306917,0.34527694211870213,0.3,0.8571428571428571,0.42808243386832373,0.45140270563211493,0.42487112752650663
AJMER_RAJASTHAN,2017.0,0.3265112950306917,0.3407630218249953,0.4,0.7142857142857143,0.47212517888370187,0.4507370420050206,0.43134832104226956
AJMER_RAJASTHAN,2018.0,0.8019105518993568,0.6735539130842145,0.4,0.2857142857142857,0.4292189312133058,0.5180795363822325,0.5438893496914862
AJMER_RAJASTHAN,2019.0,0.3265112950306917,0.20736955173784605,0.2,0.5714285714285714,0.5044664219151052,0.3619551680224429,0.34970930420254887
AJMER_RAJASTHAN,2020.0,0.3265112950306917,0.0,0.3,0.8571428571428571,0.35919722683727656,0.36857027580216506,0.3420386976965568
AJMER_RAJASTHAN,2021.0,0.3265112950306917,0.06843871699043369,0.0,0.8571428571428571,0.549245284804328,0.3602676307936621,0.33373605268805384
AJMER_RAJASTHAN,2022.0,0.3265112950306917,0.06735796762398305,0.4,0.7142857142857143,0.49215003634265214,0.40006100265660827,0.38067228169385714
AJMER_RAJASTHAN,2023.0,0.3265112950306917,0.03129143845577187,0.2,0.8571428571428571,0.4742204632490484,0.3778332107756738,0.3513016326700656
AJMER_RAJASTHAN,2024.0,0.3265112950306917,0.2629562495673992,0.3,0.8571428571428571,0.6310026273703356,0.47552260582225675,0.44899102771664845
ALAPPUZHA_KERALA,2015.0,0.3265112950306917,0.3619531283389243,0.5,0.5714285714285714,0.33331936373345417,0.4186424717063283,0.40639660788643434
ALAPPUZHA_KERALA,2016.0,0.5931551092335384,0.6735252791545312,0.5,0.42857142857142855,0.519610324763943,0.5429724283446882,0.5512016123777936
ALAPPUZHA_KERALA,2017.0,0.3265112950306917,0.45417922929353244,0.6,0.5714285714285714,0.4961243981748961,0.4896486987855383,0.47740283496564434
ALAPPUZHA_KERALA,2018.0,0.3265112950306917,0.01143736930530348,0.3,0.8571428571428571,0.20357497625649393,0.33973329954706927,0.31320172144146097
ALAPPUZHA_KERALA,2019.0,0.3265112950306917,0.48319623085546404,0.4,0.42857142857142855,0.7881142395705167,0.4852786388056202,0.4801756321285834
ALAPPUZHA_KERALA,2020.0,0.3265112950306917,0.31386244547949355,0.5,0.42857142857142855,0.3729312432718333,0.3883752824706894,0.38327227579365264
ALAPPUZHA_KERALA,2021.0,0.3265112950306917,0.279316315797075,0.3,0.7142857142857143,0.46069244125143716,0.4161611532729836,0.3967724323102325
ALAPPUZHA_KERALA,2022.0,0.3265112950306917,0.32276076784243407,0.5,0.5714285714285714,0.5064405035629322,0.4454282275729259,0.4331823637530319
ALAPPUZHA_KERALA,2023.0,0.3265112950306917,0.21171260113156543,0.4,0.7142857142857143,0.41040945460471,0.41258381301053626,0.39319509204778513
ALAPPUZHA_KERALA,2024.0,0.3265112950306917,0.243387567982707,0.4,0.7142857142857143,0.502265518532968,0.43729001916641624,0.4179012982036651
ALIGARH_UTTAR PRADESH,2015.0,0.18018774522540337,0.6734686345070361,0.5,0.42857142857142855,0.4110033643134367,0.43864623452346096,0.42622705035615965
ALIGARH_UTTAR PRADESH,2016.0,0.3265112950306917,0.8531762893742681,0.7,0.14285714285714285,0.4744416894855495,0.4993972833495305,0.5085799909582078
ALIGARH_UTTAR PRADESH,2017.0,0.3265112950306917,0.8398260039012986,0.5,0.14285714285714285,0.4532427335544457,0.4524874350687157,0.46167014267739315
ALIGARH_UTTAR PRADESH,2018.0,0.17282642687491498,0.6734676247921787,0.5,0.2857142857142857,0.44182347631927815,0.41476636274013146,0.40912196979816307
ALIGARH_UTTAR PRADESH,2019.0,0.3265112950306917,0.7797689977972065,0.6,0.42857142857142855,0.41855212909771317,0.5106807700994079,0.5055777634223712
ALIGARH_UTTAR PRADESH,2020.0,0.3265112950306917,0.6823336581869904,0.6,0.42857142857142855,0.39196233666724983,0.48587574369127207,0.48077273701423523
ALIGARH_UTTAR PRADESH,2021.0,0.3265112950306917,0.7825743131801176,0.6,0.5714285714285714,0.5095986646233959,0.5580225688525553,0.5457767050326613
ALIGARH_UTTAR PRADESH,2022.0,0.3265112950306917,0.7290146242339496,0.65,0.2857142857142857,0.42155615975365285,0.48255927294651596,0.4845991234123363
ALIGARH_UTTAR PRADESH,2023.0,0.3265112950306917,0.639340747467662,0.6,0.5714285714285714,0.39393888510420155,0.5062438998062253,0.49399803598633135
ALIGARH_UTTAR PRADESH,2024.0,0.3265112950306917,0.6920406907367243,0.55,0.2857142857142857,0.4982155808362474,0.4704963704635897,0.47253622092941017
ALIRAJPUR_MADHYA PRADESH,2015.0,0.3265112950306917,0.7337558084439669,0.6,0.2857142857142857,0.46302217092562203,0.4818007120229133,0.48384056248873364
ALIRAJPUR_MADHYA PRADESH,2016.0,0.3265112950306917,0.5635055914355244,0.55,0.2857142857142857,0.35986268420717127,0.4171187712775346,0.41915862174335494
ALIRAJPUR_MADHYA PRADESH,2017.0,0.3265112950306917,0.6140818038142787,0.45,0.5714285714285714,0.4943714736904163,0.4912786287927916,0.4790327649728976
ALIRAJPUR_MADHYA PRADESH,2018.0,0.5095236223701746,0.673513807845886,0.3,0.5714285714285714,0.40236249280594294,0.491365698890115,0.4882704514371951
ALIRAJPUR_MADHYA PRADESH,2019.0,0.3265112950306917,0.4512247238427709,0.6,0.5714285714285714,0.4393412988948191,0.4777011778393706,0.46545531401947665
ALIRAJPUR_MADHYA PRADESH,2020.0,0.3265112950306917,0.18194559062641918,0.4,0.5714285714285714,0.31414928357397637,0.3588069481319317,0.34656108431203775
ALIRAJPUR_MADHYA PRADESH,2021.0,0.3265112950306917,0.36674372139688155,0.5,0.5714285714285714,0.5965956735228319,0.47225585227579536,0.46000998845590135
ALIRAJPUR_MADHYA PRADESH,2022.0,0.3265112950306917,0.5295919453360691,0.55,0.42857142857142855,0.5753266294244421,0.48200025967252635,0.4768972529954895
ALIRAJPUR_MADHYA PRADESH,2023.0,0.3265112950306917,0.4998354072926083,0.5,0.5714285714285714,0.446766732179416,0.46890840118625743,0.4566625373663635
ALIRAJPUR_MADHYA PRADESH,2024.0,0.3265112950306917,0.5011035806971514,0.45,0.42857142857142855,0.4751915124022465,0.43627556334030365,0.4311725566632668
ALWAR_RAJASTHAN,2015.0,0.14497436226075497,0.6734638044651515,0.6,0.42857142857142855,0.39909988433199567,0.44922189592586614,0.43504204261033247
ALWAR_RAJASTHAN,2016.0,0.3265112950306917,0.796058214321331,0.65,0.2857142857142857,0.4136413061520003,0.4943850202436617,0.49642487070948205
ALWAR_RAJASTHAN,2017.0,0.3265112950306917,0.8194192617067287,0.65,0.2857142857142857,0.4662968721022273,0.5095883429107866,0.511628193376607
ALWAR_RAJASTHAN,2018.0,0.22927350442609326,0.6734753673527022,0.6,0.2857142857142857,0.41992891504873614,0.44167841450836337,0.4388563754439539
