region_id,year,pillar3_income_score
AURAIYA_UTTAR PRADESH,2019.0,0.65
AURAIYA_UTTAR PRADESH,2020.0,0.55
AURAIYA_UTTAR PRADESH,2021.0,0.65
AURAIYA_UTTAR PRADESH,2022.0,0.6
AURAIYA_UTTAR PRADESH,2023.0,0.55
AURAIYA_UTTAR PRADESH,2024.0,0.4
AZAMGARH_UTTAR PRADESH,2015.0,0.5
AZAMGARH_UTTAR PRADESH,2016.0,0.6
AZAMGARH_UTTAR PRADESH,2017.0,0.6
AZAMGARH_UTTAR PRADESH,2018.0,0.6
AZAMGARH_UTTAR PRADESH,2019.0,0.6
AZAMGARH_UTTAR PRADESH,2020.0,0.5
AZAMGARH_UTTAR PRADESH,2021.0,0.7
AZAMGARH_UTTAR PRADESH,2022.0,0.7
AZAMGARH_UTTAR PRADESH,2023.0,0.5
AZAMGARH_UTTAR PRADESH,2024.0,0.25
BAHRAICH_UTTAR PRADESH,2015.0,0.65
BAHRAICH_UTTAR PRADESH,2016.0,0.7
BAHRAICH_UTTAR PRADESH,2017.0,0.6
BAHRAICH_UTTAR PRADESH,2018.0,0.65
BAHRAICH_UTTAR PRADESH,2019.0,0.65
BAHRAICH_UTTAR PRADESH,2020.0,0.55
BAHRAICH_UTTAR PRADESH,2021.0,0.65
BAHRAICH_UTTAR PRADESH,2022.0,0.5
BAHRAICH_UTTAR PRADESH,2023.0,0.4
BAHRAICH_UTTAR PRADESH,2024.0,0.3
BALESHWAR_ODISHA,2015.0,0.7
BALESHWAR_ODISHA,2016.0,0.6
BALESHWAR_ODISHA,2017.0,0.75
BALESHWAR_ODISHA,2018.0,0.8
BALESHWAR_ODISHA,2019.0,0.65
BALESHWAR_ODISHA,2020.0,0.65
BALESHWAR_ODISHA,2021.0,0.6
BALESHWAR_ODISHA,2022.0,0.55
BALESHWAR_ODISHA,2023.0,0.6
BALESHWAR_ODISHA,2024.0,0.9
BALLIA_UTTAR PRADESH,2015.0,0.6
BALLIA_UTTAR PRADESH,2016.0,0.6
BALLIA_UTTAR PRADESH,2017.0,0.6
BALLIA_UTTAR PRADESH,2018.0,0.6
BALLIA_UTTAR PRADESH,2019.0,0.7
BALLIA_UTTAR PRADESH,2020.0,0.65
BALLIA_UTTAR PRADESH,2021.0,0.6
BALLIA_UTTAR PRADESH,2022.0,0.65
BALLIA_UTTAR PRADESH,2023.0,0.55
BALLIA_UTTAR PRADESH,2024.0,0.6
BALRAMPUR_CHHATTISGARH,2015.0,0.3
BALRAMPUR_CHHATTISGARH,2016.0,0.4
BALRAMPUR_CHHATTISGARH,2017.0,0.1
BALRAMPUR_CHHATTISGARH,2018.0,0.4
BALRAMPUR_CHHATTISGARH,2019.0,0.3
BALRAMPUR_CHHATTISGARH,2020.0,0.1
BALRAMPUR_CHHATTISGARH,2021.0,0.4
BALRAMPUR_CHHATTISGARH,2022.0,0.3
BALRAMPUR_CHHATTISGARH,2023.0,0.3
BALRAMPUR_CHHATTISGARH,2024.0,0.4
BANDA_UTTAR PRADESH,2015.0,0.45
BANDA_UTTAR PRADESH,2016.0,0.55
BANDA_UTTAR PRADESH,2017.0,0.5
BANDA_UTTAR PRADESH,2018.0,0.7
BANDA_UTTAR PRADESH,2019.0,0.55
BANDA_UTTAR PRADESH,2020.0,0.65
BANDA_UTTAR PRADESH,2021.0,0.5
BANDA_UTTAR PRADESH,2022.0,0.6
BANDA_UTTAR PRADESH,2023.0,0.55
BANDA_UTTAR PRADESH,2024.0,0.55
BANKA_BIHAR,2015.0,0.6
BANKA_BIHAR,2016.0,0.7
BANKA_BIHAR,2017.0,0.65
BANKA_BIHAR,2018.0,0.6
BANKA_BIHAR,2019.0,0.7
BANKA_BIHAR,2020.0,0.6
BANKA_BIHAR,2021.0,0.6
BANKA_BIHAR,2022.0,0.65
BANKA_BIHAR,2023.0,0.55
BANKA_BIHAR,2024.0,0.6
BANKURA_WEST BENGAL,2015.0,0.55
BANKURA_WEST BENGAL,2016.0,0.55
BANKURA_WEST BENGAL,2017.0,0.45
BANKURA_WEST BENGAL,2018.0,0.5
