region_id,year,shock,distribution,income,distortion,structural,index_equal_weight,index_weighted,MGNREGA_Index,COVID_dummy,period
ADILABAD_TELANGANA,2015,0.7374429933128012,0.4610043531537732,0.4610065468169319,0.5389934531830681,0.6936169237860157,0.578412854050518,0.5883353310570046,0.578412854050518,0,Pre-COVID
ADILABAD_TELANGANA,2016,0.6484045290464907,0.4460139821842251,0.4460165941344371,0.5539834058655628,0.6677722896061623,0.5524381601673756,0.5571592163264221,0.5524381601673756,0,Pre-COVID
ADILABAD_TELANGANA,2017,0.8280350193235146,0.4300828745826161,0.4300857244470064,0.5699142755529936,0.6788048005441756,0.5873845388900613,0.6002905760785874,0.5873845388900613,0,Pre-COVID
ADILABAD_TELANGANA,2018,0.5305123266021909,0.4293174712628025,0.4293200486642932,0.5706799513357068,0.6905298204826238,0.5300719236695235,0.5280635424328477,0.5300719236695235,0,Pre-COVID
ADILABAD_TELANGANA,2019,0.5943763554189724,0.4045530133036484,0.4045554555452985,0.5954445444547014,0.6910933530451796,0.5380045443535602,0.5379511349017736,0.5380045443535602,0,Pre-COVID
ADILABAD_TELANGANA,2020,0.7911675743335101,0.6374327135093233,0.6374366491021811,0.3625633508978186,0.7093199378948983,0.6275840451475463,0.6490142563193309,0.6275840451475463,1,Post-COVID
ADILABAD_TELANGANA,2021,0.5166382082760569,0.5756342316764542,0.5756376706346323,0.4243623293653675,0.537920843475187,0.5260386566855395,0.5306524506310741,0.5260386566855395,1,Post-COVID
ADILABAD_TELANGANA,2022,0.4752366677945032,0.3956293333859456,0.3956315935666409,0.604368406433359,0.5834045031199228,0.4908541008600743,0.4843975139281315,0.4908541008600743,0,Post-COVID
ADILABAD_TELANGANA,2023,0.5877401079357677,0.49318405053864,0.4931874463742805,0.5068125536257193,0.715887844210162,0.5593624005369139,0.5634087782524163,0.5593624005369139,0,Post-COVID
ADILABAD_TELANGANA,2024,0.387885988106052,0.6019937493061769,0.6019978211240723,0.3980021788759275,0.6440873498413976,0.5267934174507253,0.5262876079122316,0.5267934174507253,0,Post-COVID
AGRA_UTTAR PRADESH,2015,0.6877096447929821,0.1978921224121646,0.1978917008680736,0.8021082991319263,0.9007083537291971,0.5572620241868688,0.5515420914699216,0.5572620241868688,0,Pre-COVID
AGRA_UTTAR PRADESH,2016,0.5859994659881066,0.1534644993531981,0.1534638812777919,0.8465361187222081,0.8614231621185482,0.5201774254919705,0.5071505928552655,0.5201774254919705,0,Pre-COVID
AGRA_UTTAR PRADESH,2017,0.637036487224144,0.1495057822769236,0.1495051653660568,0.8504948346339432,0.8941217580356832,0.5361328055073502,0.5254598881368602,0.5361328055073502,0,Pre-COVID
AGRA_UTTAR PRADESH,2018,0.7018004580854207,0.1694652672901481,0.1694647003672664,0.8305352996327335,0.8970353480597336,0.5536602146870605,0.5472234726096948,0.5536602146870605,0,Pre-COVID
AGRA_UTTAR PRADESH,2019,0.6258018961436393,0.252899873860843,0.2528996302428685,0.7471003697571315,0.8823452557770768,0.5522094051563118,0.5461444814756372,0.5522094051563118,0,Pre-COVID
AGRA_UTTAR PRADESH,2020,0.45493064845912,0.3523689104395822,0.3523690152760464,0.6476309847239535,0.8209376719132588,0.5256474461623922,0.5160124293491506,0.5256474461623922,1,Post-COVID
AGRA_UTTAR PRADESH,2021,0.5562922526912827,0.2636148176661352,0.2636146017756181,0.7363853982243819,0.7477288298561695,0.5135271800427175,0.5045225227660625,0.5135271800427175,1,Post-COVID
AGRA_UTTAR PRADESH,2022,0.5491962975370874,0.3544888708731387,0.3544889972132552,0.6455110027867447,0.8130515202262285,0.5433473377272909,0.538531602464808,0.5433473377272909,0,Post-COVID
