region_id,year,pillar4_distortion_score_refined
AMRITSAR_PUNJAB,2018.0,0.8649847392718922
AMRITSAR_PUNJAB,2019.0,0.8691182080860289
AMRITSAR_PUNJAB,2020.0,0.7502794503111125
AMRITSAR_PUNJAB,2021.0,0.8167802783830131
AMRITSAR_PUNJAB,2022.0,0.7514250898189148
AMRITSAR_PUNJAB,2023.0,0.7789024690398476
AMRITSAR_PUNJAB,2024.0,0.7655367520106253
ANANTAPUR_ANDHRA PRADESH,2015.0,0.46926998720797963
ANANTAPUR_ANDHRA PRADESH,2016.0,0.5896112823267176
ANANTAPUR_ANDHRA PRADESH,2017.0,0.5811488920976642
ANANTAPUR_ANDHRA PRADESH,2018.0,0.4776275375847795
ANANTAPUR_ANDHRA PRADESH,2019.0,0.576414865114419
ANANTAPUR_ANDHRA PRADESH,2020.0,0.3993110319694695
ANANTAPUR_ANDHRA PRADESH,2021.0,0.4519677389492641
ANANTAPUR_ANDHRA PRADESH,2022.0,0.33385637439078863
ANANTAPUR_ANDHRA PRADESH,2023.0,0.3166132651692385
ANANTAPUR_ANDHRA PRADESH,2024.0,0.33716701737760757
ANUPPUR_MADHYA PRADESH,2015.0,0.553671348395552
ANUPPUR_MADHYA PRADESH,2016.0,0.4895261265738178
ANUPPUR_MADHYA PRADESH,2017.0,0.43064793754159936
ANUPPUR_MADHYA PRADESH,2018.0,0.29104895850167245
ANUPPUR_MADHYA PRADESH,2019.0,0.4240350808281196
ANUPPUR_MADHYA PRADESH,2020.0,0.0
ANUPPUR_MADHYA PRADESH,2021.0,0.13499549533116484
ANUPPUR_MADHYA PRADESH,2022.0,0.3980664769979546
ANUPPUR_MADHYA PRADESH,2023.0,0.3298059392224537
ANUPPUR_MADHYA PRADESH,2024.0,0.3985998627797679
AURAIYA_UTTAR PRADESH,2015.0,0.7920361293395354
AURAIYA_UTTAR PRADESH,2016.0,0.8555014712794782
AURAIYA_UTTAR PRADESH,2017.0,0.8316993313925095
AURAIYA_UTTAR PRADESH,2018.0,0.8161846913980838
AURAIYA_UTTAR PRADESH,2019.0,0.8222032244665949
AURAIYA_UTTAR PRADESH,2020.0,0.7065747222067185
AURAIYA_UTTAR PRADESH,2021.0,0.7869965726100563
AURAIYA_UTTAR PRADESH,2022.0,0.7765989400683929
AURAIYA_UTTAR PRADESH,2023.0,0.6314551175372736
AURAIYA_UTTAR PRADESH,2024.0,0.4915836956261198
AZAMGARH_UTTAR PRADESH,2015.0,0.8111068625552008
AZAMGARH_UTTAR PRADESH,2016.0,0.7929468229647303
