region_id,year,pillar5_structural_persistence_score
AMRITSAR_PUNJAB,2018.0,0.09223307387929737
AMRITSAR_PUNJAB,2019.0,0.092300173219421
AMRITSAR_PUNJAB,2020.0,0.08925796615781005
AMRITSAR_PUNJAB,2021.0,0.1767225447847178
AMRITSAR_PUNJAB,2022.0,0.12777835338997298
AMRITSAR_PUNJAB,2023.0,0.17587936130918833
AMRITSAR_PUNJAB,2024.0,0.15565618294272854
ANANTAPUR_ANDHRA PRADESH,2015.0,0.25574584392952626
ANANTAPUR_ANDHRA PRADESH,2016.0,0.38354374302579325
ANANTAPUR_ANDHRA PRADESH,2017.0,0.29497330635973074
ANANTAPUR_ANDHRA PRADESH,2018.0,0.3012015723683884
ANANTAPUR_ANDHRA PRADESH,2019.0,0.37739263848930454
ANANTAPUR_ANDHRA PRADESH,2020.0,0.30468578646697564
ANANTAPUR_ANDHRA PRADESH,2021.0,0.4350330942751929
ANANTAPUR_ANDHRA PRADESH,2022.0,0.3962780889713558
ANANTAPUR_ANDHRA PRADESH,2023.0,0.48320731076381596
ANANTAPUR_ANDHRA PRADESH,2024.0,0.49589813074981015
ANUPPUR_MADHYA PRADESH,2015.0,0.12509695514879446
ANUPPUR_MADHYA PRADESH,2016.0,0.3214248717919622
ANUPPUR_MADHYA PRADESH,2017.0,0.3686353517954121
ANUPPUR_MADHYA PRADESH,2018.0,0.41196932877767045
ANUPPUR_MADHYA PRADESH,2019.0,0.5147132997437733
ANUPPUR_MADHYA PRADESH,2020.0,0.4168363497462008
ANUPPUR_MADHYA PRADESH,2021.0,0.7458497804834285
ANUPPUR_MADHYA PRADESH,2022.0,0.629567667586712
ANUPPUR_MADHYA PRADESH,2023.0,0.43594907891016976
ANUPPUR_MADHYA PRADESH,2024.0,0.48618840558411874
AURAIYA_UTTAR PRADESH,2015.0,0.10554786272440636
AURAIYA_UTTAR PRADESH,2016.0,0.14598989152863565
AURAIYA_UTTAR PRADESH,2017.0,0.0992797988440302
AURAIYA_UTTAR PRADESH,2018.0,0.11679802416556634
AURAIYA_UTTAR PRADESH,2019.0,0.12821670166664534
AURAIYA_UTTAR PRADESH,2020.0,0.12378709916451837
AURAIYA_UTTAR PRADESH,2021.0,0.20888894991404897
AURAIYA_UTTAR PRADESH,2022.0,0.1496989735996982
AURAIYA_UTTAR PRADESH,2023.0,0.15735156578428233
AURAIYA_UTTAR PRADESH,2024.0,0.2641765067015174
AZAMGARH_UTTAR PRADESH,2015.0,0.12341636324736074
