region_id,year,pillar1_shock_score_refined
AMRITSAR_PUNJAB,2018.0,0.6734887049693082
AMRITSAR_PUNJAB,2019.0,0.6734887049693082
AMRITSAR_PUNJAB,2020.0,0.6734887049693082
AMRITSAR_PUNJAB,2021.0,0.6734887049693082
AMRITSAR_PUNJAB,2022.0,0.6734887049693082
AMRITSAR_PUNJAB,2023.0,0.7789024690398476
AMRITSAR_PUNJAB,2024.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2015.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2016.0,0.5896112823267174
ANANTAPUR_ANDHRA PRADESH,2017.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2018.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2019.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2020.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2021.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2022.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2023.0,0.6734887049693082
ANANTAPUR_ANDHRA PRADESH,2024.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2015.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2016.0,0.48952612657381767
ANUPPUR_MADHYA PRADESH,2017.0,0.4306479375415993
ANUPPUR_MADHYA PRADESH,2018.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2019.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2020.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2021.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2022.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2023.0,0.6734887049693082
ANUPPUR_MADHYA PRADESH,2024.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2015.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2016.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2017.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2018.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2019.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2020.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2021.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2022.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2023.0,0.6734887049693082
AURAIYA_UTTAR PRADESH,2024.0,0.6734887049693082
