region_id,year,pillar5_structural_score
AMRITSAR_PUNJAB,2018.0,0.9077669261207025
AMRITSAR_PUNJAB,2019.0,0.907699826780579
AMRITSAR_PUNJAB,2020.0,0.91074203384219
AMRITSAR_PUNJAB,2021.0,0.8232774552152822
AMRITSAR_PUNJAB,2022.0,0.872221646610027
AMRITSAR_PUNJAB,2023.0,0.8241206386908116
AMRITSAR_PUNJAB,2024.0,0.8443438170572715
ANANTAPUR_ANDHRA PRADESH,2015.0,0.7442541560704737
ANANTAPUR_ANDHRA PRADESH,2016.0,0.6164562569742067
ANANTAPUR_ANDHRA PRADESH,2017.0,0.7050266936402693
ANANTAPUR_ANDHRA PRADESH,2018.0,0.6987984276316116
ANANTAPUR_ANDHRA PRADESH,2019.0,0.6226073615106954
ANANTAPUR_ANDHRA PRADESH,2020.0,0.6953142135330243
ANANTAPUR_ANDHRA PRADESH,2021.0,0.5649669057248071
ANANTAPUR_ANDHRA PRADESH,2022.0,0.6037219110286441
ANANTAPUR_ANDHRA PRADESH,2023.0,0.516792689236184
ANANTAPUR_ANDHRA PRADESH,2024.0,0.5041018692501898
ANUPPUR_MADHYA PRADESH,2015.0,0.8749030448512055
ANUPPUR_MADHYA PRADESH,2016.0,0.6785751282080378
ANUPPUR_MADHYA PRADESH,2017.0,0.6313646482045879
ANUPPUR_MADHYA PRADESH,2018.0,0.5880306712223295
ANUPPUR_MADHYA PRADESH,2019.0,0.4852867002562266
ANUPPUR_MADHYA PRADESH,2020.0,0.5831636502537991
ANUPPUR_MADHYA PRADESH,2021.0,0.2541502195165716
ANUPPUR_MADHYA PRADESH,2022.0,0.37043233241328805
ANUPPUR_MADHYA PRADESH,2023.0,0.5640509210898302
ANUPPUR_MADHYA PRADESH,2024.0,0.5138115944158813
AURAIYA_UTTAR PRADESH,2015.0,0.8944521372755937
AURAIYA_UTTAR PRADESH,2016.0,0.8540101084713644
AURAIYA_UTTAR PRADESH,2017.0,0.9007202011559697
AURAIYA_UTTAR PRADESH,2018.0,0.8832019758344337
AURAIYA_UTTAR PRADESH,2019.0,0.8717832983333548
AURAIYA_UTTAR PRADESH,2020.0,0.8762129008354815
AURAIYA_UTTAR PRADESH,2021.0,0.791111050085951
AURAIYA_UTTAR PRADESH,2022.0,0.8503010264003019
AURAIYA_UTTAR PRADESH,2023.0,0.8426484342157177
AURAIYA_UTTAR PRADESH,2024.0,0.7358234932984826
AZAMGARH_UTTAR PRADESH,2015.0,0.8765836367526393
AZAMGARH_UTTAR PRADESH,2016.0,0.8680460482274295
AZAMGARH_UTTAR PRADESH,2017.0,0.8546803732543129
AZAMGARH_UTTAR PRADESH,2018.0,0.829119998485237
AZAMGARH_UTTAR PRADESH,2019.0,0.8023337267052703
AZAMGARH_UTTAR PRADESH,2020.0,0.8232762984646216
AZAMGARH_UTTAR PRADESH,2021.0,0.7846226611793916
AZAMGARH_UTTAR PRADESH,2022.0,0.8444815190799794
AZAMGARH_UTTAR PRADESH,2023.0,0.8141973060223455
AZAMGARH_UTTAR PRADESH,2024.0,0.693444713794335
BAHRAICH_UTTAR PRADESH,2015.0,0.8910357396289977
BAHRAICH_UTTAR PRADESH,2016.0,0.8646074026995306
BAHRAICH_UTTAR PRADESH,2017.0,0.8684121580138124
BAHRAICH_UTTAR PRADESH,2018.0,0.8447453912564349
