term,coef,std_err,p_value
mgnrega,-2111283.3721648864,3716688.3240609844,0.5699976248845865
mgnrega:scst_share,-10.967414070662619,9.055637083876029,0.2258514956509351
mgnrega:women_share,2111384.1975136166,3716678.8054102147,0.5699782174429646
rainfall,1.4944339958085118,0.5310421917532068,0.004890594011313542
