State,District,Year,arhar_area,arhar_production,arhar_yield
Andhra Pradesh,Nandyal,2022-2023,33671.0,14298.0,0.74
Andhra Pradesh,Ntr,2022-2023,257.0,287.0,1.12
Andhra Pradesh,Palnadu,2022-2023,19694.0,19183.0,1.38
Andhra Pradesh,Parvathipuram manyam,2022-2023,562.0,260.0,0.46
Andhra Pradesh,Prakasam,2013-2014,53629.0,48963.0,1.82
Andhra Pradesh,Prakasam,2014-2015,43133.0,30969.0,1.42
Andhra Pradesh,Prakasam,2015-2016,76648.0,66224.0,1.72
Andhra Pradesh,Prakasam,2016-2017,94882.0,41937.0,0.88
Andhra Pradesh,Prakasam,2017-2018,86183.0,33525.0,0.78
Andhra Pradesh,Prakasam,2018-2019,93458.0,12430.0,0.26
Andhra Pradesh,Prakasam,2019-2020,98139.0,48873.0,1.0
Andhra Pradesh,Prakasam,2020-2021,81902.0,29976.0,0.74
Andhra Pradesh,Prakasam,2021-2022,80716.0,20179.0,0.5
Andhra Pradesh,Prakasam,2022-2023,59087.0,9009.0,0.51
Andhra Pradesh,Spsr nellore,2013-2014,1339.0,1286.0,1.92
Andhra Pradesh,Spsr nellore,2014-2015,559.0,467.0,1.67
Andhra Pradesh,Spsr nellore,2015-2016,942.0,938.0,2.0
Andhra Pradesh,Spsr nellore,2016-2017,1862.0,1115.0,1.2
Andhra Pradesh,Spsr nellore,2017-2018,1372.0,870.0,1.26
Andhra Pradesh,Spsr nellore,2018-2019,134.0,69.0,1.03
Andhra Pradesh,Spsr nellore,2019-2020,888.0,554.0,1.25
Andhra Pradesh,Spsr nellore,2020-2021,1116.0,241.0,0.44
Andhra Pradesh,Spsr nellore,2021-2022,811.0,209.0,0.52
Andhra Pradesh,Spsr nellore,2022-2023,560.0,169.0,0.62
Andhra Pradesh,Sri sathya sai,2022-2023,39615.0,3565.0,0.09
Andhra Pradesh,Srikakulam,2013-2014,722.0,693.0,1.9
Andhra Pradesh,Srikakulam,2014-2015,658.0,549.0,1.66
Andhra Pradesh,Srikakulam,2015-2016,648.0,147.0,0.44
Andhra Pradesh,Srikakulam,2016-2017,661.0,313.0,0.97
Andhra Pradesh,Srikakulam,2017-2018,652.0,367.0,1.13
Andhra Pradesh,Srikakulam,2018-2019,692.0,190.0,0.27
Andhra Pradesh,Srikakulam,2019-2020,501.0,202.0,0.73
Andhra Pradesh,Srikakulam,2020-2021,477.0,209.0,0.44
Andhra Pradesh,Srikakulam,2021-2022,243.0,112.0,0.46
Andhra Pradesh,Srikakulam,2022-2023,67.0,24.0,0.36
Andhra Pradesh,Tirupati,2022-2023,179.0,55.0,0.63
Andhra Pradesh,Visakhapatanam,2013-2014,1828.0,627.0,0.7
Andhra Pradesh,Visakhapatanam,2014-2015,1969.0,365.0,0.44
Andhra Pradesh,Visakhapatanam,2015-2016,1590.0,415.0,0.5900000000000001
Andhra Pradesh,Visakhapatanam,2016-2017,1786.0,855.0,0.81
Andhra Pradesh,Visakhapatanam,2017-2018,1566.0,752.0,0.48
Andhra Pradesh,Visakhapatanam,2018-2019,1189.0,443.0,0.37
Andhra Pradesh,Visakhapatanam,2019-2020,974.0,406.0,0.42
Andhra Pradesh,Visakhapatanam,2020-2021,669.0,244.0,0.36
Andhra Pradesh,Visakhapatanam,2021-2022,1099.0,410.0,0.37
Andhra Pradesh,Visakhapatanam,2022-2023,39.0,14.0,0.36
Andhra Pradesh,Vizianagaram,2013-2014,1880.0,1807.0,0.96
Andhra Pradesh,Vizianagaram,2014-2015,1093.0,912.0,1.65
Andhra Pradesh,Vizianagaram,2015-2016,991.0,707.0,1.46
Andhra Pradesh,Vizianagaram,2016-2017,1346.0,1050.0,0.78
Andhra Pradesh,Vizianagaram,2017-2018,1003.0,716.0,0.71
Andhra Pradesh,Vizianagaram,2018-2019,694.0,198.0,0.78
Andhra Pradesh,Vizianagaram,2019-2020,484.0,212.0,0.44
Andhra Pradesh,Vizianagaram,2020-2021,408.0,187.0,0.46
Andhra Pradesh,Vizianagaram,2021-2022,555.0,275.0,0.5
Andhra Pradesh,Vizianagaram,2022-2023,12.0,4.0,0.33
Andhra Pradesh,West godavari,2013-2014,207.0,199.0,1.92
Andhra Pradesh,West godavari,2014-2015,729.0,609.0,1.67
Andhra Pradesh,West godavari,2015-2016,1192.0,1077.0,1.8
Andhra Pradesh,West godavari,2016-2017,576.0,336.0,1.16
Andhra Pradesh,West godavari,2017-2018,189.0,108.0,1.14
Andhra Pradesh,West godavari,2018-2019,116.0,28.0,0.49
Andhra Pradesh,West godavari,2019-2020,100.0,53.0,1.05
Andhra Pradesh,West godavari,2020-2021,34.0,15.0,0.88
Andhra Pradesh,West godavari,2021-2022,108.0,44.0,0.82
Arunachal Pradesh,Dibang valley,2016-2017,52.0,30.0,0.58
Arunachal Pradesh,Dibang valley,2017-2018,48.0,30.0,0.63
Arunachal Pradesh,Dibang valley,2018-2019,48.0,30.0,0.63
Arunachal Pradesh,Dibang valley,2019-2020,48.0,30.0,0.63
Arunachal Pradesh,Dibang valley,2020-2021,48.0,30.0,0.63
Arunachal Pradesh,Dibang valley,2021-2022,48.0,32.0,0.67
Arunachal Pradesh,Dibang valley,2022-2023,49.0,33.0,0.67
Arunachal Pradesh,East kameng,2016-2017,74.0,68.0,0.92
Arunachal Pradesh,East kameng,2017-2018,80.0,76.0,0.95
Arunachal Pradesh,East kameng,2018-2019,80.0,76.0,0.95
Arunachal Pradesh,East kameng,2019-2020,56.0,53.0,0.95
Arunachal Pradesh,East kameng,2020-2021,56.0,53.0,0.95
Arunachal Pradesh,East kameng,2021-2022,58.0,55.0,0.95
Arunachal Pradesh,East kameng,2022-2023,60.0,57.0,0.95
Arunachal Pradesh,East siang,2016-2017,63.0,59.0,0.94
Arunachal Pradesh,East siang,2017-2018,68.0,60.0,0.88
Arunachal Pradesh,East siang,2018-2019,68.0,60.0,0.88
Arunachal Pradesh,East siang,2019-2020,68.0,60.0,0.88
Arunachal Pradesh,East siang,2020-2021,68.0,60.0,0.88
