State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Gujarat,Ahmadabad,2020-2021,15.0,1050.0,70.0
Gujarat,Amreli,2013-2014,3.0,210.0,70.0
Gujarat,Amreli,2014-2015,40.0,2814.0,70.35
Gujarat,Amreli,2015-2016,57.0,3928.0,68.91
Gujarat,Amreli,2016-2017,7.0,503.0,71.86
Gujarat,Amreli,2017-2018,9.0,558.0,62.0
Gujarat,Amreli,2018-2019,44.0,3199.0,72.7
Gujarat,Amreli,2019-2020,9.0,648.0,72.0
Gujarat,Amreli,2020-2021,42.0,2982.0,71.0
Gujarat,Amreli,2021-2022,16.0,1136.0,71.0
Gujarat,Anand,2016-2017,50.0,3594.0,71.88
Gujarat,Bharuch,2013-2014,20995.0,1566227.0,74.6
Gujarat,Bharuch,2014-2015,36425.0,2396401.0,65.79
Gujarat,Bharuch,2015-2016,21455.0,1424612.0,66.4
Gujarat,Bharuch,2016-2017,24950.0,1636845.0,65.61
Gujarat,Bharuch,2017-2018,32140.0,2008750.0,62.5
Gujarat,Bharuch,2018-2019,30210.0,2114700.0,70.0
Gujarat,Bharuch,2019-2020,40100.0,2807000.0,70.0
Gujarat,Bharuch,2020-2021,82315.0,5844365.0,71.0
Gujarat,Bharuch,2021-2022,84505.0,5945772.0,70.36
Gujarat,Bharuch,2022-2023,39293.0,2664191.0,67.8
Gujarat,Bhavnagar,2013-2014,21.0,1470.0,70.0
Gujarat,Bhavnagar,2014-2015,41.0,2885.0,70.37
Gujarat,Bhavnagar,2015-2016,1205.0,83039.0,68.91
Gujarat,Bhavnagar,2016-2017,10.0,719.0,71.9
Gujarat,Bhavnagar,2017-2018,2.0,124.0,62.0
Gujarat,Bhavnagar,2018-2019,10.0,700.0,70.0
Gujarat,Bhavnagar,2019-2020,18.0,1260.0,70.0
Gujarat,Bhavnagar,2020-2021,28.0,1960.0,70.0
Gujarat,Bhavnagar,2021-2022,55.0,3861.0,70.2
Gujarat,Bhavnagar,2022-2023,14.0,980.0,70.0
Gujarat,Botad,2014-2015,73.0,5136.0,70.36
Gujarat,Botad,2015-2016,50.0,3446.0,68.92
Gujarat,Botad,2016-2017,80.0,5750.0,71.88
Gujarat,Botad,2017-2018,120.0,7446.0,62.05
Gujarat,Botad,2018-2019,91.0,6067.0,66.67
Gujarat,Botad,2019-2020,73.0,4745.0,65.0
Gujarat,Dang,2014-2015,163.0,11449.0,70.24
Gujarat,Dang,2015-2016,167.0,11508.0,68.91
Gujarat,Dang,2016-2017,184.0,0.0,0.0
Gujarat,Dang,2017-2018,157.0,9742.0,62.05
Gujarat,Dang,2018-2019,375.0,25500.0,68.0
Gujarat,Dang,2019-2020,345.0,23460.0,68.0
Gujarat,Dang,2020-2021,150.0,10200.0,68.0
Gujarat,Dang,2021-2022,171.0,11226.0,65.65
Gujarat,Dang,2022-2023,380.0,24928.0,65.6
Gujarat,Gir somnath,2017-2018,3.0,186.0,62.0
Gujarat,Gir somnath,2018-2019,4.0,286.0,71.5
Gujarat,Gir somnath,2020-2021,5.0,345.0,69.0
Gujarat,Gir somnath,2021-2022,5070.0,425170.0,83.86
Gujarat,Gir somnath,2022-2023,4934.0,468387.0,94.93
Gujarat,Jamnagar,2013-2014,345.0,24143.0,69.98
Gujarat,Jamnagar,2014-2015,85.0,5981.0,70.36
Gujarat,Jamnagar,2017-2018,2.0,124.0,62.0
Gujarat,Junagadh,2013-2014,5775.0,404135.0,69.98
Gujarat,Junagadh,2015-2016,5.0,345.0,69.0
Gujarat,Junagadh,2017-2018,125.0,7757.0,62.06
Gujarat,Junagadh,2018-2019,150.0,10856.0,72.37
Gujarat,Junagadh,2019-2020,88.0,6318.0,71.8
Gujarat,Junagadh,2020-2021,91.0,7007.0,77.0
Gujarat,Junagadh,2021-2022,101.0,7323.0,72.5
Gujarat,Junagadh,2022-2023,105.0,7575.0,72.14
Gujarat,Kachchh,2014-2015,619.0,43553.0,70.36
Gujarat,Kheda,2013-2014,2.0,0.0,0.0
Gujarat,Kheda,2014-2015,2.0,141.0,70.5
Gujarat,Kheda,2015-2016,2.0,138.0,69.0
Gujarat,Mahisagar,2015-2016,30.0,2067.0,68.9
Gujarat,Mahisagar,2017-2018,502.0,31151.0,62.05
Gujarat,Morbi,2014-2015,7670.0,539661.0,70.36
Gujarat,Morbi,2015-2016,3440.0,271072.0,78.8
Gujarat,Morbi,2016-2017,2384.0,187144.0,78.5
Gujarat,Morbi,2017-2018,4623.0,286873.0,62.05
Gujarat,Morbi,2018-2019,3357.0,248418.0,74.0
Gujarat,Morbi,2019-2020,3493.0,296905.0,85.0
Gujarat,Morbi,2020-2021,4650.0,361431.0,77.73
Gujarat,Morbi,2021-2022,130.0,10140.0,78.0
Gujarat,Narmada,2013-2014,5235.0,355561.0,67.92
Gujarat,Narmada,2014-2015,6715.0,514369.0,76.6
Gujarat,Narmada,2015-2016,6792.0,509400.0,75.0
Gujarat,Narmada,2016-2017,5645.0,395150.0,70.0
Gujarat,Narmada,2017-2018,5379.0,360393.0,67.0
Gujarat,Narmada,2018-2019,7849.0,594915.0,75.8
Gujarat,Narmada,2019-2020,6054.0,423780.0,70.0
Gujarat,Narmada,2020-2021,8070.0,577005.0,71.5
Gujarat,Narmada,2021-2022,5572.0,404527.0,72.6
Gujarat,Narmada,2022-2023,4430.0,353691.0,79.84
Gujarat,Navsari,2013-2014,11017.0,640859.0,58.17
Gujarat,Navsari,2014-2015,17922.0,1234557.0,68.89
Gujarat,Navsari,2015-2016,14498.0,987314.0,68.1
Gujarat,Navsari,2016-2017,12878.0,864758.0,67.15
Gujarat,Navsari,2017-2018,16563.0,1136222.0,68.6
Gujarat,Navsari,2018-2019,14773.0,942119.0,63.77
Gujarat,Navsari,2019-2020,15194.0,968967.0,63.77
Gujarat,Navsari,2020-2021,15026.0,958253.0,63.77
Gujarat,Navsari,2021-2022,15841.0,1183164.0,74.69
Gujarat,Navsari,2022-2023,16389.0,1116107.0,68.1
Gujarat,Panch mahals,2020-2021,56.0,3808.0,68.0
Gujarat,Panch mahals,2021-2022,22.0,1440.0,65.45
Gujarat,Panch mahals,2022-2023,65.0,4420.0,68.0
Gujarat,Rajkot,2013-2014,59.0,4129.0,69.98
Gujarat,Rajkot,2014-2015,23.0,1618.0,70.35
Gujarat,Rajkot,2015-2016,210.0,14472.0,68.91
Gujarat,Rajkot,2016-2017,50.0,3594.0,71.88
Gujarat,Rajkot,2017-2018,58.0,3599.0,62.05
Gujarat,Rajkot,2018-2019,48.0,3243.0,67.56
Gujarat,Rajkot,2019-2020,11.0,791.0,71.91
Gujarat,Rajkot,2020-2021,134.0,10050.0,75.0
Gujarat,Rajkot,2021-2022,34.0,2652.0,78.0
Gujarat,Rajkot,2022-2023,7.0,630.0,90.0
Gujarat,Surat,2013-2014,87905.0,6249166.0,71.09
Gujarat,Surat,2014-2015,98025.0,7063191.0,72.05
Gujarat,Surat,2015-2016,66310.0,5105538.0,76.99
Gujarat,Surat,2016-2017,77031.0,5713697.0,74.17
Gujarat,Surat,2017-2018,85998.0,5847864.0,68.0
Gujarat,Surat,2018-2019,76286.0,5721450.0,75.0
Gujarat,Surat,2019-2020,68372.0,5025342.0,73.5
Gujarat,Surat,2020-2021,77383.0,6577555.0,85.0
Gujarat,Surat,2021-2022,79989.0,6923848.0,86.56
Gujarat,Surat,2022-2023,84269.0,6271510.0,74.42
Gujarat,Surendranagar,2013-2014,55.0,3849.0,69.98
Gujarat,Surendranagar,2016-2017,20.0,1437.0,71.85
Gujarat,Surendranagar,2021-2022,10.0,700.0,70.0
Gujarat,Tapi,2013-2014,25601.0,1433656.0,56.0
Gujarat,Tapi,2014-2015,27088.0,1593668.0,58.83
Gujarat,Tapi,2015-2016,25619.0,1417755.0,55.34
Gujarat,Tapi,2016-2017,23670.0,1301850.0,55.0
Gujarat,Tapi,2017-2018,24656.0,1282112.0,52.0
Gujarat,Tapi,2018-2019,20145.0,1571310.0,78.0
Gujarat,Tapi,2019-2020,21004.0,1596304.0,76.0
Gujarat,Tapi,2020-2021,24261.0,1940880.0,80.0
Gujarat,Tapi,2021-2022,24934.0,2099443.0,84.2
Gujarat,Tapi,2022-2023,25054.0,2135403.0,85.23
Gujarat,Vadodara,2013-2014,7450.0,454450.0,61.0
Gujarat,Vadodara,2014-2015,6490.0,395890.0,61.0
Gujarat,Vadodara,2015-2016,10010.0,675675.0,67.5
Gujarat,Vadodara,2016-2017,2050.0,133250.0,65.0
Gujarat,Vadodara,2017-2018,4444.0,279972.0,63.0
Gujarat,Vadodara,2018-2019,1547.0,10056.0,6.5
Gujarat,Vadodara,2019-2020,59.0,3770.0,63.9
Gujarat,Vadodara,2020-2021,969.0,63954.0,66.0
Gujarat,Vadodara,2021-2022,1169.0,76803.0,65.7
Gujarat,Vadodara,2022-2023,199.0,12622.0,63.43
Gujarat,Valsad,2013-2014,8602.0,375907.0,43.7
Gujarat,Valsad,2014-2015,7172.0,530728.0,74.0
Gujarat,Valsad,2015-2016,7280.0,436800.0,60.0
Gujarat,Valsad,2016-2017,8978.0,538680.0,60.0
Gujarat,Valsad,2017-2018,6918.0,359736.0,52.0
Gujarat,Valsad,2018-2019,6150.0,412050.0,67.0
Gujarat,Valsad,2019-2020,6120.0,410652.0,67.1
Gujarat,Valsad,2020-2021,6069.0,409658.0,67.5
Gujarat,Valsad,2021-2022,5341.0,362120.0,67.8
Gujarat,Valsad,2022-2023,5929.0,400812.0,67.6
Haryana,Ambala,2013-2014,10000.0,712000.0,71.2
Haryana,Ambala,2014-2015,10000.0,706000.0,70.6
Haryana,Ambala,2015-2016,10000.0,675000.0,67.5
Haryana,Ambala,2016-2017,9800.0,766000.0,78.16
Haryana,Ambala,2017-2018,11800.0,958200.0,81.2
Haryana,Ambala,2018-2019,11500.0,829600.0,72.14
Haryana,Ambala,2019-2020,11400.0,909600.0,79.79
Haryana,Ambala,2020-2021,10300.0,799740.0,77.64
Haryana,Ambala,2021-2022,9951.0,807820.0,81.18
Haryana,Bhiwani,2013-2014,2000.0,151000.0,75.5
Haryana,Bhiwani,2014-2015,2000.0,152000.0,76.0
Haryana,Bhiwani,2015-2016,2000.0,144000.0,72.0
Haryana,Bhiwani,2016-2017,4000.0,250000.0,62.5
Haryana,Bhiwani,2017-2018,2800.0,214900.0,76.75
Haryana,Bhiwani,2018-2019,2700.0,199700.0,73.96
Haryana,Bhiwani,2019-2020,2400.0,190000.0,79.17
Haryana,Bhiwani,2020-2021,2960.0,216650.0,73.19
Haryana,Bhiwani,2021-2022,2962.0,194040.0,65.51
Haryana,Charki dadri,2017-2018,1300.0,99500.0,76.54
Haryana,Charki dadri,2018-2019,1300.0,120000.0,92.31
Haryana,Charki dadri,2019-2020,1100.0,88300.0,80.27
Haryana,Charki dadri,2020-2021,1900.0,163740.0,86.18
Haryana,Charki dadri,2021-2022,1436.0,136310.0,94.92
Haryana,Faridabad,2015-2016,1000.0,72000.0,72.0
Haryana,Faridabad,2016-2017,1500.0,121000.0,80.67
Haryana,Faridabad,2017-2018,300.0,27600.0,92.0
Haryana,Faridabad,2018-2019,400.0,22000.0,55.0
Haryana,Faridabad,2019-2020,200.0,13500.0,67.5
Haryana,Faridabad,2020-2021,280.0,17020.0,60.79
Haryana,Faridabad,2021-2022,321.0,26300.0,81.93
Haryana,Fatehabad,2016-2017,500.0,31000.0,62.0
Haryana,Fatehabad,2017-2018,1300.0,110500.0,85.0
Haryana,Fatehabad,2018-2019,1500.0,117400.0,78.27
Haryana,Fatehabad,2019-2020,1100.0,96100.0,87.36
Haryana,Fatehabad,2020-2021,1500.0,107580.0,71.72
Haryana,Fatehabad,2021-2022,1196.0,92120.0,77.02
Haryana,Gurgaon,2018-2019,100.0,7800.0,78.0
Haryana,Gurgaon,2021-2022,6.0,0.0,0.0
Haryana,Hisar,2013-2014,1000.0,88000.0,88.0
Haryana,Hisar,2014-2015,1000.0,70000.0,70.0
Haryana,Hisar,2015-2016,1000.0,64000.0,64.0
Haryana,Hisar,2016-2017,1700.0,114000.0,67.06
Haryana,Hisar,2017-2018,1800.0,135300.0,75.17
Haryana,Hisar,2018-2019,1500.0,116500.0,77.67
Haryana,Hisar,2019-2020,1300.0,95100.0,73.15
Haryana,Hisar,2020-2021,1540.0,118190.0,76.75
Haryana,Hisar,2021-2022,1989.0,166180.0,83.55
Haryana,Jhajjar,2013-2014,3000.0,246000.0,82.0
Haryana,Jhajjar,2014-2015,3000.0,214000.0,71.33
Haryana,Jhajjar,2015-2016,3000.0,229000.0,76.33
Haryana,Jhajjar,2016-2017,3000.0,227000.0,75.67
Haryana,Jhajjar,2017-2018,2900.0,193100.0,66.59
Haryana,Jhajjar,2018-2019,2200.0,175300.0,79.68
Haryana,Jhajjar,2019-2020,1600.0,121000.0,75.63
Haryana,Jhajjar,2020-2021,2310.0,186810.0,80.87
Haryana,Jhajjar,2021-2022,3653.0,246610.0,67.51
Haryana,Jind,2013-2014,4000.0,318000.0,79.5
Haryana,Jind,2014-2015,4000.0,271000.0,67.75
Haryana,Jind,2015-2016,3000.0,214000.0,71.33
Haryana,Jind,2016-2017,4600.0,347000.0,75.43
Haryana,Jind,2017-2018,4900.0,391600.0,79.92
Haryana,Jind,2018-2019,4700.0,369100.0,78.53
Haryana,Jind,2019-2020,3900.0,312600.0,80.15
Haryana,Jind,2020-2021,4500.0,413100.0,91.8
Haryana,Jind,2021-2022,5352.0,391190.0,73.09
Haryana,Kaithal,2013-2014,4000.0,336000.0,84.0
Haryana,Kaithal,2014-2015,3000.0,214000.0,71.33
Haryana,Kaithal,2015-2016,3000.0,275000.0,91.67
Haryana,Kaithal,2016-2017,4000.0,380000.0,95.0
Haryana,Kaithal,2017-2018,5200.0,470400.0,90.46
Haryana,Kaithal,2018-2019,4900.0,471500.0,96.22
Haryana,Kaithal,2019-2020,4600.0,431300.0,93.76
Haryana,Kaithal,2020-2021,4500.0,479910.0,106.65
Haryana,Kaithal,2021-2022,4553.0,417500.0,91.7
Haryana,Karnal,2013-2014,12000.0,946000.0,78.83
Haryana,Karnal,2014-2015,11000.0,935000.0,85.0
Haryana,Karnal,2015-2016,11000.0,944000.0,85.82
Haryana,Karnal,2016-2017,11800.0,1104000.0,93.56
Haryana,Karnal,2017-2018,13300.0,1238600.0,93.13
Haryana,Karnal,2018-2019,13300.0,1117000.0,83.98
Haryana,Karnal,2019-2020,12000.0,1010800.0,84.23
Haryana,Karnal,2020-2021,11400.0,1195600.0,104.88
Haryana,Karnal,2021-2022,11188.0,1026600.0,91.76
Haryana,Kurukshetra,2013-2014,12000.0,906000.0,75.5
Haryana,Kurukshetra,2014-2015,11000.0,898000.0,81.64
Haryana,Kurukshetra,2015-2016,10000.0,809000.0,80.9
Haryana,Kurukshetra,2016-2017,10000.0,856000.0,85.6
Haryana,Kurukshetra,2017-2018,12200.0,1127700.0,92.43
Haryana,Kurukshetra,2018-2019,12000.0,973100.0,81.09
Haryana,Kurukshetra,2019-2020,12200.0,1032100.0,84.6
Haryana,Kurukshetra,2020-2021,10960.0,960550.0,87.64
Haryana,Kurukshetra,2021-2022,11607.0,1012700.0,87.25
Haryana,Mewat,2013-2014,1000.0,73000.0,73.0
Haryana,Mewat,2016-2017,200.0,16000.0,80.0
Haryana,Mewat,2017-2018,100.0,8400.0,84.0
Haryana,Mewat,2018-2019,400.0,31300.0,78.25
Haryana,Mewat,2019-2020,400.0,32100.0,80.25
Haryana,Mewat,2020-2021,310.0,26720.0,86.19
Haryana,Mewat,2021-2022,575.0,47100.0,81.91
Haryana,Palwal,2013-2014,2000.0,105000.0,52.5
Haryana,Palwal,2014-2015,2000.0,87000.0,43.5
Haryana,Palwal,2015-2016,2000.0,136000.0,68.0
Haryana,Palwal,2016-2017,2200.0,111000.0,50.45
Haryana,Palwal,2017-2018,2300.0,135500.0,58.91
Haryana,Palwal,2018-2019,2300.0,116900.0,50.83
Haryana,Palwal,2019-2020,2400.0,134600.0,56.08
Haryana,Palwal,2020-2021,3300.0,209610.0,63.52
Haryana,Palwal,2021-2022,4015.0,320000.0,79.7
Haryana,Panchkula,2015-2016,1000.0,64000.0,64.0
Haryana,Panchkula,2016-2017,500.0,45000.0,90.0
Haryana,Panchkula,2017-2018,500.0,42200.0,84.4
Haryana,Panchkula,2018-2019,500.0,39100.0,78.2
Haryana,Panchkula,2019-2020,500.0,42300.0,84.6
Haryana,Panchkula,2020-2021,420.0,36200.0,86.19
Haryana,Panchkula,2021-2022,1214.0,99140.0,81.66
Haryana,Panipat,2013-2014,7000.0,538000.0,76.86
Haryana,Panipat,2014-2015,6000.0,501000.0,83.5
Haryana,Panipat,2015-2016,5000.0,410000.0,82.0
Haryana,Panipat,2016-2017,6500.0,542000.0,83.38
Haryana,Panipat,2017-2018,7800.0,663700.0,85.09
Haryana,Panipat,2018-2019,7600.0,725500.0,95.46
Haryana,Panipat,2019-2020,5600.0,476700.0,85.13
Haryana,Panipat,2020-2021,6300.0,565530.0,89.77
Haryana,Panipat,2021-2022,7327.0,685630.0,93.58
Haryana,Rewari,2020-2021,20.0,1720.0,86.0
Haryana,Rewari,2021-2022,13.0,0.0,0.0
Haryana,Rohtak,2013-2014,8000.0,501000.0,62.63
Haryana,Rohtak,2014-2015,8000.0,544000.0,68.0
Haryana,Rohtak,2015-2016,9000.0,604000.0,67.11
Haryana,Rohtak,2016-2017,10000.0,709000.0,70.9
Haryana,Rohtak,2017-2018,11300.0,861900.0,76.27
Haryana,Rohtak,2018-2019,8600.0,594300.0,69.1
Haryana,Rohtak,2019-2020,8000.0,583000.0,72.88
Haryana,Rohtak,2020-2021,8530.0,621190.0,72.82
Haryana,Rohtak,2021-2022,10175.0,697730.0,68.57
Haryana,Sirsa,2016-2017,200.0,16000.0,80.0
Haryana,Sirsa,2017-2018,200.0,16900.0,84.5
Haryana,Sirsa,2018-2019,100.0,7800.0,78.0
Haryana,Sirsa,2020-2021,110.0,9470.0,86.09
Haryana,Sirsa,2021-2022,87.0,0.0,0.0
Haryana,Sonipat,2013-2014,8000.0,653000.0,81.63
Haryana,Sonipat,2014-2015,7000.0,556000.0,79.43
Haryana,Sonipat,2015-2016,7000.0,602000.0,86.0
Haryana,Sonipat,2016-2017,8000.0,700000.0,87.5
Haryana,Sonipat,2017-2018,8900.0,840900.0,94.48
Haryana,Sonipat,2018-2019,8500.0,807300.0,94.98
Haryana,Sonipat,2019-2020,7700.0,601000.0,78.05
Haryana,Sonipat,2020-2021,8900.0,827500.0,92.98
Haryana,Sonipat,2021-2022,8846.0,683650.0,77.28
Haryana,Yamunanagar,2013-2014,27000.0,1854000.0,68.67
Haryana,Yamunanagar,2014-2015,27000.0,1887000.0,69.89
Haryana,Yamunanagar,2015-2016,25000.0,1750000.0,70.0
Haryana,Yamunanagar,2016-2017,23000.0,1832000.0,79.65
Haryana,Yamunanagar,2017-2018,26000.0,2171900.0,83.53
Haryana,Yamunanagar,2018-2019,24800.0,1678700.0,67.69
Haryana,Yamunanagar,2019-2020,19900.0,1560200.0,78.4
Haryana,Yamunanagar,2020-2021,19700.0,1630980.0,82.79
Haryana,Yamunanagar,2021-2022,20190.0,1689260.0,83.67
Himachal Pradesh,Bilaspur,2013-2014,3.0,14.0,4.67
Himachal Pradesh,Bilaspur,2014-2015,32.0,889.0,27.78
Himachal Pradesh,Bilaspur,2015-2016,3.0,27.0,9.0
Himachal Pradesh,Bilaspur,2016-2017,3.0,27.0,9.0
Himachal Pradesh,Bilaspur,2017-2018,3.0,31.0,10.33
Himachal Pradesh,Bilaspur,2018-2019,3.0,27.0,9.0
Himachal Pradesh,Bilaspur,2019-2020,1.0,9.0,9.0
Himachal Pradesh,Bilaspur,2020-2021,3.0,37.0,12.33
Himachal Pradesh,Bilaspur,2021-2022,2.0,24.0,12.0
Himachal Pradesh,Bilaspur,2022-2023,3.0,37.0,12.33
Himachal Pradesh,Hamirpur,2013-2014,34.0,169.0,4.97
Himachal Pradesh,Hamirpur,2014-2015,33.0,908.0,27.52
Himachal Pradesh,Hamirpur,2015-2016,33.0,305.0,9.24
Himachal Pradesh,Hamirpur,2016-2017,33.0,301.0,9.12
Himachal Pradesh,Hamirpur,2017-2018,33.0,366.0,11.09
Himachal Pradesh,Hamirpur,2018-2019,27.0,246.0,9.11
Himachal Pradesh,Hamirpur,2019-2020,25.0,303.0,12.12
Himachal Pradesh,Hamirpur,2020-2021,28.0,43.0,1.54
Himachal Pradesh,Hamirpur,2021-2022,28.0,43.0,1.54
Himachal Pradesh,Hamirpur,2022-2023,30.0,47.0,1.57
Himachal Pradesh,Kangra,2013-2014,456.0,1224.0,2.68
Himachal Pradesh,Kangra,2014-2015,534.0,13528.0,25.33
Himachal Pradesh,Kangra,2015-2016,627.0,9423.0,15.03
Himachal Pradesh,Kangra,2016-2017,620.0,9322.0,15.04
Himachal Pradesh,Kangra,2017-2018,627.0,9568.0,15.26
Himachal Pradesh,Kangra,2018-2019,479.0,7204.0,15.04
Himachal Pradesh,Kangra,2019-2020,501.0,7535.0,15.04
Himachal Pradesh,Kangra,2020-2021,803.0,9773.0,12.17
Himachal Pradesh,Kangra,2021-2022,859.0,10454.0,12.17
Himachal Pradesh,Kangra,2022-2023,810.0,9858.0,12.17
Himachal Pradesh,Shimla,2013-2014,18.0,17.0,0.94
Himachal Pradesh,Shimla,2014-2015,25.0,701.0,28.04
Himachal Pradesh,Shimla,2015-2016,1.0,17.0,17.0
Himachal Pradesh,Shimla,2016-2017,1.0,17.0,17.0
Himachal Pradesh,Shimla,2017-2018,1.0,21.0,21.0
Himachal Pradesh,Sirmaur,2013-2014,754.0,1559.0,2.07
Himachal Pradesh,Sirmaur,2014-2015,795.0,15519.0,19.52
Himachal Pradesh,Sirmaur,2015-2016,1030.0,24158.0,23.45
Himachal Pradesh,Sirmaur,2016-2017,1118.0,34784.0,31.11
Himachal Pradesh,Sirmaur,2017-2018,1030.0,23158.0,22.48
Himachal Pradesh,Sirmaur,2018-2019,860.0,26754.0,31.11
Himachal Pradesh,Sirmaur,2019-2020,865.0,24315.0,28.11
Himachal Pradesh,Sirmaur,2020-2021,481.0,10962.0,22.79
Himachal Pradesh,Sirmaur,2021-2022,452.0,10301.0,22.79
Himachal Pradesh,Sirmaur,2022-2023,446.0,10164.0,22.79
Himachal Pradesh,Solan,2013-2014,54.0,204.0,3.78
Himachal Pradesh,Solan,2014-2015,53.0,1359.0,25.64
Himachal Pradesh,Solan,2015-2016,53.0,1039.0,19.6
Himachal Pradesh,Solan,2016-2017,52.0,1028.0,19.77
Himachal Pradesh,Solan,2017-2018,53.0,1039.0,19.6
Himachal Pradesh,Solan,2018-2019,53.0,1047.0,19.75
Himachal Pradesh,Solan,2019-2020,51.0,922.0,18.08
Himachal Pradesh,Solan,2020-2021,13.0,158.0,12.15
Himachal Pradesh,Solan,2021-2022,13.0,158.0,12.15
Himachal Pradesh,Solan,2022-2023,13.0,158.0,12.15
Himachal Pradesh,Una,2013-2014,130.0,309.0,2.38
Himachal Pradesh,Una,2014-2015,128.0,3777.0,29.51
Himachal Pradesh,Una,2015-2016,127.0,2547.0,20.06
Himachal Pradesh,Una,2016-2017,126.0,2520.0,20.0
Himachal Pradesh,Una,2017-2018,127.0,2547.0,20.06
Himachal Pradesh,Una,2018-2019,163.0,3260.0,20.0
Himachal Pradesh,Una,2019-2020,160.0,3059.0,19.12
Himachal Pradesh,Una,2020-2021,140.0,1704.0,12.17
Himachal Pradesh,Una,2021-2022,137.0,1667.0,12.17
Himachal Pradesh,Una,2022-2023,138.0,1679.0,12.17
Jammu and Kashmir,Jammu,2019-2020,33.0,77.0,2.33
Jammu and Kashmir,Jammu,2020-2021,33.0,77.0,2.33
Jammu and Kashmir,Jammu,2021-2022,33.0,77.0,2.33
Jammu and Kashmir,Kathua,2016-2017,28.0,42.0,1.5
Jammu and Kashmir,Kishtwar,2019-2020,4.0,6.0,1.5
Jammu and Kashmir,Kishtwar,2020-2021,4.0,6.0,1.5
Jammu and Kashmir,Rajauri,2016-2017,17.0,25.5,1.5
Jammu and Kashmir,Samba,2014-2015,23.0,34.5,1.5
Jammu and Kashmir,Samba,2015-2016,193.0,289.5,1.5
Jammu and Kashmir,Samba,2020-2021,1.0,1.5,1.5
Jammu and Kashmir,Udhampur,2014-2015,1282.0,1923.0,1.5
Jharkhand,Chatra,2013-2014,284.0,14090.0,49.61
Jharkhand,Chatra,2014-2015,237.0,9960.0,42.03
Jharkhand,East singhbum,2013-2014,6.0,298.0,49.67
Jharkhand,East singhbum,2014-2015,2.0,8.0,4.0
Jharkhand,Garhwa,2013-2014,147.0,12239.0,83.26
Jharkhand,Garhwa,2014-2015,98.0,8384.0,85.55
Jharkhand,Godda,2013-2014,16.0,783.0,48.94
Jharkhand,Godda,2014-2015,21.0,883.0,42.05
Jharkhand,Gumla,2013-2014,5.0,248.0,49.6
Jharkhand,Gumla,2014-2015,4.0,168.0,42.0
Jharkhand,Hazaribagh,2013-2014,61.0,1887.0,30.93
Jharkhand,Hazaribagh,2014-2015,48.0,1636.0,34.08
Jharkhand,Koderma,2013-2014,50.0,738.0,14.76
Jharkhand,Koderma,2014-2015,25.0,474.0,18.96
Jharkhand,Latehar,2014-2015,1.0,42.0,42.0
Jharkhand,Lohardaga,2013-2014,132.0,6142.0,46.53
Jharkhand,Lohardaga,2014-2015,130.0,6231.0,47.93
Jharkhand,Palamu,2013-2014,231.0,16641.0,72.04
Jharkhand,Palamu,2014-2015,147.0,9645.0,65.61
Jharkhand,Sahebganj,2013-2014,66.0,3274.0,49.61
Karnataka,Bagalkot,2013-2014,86942.0,9002844.0,103.55
Karnataka,Bagalkot,2014-2015,93679.0,10234431.0,109.25
Karnataka,Bagalkot,2015-2016,94085.0,9027456.0,95.95
Karnataka,Bagalkot,2016-2017,88266.0,6372805.0,72.2
Karnataka,Bagalkot,2017-2018,83339.0,6729624.0,80.75
Karnataka,Bagalkot,2018-2019,101924.0,7843052.0,76.95
Karnataka,Bagalkot,2019-2020,82455.0,5788027.0,70.2
Karnataka,Bagalkot,2020-2021,82529.0,7592668.0,92.0
Karnataka,Bagalkot,2021-2022,107170.0,9216637.0,86.0
Karnataka,Bagalkot,2022-2023,122259.0,9047160.0,74.0
Karnataka,Bangalore rural,2013-2014,1.0,89.0,89.0
Karnataka,Bangalore rural,2015-2016,6.0,484.0,80.67
Karnataka,Bangalore rural,2018-2019,59.0,5044.0,85.49
Karnataka,Bangalore rural,2019-2020,109.0,9152.0,83.96
Karnataka,Bangalore rural,2020-2021,79.0,7584.0,96.0
Karnataka,Bangalore rural,2021-2022,117.0,11196.0,95.69
Karnataka,Bangalore rural,2022-2023,161.0,14465.0,89.84
Karnataka,Belgaum,2013-2014,159443.0,14389731.0,90.25
Karnataka,Belgaum,2014-2015,180571.0,16296533.0,90.25
Karnataka,Belgaum,2015-2016,175778.0,14528052.0,82.65
Karnataka,Belgaum,2016-2017,163511.0,10718146.0,65.55
Karnataka,Belgaum,2017-2018,208729.0,20622425.0,98.8
Karnataka,Belgaum,2018-2019,206864.0,19062518.0,92.15
Karnataka,Belgaum,2019-2020,189896.0,17732573.0,93.38
Karnataka,Belgaum,2020-2021,201448.0,20346248.0,101.0
Karnataka,Belgaum,2021-2022,271730.0,26086055.0,96.0
Karnataka,Belgaum,2022-2023,278487.0,26734714.0,96.0
Karnataka,Bellary,2013-2014,6004.0,484823.0,80.75
Karnataka,Bellary,2014-2015,3406.0,349456.0,102.6
Karnataka,Bellary,2015-2016,7835.0,803871.0,102.6
Karnataka,Bellary,2016-2017,6994.0,511611.0,73.15
Karnataka,Bellary,2017-2018,4405.0,372443.0,84.55
Karnataka,Bellary,2018-2019,10096.0,575472.0,57.0
Karnataka,Bellary,2019-2020,6016.0,607910.0,101.05
