State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Bihar,Pashchim champaran,2020-2021,143790.0,7894646.0,54.9
Bihar,Pashchim champaran,2021-2022,143778.0,8504181.0,59.15
Bihar,Pashchim champaran,2022-2023,145645.0,9743068.0,66.9
Bihar,Patna,2013-2014,128.0,7252.0,56.66
Bihar,Patna,2014-2015,112.0,6541.0,58.4
Bihar,Patna,2015-2016,115.0,5840.0,50.78
Bihar,Patna,2016-2017,118.0,6696.0,56.75
Bihar,Patna,2017-2018,111.0,6736.0,60.68
Bihar,Patna,2018-2019,55.0,3143.0,57.15
Bihar,Patna,2019-2020,30.0,1834.0,61.13
Bihar,Patna,2020-2021,38.0,2075.0,54.61
Bihar,Patna,2021-2022,36.0,1959.0,54.42
Bihar,Patna,2022-2023,35.0,2577.0,73.63
Bihar,Purbi champaran,2013-2014,22789.0,954904.0,41.9
Bihar,Purbi champaran,2014-2015,23723.0,1205280.0,50.81
Bihar,Purbi champaran,2015-2016,23003.0,423547.0,18.41
Bihar,Purbi champaran,2016-2017,23003.0,1253248.0,54.48
Bihar,Purbi champaran,2017-2018,22762.0,986054.0,43.32
Bihar,Purbi champaran,2018-2019,21321.0,963443.0,45.19
Bihar,Purbi champaran,2019-2020,21186.0,1124418.0,53.07
Bihar,Purbi champaran,2020-2021,21181.0,947444.0,44.73
Bihar,Purbi champaran,2021-2022,20196.0,841510.0,41.67
Bihar,Purbi champaran,2022-2023,20112.0,1628118.0,80.95
Bihar,Purnia,2013-2014,48.0,2304.0,48.0
Bihar,Purnia,2014-2015,49.0,3055.0,62.35
Bihar,Purnia,2015-2016,35.0,1667.0,47.63
Bihar,Purnia,2016-2017,29.0,1557.0,53.69
Bihar,Purnia,2017-2018,37.0,2186.0,59.08
Bihar,Purnia,2018-2019,11.0,1039.0,94.45
Bihar,Purnia,2019-2020,2.0,121.0,60.5
Bihar,Purnia,2020-2021,2.0,110.0,55.0
Bihar,Purnia,2021-2022,10.0,573.0,57.3
Bihar,Purnia,2022-2023,11.0,759.0,69.0
Bihar,Rohtas,2013-2014,13.0,677.0,52.08
Bihar,Rohtas,2014-2015,77.0,5086.0,66.05
Bihar,Rohtas,2015-2016,81.0,3528.0,43.56
Bihar,Saharsa,2013-2014,168.0,8404.0,50.02
Bihar,Saharsa,2014-2015,68.0,4240.0,62.35
Bihar,Saharsa,2015-2016,176.0,9630.0,54.72
Bihar,Saharsa,2016-2017,166.0,9187.0,55.34
Bihar,Saharsa,2017-2018,146.0,8661.0,59.32
Bihar,Saharsa,2018-2019,135.0,12129.0,89.84
Bihar,Saharsa,2019-2020,132.0,8008.0,60.67
Bihar,Saharsa,2020-2021,125.0,6271.0,50.17
Bihar,Saharsa,2021-2022,126.0,7157.0,56.8
Bihar,Saharsa,2022-2023,110.0,7576.0,68.87
Bihar,Samastipur,2013-2014,5954.0,339815.0,57.07
Bihar,Samastipur,2014-2015,4085.0,147043.0,36.0
Bihar,Samastipur,2015-2016,4237.0,189836.0,44.8
Bihar,Samastipur,2016-2017,3098.0,164721.0,53.17
Bihar,Samastipur,2017-2018,2790.0,165384.0,59.28
Bihar,Samastipur,2018-2019,2971.0,143121.0,48.17
Bihar,Samastipur,2019-2020,3300.0,271981.0,82.42
Bihar,Samastipur,2020-2021,2969.0,144285.0,48.6
Bihar,Samastipur,2021-2022,2973.0,158446.0,53.29
Bihar,Samastipur,2022-2023,3106.0,327282.0,105.37
Bihar,Saran,2013-2014,546.0,29708.0,54.41
Bihar,Saran,2014-2015,417.0,23948.0,57.43
Bihar,Saran,2015-2016,421.0,21655.0,51.44
Bihar,Saran,2016-2017,646.0,34153.0,52.87
Bihar,Saran,2017-2018,335.0,17799.0,53.13
Bihar,Saran,2018-2019,378.0,25969.0,68.7
Bihar,Saran,2019-2020,250.0,15676.0,62.7
Bihar,Saran,2020-2021,96.0,5350.0,55.73
Bihar,Saran,2021-2022,195.0,12899.0,66.15
Bihar,Saran,2022-2023,175.0,14133.0,80.76
Bihar,Sheikhpura,2013-2014,156.0,7591.0,48.66
Bihar,Sheikhpura,2014-2015,167.0,10093.0,60.44
Bihar,Sheikhpura,2015-2016,157.0,8410.0,53.57
Bihar,Sheikhpura,2016-2017,161.0,8957.0,55.63
Bihar,Sheikhpura,2017-2018,1.0,56.0,56.0
Bihar,Sheikhpura,2018-2019,4.0,227.0,56.75
Bihar,Sheikhpura,2019-2020,26.0,1589.0,61.12
Bihar,Sheikhpura,2020-2021,22.0,1418.0,64.45
Bihar,Sheikhpura,2021-2022,15.0,816.0,54.4
Bihar,Sheikhpura,2022-2023,20.0,1495.0,74.75
Bihar,Sheohar,2013-2014,2055.0,189859.0,92.39
Bihar,Sheohar,2014-2015,1776.0,114675.0,64.57
Bihar,Sheohar,2015-2016,1926.0,197862.0,102.73
Bihar,Sheohar,2016-2017,1941.0,105151.0,54.17
Bihar,Sheohar,2017-2018,1966.0,201083.0,102.28
Bihar,Sheohar,2018-2019,1775.0,176970.0,99.7
Bihar,Sheohar,2019-2020,1790.0,124641.0,69.63
Bihar,Sheohar,2020-2021,1779.0,95483.0,53.67
Bihar,Sheohar,2021-2022,1841.0,98427.0,53.46
Bihar,Sheohar,2022-2023,1677.0,113099.0,67.44
Bihar,Sitamarhi,2013-2014,25930.0,1255330.0,48.41
Bihar,Sitamarhi,2014-2015,25920.0,1519698.0,58.63
Bihar,Sitamarhi,2015-2016,24432.0,1382184.0,56.57
Bihar,Sitamarhi,2016-2017,24457.0,1429647.0,58.46
Bihar,Sitamarhi,2017-2018,24302.0,1616073.0,66.5
Bihar,Sitamarhi,2018-2019,24543.0,1306002.0,53.21
Bihar,Sitamarhi,2019-2020,24565.0,1317149.0,53.62
Bihar,Sitamarhi,2020-2021,24306.0,1560306.0,64.19
Bihar,Sitamarhi,2021-2022,22686.0,1288067.0,56.78
Bihar,Sitamarhi,2022-2023,20557.0,1415751.0,68.87
Bihar,Siwan,2013-2014,2589.0,140904.0,54.42
Bihar,Siwan,2014-2015,2677.0,147570.0,55.13
Bihar,Siwan,2015-2016,2592.0,171321.0,66.1
Bihar,Siwan,2016-2017,2591.0,331617.0,127.99
Bihar,Siwan,2017-2018,2722.0,166716.0,61.25
Bihar,Siwan,2018-2019,2717.0,147358.0,54.24
Bihar,Siwan,2019-2020,2716.0,133375.0,49.11
Bihar,Siwan,2020-2021,2716.0,108168.0,39.83
Bihar,Siwan,2021-2022,2716.0,146233.0,53.84
