State,District,Year,cotton_area,cotton_production,cotton_yield
Andhra Pradesh,Palnadu,2022-2023,"1,04,942.008","3,17,708.0022",5.779999999999999
Andhra Pradesh,Parvathipuram manyam,2022-2023,"8,845.00","27,229.00",3.08
Andhra Pradesh,Prakasam,2013-2014,"82,988.001,352.00","2,76,301.004,501.00",6.66
Andhra Pradesh,Prakasam,2014-2015,"71,520.00651","2,52,407.002,298.00",7.06
Andhra Pradesh,Prakasam,2015-2016,"58,025.00214","1,63,447.00602",5.63
Andhra Pradesh,Prakasam,2016-2017,"14,105.001,671.00","43,441.005,151.00",6.16
Andhra Pradesh,Prakasam,2017-2018,"35,076.00496","84,281.001,192.00",4.8
Andhra Pradesh,Prakasam,2018-2019,"38,467.00255","77,234.00513",4.02
Andhra Pradesh,Prakasam,2019-2020,"45,376.001,114.00","22,296.003,219.00",3.38
Andhra Pradesh,Prakasam,2020-2021,"32,175.00808","44,541.001,118.00",2.76
Andhra Pradesh,Prakasam,2021-2022,"32,341.009,008.00","62,180.0017,320.00",3.84
Andhra Pradesh,Prakasam,2022-2023,"46,588.002,483.00","79,038.006,985.00",4.51
Andhra Pradesh,Spsr nellore,2013-2014,"5,220.001,565.00","13,081.003,922.00",5.02
Andhra Pradesh,Spsr nellore,2014-2015,"6,615.002,872.00","20,463.008,885.00",6.18
Andhra Pradesh,Spsr nellore,2015-2016,"4,617.00998","10,969.002,372.00",4.76
Andhra Pradesh,Spsr nellore,2016-2017,"2,124.005,484.00","5,169.0013,355.00",4.87
Andhra Pradesh,Spsr nellore,2017-2018,"3,863.00964","7,591.001,895.00",3.94
Andhra Pradesh,Spsr nellore,2018-2019,"7912,223.00","2,097.005,895.00",5.3
Andhra Pradesh,Spsr nellore,2019-2020,"1,012.001,025.00","4352,590.00",2.96
Andhra Pradesh,Spsr nellore,2020-2021,"2,748.00620","7,539.001,702.00",5.49
Andhra Pradesh,Spsr nellore,2021-2022,"1,936.004,779.00","5,741.0014,172.00",5.94
Andhra Pradesh,Spsr nellore,2022-2023,"5,207.0010,449.00","9,765.0029,396.00",4.69
Andhra Pradesh,Sri sathya sai,2022-2023,"5,978.0076","3,397.00140",2.41
Andhra Pradesh,Srikakulam,2013-2014,"9,846.00","28,843.00",2.93
Andhra Pradesh,Srikakulam,2014-2015,"9,563.00","42,122.00",4.4
Andhra Pradesh,Srikakulam,2015-2016,"8,883.00","28,105.00",3.16
Andhra Pradesh,Srikakulam,2016-2017,"7,155.00","24,143.00",3.37
Andhra Pradesh,Srikakulam,2017-2018,"7,478.00","27,390.00",3.66
Andhra Pradesh,Srikakulam,2018-2019,"5,488.00","16,246.00",2.96
Andhra Pradesh,Srikakulam,2019-2020,"5,712.00","3,016.00",0.53
Andhra Pradesh,Srikakulam,2020-2021,"3,723.00","13,491.00",3.62
Andhra Pradesh,Srikakulam,2021-2022,"3,457.00","9,619.00",2.78
Andhra Pradesh,Srikakulam,2022-2023,"1,381.00","3,454.00",2.5
Andhra Pradesh,Tirupati,2022-2023,11271,204130,3.65
Andhra Pradesh,Visakhapatanam,2013-2014,"2,798.00","8,196.00",2.93
Andhra Pradesh,Visakhapatanam,2014-2015,"2,840.00","12,510.00",4.4
Andhra Pradesh,Visakhapatanam,2015-2016,"2,123.00","3,609.00",1.7
Andhra Pradesh,Visakhapatanam,2016-2017,"1,652.00","1,950.00",1.18
Andhra Pradesh,Visakhapatanam,2017-2018,"1,474.00","2,000.00",1.36
Andhra Pradesh,Visakhapatanam,2018-2019,"1,092.00","1,632.00",1.49
Andhra Pradesh,Visakhapatanam,2019-2020,976,396,0.41
Andhra Pradesh,Visakhapatanam,2020-2021,810,660,0.81
Andhra Pradesh,Visakhapatanam,2021-2022,274,315,1.15
Andhra Pradesh,Vizianagaram,2013-2014,"15,303.00","26,735.00",1.75
Andhra Pradesh,Vizianagaram,2014-2015,"15,698.00","37,286.00",2.38
Andhra Pradesh,Vizianagaram,2015-2016,"15,597.00","33,141.00",2.12
Andhra Pradesh,Vizianagaram,2016-2017,"14,632.002","31,148.004",4.13
Andhra Pradesh,Vizianagaram,2017-2018,"13,630.00","33,550.00",2.46
Andhra Pradesh,Vizianagaram,2018-2019,"11,485.00","26,016.00",2.27
Andhra Pradesh,Vizianagaram,2019-2020,"12,257.00","5,430.00",0.44
Andhra Pradesh,Vizianagaram,2020-2021,"10,070.00","21,451.00",2.13
Andhra Pradesh,Vizianagaram,2021-2022,"9,228.00","19,279.00",2.09
Andhra Pradesh,Vizianagaram,2022-2023,"2,039.00","5,892.00",2.89
Andhra Pradesh,West godavari,2013-2014,"5,240.00","13,038.00",2.49
Andhra Pradesh,West godavari,2014-2015,"9,795.00","13,807.00",1.41
Andhra Pradesh,West godavari,2015-2016,"8,392.00","27,715.00",3.3
Andhra Pradesh,West godavari,2016-2017,"4,615.00","14,782.00",3.2
Andhra Pradesh,West godavari,2017-2018,"4,525.00","13,985.00",3.09
Andhra Pradesh,West godavari,2018-2019,"5,235.00","16,989.00",3.25
Andhra Pradesh,West godavari,2019-2020,"4,856.00","2,285.00",0.47
Andhra Pradesh,West godavari,2020-2021,"4,770.00","7,792.00",1.63
Andhra Pradesh,West godavari,2021-2022,"2,929.00","8,184.00",2.79
Assam,Baksa,2013-2014,10,4,0.4
Assam,Baksa,2014-2015,11,5,0.45
Assam,Baksa,2015-2016,9,4,0.44
Assam,Baksa,2016-2017,10,4,0.4
Assam,Baksa,2017-2018,10,4,0.4
Assam,Baksa,2018-2019,9,4,0.44
Assam,Baksa,2019-2020,9,4,0.44
Assam,Baksa,2020-2021,5,2,0.4
Assam,Baksa,2021-2022,5,2,0.4
Assam,Baksa,2022-2023,3,1,0.33
Assam,Barpeta,2013-2014,8,4,0.5
Assam,Barpeta,2014-2015,5,3,0.6
Assam,Barpeta,2015-2016,4,2,0.5
Assam,Barpeta,2016-2017,2,2,1.0
Assam,Barpeta,2017-2018,2,2,1.0
Assam,Barpeta,2018-2019,2,2,1.0
Assam,Barpeta,2019-2020,2,2,1.0
Assam,Barpeta,2020-2021,1,1,1.0
Assam,Biswanath,2020-2021,2,1,0.5
Assam,Biswanath,2021-2022,14,5,0.36
Assam,Biswanath,2022-2023,14,4,0.29
Assam,Bongaigaon,2013-2014,3,1,0.33
Assam,Bongaigaon,2014-2015,2,1,0.5
Assam,Cachar,2013-2014,94,34,0.36
Assam,Cachar,2014-2015,96,35,0.36
Assam,Cachar,2015-2016,96,36,0.38
Assam,Cachar,2016-2017,88,32,0.36
Assam,Cachar,2017-2018,80,31,0.39
Assam,Cachar,2018-2019,73,28,0.38
Assam,Cachar,2019-2020,70,29,0.41
Assam,Cachar,2020-2021,72,30,0.42
Assam,Cachar,2021-2022,73,32,0.44
Assam,Cachar,2022-2023,72,27,0.38
Assam,Chirang,2013-2014,27,11,0.41
Assam,Chirang,2014-2015,24,10,0.42
Assam,Chirang,2015-2016,29,14,0.48
Assam,Chirang,2016-2017,16,7,0.44
Assam,Chirang,2017-2018,10,4,0.4
Assam,Chirang,2018-2019,9,3,0.33
Assam,Chirang,2019-2020,5,2,0.4
Assam,Darrang,2013-2014,2,1,0.5
Assam,Darrang,2014-2015,2,1,0.5
Assam,Darrang,2015-2016,2,1,0.5
Assam,Darrang,2016-2017,2,1,0.5
Assam,Darrang,2017-2018,2,5,2.5
Assam,Darrang,2018-2019,2,5,2.5
Assam,Darrang,2019-2020,1,3,3.0
Assam,Darrang,2020-2021,1,1,1.0
Assam,Darrang,2021-2022,1,1,1.0
Assam,Darrang,2022-2023,1,1,1.0
Assam,Dhemaji,2013-2014,9,4,0.44
Assam,Dhemaji,2014-2015,11,4,0.36
Assam,Dhemaji,2015-2016,4,2,0.5
Assam,Dhemaji,2016-2017,4,2,0.5
Assam,Dhemaji,2017-2018,2,1,0.5
Assam,Dhemaji,2018-2019,4,2,0.5
Assam,Dhemaji,2019-2020,2,1,0.5
Assam,Dhemaji,2020-2021,2,1,0.5
Assam,Dhemaji,2021-2022,2,1,0.5
Assam,Dhemaji,2022-2023,7,3,0.43
Assam,Dibrugarh,2014-2015,1,1,1.0
Assam,Dibrugarh,2015-2016,1,1,1.0
Assam,Dima hasao,2013-2014,11,5,0.45
Assam,Dima hasao,2014-2015,57,27,0.47
Assam,Dima hasao,2015-2016,63,30,0.48
Assam,Dima hasao,2016-2017,62,31,0.5
Assam,Dima hasao,2017-2018,61,32,0.52
Assam,Dima hasao,2018-2019,52,28,0.54
Assam,Dima hasao,2019-2020,37,20,0.54
Assam,Dima hasao,2020-2021,62,33,0.53
Assam,Dima hasao,2021-2022,53,28,0.53
Assam,Dima hasao,2022-2023,53,28,0.53
Assam,Goalpara,2013-2014,6,2,0.33
Assam,Goalpara,2014-2015,9,3,0.33
Assam,Goalpara,2015-2016,8,3,0.38
Assam,Golaghat,2013-2014,13,5,0.38
Assam,Golaghat,2014-2015,11,5,0.45
Assam,Golaghat,2015-2016,13,5,0.38
Assam,Golaghat,2016-2017,11,4,0.36
Assam,Golaghat,2017-2018,6,2,0.33
Assam,Golaghat,2018-2019,10,4,0.4
Assam,Golaghat,2019-2020,9,4,0.44
Assam,Golaghat,2020-2021,9,4,0.44
Assam,Golaghat,2021-2022,8,4,0.5
Assam,Golaghat,2022-2023,4,2,0.5
Assam,Hailakandi,2013-2014,20,8,0.4
Assam,Hailakandi,2014-2015,10,4,0.4
Assam,Hailakandi,2015-2016,10,4,0.4
Assam,Hailakandi,2016-2017,10,4,0.4
Assam,Hailakandi,2017-2018,7,3,0.43
Assam,Hailakandi,2018-2019,8,4,0.5
Assam,Hailakandi,2019-2020,5,2,0.4
Assam,Hailakandi,2020-2021,4,2,0.5
Assam,Hailakandi,2021-2022,4,2,0.5
Assam,Hailakandi,2022-2023,4,2,0.5
Assam,Jorhat,2013-2014,8,4,0.5
Assam,Jorhat,2014-2015,15,6,0.4
Assam,Jorhat,2015-2016,19,8,0.42
Assam,Jorhat,2016-2017,8,3,0.38
Assam,Jorhat,2017-2018,8,3,0.38
Assam,Jorhat,2018-2019,10,4,0.4
Assam,Jorhat,2019-2020,11,5,0.45
Assam,Jorhat,2020-2021,5,2,0.4
Assam,Jorhat,2021-2022,6,3,0.5
Assam,Jorhat,2022-2023,6,3,0.5
Assam,Kamrup,2013-2014,3,1,0.33
Assam,Kamrup,2014-2015,2,1,0.5
Assam,Kamrup,2015-2016,2,2,1.0
Assam,Kamrup,2016-2017,1,1,1.0
Assam,Kamrup,2018-2019,2,1,0.5
Assam,Kamrup,2022-2023,2,2,1.0
Assam,Kamrup metro,2013-2014,3,1,0.33
Assam,Kamrup metro,2014-2015,4,2,0.5
Assam,Kamrup metro,2015-2016,5,2,0.4
Assam,Kamrup metro,2016-2017,4,2,0.5
Assam,Kamrup metro,2018-2019,10,4,0.4
Assam,Karbi anglong,2013-2014,817,405,0.5
Assam,Karbi anglong,2014-2015,567,280,0.49
Assam,Karbi anglong,2015-2016,576,288,0.5
Assam,Karbi anglong,2016-2017,605,307,0.51
Assam,Karbi anglong,2017-2018,519,266,0.51
Assam,Karbi anglong,2018-2019,593,316,0.53
Assam,Karbi anglong,2019-2020,580,318,0.55
Assam,Karbi anglong,2020-2021,446,236,0.53
Assam,Karbi anglong,2021-2022,415,222,0.53
Assam,Karbi anglong,2022-2023,304,170,0.56
Assam,Karimganj,2013-2014,32,14,0.44
Assam,Karimganj,2014-2015,27,12,0.44
Assam,Karimganj,2015-2016,25,12,0.48
Assam,Karimganj,2016-2017,25,11,0.44
Assam,Karimganj,2017-2018,21,6,0.29
Assam,Karimganj,2018-2019,21,7,0.33
Assam,Karimganj,2019-2020,22,8,0.36
Assam,Karimganj,2020-2021,20,11,0.55
Assam,Karimganj,2021-2022,13,5,0.38
Assam,Karimganj,2022-2023,11,4,0.36
Assam,Kokrajhar,2013-2014,22,10,0.45
Assam,Kokrajhar,2014-2015,17,7,0.41
