State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,813,899,1.11,,,
,,2022 - 2023,,,,796,"1,111.00",1.4,,,
,27. Purbi champaran,2013 - 2014,,,,"1,673.00","3,389.00",2.03,,,
,,2014 - 2015,,,,"1,415.00","2,389.00",1.69,,,
,,2015 - 2016,,,,"1,512.00","4,548.00",3.01,,,
,,2016 - 2017,,,,"1,436.00","3,765.00",2.62,,,
,,2017 - 2018,,,,"1,370.00","2,651.00",1.94,,,
,,2018 - 2019,,,,"1,357.00","3,542.00",2.61,,,
,,2019 - 2020,,,,"1,365.00","3,978.00",2.91,,,
,,2020 - 2021,,,,"1,356.00","2,362.00",1.74,,,
,,2021 - 2022,,,,"1,356.00","2,096.00",1.55,,,
,,2022 - 2023,,,,"1,380.00","2,211.00",1.6,,,
,28. Purnia,2013 - 2014,,,,108,180,1.67,,,
,,2014 - 2015,,,,118,170,1.44,,,
,,2015 - 2016,,,,110,173,1.57,,,
,,2016 - 2017,,,,112,177,1.58,,,
,,2017 - 2018,,,,105,163,1.55,,,
,29. Rohtas,2013 - 2014,,,,"1,116.00","1,710.00",1.53,,,
,,2014 - 2015,,,,838,"1,053.00",1.26,,,
,,2015 - 2016,,,,842,"2,058.00",2.44,,,
,,2016 - 2017,,,,932,"1,257.00",1.35,,,
,,2017 - 2018,,,,938,"1,758.00",1.87,,,
,,2018 - 2019,,,,940,"1,888.00",2.01,,,
,,2019 - 2020,,,,941,"1,722.00",1.83,,,
,,2020 - 2021,,,,501,856,1.71,,,
,,2021 - 2022,,,,454,"1,135.00",2.5,,,
,,2022 - 2023,,,,10,14,1.4,,,
,30. Samastipur,2013 - 2014,,,,"1,836.00","2,756.00",1.5,,,
,,2014 - 2015,,,,958,"1,092.00",1.14,,,
,,2015 - 2016,,,,"1,418.00","1,638.00",1.16,,,
,,2016 - 2017,,,,813,908,1.12,,,
,,2017 - 2018,,,,805,882,1.1,,,
,,2018 - 2019,,,,840,"1,154.00",1.37,,,
,,2019 - 2020,,,,704,"1,102.00",1.57,,,
,,2020 - 2021,,,,703,671,0.95,,,
,,2021 - 2022,,,,746,"1,669.00",2.24,,,
,,2022 - 2023,,,,751,"1,604.00",2.14,,,
,31. Saran,2013 - 2014,,,,756,"1,662.00",2.2,,,
,,2014 - 2015,,,,789,963,1.22,,,
,,2015 - 2016,,,,759,"1,006.00",1.33,,,
,,2016 - 2017,,,,566,814,1.44,,,
,,2017 - 2018,,,,429,"3,049.00",7.11,,,
,,2018 - 2019,,,,464,912,1.97,,,
,,2019 - 2020,,,,336,681,2.03,,,
,,2020 - 2021,,,,220,576,2.62,,,
,,2021 - 2022,,,,238,323,1.36,,,
,,2022 - 2023,,,,240,490,2.04,,,
,32. Sheikhpura,2013 - 2014,,,,220,426,1.94,,,
,,2014 - 2015,,,,115,217,1.89,,,
,,2015 - 2016,,,,202,309,1.53,,,
,,2016 - 2017,,,,179,297,1.66,,,
,,2017 - 2018,,,,265,278,1.05,,,
,,2018 - 2019,,,,279,534,1.91,,,
,,2019 - 2020,,,,301,488,1.62,,,
,,2020 - 2021,,,,257,389,1.51,,,
,,2021 - 2022,,,,240,391,1.63,,,
,,2022 - 2023,,,,241,299,1.24,,,
,33. Sheohar,2013 - 2014,,,,183,313,1.71,,,
,,2014 - 2015,,,,158,230,1.46,,,
,,2015 - 2016,,,,96,217,2.26,,,
,,2016 - 2017,,,,49,118,2.41,,,
,,2017 - 2018,,,,51,106,2.08,,,
,,2018 - 2019,,,,46,114,2.48,,,
,,2019 - 2020,,,,23,52,2.26,,,
,,2020 - 2021,,,,22,40,1.82,,,
,,2021 - 2022,,,,25,39,1.56,,,
,,2022 - 2023,,,,24,39,1.63,,,
,34. Sitamarhi,2013 - 2014,,,,60,78,1.3,,,
,,2014 - 2015,,,,57,83,1.46,,,
,,2015 - 2016,,,,57,129,2.26,,,
,,2016 - 2017,,,,60,145,2.42,,,
,,2017 - 2018,,,,60,125,2.08,,,
,,2018 - 2019,,,,60,148,2.47,,,
,,2019 - 2020,,,,59,134,2.27,,,
,,2020 - 2021,,,,58,106,1.83,,,
,,2021 - 2022,,,,56,87,1.55,,,
,,2022 - 2023,,,,55,90,1.64,,,
,35. Siwan,2013 - 2014,,,,"1,152.00","1,385.00",1.2,,,
,,2014 - 2015,,,,"1,114.00","1,547.00",1.39,,,
,,2015 - 2016,,,,"1,110.00","1,415.00",1.27,,,
,,2016 - 2017,,,,"1,096.00","1,737.00",1.58,,,
,,2017 - 2018,,,,"1,103.00","1,977.00",1.79,,,
,,2018 - 2019,,,,"1,103.00","1,244.00",1.13,,,
,,2019 - 2020,,,,"1,103.00","1,699.00",1.54,,,
,,2020 - 2021,,,,"1,103.00","2,176.00",1.97,,,
,,2021 - 2022,,,,"1,103.00","1,503.00",1.36,,,
,,2022 - 2023,,,,"1,103.00","2,408.00",2.18,,,
,36. Supaul,2013 - 2014,,,,60,100,1.67,,,
,,2014 - 2015,,,,61,88,1.44,,,
,,2015 - 2016,,,,61,96,1.57,,,
,,2016 - 2017,,,,31,49,1.58,,,
,,2017 - 2018,,,,30,46,1.53,,,
,,2018 - 2019,,,,40,74,1.85,,,
,,2019 - 2020,,,,41,69,1.68,,,
,37. Vaishali,2013 - 2014,,,,646,"1,205.00",1.87,,,
,,2014 - 2015,,,,591,"1,200.00",2.03,,,
,,2015 - 2016,,,,596,930,1.56,,,
,,2016 - 2017,,,,611,"1,477.00",2.42,,,
,,2017 - 2018,,,,579,"1,789.00",3.09,,,
,,2018 - 2019,,,,568,"1,781.00",3.14,,,
,,2019 - 2020,,,,541,948,1.75,,,
,,2020 - 2021,,,,507,"1,000.00",1.97,,,
,,2021 - 2022,,,,519,995,1.92,,,
,,2022 - 2023,,,,330,578,1.75,,,
6. Chhattisgarh,1. Balod,2013 - 2014,,,,547,264,0.48,,,
,,2014 - 2015,,,,519,300,0.58,,,
,,2015 - 2016,,,,489,192,0.39,,,
,,2016 - 2017,,,,462,269,0.58,,,
,,2017 - 2018,,,,460,166,0.36,,,
,,2018 - 2019,,,,356,145,0.41,,,
,,2019 - 2020,,,,116,72,0.62,,,
,,2020 - 2021,,,,221,114,0.52,,,
,,2021 - 2022,,,,358,190,0.53,,,
,,2022 - 2023,,,,203,147,0.72,,,
,2. Baloda bazar,2013 - 2014,,,,"1,486.00",560,0.38,,,
,,2014 - 2015,,,,"1,292.00",613,0.47,,,
,,2015 - 2016,,,,"1,167.00",347,0.3,,,
,,2016 - 2017,,,,954,315,0.33,,,
,,2017 - 2018,,,,780,180,0.23,,,
,,2018 - 2019,,,,592,152,0.26,,,
,,2019 - 2020,,,,354,130,0.37,,,
,,2020 - 2021,,,,318,99,0.31,,,
,,2021 - 2022,,,,274,92,0.34,,,
,,2022 - 2023,,,,220,101,0.46,,,
,3. Balrampur,2013 - 2014,,,,"8,106.00","4,407.00",0.54,,,
,,2014 - 2015,,,,"8,214.00","5,852.00",0.71,,,
,,2015 - 2016,,,,"8,526.00","4,481.00",0.53,,,
,,2016 - 2017,,,,"8,483.00","5,954.00",0.7,,,
,,2017 - 2018,,,,"7,921.00","3,255.00",0.41,,,
,,2018 - 2019,,,,"8,828.00","4,540.00",0.51,,,
,,2019 - 2020,,,,"6,117.00","4,050.00",0.66,,,
,,2020 - 2021,,,,"4,645.00","2,727.00",0.59,,,
,,2021 - 2022,,,,"4,515.00","2,495.00",0.55,,,
,,2022 - 2023,,,,"3,975.00","2,786.00",0.7,,,
,4. Bastar,2013 - 2014,,,,496,330,0.67,,,
,,2014 - 2015,,,,433,314,0.73,,,
,,2015 - 2016,,,,402,230,0.57,,,
,,2016 - 2017,,,,395,231,0.58,,,
,,2017 - 2018,,,,383,194,0.51,,,
,,2018 - 2019,,,,327,188,0.57,,,
,,2019 - 2020,,,,178,118,0.66,,,
,,2020 - 2021,,,,150,75,0.5,,,
,,2021 - 2022,,,,179,97,0.54,,,
,,2022 - 2023,,,,157,108,0.69,,,
,5. Bemetara,2013 - 2014,,,,"3,630.00","1,987.00",0.55,,,
,,2014 - 2015,,,,"2,525.00","1,489.00",0.59,,,
,,2015 - 2016,,,,"4,699.00","1,917.00",0.41,,,
,,2016 - 2017,,,,"3,819.00","2,404.00",0.63,,,
,,2017 - 2018,,,,"4,175.00","1,750.00",0.42,,,
,,2018 - 2019,,,,"3,398.00","1,641.00",0.48,,,
,,2019 - 2020,,,,"2,351.00","1,299.00",0.55,,,
,,2020 - 2021,,,,"3,727.00","1,473.00",0.4,,,
,,2021 - 2022,,,,"5,079.00","2,699.00",0.53,,,
,,2022 - 2023,,,,"2,842.00","1,906.00",0.67,,,
,6. Bijapur,2013 - 2014,,,,10,10,1,,,
,,2014 - 2015,,,,7,4,0.57,,,
,,2015 - 2016,,,,4,2,0.5,,,
,,2016 - 2017,,,,5,3,0.6,,,
,,2017 - 2018,,,,3,1,0.33,,,
,,2018 - 2019,,,,4,6,1.5,,,
,,2019 - 2020,,,,6,4,0.67,,,
,,2020 - 2021,,,,2,2,1,,,
,,2021 - 2022,,,,3,4,1.33,,,
,,2022 - 2023,,,,4,5,1.25,,,
,7. Bilaspur,2013 - 2014,,,,"2,188.00","1,406.00",0.64,,,
,,2014 - 2015,,,,"2,236.00","1,428.00",0.64,,,
,,2015 - 2016,,,,"1,831.00","1,012.00",0.55,,,
,,2016 - 2017,,,,"1,997.00","1,047.00",0.52,,,
,,2017 - 2018,,,,"1,527.00",640,0.42,,,
,,2018 - 2019,,,,"1,383.00",667,0.48,,,
,,2019 - 2020,,,,159,87,0.55,,,
,,2020 - 2021,,,,136,73,0.54,,,
,,2021 - 2022,,,,160,91,0.57,,,
,,2022 - 2023,,,,143,95,0.66,,,
,8. Dantewada,2013 - 2014,,,,401,246,0.61,,,
,,2014 - 2015,,,,392,272,0.69,,,
,,2015 - 2016,,,,364,431,1.18,,,
,,2016 - 2017,,,,317,349,1.1,,,
,,2017 - 2018,,,,280,66,0.24,,,
,,2018 - 2019,,,,300,163,0.54,,,
,,2019 - 2020,,,,117,86,0.74,,,
,,2020 - 2021,,,,112,70,0.63,,,
,,2021 - 2022,,,,111,64,0.58,,,
,,2022 - 2023,,,,99,74,0.75,,,
,9. Dhamtari,2013 - 2014,,,,119,48,0.4,,,
,,2014 - 2015,,,,115,50,0.43,,,
,,2015 - 2016,,,,147,51,0.35,,,
,,2016 - 2017,,,,176,75,0.43,,,
,,2017 - 2018,,,,217,62,0.29,,,
,,2018 - 2019,,,,242,80,0.33,,,
,,2019 - 2020,,,,58,27,0.47,,,
,,2020 - 2021,,,,30,15,0.5,,,
,,2021 - 2022,,,,35,20,0.57,,,
,,2022 - 2023,,,,35,22,0.63,,,
