State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,74,92,1.24,,,
,,2018 - 2019,,,,63,76,1.21,,,
,,2019 - 2020,,,,35,35,1,,,
,,2020 - 2021,,,,30,36,1.2,,,
,,2021 - 2022,,,,40,46,1.15,,,
,,2022 - 2023,,,,26,30,1.15,,,
,4. Aravalli,2014 - 2015,,,,"8,440.00","5,636.00",0.67,,,
,,2015 - 2016,,,,"6,183.00","5,037.00",0.81,,,
,,2016 - 2017,,,,"7,866.00","7,661.00",0.97,,,
,,2017 - 2018,,,,"7,206.00","4,790.00",0.66,,,
,,2018 - 2019,,,,"5,512.00","5,584.00",1.01,,,
,,2019 - 2020,,,,"5,303.00","5,195.00",0.98,,,
,,2020 - 2021,,,,"3,710.00","4,199.00",1.13,,,
,,2021 - 2022,,,,"3,513.00","3,910.00",1.11,,,
,,2022 - 2023,,,,"2,965.00","3,180.00",1.07,,,
,5. Banas kantha,2013 - 2014,,,,"1,335.00","1,700.00",1.27,,,
,,2014 - 2015,,,,708,951,1.34,,,
,,2015 - 2016,,,,792,878,1.11,,,
,,2016 - 2017,,,,600,760,1.27,,,
,,2017 - 2018,,,,"1,065.00","2,476.00",2.32,,,
,,2018 - 2019,,,,464,609,1.31,,,
,,2019 - 2020,,,,296,482,1.63,,,
,,2020 - 2021,,,,329,538,1.64,,,
,,2021 - 2022,,,,167,194,1.16,,,
,,2022 - 2023,,,,137,159,1.16,,,
,6. Bharuch,2013 - 2014,,,,"64,445.00","49,236.00",0.76,,,
,,2014 - 2015,,,,"63,965.00","54,191.00",0.85,,,
,,2015 - 2016,,,,"73,520.00","84,107.00",1.14,,,
,,2016 - 2017,,,,"1,05,648.00","1,13,743.00",1.08,,,
,,2017 - 2018,,,,"74,325.00","75,991.00",1.02,,,
,,2018 - 2019,,,,"80,952.00","88,055.00",1.09,,,
,,2019 - 2020,,,,"68,416.00","64,183.00",0.94,,,
,,2020 - 2021,,,,"80,372.00","85,229.00",1.06,,,
,,2021 - 2022,,,,"80,292.00","87,169.00",1.09,,,
,,2022 - 2023,,,,"77,870.00","87,895.00",1.13,,,
,7. Bhavnagar,2013 - 2014,,,,421,360,0.86,,,
,,2014 - 2015,,,,704,766,1.09,,,
,,2015 - 2016,,,,279,343,1.23,,,
,,2016 - 2017,,,,963,"1,090.00",1.13,,,
,,2017 - 2018,,,,"1,317.00","1,637.00",1.24,,,
,,2018 - 2019,,,,"1,289.00","1,558.00",1.21,,,
,,2019 - 2020,,,,822,814,0.99,,,
,,2020 - 2021,,,,"1,042.00","1,236.00",1.19,,,
,,2021 - 2022,,,,937,"1,087.00",1.16,,,
,,2022 - 2023,,,,"1,096.00","1,275.00",1.16,,,
,8. Botad,2016 - 2017,,,,25,28,1.12,,,
,,2017 - 2018,,,,10,12,1.2,,,
,,2018 - 2019,,,,22,27,1.23,,,
,,2019 - 2020,,,,4,4,1,,,
,,2020 - 2021,,,,139,165,1.19,,,
,,2021 - 2022,,,,538,624,1.16,,,
,,2022 - 2023,,,,512,595,1.16,,,
,9. Chhotaudepur,2014 - 2015,,,,"22,180.00","38,458.00",1.73,,,
,,2015 - 2016,,,,"22,400.00","35,771.00",1.6,,,
,,2016 - 2017,,,,"35,175.00","41,736.00",1.19,,,
,,2017 - 2018,,,,"25,621.00","47,427.00",1.85,,,
,,2018 - 2019,,,,"20,515.00","32,331.00",1.58,,,
,,2019 - 2020,,,,"16,826.00","12,216.00",0.73,,,
,,2020 - 2021,,,,"12,994.00","19,256.00",1.48,,,
,,2021 - 2022,,,,"13,368.00","17,588.00",1.32,,,
,,2022 - 2023,,,,"14,999.00","16,029.00",1.07,,,
,10. Dang,2013 - 2014,,,,"1,850.00","1,584.00",0.86,,,
,,2015 - 2016,,,,"2,344.00","2,880.00",1.23,,,
,,2016 - 2017,,,,"2,347.00","2,656.00",1.13,,,
,,2017 - 2018,,,,"2,950.00","3,667.00",1.24,,,
,,2018 - 2019,,,,"3,050.00","3,687.00",1.21,,,
,,2019 - 2020,,,,"3,525.00","1,594.00",0.45,,,
,,2020 - 2021,,,,"3,565.00","3,259.00",0.91,,,
,,2021 - 2022,,,,"3,502.00","1,397.00",0.4,,,
,,2022 - 2023,,,,"3,472.00","1,709.00",0.49,,,
,11. Devbhumi dwarka,2016 - 2017,,,,76,86,1.13,,,
,,2017 - 2018,,,,65,81,1.25,,,
,12. Dohad,2013 - 2014,,,,"12,605.00","16,088.00",1.28,,,
,,2014 - 2015,,,,"14,128.00","12,797.00",0.91,,,
,,2015 - 2016,,,,"12,404.00","13,422.00",1.08,,,
,,2016 - 2017,,,,"12,811.00","17,020.00",1.33,,,
,,2017 - 2018,,,,"13,014.00","15,756.00",1.21,,,
,,2018 - 2019,,,,"13,621.00","6,771.00",0.5,,,
,,2019 - 2020,,,,"10,327.00","7,205.00",0.7,,,
,,2020 - 2021,,,,"10,146.00","8,301.00",0.82,,,
,,2021 - 2022,,,,"7,969.00","6,538.00",0.82,,,
,,2022 - 2023,,,,"7,930.00","4,293.00",0.54,,,
,13. Gandhinagar,2013 - 2014,,,,331,283,0.85,,,
,,2014 - 2015,,,,290,315,1.09,,,
,,2015 - 2016,,,,270,332,1.23,,,
,,2016 - 2017,,,,401,454,1.13,,,
,,2017 - 2018,,,,216,268,1.24,,,
,,2018 - 2019,,,,230,278,1.21,,,
,,2019 - 2020,,,,62,61,0.98,,,
,,2020 - 2021,,,,18,21,1.17,,,
,,2021 - 2022,,,,5,6,1.2,,,
,,2022 - 2023,,,,7,8,1.14,,,
,14. Gir somnath,2014 - 2015,,,,82,89,1.09,,,
,,2015 - 2016,,,,90,111,1.23,,,
,,2016 - 2017,,,,784,887,1.13,,,
,,2017 - 2018,,,,519,645,1.24,,,
,,2018 - 2019,,,,361,436,1.21,,,
,,2019 - 2020,,,,307,304,0.99,,,
,,2020 - 2021,,,,602,714,1.19,,,
,,2021 - 2022,,,,"2,160.00","2,505.00",1.16,,,
,,2022 - 2023,,,,"1,145.00","1,332.00",1.16,,,
,15. Jamnagar,2013 - 2014,,,,575,492,0.86,,,
,,2014 - 2015,,,,750,816,1.09,,,
,,2015 - 2016,,,,280,344,1.23,,,
,,2016 - 2017,,,,"2,976.00","3,368.00",1.13,,,
,,2017 - 2018,,,,"3,733.00","4,640.00",1.24,,,
,,2018 - 2019,,,,955,"1,097.00",1.15,,,
,,2019 - 2020,,,,967,"1,574.00",1.63,,,
,,2020 - 2021,,,,"1,000.00","2,062.00",2.06,,,
,,2021 - 2022,,,,"2,046.00","2,373.00",1.16,,,
,,2022 - 2023,,,,"2,260.00","2,628.00",1.16,,,
,16. Junagadh,2013 - 2014,,,,50,43,0.86,,,
,,2014 - 2015,,,,260,283,1.09,,,
,,2015 - 2016,,,,730,897,1.23,,,
,,2016 - 2017,,,,"2,905.00","3,288.00",1.13,,,
,,2017 - 2018,,,,"1,026.00","1,275.00",1.24,,,
,,2018 - 2019,,,,"2,040.00","2,466.00",1.21,,,
,,2019 - 2020,,,,834,"2,246.00",2.69,,,
,,2020 - 2021,,,,"11,727.00","31,489.00",2.69,,,
,,2021 - 2022,,,,"9,450.00","11,425.00",1.21,,,
,,2022 - 2023,,,,"10,855.00","23,595.00",2.17,,,
,17. Kachchh,2016 - 2017,,,,331,375,1.13,,,
,,2017 - 2018,,,,80,99,1.24,,,
,,2019 - 2020,,,,50,50,1,,,
,,2020 - 2021,,,,5,6,1.2,,,
,,2022 - 2023,,,,85,99,1.16,,,
,18. Kheda,2013 - 2014,,,,"1,285.00","1,449.00",1.13,,,
,,2014 - 2015,,,,655,713,1.09,,,
,,2015 - 2016,,,,585,719,1.23,,,
,,2016 - 2017,,,,746,844,1.13,,,
,,2017 - 2018,,,,778,967,1.24,,,
,,2018 - 2019,,,,587,710,1.21,,,
,,2019 - 2020,,,,732,725,0.99,,,
,,2020 - 2021,,,,687,815,1.19,,,
,,2021 - 2022,,,,540,626,1.16,,,
,,2022 - 2023,,,,617,718,1.16,,,
,19. Mahesana,2013 - 2014,,,,2,2,1,,,
,,2014 - 2015,,,,35,38,1.09,,,
,,2015 - 2016,,,,29,36,1.24,,,
,,2016 - 2017,,,,222,251,1.13,,,
,,2017 - 2018,,,,145,180,1.24,,,
,,2018 - 2019,,,,86,104,1.21,,,
,,2019 - 2020,,,,20,20,1,,,
,,2020 - 2021,,,,92,109,1.18,,,
,,2021 - 2022,,,,129,150,1.16,,,
,,2022 - 2023,,,,46,53,1.15,,,
,20. Mahisagar,2014 - 2015,,,,"6,511.00","12,571.00",1.93,,,
,,2015 - 2016,,,,"4,741.00","8,548.00",1.8,,,
,,2016 - 2017,,,,"6,030.00","12,970.00",2.15,,,
,,2017 - 2018,,,,"4,914.00","8,124.00",1.65,,,
,,2018 - 2019,,,,"4,945.00","7,156.00",1.45,,,
,,2019 - 2020,,,,"2,841.00","2,251.00",0.79,,,
,,2020 - 2021,,,,"3,545.00","2,527.00",0.71,,,
,,2021 - 2022,,,,"3,578.00","3,144.00",0.88,,,
,,2022 - 2023,,,,"3,717.00","2,707.00",0.73,,,
,21. Morbi,2014 - 2015,,,,50,54,1.08,,,
,,2015 - 2016,,,,458,563,1.23,,,
,,2016 - 2017,,,,475,538,1.13,,,
,,2017 - 2018,,,,745,926,1.24,,,
,,2018 - 2019,,,,"1,707.00","2,064.00",1.21,,,
,,2019 - 2020,,,,130,129,0.99,,,
,,2020 - 2021,,,,109,129,1.18,,,
,,2021 - 2022,,,,"1,490.00","1,728.00",1.16,,,
,,2022 - 2023,,,,"1,860.00","2,163.00",1.16,,,
,22. Narmada,2013 - 2014,,,,"21,596.00","15,918.00",0.74,,,
,,2014 - 2015,,,,"24,823.00","25,923.00",1.04,,,
,,2015 - 2016,,,,"20,397.00","24,658.00",1.21,,,
,,2016 - 2017,,,,"23,719.00","19,902.00",0.84,,,
,,2017 - 2018,,,,"18,568.00","16,809.00",0.91,,,
,,2018 - 2019,,,,"20,504.00","21,611.00",1.05,,,
,,2019 - 2020,,,,"22,628.00","23,521.00",1.04,,,
,,2020 - 2021,,,,"22,970.00","25,046.00",1.09,,,
,,2021 - 2022,,,,"18,366.00","20,373.00",1.11,,,
,,2022 - 2023,,,,"19,943.00","22,014.00",1.1,,,
,23. Navsari,2013 - 2014,,,,"1,599.00","1,369.00",0.86,,,
,,2014 - 2015,,,,"1,706.00",896,0.53,,,
,,2015 - 2016,,,,"1,320.00","1,622.00",1.23,,,
,,2016 - 2017,,,,"1,156.00",660,0.57,,,
,,2017 - 2018,,,,"1,176.00","1,095.00",0.93,,,
,,2018 - 2019,,,,"1,098.00",938,0.85,,,
,,2019 - 2020,,,,582,525,0.9,,,
,,2020 - 2021,,,,664,482,0.73,,,
,,2021 - 2022,,,,474,550,1.16,,,
,,2022 - 2023,,,,388,451,1.16,,,
,24. Panch mahals,2013 - 2014,,,,"19,204.00","33,659.00",1.75,,,
,,2014 - 2015,,,,"16,110.00","33,412.00",2.07,,,
,,2015 - 2016,,,,"15,874.00","27,467.00",1.73,,,
,,2016 - 2017,,,,"15,828.00","24,837.00",1.57,,,
,,2017 - 2018,,,,"17,464.00","30,704.00",1.76,,,
,,2018 - 2019,,,,"18,795.00","27,731.00",1.48,,,
,,2019 - 2020,,,,"15,798.00","20,483.00",1.3,,,
,,2020 - 2021,,,,"15,361.00","21,026.00",1.37,,,
,,2021 - 2022,,,,"16,399.00","23,120.00",1.41,,,
,,2022 - 2023,,,,"15,572.00","24,364.00",1.56,,,
,25. Patan,2013 - 2014,,,,5,4,0.8,,,
,,2016 - 2017,,,,51,58,1.14,,,
,,2017 - 2018,,,,581,722,1.24,,,
,,2018 - 2019,,,,175,212,1.21,,,
,,2019 - 2020,,,,51,51,1,,,
,,2020 - 2021,,,,43,51,1.19,,,
,,2021 - 2022,,,,421,488,1.16,,,
,,2022 - 2023,,,,455,529,1.16,,,
,26. Porbandar,2014 - 2015,,,,10,11,1.1,,,
,,2016 - 2017,,,,25,28,1.12,,,
,,2019 - 2020,,,,40,40,1,,,
,,2020 - 2021,,,,20,24,1.2,,,
,,2021 - 2022,,,,80,93,1.16,,,
,,2022 - 2023,,,,20,23,1.15,,,
,27. Rajkot,2013 - 2014,,,,263,225,0.86,,,
,,2014 - 2015,,,,397,432,1.09,,,
,,2015 - 2016,,,,446,548,1.23,,,
,,2016 - 2017,,,,"3,357.00","3,799.00",1.13,,,
,,2017 - 2018,,,,"3,173.00","3,944.00",1.24,,,
,,2018 - 2019,,,,"1,734.00","4,540.00",2.62,,,
,,2019 - 2020,,,,"1,746.00","3,940.00",2.26,,,
,,2020 - 2021,,,,"3,182.00","4,515.00",1.42,,,
,,2021 - 2022,,,,"3,680.00","6,025.00",1.64,,,
,,2022 - 2023,,,,"3,072.00","6,019.00",1.96,,,
,28. Sabar kantha,2013 - 2014,,,,"8,115.00","8,360.00",1.03,,,
,,2014 - 2015,,,,"5,995.00","6,253.00",1.04,,,
,,2015 - 2016,,,,"5,464.00","5,169.00",0.95,,,
,,2016 - 2017,,,,"10,707.00","12,628.00",1.18,,,
,,2017 - 2018,,,,"8,070.00","10,288.00",1.27,,,
,,2018 - 2019,,,,"5,219.00","5,202.00",1,,,
,,2019 - 2020,,,,"5,073.00","6,941.00",1.37,,,
,,2020 - 2021,,,,"5,964.00","8,368.00",1.4,,,
,,2021 - 2022,,,,"6,526.00","8,729.00",1.34,,,
,,2022 - 2023,,,,"5,023.00","7,013.00",1.4,,,
,29. Surat,2013 - 2014,,,,"5,650.00","8,900.00",1.58,,,
,,2014 - 2015,,,,"8,324.00","10,738.00",1.29,,,
,,2015 - 2016,,,,"8,762.00","13,351.00",1.52,,,
,,2016 - 2017,,,,"11,693.00","16,538.00",1.41,,,
,,2017 - 2018,,,,"10,176.00","25,885.00",2.54,,,
,,2018 - 2019,,,,"8,876.00","20,491.00",2.31,,,
,,2019 - 2020,,,,"7,868.00","9,105.00",1.16,,,
,,2020 - 2021,,,,"8,286.00","9,140.00",1.1,,,
,,2021 - 2022,,,,"8,360.00","12,414.00",1.48,,,
,,2022 - 2023,,,,"8,852.00","10,670.00",1.21,,,
,30. Surendranagar,2013 - 2014,,,,5,4,0.8,,,
,,2014 - 2015,,,,15,16,1.07,,,
,,2015 - 2016,,,,6,7,1.17,,,
,,2016 - 2017,,,,672,761,1.13,,,
,,2017 - 2018,,,,249,309,1.24,,,
,,2018 - 2019,,,,37,45,1.22,,,
,,2019 - 2020,,,,67,66,0.99,,,
,,2020 - 2021,,,,724,859,1.19,,,
,,2021 - 2022,,,,"3,170.00","3,677.00",1.16,,,
,,2022 - 2023,,,,"1,278.00","1,591.00",1.24,,,
,31. Tapi,2013 - 2014,,,,"14,938.00","9,203.00",0.62,,,
,,2014 - 2015,,,,"14,638.00","8,874.00",0.61,,,
,,2015 - 2016,,,,"17,027.00","9,819.00",0.58,,,
,,2016 - 2017,,,,"19,651.00","17,065.00",0.87,,,
,,2017 - 2018,,,,"19,941.00","11,550.00",0.58,,,
,,2018 - 2019,,,,"18,489.00","24,970.00",1.35,,,
,,2019 - 2020,,,,"13,272.00","9,469.00",0.71,,,
,,2020 - 2021,,,,"11,176.00","7,615.00",0.68,,,
,,2021 - 2022,,,,"10,313.00","7,925.00",0.77,,,
,,2022 - 2023,,,,"10,193.00","7,081.00",0.69,,,
,32. Vadodara,2013 - 2014,,,,"45,274.00","53,681.00",1.19,,,
,,2014 - 2015,,,,"19,215.00","18,712.00",0.97,,,
,,2015 - 2016,,,,"25,205.00","34,501.00",1.37,,,
,,2016 - 2017,,,,"65,770.00","75,711.00",1.15,,,
,,2017 - 2018,,,,"41,882.00","51,656.00",1.23,,,
,,2018 - 2019,,,,"31,321.00","40,684.00",1.3,,,
,,2019 - 2020,,,,"24,636.00","29,440.00",1.19,,,
,,2020 - 2021,,,,"27,003.00","33,576.00",1.24,,,
,,2021 - 2022,,,,"25,747.00","31,695.00",1.23,,,
,,2022 - 2023,,,,"27,166.00","36,528.00",1.34,,,
,33. Valsad,2013 - 2014,,,,"7,745.00","4,198.00",0.54,,,
,,2014 - 2015,,,,"7,343.00","3,649.00",0.5,,,
,,2015 - 2016,,,,"7,454.00","7,791.00",1.05,,,
,,2016 - 2017,,,,"7,640.00","5,770.00",0.76,,,
,,2017 - 2018,,,,"8,160.00","10,142.00",1.24,,,
,,2018 - 2019,,,,"8,452.00","4,114.00",0.49,,,
,,2019 - 2020,,,,"7,428.00","4,539.00",0.61,,,
,,2020 - 2021,,,,"7,388.00","5,018.00",0.68,,,
,,2021 - 2022,,,,"6,935.00","4,818.00",0.69,,,
,,2022 - 2023,,,,"6,042.00","4,498.00",0.74,,,
9. Haryana,1. Ambala,2018 - 2019,,,,1,1,1,,,
,,2021 - 2022,,,,1,1,1,,,
,2. Bhiwani,2013 - 2014,,,,800,"1,000.00",1.25,,,
,,2014 - 2015,,,,300,500,1.67,,,
,,2015 - 2016,,,,300,300,1,,,
,,2016 - 2017,,,,"1,200.00",200,0.17,,,
,,2017 - 2018,,,,120,140,1.17,,,
,,2018 - 2019,,,,25,31,1.24,,,
,,2019 - 2020,,,,165,205,1.24,,,
,,2020 - 2021,,,,197,244,1.24,,,
,,2021 - 2022,,,,1,1.2,1.2,,,
,3. Charki dadri,2014 - 2015,,,,400,400,1,,,
,,2017 - 2018,,,,180,220,1.22,,,
,,2018 - 2019,,,,66,80,1.21,,,
,,2019 - 2020,,,,14,17,1.21,,,
,,2020 - 2021,,,,14,17,1.21,,,
,,2021 - 2022,,,,24,29.1,1.21,,,
,4. Faridabad,2013 - 2014,,,,200,300,1.5,,,
,,2014 - 2015,,,,100,,0,,,
,,2015 - 2016,,,,100,100,1,,,
,,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,100,110,1.1,,,
,,2018 - 2019,,,,83,100,1.2,,,
,,2020 - 2021,,,,42,51,1.21,,,
,,2021 - 2022,,,,37,44.6,1.21,,,
,5. Fatehabad,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,50,50,1,,,
,,2021 - 2022,,,,2,0,0,,,
,6. Gurgaon,2013 - 2014,,,,500,500,1,,,
,,2014 - 2015,,,,400,,0,,,
,,2015 - 2016,,,,400,500,1.25,,,
,,2017 - 2018,,,,500,590,1.18,,,
,,2018 - 2019,,,,290,334,1.15,,,
,,2019 - 2020,,,,136,157,1.15,,,
,,2020 - 2021,,,,136,157,1.15,,,
,7. Hisar,2015 - 2016,,,,300,500,1.67,,,
,,2016 - 2017,,,,600,600,1,,,
,,2017 - 2018,,,,390,370,0.95,,,
,,2018 - 2019,,,,36,36,1,,,
,,2019 - 2020,,,,40,40,1,,,
,,2020 - 2021,,,,20,20,1,,,
,,2021 - 2022,,,,150,150,1,,,
,8. Jhajjar,2013 - 2014,,,,"2,500.00","2,900.00",1.16,,,
,,2014 - 2015,,,,"2,000.00","2,100.00",1.05,,,
,,2015 - 2016,,,,"1,300.00","1,500.00",1.15,,,
,,2017 - 2018,,,,910,"1,070.00",1.18,,,
,,2018 - 2019,,,,415,658,1.59,,,
,,2019 - 2020,,,,126,200,1.59,,,
,,2020 - 2021,,,,137,217,1.58,,,
,,2021 - 2022,,,,243,385.4,1.59,,,
,9. Jind,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,100,110,1.1,,,
,,2018 - 2019,,,,14,14,1,,,
,,2021 - 2022,,,,6,6,1,,,
,10. Kaithal,2018 - 2019,,,,2,2,1,,,
,11. Karnal,2013 - 2014,,,,100,100,1,,,
,,2015 - 2016,,,,100,100,1,,,
,,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,30,30,1,,,
,,2018 - 2019,,,,27,27,1,,,
,,2019 - 2020,,,,3,3,1,,,
,12. Kurukshetra,2020 - 2021,,,,3,3,1,,,
,13. Mahendragarh,2013 - 2014,,,,100,100,1,,,
,,2014 - 2015,,,,100,100,1,,,
,,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,20,20,1,,,
,,2018 - 2019,,,,5,5,1,,,
,,2021 - 2022,,,,138,138,1,,,
,14. Mewat,2013 - 2014,,,,400,400,1,,,
,,2014 - 2015,,,,200,300,1.5,,,
,,2015 - 2016,,,,600,600,1,,,
,,2016 - 2017,,,,900,900,1,,,
,,2017 - 2018,,,,740,820,1.11,,,
,,2018 - 2019,,,,443,443,1,,,
,,2019 - 2020,,,,400,400,1,,,
,,2020 - 2021,,,,252,252,1,,,
,,2021 - 2022,,,,351,351,1,,,
,15. Palwal,2013 - 2014,,,,700,700,1,,,
,,2014 - 2015,,,,400,400,1,,,
,,2015 - 2016,,,,300,300,1,,,
,,2016 - 2017,,,,300,300,1,,,
,,2017 - 2018,,,,190,200,1.05,,,
,,2018 - 2019,,,,186,172,0.92,,,
,,2019 - 2020,,,,186,172,0.92,,,
,,2020 - 2021,,,,198,183,0.92,,,
,,2021 - 2022,,,,72,66.6,0.93,,,
,16. Panchkula,2017 - 2018,,,,10,10,1,,,
,,2018 - 2019,,,,21,25,1.19,,,
,,2019 - 2020,,,,1,1,1,,,
,,2020 - 2021,,,,1,1,1,,,
,,2021 - 2022,,,,3,3.5,1.17,,,
,17. Panipat,2013 - 2014,,,,200,200,1,,,
,,2015 - 2016,,,,100,100,1,,,
,,2017 - 2018,,,,40,50,1.25,,,
,,2018 - 2019,,,,16,16,1,,,
,,2019 - 2020,,,,3,3,1,,,
,,2020 - 2021,,,,9,9,1,,,
,,2021 - 2022,,,,16,16,1,,,
,18. Rewari,2013 - 2014,,,,100,100,1,,,
,,2014 - 2015,,,,100,100,1,,,
,,2016 - 2017,,,,200,100,0.5,,,
,,2017 - 2018,,,,60,70,1.17,,,
,,2018 - 2019,,,,29,29,1,,,
,,2019 - 2020,,,,39,39,1,,,
,,2020 - 2021,,,,6,6,1,,,
,,2021 - 2022,,,,7,7,1,,,
,19. Rohtak,2013 - 2014,,,,"2,600.00","2,800.00",1.08,,,
,,2014 - 2015,,,,"1,300.00","1,300.00",1,,,
,,2015 - 2016,,,,600,600,1,,,
,,2016 - 2017,,,,800,900,1.13,,,
,,2017 - 2018,,,,600,770,1.28,,,
,,2018 - 2019,,,,322,347,1.08,,,
,,2019 - 2020,,,,112,121,1.08,,,
,,2020 - 2021,,,,104,112,1.08,,,
,,2021 - 2022,,,,39,42,1.08,,,
,20. Sirsa,2016 - 2017,,,,600,600,1,,,
,,2017 - 2018,,,,160,160,1,,,
,,2018 - 2019,,,,15,18,1.2,,,
,,2019 - 2020,,,,3,4,1.33,,,
,,2021 - 2022,,,,1,1.2,1.2,,,
,21. Sonipat,2013 - 2014,,,,"1,200.00","1,400.00",1.17,,,
,,2014 - 2015,,,,700,900,1.29,,,
,,2015 - 2016,,,,300,400,1.33,,,
,,2016 - 2017,,,,500,60,0.12,,,
,,2017 - 2018,,,,210,250,1.19,,,
,,2018 - 2019,,,,112,134,1.2,,,
,,2019 - 2020,,,,35,42,1.2,,,
,,2020 - 2021,,,,47,56,1.19,,,
,,2021 - 2022,,,,47,56.2,1.2,,,
,22. Yamunanagar,2020 - 2021,,,,6,6,1,,,
10. Himachal Pradesh,1. Bilaspur,2018 - 2019,,,,3,1,0.33,,,
,,2019 - 2020,,,,4,4,1,,,
,,2021 - 2022,,,,10,9,0.9,,,
,2. Chamba,2018 - 2019,,,,6,3,0.5,,,
,,2019 - 2020,,,,16,12,0.75,,,
,3. Kangra,2013 - 2014,,,,22,6,0.27,,,
,,2014 - 2015,,,,9,3,0.33,,,
,,2015 - 2016,,,,12,3,0.25,,,
,,2016 - 2017,,,,1,,0,,,
,,2017 - 2018,,,,12,5,0.42,,,
,,2018 - 2019,,,,19,10,0.53,,,
,,2019 - 2020,,,,28,17,0.61,,,
,4. Kullu,2018 - 2019,,,,4,2,0.5,,,
,,2019 - 2020,,,,11,6,0.55,,,
,5. Mandi,2020 - 2021,,,,2,2,1,,,
,,2021 - 2022,,,,1,1,1,,,
,,2022 - 2023,,,,1,1,1,,,
,6. Shimla,2013 - 2014,,,,33,9,0.27,,,
,,2014 - 2015,,,,10,4,0.4,,,
,,2015 - 2016,,,,18,8,0.44,,,
,,2016 - 2017,,,,9,1,0.11,,,
,,2017 - 2018,,,,18,11,0.61,,,
,,2018 - 2019,,,,8,4,0.5,,,
,,2019 - 2020,,,,9,5,0.56,,,
,,2020 - 2021,,,,6,5,0.83,,,
,,2021 - 2022,,,,4,3,0.75,,,
,7. Sirmaur,2013 - 2014,,,,16,8,0.5,,,
,,2014 - 2015,,,,1,,0,,,
,,2015 - 2016,,,,15,4,0.27,,,
,,2016 - 2017,,,,1,1,1,,,
,,2017 - 2018,,,,15,7,0.47,,,
,,2018 - 2019,,,,9,5,0.56,,,
,,2019 - 2020,,,,9,6,0.67,,,
,8. Solan,2022 - 2023,,,,12,10,0.83,,,
11. Jharkhand,1. Bokaro,2013 - 2014,57,92,1.61,,,,,,
,,2014 - 2015,27,91,3.37,,,,,,
,,2015 - 2016,40,99,2.48,,,,,,
,,2016 - 2017,29,111,3.83,,,,,,
,,2017 - 2018,,,,"8,955.00","7,080.00",0.79,,,
,,2018 - 2019,,,,"7,202.00","5,654.00",0.79,,,
,,2019 - 2020,,,,"6,620.00","9,268.00",1.4,,,
,,2020 - 2021,,,,"9,118.00","9,392.00",1.03,,,
,,2021 - 2022,,,,"6,373.00","6,373.00",1,,,
,,2022 - 2023,,,,"6,000.00","8,400.00",1.4,,,
,2. Chatra,2013 - 2014,969,"2,136.00",2.2,,,,,,
,,2014 - 2015,851,"1,897.00",2.23,,,,,,
,,2015 - 2016,698,"1,318.00",1.89,,,,,,
,,2016 - 2017,710,905,1.27,,,,,,
,,2017 - 2018,,,,"8,683.00","10,854.00",1.25,,,
,,2018 - 2019,,,,"7,380.00","9,373.00",1.27,,,
,,2019 - 2020,,,,"8,010.00","10,493.00",1.31,,,
,,2020 - 2021,,,,"8,110.00","7,786.00",0.96,,,
,,2021 - 2022,,,,"8,010.00","10,814.00",1.35,,,
,,2022 - 2023,,,,"4,393.00","5,887.00",1.34,,,
,3. Deoghar,2013 - 2014,17,30,1.76,,,,,,
,,2014 - 2015,32,70,2.19,,,,,,
,,2017 - 2018,,,,"6,166.00","4,625.00",0.75,,,
,,2018 - 2019,,,,"5,268.00","3,951.00",0.75,,,
,,2019 - 2020,,,,"5,693.00","5,124.00",0.9,,,
,,2020 - 2021,,,,"3,988.00","3,589.00",0.9,,,
,,2021 - 2022,,,,"5,900.00","6,490.00",1.1,,,
,,2022 - 2023,,,,643,707,1.1,,,
,4. Dhanbad,2017 - 2018,,,,"2,412.00","2,894.00",1.2,,,
,,2018 - 2019,,,,"2,124.00","2,336.00",1.1,,,
,,2019 - 2020,,,,"1,783.00","2,140.00",1.2,,,
,,2020 - 2021,,,,"1,785.00","2,142.00",1.2,,,
,,2021 - 2022,,,,"1,787.00","2,144.00",1.2,,,
,,2022 - 2023,,,,486,583,1.2,,,
,5. Dumka,2013 - 2014,614,995,1.62,,,,,,
,,2014 - 2015,524,"1,323.00",2.52,,,,,,
,,2015 - 2016,466,"1,200.00",2.58,,,,,,
,,2016 - 2017,539,"1,033.00",1.92,,,,,,
,,2017 - 2018,,,,"15,821.00","12,103.00",0.76,,,
,,2018 - 2019,,,,"14,223.00","12,587.00",0.88,,,
,,2019 - 2020,,,,"12,210.00","11,294.00",0.92,,,
,,2020 - 2021,,,,"12,319.00","11,087.00",0.9,,,
,,2021 - 2022,,,,"12,546.00","11,291.00",0.9,,,
,,2022 - 2023,,,,247,222,0.9,,,
,6. East singhbum,2013 - 2014,52,84,1.62,,,,,,
,,2014 - 2015,91,166,1.82,,,,,,
