State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,"21,000.00","11,000.00",0.52,,,,,,
,,2016 - 2017,"16,000.00","15,900.00",0.99,,,,,,
,,2017 - 2018,"11,100.00","8,600.00",0.77,,,,,,
,,2018 - 2019,"16,900.00","17,000.00",1.01,,,,,,
,,2019 - 2020,"16,090.00","12,810.00",0.8,,,,,,
,,2020 - 2021,"16,580.00","14,490.00",0.87,,,,,,
,,2021 - 2022,"16,583.00","16,401.00",0.99,,,,,,
,,2022 - 2023,"14,130.00","8,530.00",0.6,,,,,,
,3. Charki dadri,2017 - 2018,"1,300.00","1,500.00",1.15,,,,,,
,,2018 - 2019,"1,300.00","2,200.00",1.69,,,,,,
,,2019 - 2020,900,"1,190.00",1.32,,,,,,
,,2020 - 2021,740,"1,460.00",1.97,,,,,,
,,2021 - 2022,298,550,1.85,,,,,,
,,2022 - 2023,230,240,1.04,,,,,,
,4. Faridabad,2021 - 2022,1,0,0,,,,,,
,5. Fatehabad,2016 - 2017,500,900,1.8,,,,,,
,,2017 - 2018,"1,300.00","2,300.00",1.77,,,,,,
,,2018 - 2019,"1,000.00","2,000.00",2,,,,,,
,,2019 - 2020,"1,200.00","1,560.00",1.3,,,,,,
,,2020 - 2021,770,"1,150.00",1.49,,,,,,
,,2021 - 2022,731,"1,205.00",1.65,,,,,,
,,2022 - 2023,440,710,1.61,,,,,,
,6. Gurgaon,2020 - 2021,20,20,1,,,,,,
,,2021 - 2022,12,13,1.08,,,,,,
,,2022 - 2023,10,10,1,,,,,,
,7. Hisar,2013 - 2014,"17,000.00","12,000.00",0.71,,,,,,
,,2014 - 2015,"12,000.00","7,000.00",0.58,,,,,,
,,2015 - 2016,"13,000.00","8,000.00",0.62,,,,,,
,,2016 - 2017,"4,500.00","5,700.00",1.27,,,,,,
,,2017 - 2018,"7,300.00","10,400.00",1.42,,,,,,
,,2018 - 2019,"11,700.00","19,400.00",1.66,,,,,,
,,2019 - 2020,"14,000.00","15,850.00",1.13,,,,,,
,,2020 - 2021,"9,720.00","9,540.00",0.98,,,,,,
,,2021 - 2022,"11,035.00","15,228.00",1.38,,,,,,
,,2022 - 2023,"8,880.00","10,230.00",1.15,,,,,,
,8. Jhajjar,2013 - 2014,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,200,300,1.5,,,,,,
,,2017 - 2018,300,400,1.33,,,,,,
,,2018 - 2019,100,100,1,,,,,,
,,2019 - 2020,90,140,1.56,,,,,,
,,2020 - 2021,110,210,1.91,,,,,,
,,2021 - 2022,30,31,1.03,,,,,,
,,2022 - 2023,90,80,0.89,,,,,,
,9. Jind,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,100,200,2,,,,,,
,,2018 - 2019,100,200,2,,,,,,
,,2019 - 2020,20,30,1.5,,,,,,
,,2020 - 2021,20,40,2,,,,,,
,,2021 - 2022,32,38,1.19,,,,,,
,,2022 - 2023,10,10,1,,,,,,
,10. Kaithal,2019 - 2020,30,30,1,,,,,,
,,2020 - 2021,10,10,1,,,,,,
,,2021 - 2022,23,27,1.17,,,,,,
,,2022 - 2023,10,10,1,,,,,,
,11. Karnal,2016 - 2017,100,100,1,,,,,,
,,2018 - 2019,100,100,1,,,,,,
,,2019 - 2020,40,40,1,,,,,,
,,2020 - 2021,20,20,1,,,,,,
,,2021 - 2022,13,16,1.23,,,,,,
,,2022 - 2023,10,10,1,,,,,,
,12. Kurukshetra,2017 - 2018,100,100,1,,,,,,
,,2020 - 2021,10,10,1,,,,,,
,,2021 - 2022,59,70,1.19,,,,,,
,13. Mahendragarh,2013 - 2014,"14,000.00","13,000.00",0.93,,,,,,
,,2014 - 2015,"7,000.00","4,000.00",0.57,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,
,,2016 - 2017,"11,300.00","14,500.00",1.28,,,,,,
,,2017 - 2018,"5,500.00","5,100.00",0.93,,,,,,
,,2018 - 2019,"9,400.00","14,000.00",1.49,,,,,,
,,2019 - 2020,"6,660.00","8,320.00",1.25,,,,,,
,,2020 - 2021,"8,220.00","7,670.00",0.93,,,,,,
,,2021 - 2022,"5,667.00","7,044.00",1.24,,,,,,
,,2022 - 2023,"3,330.00","4,000.00",1.2,,,,,,
,14. Mewat,2013 - 2014,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,300,400,1.33,,,,,,
,,2017 - 2018,400,600,1.5,,,,,,
,,2018 - 2019,400,700,1.75,,,,,,
,,2019 - 2020,340,580,1.71,,,,,,
,,2020 - 2021,150,250,1.67,,,,,,
,,2021 - 2022,75,125,1.67,,,,,,
,,2022 - 2023,50,50,1,,,,,,
,15. Panchkula,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,100,100,1,,,,,,
,,2019 - 2020,90,90,1,,,,,,
,,2020 - 2021,80,40,0.5,,,,,,
,,2021 - 2022,32,27,0.84,,,,,,
,,2022 - 2023,30,30,1,,,,,,
,16. Panipat,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,100,200,2,,,,,,
,,2019 - 2020,30,20,0.67,,,,,,
,,2020 - 2021,10,20,2,,,,,,
,,2021 - 2022,7,6,0.86,,,,,,
,,2022 - 2023,10,20,2,,,,,,
,17. Rewari,2019 - 2020,10,10,1,,,,,,
,,2020 - 2021,20,20,1,,,,,,
,,2021 - 2022,8,6,0.75,,,,,,
,,2022 - 2023,10,10,1,,,,,,
,18. Rohtak,2013 - 2014,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,300,400,1.33,,,,,,
,,2017 - 2018,300,400,1.33,,,,,,
,,2018 - 2019,300,400,1.33,,,,,,
,,2019 - 2020,110,150,1.36,,,,,,
,,2020 - 2021,210,210,1,,,,,,
,,2021 - 2022,57,84,1.47,,,,,,
,,2022 - 2023,30,30,1,,,,,,
,19. Sirsa,2013 - 2014,"5,000.00","6,000.00",1.2,,,,,,
,,2014 - 2015,"5,000.00","5,000.00",1,,,,,,
,,2015 - 2016,"5,000.00","5,000.00",1,,,,,,
,,2016 - 2017,"3,400.00","4,700.00",1.38,,,,,,
,,2017 - 2018,"4,200.00","6,300.00",1.5,,,,,,
,,2018 - 2019,"3,400.00","5,800.00",1.71,,,,,,
,,2019 - 2020,"4,310.00","6,220.00",1.44,,,,,,
,,2020 - 2021,"3,840.00","4,950.00",1.29,,,,,,
,,2021 - 2022,"3,315.00","4,462.00",1.35,,,,,,
,,2022 - 2023,"1,610.00","2,340.00",1.45,,,,,,
,20. Sonipat,2019 - 2020,10,10,1,,,,,,
,,2020 - 2021,10,20,2,,,,,,
,,2021 - 2022,6,15,2.5,,,,,,
,21. Yamunanagar,2016 - 2017,100,100,1,,,,,,
,,2019 - 2020,30,30,1,,,,,,
,,2020 - 2021,20,20,1,,,,,,
,,2021 - 2022,53,63,1.19,,,,,,
,,2022 - 2023,10,10,1,,,,,,
9. Himachal Pradesh,1. Bilaspur,2013 - 2014,106,101,0.95,,,,,,
,,2014 - 2015,105,94,0.9,,,,,,
,,2015 - 2016,78,80,1.03,,,,,,
,,2016 - 2017,102,8,0.08,,,,,,
,,2017 - 2018,78,80,1.03,,,,,,
,,2018 - 2019,12,12,1,,,,,,
,,2019 - 2020,15,15,1,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,
,,2021 - 2022,10,14,1.4,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,
,2. Hamirpur,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,5,5,1,,,,,,
,,2019 - 2020,7,8,1.14,,,,,,
,3. Kangra,2013 - 2014,165,154,0.93,,,,,,
,,2014 - 2015,104,91,0.88,,,,,,
,,2015 - 2016,98,100,1.02,,,,,,
,,2016 - 2017,167,116,0.69,,,,,,
,,2017 - 2018,98,106,1.08,,,,,,
,,2018 - 2019,144,154,1.07,,,,,,
,,2019 - 2020,148,160,1.08,,,,,,
,,2020 - 2021,99,104,1.05,,,,,,
,,2021 - 2022,57,60,1.05,,,,,,
,,2022 - 2023,41,43,1.05,,,,,,
,4. Kullu,2013 - 2014,38,35,0.92,,,,,,
,,2014 - 2015,38,34,0.89,,,,,,
,,2015 - 2016,38,35,0.92,,,,,,
,,2016 - 2017,37,19,0.51,,,,,,
,,2017 - 2018,38,37,0.97,,,,,,
,,2018 - 2019,77,79,1.03,,,,,,
,,2019 - 2020,75,82,1.09,,,,,,
,,2021 - 2022,51,66,1.29,,,,,,
,,2022 - 2023,51,0,0,,,,,,
,5. Mandi,2013 - 2014,24,23,0.96,,,,,,
,,2014 - 2015,24,19,0.79,,,,,,
,,2015 - 2016,24,22,0.92,,,,,,
,,2016 - 2017,23,4,0.17,,,,,,
,,2017 - 2018,24,25,1.04,,,,,,
,,2018 - 2019,16,16,1,,,,,,
,,2019 - 2020,18,19,1.06,,,,,,
,,2020 - 2021,25,15,0.6,,,,,,
,,2021 - 2022,12,7,0.58,,,,,,
,,2022 - 2023,17,10,0.59,,,,,,
,6. Shimla,2013 - 2014,4,3,0.75,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,
,,2016 - 2017,4,1,0.25,,,,,,
,,2017 - 2018,4,4,1,,,,,,
,,2018 - 2019,6,6,1,,,,,,
,,2019 - 2020,6,6,1,,,,,,
,,2020 - 2021,6,6,1,,,,,,
,,2021 - 2022,13,13,1,,,,,,
,,2022 - 2023,16,16,1,,,,,,
,7. Sirmaur,2013 - 2014,86,83,0.97,,,,,,
,,2014 - 2015,71,67,0.94,,,,,,
,,2015 - 2016,65,66,1.02,,,,,,
,,2016 - 2017,84,27,0.32,,,,,,
,,2017 - 2018,65,68,1.05,,,,,,
,,2018 - 2019,92,95,1.03,,,,,,
,,2019 - 2020,90,95,1.06,,,,,,
,,2020 - 2021,140,196,1.4,,,,,,
,,2021 - 2022,70,101,1.44,,,,,,
,,2022 - 2023,74,110,1.49,,,,,,
,8. Solan,2013 - 2014,24,21,0.88,,,,,,
,,2014 - 2015,24,21,0.88,,,,,,
,,2015 - 2016,24,23,0.96,,,,,,
,,2016 - 2017,23,2,0.09,,,,,,
,,2017 - 2018,24,25,1.04,,,,,,
,,2018 - 2019,24,24,1,,,,,,
,,2019 - 2020,26,27,1.04,,,,,,
,,2020 - 2021,5,5,1,,,,,,
,,2021 - 2022,3,3,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,9. Una,2013 - 2014,27,28,1.04,,,,,,
,,2014 - 2015,27,28,1.04,,,,,,
,,2015 - 2016,26,25,0.96,,,,,,
,,2016 - 2017,26,27,1.04,,,,,,
,,2017 - 2018,26,27,1.04,,,,,,
,,2018 - 2019,8,8,1,,,,,,
,,2019 - 2020,9,9,1,,,,,,
,,2020 - 2021,4,8,2,,,,,,
,,2021 - 2022,3,6,2,,,,,,
,,2022 - 2023,4,8,2,,,,,,
10. Jammu and Kashmir,1. Kathua,2013 - 2014,65,35.8,0.55,,,,,,
,,2019 - 2020,,,,9,2.7,0.3,,,
,,2022 - 2023,6,1.2,0.2,,,,,,
,2. Samba,2013 - 2014,101,55.6,0.55,,,,,,
,,2017 - 2018,,,,23,4.8,0.21,,,
11. Jharkhand,1. Bokaro,2013 - 2014,13,16,1.23,,,,,,
,,2014 - 2015,45,68,1.51,,,,,,
,,2015 - 2016,48,61,1.27,,,,,,
,,2016 - 2017,31,38,1.23,,,,,,
,,2017 - 2018,"6,745.00","9,234.00",1.37,,,,,,
,,2018 - 2019,"5,320.00","5,187.00",0.98,,,,,,
,,2019 - 2020,"6,862.00","10,979.00",1.6,,,,,,
,,2020 - 2021,"9,000.00","14,400.00",1.6,,,,,,
,,2021 - 2022,"9,119.00","10,031.00",1.1,,,,,,
,,2022 - 2023,"14,752.00","23,603.00",1.6,,,,,,
,2. Chatra,2013 - 2014,"1,445.00","2,399.00",1.66,,,,,,
,,2014 - 2015,"1,218.00","1,245.00",1.02,,,,,,
,,2015 - 2016,"1,029.00",897,0.87,,,,,,
,,2016 - 2017,"1,058.00","1,459.00",1.38,,,,,,
,,2017 - 2018,"15,840.00","18,374.00",1.16,,,,,,
,,2018 - 2019,"15,680.00","17,875.00",1.14,,,,,,
,,2019 - 2020,"15,840.00","15,998.00",1.01,,,,,,
,,2020 - 2021,"16,626.00","19,452.00",1.17,,,,,,
,,2021 - 2022,"16,836.00","19,698.00",1.17,,,,,,
,,2022 - 2023,"16,976.00","18,758.00",1.1,,,,,,
,3. Deoghar,2013 - 2014,146,128,0.88,,,,,,
,,2014 - 2015,172,143,0.83,,,,,,
,,2015 - 2016,210,198,0.94,,,,,,
,,2016 - 2017,234,260,1.11,,,,,,
,,2017 - 2018,"6,448.00","9,350.00",1.45,,,,,,
,,2018 - 2019,"3,294.00","4,941.00",1.5,,,,,,
,,2019 - 2020,"10,106.00","14,755.00",1.46,,,,,,
,,2020 - 2021,"12,414.00","18,000.00",1.45,,,,,,
,,2021 - 2022,"10,441.00","15,662.00",1.5,,,,,,
,,2022 - 2023,"7,414.00","10,750.00",1.45,,,,,,
,4. Dhanbad,2013 - 2014,4,4,1,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,"4,817.00","7,221.00",1.5,,,,,,
,,2018 - 2019,"2,150.00","2,580.00",1.2,,,,,,
,,2019 - 2020,"4,752.00","7,128.00",1.5,,,,,,
,,2020 - 2021,"4,753.00","7,130.00",1.5,,,,,,
,,2021 - 2022,"4,718.00","7,077.00",1.5,,,,,,
,,2022 - 2023,"2,442.00","3,663.00",1.5,,,,,,
,5. Dumka,2013 - 2014,692,683,0.99,,,,,,
,,2014 - 2015,693,895,1.29,,,,,,
,,2015 - 2016,666,625,0.94,,,,,,
,,2016 - 2017,529,736,1.39,,,,,,
,,2017 - 2018,"14,850.00","20,552.00",1.38,,,,,,
,,2018 - 2019,"10,800.00","13,770.00",1.28,,,,,,
,,2019 - 2020,"13,365.00","17,040.00",1.27,,,,,,
,,2020 - 2021,"15,855.00","20,294.00",1.28,,,,,,
,,2021 - 2022,"12,403.00","16,000.00",1.29,,,,,,
,,2022 - 2023,"10,205.00","10,205.00",1,,,,,,
,6. East singhbum,2013 - 2014,94,79,0.84,,,,,,
,,2014 - 2015,200,148,0.74,,,,,,
,,2015 - 2016,162,133,0.82,,,,,,
,,2016 - 2017,16,27,1.69,,,,,,
,,2017 - 2018,"7,000.00","6,076.00",0.87,,,,,,
,,2018 - 2019,"5,950.00","5,355.00",0.9,,,,,,
,,2019 - 2020,"6,020.00","5,418.00",0.9,,,,,,
,,2020 - 2021,"7,360.00","6,992.00",0.95,,,,,,
,,2021 - 2022,"6,320.00","6,067.00",0.96,,,,,,
,,2022 - 2023,"6,800.00","6,664.00",0.98,,,,,,
,7. Garhwa,2013 - 2014,"8,422.00","8,995.00",1.07,,,,,,
,,2014 - 2015,"4,261.00","3,302.00",0.77,,,,,,
,,2015 - 2016,"1,210.00","1,048.00",0.87,,,,,,
,,2016 - 2017,"4,818.00","8,725.00",1.81,,,,,,
,,2017 - 2018,"13,270.00","10,881.00",0.82,,,,,,
,,2018 - 2019,"12,005.00","12,605.00",1.05,,,,,,
,,2019 - 2020,"13,693.00","12,036.00",0.88,,,,,,
,,2020 - 2021,"15,452.00","15,066.00",0.98,,,,,,
,,2021 - 2022,"15,841.00","23,508.00",1.48,,,,,,
,,2022 - 2023,"15,760.00","23,435.00",1.49,,,,,,
,8. Giridih,2013 - 2014,472,458,0.97,,,,,,
,,2014 - 2015,429,263,0.61,,,,,,
,,2015 - 2016,"6,267.00","4,625.00",0.74,,,,,,
,,2016 - 2017,"6,813.00","4,633.00",0.68,,,,,,
,,2017 - 2018,"7,077.00","10,743.00",1.52,,,,,,
,,2018 - 2019,"4,110.00","6,050.00",1.47,,,,,,
,,2019 - 2020,"7,947.00","10,053.00",1.27,,,,,,
,,2020 - 2021,"7,044.00","11,130.00",1.58,,,,,,
,,2021 - 2022,"8,697.00","13,828.00",1.59,,,,,,
,,2022 - 2023,"9,377.00","15,191.00",1.62,,,,,,
,9. Godda,2013 - 2014,"7,177.00","6,969.00",0.97,,,,,,
,,2014 - 2015,"5,748.00","2,857.00",0.5,,,,,,
,,2015 - 2016,"6,478.00","5,519.00",0.85,,,,,,
,,2016 - 2017,"3,083.00","1,708.00",0.55,,,,,,
,,2017 - 2018,"9,502.00","11,973.00",1.26,,,,,,
,,2018 - 2019,"9,109.00","13,117.00",1.44,,,,,,
,,2019 - 2020,"11,725.00","17,001.00",1.45,,,,,,
,,2020 - 2021,"12,150.00","18,225.00",1.5,,,,,,
,,2021 - 2022,"12,998.00","18,587.00",1.43,,,,,,
,,2022 - 2023,"16,193.00","17,003.00",1.05,,,,,,
,10. Gumla,2013 - 2014,369,425,1.15,,,,,,
,,2014 - 2015,393,406,1.03,,,,,,
,,2015 - 2016,385,288,0.75,,,,,,
,,2016 - 2017,"8,295.00","11,688.00",1.41,,,,,,
,,2017 - 2018,"7,537.00","11,396.00",1.51,,,,,,
,,2018 - 2019,"6,970.00","10,567.00",1.52,,,,,,
,,2019 - 2020,"7,094.00","10,797.00",1.52,,,,,,
,,2020 - 2021,"10,465.00","15,928.00",1.52,,,,,,
,,2021 - 2022,"10,485.00","10,695.00",1.02,,,,,,
,,2022 - 2023,"5,000.00","4,650.00",0.93,,,,,,
,11. Hazaribagh,2013 - 2014,993,"1,321.00",1.33,,,,,,
,,2014 - 2015,"1,219.00","1,288.00",1.06,,,,,,
,,2015 - 2016,"1,650.00","1,898.00",1.15,,,,,,
,,2016 - 2017,"1,132.00",905,0.8,,,,,,
,,2017 - 2018,"14,896.00","22,344.00",1.5,,,,,,
,,2018 - 2019,"9,935.00","14,903.00",1.5,,,,,,
,,2019 - 2020,"13,217.00","19,826.00",1.5,,,,,,
,,2020 - 2021,"16,014.00","22,259.00",1.39,,,,,,
,,2021 - 2022,"16,298.00","19,965.00",1.22,,,,,,
,,2022 - 2023,"15,311.00","18,756.00",1.23,,,,,,
,12. Jamtara,2013 - 2014,27,13,0.48,,,,,,
,,2014 - 2015,29,14,0.48,,,,,,
,,2015 - 2016,54,36,0.67,,,,,,
,,2016 - 2017,39,8,0.21,,,,,,
,,2017 - 2018,"1,225.00",980,0.8,,,,,,
,,2018 - 2019,"1,025.00",820,0.8,,,,,,
,,2019 - 2020,"4,578.00","5,265.00",1.15,,,,,,
,,2020 - 2021,"3,158.00","4,105.00",1.3,,,,,,
,,2021 - 2022,"1,966.00","2,654.00",1.35,,,,,,
,,2022 - 2023,847,999,1.18,,,,,,
,13. Khunti,2013 - 2014,241,199,0.83,,,,,,
,,2014 - 2015,223,159,0.71,,,,,,
,,2015 - 2016,"2,512.00","1,959.00",0.78,,,,,,
,,2016 - 2017,938,"1,147.00",1.22,,,,,,
,,2017 - 2018,"5,910.00","8,865.00",1.5,,,,,,
,,2018 - 2019,"3,546.00","5,142.00",1.45,,,,,,
,,2019 - 2020,"5,573.00","8,081.00",1.45,,,,,,
,,2020 - 2021,"7,032.00","8,438.00",1.2,,,,,,
,,2021 - 2022,"6,659.00","7,991.00",1.2,,,,,,
,,2022 - 2023,"6,899.00","8,969.00",1.3,,,,,,
,14. Koderma,2013 - 2014,192,216,1.13,,,,,,
,,2014 - 2015,159,173,1.09,,,,,,
,,2015 - 2016,187,207,1.11,,,,,,
,,2016 - 2017,99,137,1.38,,,,,,
,,2017 - 2018,"9,644.00","14,466.00",1.5,,,,,,
,,2018 - 2019,"7,755.00","11,633.00",1.5,,,,,,
,,2019 - 2020,"10,351.00","15,527.00",1.5,,,,,,
,,2020 - 2021,"11,388.00","17,082.00",1.5,,,,,,
,,2021 - 2022,"9,240.00","11,088.00",1.2,,,,,,
,,2022 - 2023,"11,388.00","13,666.00",1.2,,,,,,
,15. Latehar,2013 - 2014,"1,184.00",794,0.67,,,,,,
,,2014 - 2015,948,640,0.68,,,,,,
,,2015 - 2016,902,678,0.75,,,,,,
,,2016 - 2017,905,859,0.95,,,,,,
,,2017 - 2018,"10,920.00","6,858.00",0.63,,,,,,
,,2018 - 2019,"12,052.00","7,774.00",0.65,,,,,,
,,2019 - 2020,"11,160.00","7,142.00",0.64,,,,,,
,,2020 - 2021,"13,748.00","8,867.00",0.64,,,,,,
,,2021 - 2022,"13,580.00","8,718.00",0.64,,,,,,
,,2022 - 2023,"12,740.00","8,154.00",0.64,,,,,,
,16. Lohardaga,2013 - 2014,362,343,0.95,,,,,,
,,2014 - 2015,205,145,0.71,,,,,,
,,2015 - 2016,362,311,0.86,,,,,,
,,2016 - 2017,329,270,0.82,,,,,,
,,2017 - 2018,"7,290.00","7,217.00",0.99,,,,,,
,,2018 - 2019,"5,415.00","5,523.00",1.02,,,,,,
,,2019 - 2020,"5,710.00","5,824.00",1.02,,,,,,
,,2020 - 2021,"6,650.00","5,985.00",0.9,,,,,,
,,2021 - 2022,"5,944.00","4,874.00",0.82,,,,,,
,,2022 - 2023,"6,275.00","6,401.00",1.02,,,,,,
,17. Pakur,2013 - 2014,529,437,0.83,,,,,,
,,2014 - 2015,480,295,0.61,,,,,,
,,2015 - 2016,"1,924.00","1,787.00",0.93,,,,,,
,,2016 - 2017,"2,418.00","2,353.00",0.97,,,,,,
,,2017 - 2018,"9,195.00","8,827.00",0.96,,,,,,
,,2018 - 2019,"7,730.00","7,421.00",0.96,,,,,,
,,2019 - 2020,"10,012.00","9,612.00",0.96,,,,,,
,,2020 - 2021,"10,985.00","10,546.00",0.96,,,,,,
,,2021 - 2022,"10,231.00","8,696.00",0.85,,,,,,
,,2022 - 2023,"4,761.00","2,381.00",0.5,,,,,,
,18. Palamu,2013 - 2014,"9,602.00","10,178.00",1.06,,,,,,
,,2014 - 2015,"6,858.00","5,774.00",0.84,,,,,,
,,2015 - 2016,"8,275.00","6,926.00",0.84,,,,,,
,,2016 - 2017,"11,514.00","12,239.00",1.06,,,,,,
,,2017 - 2018,"15,840.00","12,751.00",0.8,,,,,,
,,2018 - 2019,"15,782.00","11,363.00",0.72,,,,,,
,,2019 - 2020,"15,648.00","12,597.00",0.81,,,,,,
,,2020 - 2021,"18,000.00","14,472.00",0.8,,,,,,
,,2021 - 2022,"17,273.00","13,922.00",0.81,,,,,,
,,2022 - 2023,"14,770.00","11,698.00",0.79,,,,,,
,19. Ramgarh,2013 - 2014,"1,583.00","1,350.00",0.85,,,,,,
,,2014 - 2015,387,490,1.27,,,,,,
,,2015 - 2016,194,179,0.92,,,,,,
,,2016 - 2017,57,49,0.86,,,,,,
,,2017 - 2018,"9,779.00","14,669.00",1.5,,,,,,
,,2018 - 2019,"6,615.00","9,923.00",1.5,,,,,,
,,2019 - 2020,"8,507.00","12,761.00",1.5,,,,,,
,,2020 - 2021,"11,184.00","15,098.00",1.35,,,,,,
,,2021 - 2022,"11,554.00","15,367.00",1.33,,,,,,
,,2022 - 2023,"10,594.00","14,090.00",1.33,,,,,,
,20. Ranchi,2013 - 2014,487,672,1.38,,,,,,
,,2014 - 2015,463,493,1.06,,,,,,
,,2015 - 2016,413,387,0.94,,,,,,
,,2016 - 2017,"8,323.00","9,696.00",1.16,,,,,,
,,2017 - 2018,"11,000.00","12,100.00",1.1,,,,,,
,,2018 - 2019,"6,916.00","6,916.00",1,,,,,,
,,2019 - 2020,"9,565.00","9,565.00",1,,,,,,
,,2020 - 2021,"11,303.00","11,303.00",1,,,,,,
,,2021 - 2022,"11,619.00","11,619.00",1,,,,,,
,,2022 - 2023,"12,635.00","12,635.00",1,,,,,,
,21. Sahebganj,2013 - 2014,"2,366.00","2,013.00",0.85,,,,,,
,,2014 - 2015,"2,063.00","1,976.00",0.96,,,,,,
,,2015 - 2016,"1,727.00","1,594.00",0.92,,,,,,
,,2016 - 2017,"1,190.00","1,110.00",0.93,,,,,,
,,2017 - 2018,"9,372.00","9,466.00",1.01,,,,,,
,,2018 - 2019,"6,655.00","5,371.00",0.81,,,,,,
,,2019 - 2020,"7,433.00","6,229.00",0.84,,,,,,
,,2020 - 2021,"10,270.00","19,955.00",1.94,,,,,,
,,2021 - 2022,"11,895.00","12,537.00",1.05,,,,,,
,,2022 - 2023,"10,780.00","10,500.00",0.97,,,,,,
,22. Saraikela kharsawan,2013 - 2014,579,423,0.73,,,,,,
,,2014 - 2015,582,350,0.6,,,,,,
,,2015 - 2016,467,395,0.85,,,,,,
,,2016 - 2017,30,44,1.47,,,,,,
,,2017 - 2018,"12,000.00","20,400.00",1.7,,,,,,
,,2018 - 2019,"9,850.00","13,298.00",1.35,,,,,,
,,2019 - 2020,"8,640.00","15,120.00",1.75,,,,,,
,,2020 - 2021,"11,310.00","19,793.00",1.75,,,,,,
,,2021 - 2022,"11,280.00","19,740.00",1.75,,,,,,
,,2022 - 2023,"10,681.00","18,692.00",1.75,,,,,,
,23. Simdega,2013 - 2014,73,62,0.85,,,,,,
,,2014 - 2015,101,77,0.76,,,,,,
,,2015 - 2016,120,99,0.83,,,,,,
,,2016 - 2017,102,125,1.23,,,,,,
,,2017 - 2018,"11,532.00","18,740.00",1.63,,,,,,
,,2018 - 2019,"12,585.00","20,451.00",1.63,,,,,,
,,2019 - 2020,"13,006.00","16,908.00",1.3,,,,,,
,,2020 - 2021,"15,100.00","20,415.00",1.35,,,,,,
,,2021 - 2022,"15,088.00","19,614.00",1.3,,,,,,
,,2022 - 2023,"15,840.00","19,008.00",1.2,,,,,,
,24. West singhbhum,2013 - 2014,969,"1,039.00",1.07,,,,,,
,,2014 - 2015,802,857,1.07,,,,,,
,,2015 - 2016,921,592,0.64,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,"10,995.00","12,314.00",1.12,,,,,,
,,2018 - 2019,"8,424.00","8,584.00",1.02,,,,,,
,,2019 - 2020,"9,269.00","9,844.00",1.06,,,,,,
,,2020 - 2021,"8,639.00","9,408.00",1.09,,,,,,
,,2021 - 2022,"9,795.00","10,628.00",1.09,,,,,,
,,2022 - 2023,"10,458.00","11,765.00",1.12,,,,,,
12. Karnataka,1. Bagalkot,2013 - 2014,"74,086.00","58,135.00",0.78,,,,,,
,,2014 - 2015,"91,880.00","54,728.00",0.6,,,,,,
,,2015 - 2016,"1,33,071.00","62,577.00",0.47,,,,,,
,,2016 - 2017,"1,01,083.00","32,554.00",0.32,,,,,,
,,2017 - 2018,"1,05,262.00","73,599.00",0.7,,,,,,
,,2018 - 2019,"1,09,255.00","45,253.00",0.41,,,,,,
,,2019 - 2020,"80,228.00","66,690.00",0.83,,,,,,
,,2020 - 2021,"46,355.00","40,468.00",0.87,,,,,,
,,2021 - 2022,"48,241.00","35,168.00",0.73,,,,,,
,,2022 - 2023,"56,005.00","47,324.00",0.84,,,,,,
,2. Bangalore rural,2013 - 2014,229,173,0.76,,,,,,
,,2014 - 2015,270,194,0.72,,,,,,
,,2015 - 2016,87,34,0.39,,,,,,
,,2016 - 2017,214,126,0.59,,,,,,
,,2017 - 2018,135,104,0.77,,,,,,
,,2018 - 2019,81,39,0.48,,,,,,
,,2019 - 2020,52,39,0.75,,,,,,
,,2020 - 2021,163,102,0.63,,,,,,
,,2021 - 2022,103,71,0.69,,,,,,
,,2022 - 2023,84,57,0.68,,,,,,
,3. Belgaum,2013 - 2014,"64,072.00","31,773.00",0.5,,,,,,
,,2014 - 2015,"78,641.00","48,934.00",0.62,,,,,,
,,2015 - 2016,"1,04,263.00","31,102.00",0.3,,,,,,
,,2016 - 2017,"1,02,636.00","51,677.00",0.5,,,,,,
