State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,"4,393.00","3,817.00",0.87,,,,,,
,,2019 - 2020,"6,785.00","8,634.00",1.27,,,,,,
,,2020 - 2021,"14,340.00","16,091.00",1.12,,,,,,
,,2021 - 2022,"21,076.00","27,187.00",1.29,,,,,,
,,2022 - 2023,"11,731.00","15,713.00",1.34,,,,,,
,5. Banas kantha,2013 - 2014,171,211,1.23,,,,,,
,,2014 - 2015,15,15,1,,,,,,
,,2015 - 2016,20,18,0.9,,,,,,
,,2016 - 2017,117,131,1.12,,,,,,
,,2017 - 2018,331,425,1.28,,,,,,
,,2018 - 2019,5,7,1.4,,,,,,
,,2019 - 2020,141,221,1.57,,,,,,
,,2020 - 2021,567,999,1.76,,,,,,
,,2021 - 2022,"1,236.00","2,358.00",1.91,,,,,,
,,2022 - 2023,856,"1,454.00",1.7,,,,,,
,6. Bharuch,2013 - 2014,"2,830.00","3,495.00",1.23,,,,,,
,,2014 - 2015,"1,860.00",557,0.3,,,,,,
,,2015 - 2016,750,219,0.29,,,,,,
,,2016 - 2017,"1,130.00",332,0.29,,,,,,
,,2017 - 2018,"1,695.00",598,0.35,,,,,,
,,2018 - 2019,"1,550.00",802,0.52,,,,,,
,,2019 - 2020,"1,355.00",894,0.66,,,,,,
,,2020 - 2021,"2,741.00","2,074.00",0.76,,,,,,
,,2021 - 2022,"2,037.00","2,545.00",1.25,,,,,,
,,2022 - 2023,"1,567.00","1,688.00",1.08,,,,,,
,7. Bhavnagar,2013 - 2014,"1,337.00","1,651.00",1.23,,,,,,
,,2014 - 2015,583,596,1.02,,,,,,
,,2015 - 2016,495,439,0.89,,,,,,
,,2016 - 2017,646,726,1.12,,,,,,
,,2017 - 2018,"3,192.00","4,102.00",1.29,,,,,,
,,2018 - 2019,686,932,1.36,,,,,,
,,2019 - 2020,"4,749.00","14,627.00",3.08,,,,,,
,,2020 - 2021,"21,704.00","51,851.00",2.39,,,,,,
,,2021 - 2022,"50,711.00","1,22,769.00",2.42,,,,,,
,,2022 - 2023,"23,015.00","38,145.00",1.66,,,,,,
,8. Botad,2014 - 2015,"2,203.00","3,933.00",1.79,,,,,,
,,2015 - 2016,"1,855.00","2,954.00",1.59,,,,,,
,,2016 - 2017,678,735,1.08,,,,,,
,,2017 - 2018,"4,266.00","4,779.00",1.12,,,,,,
,,2018 - 2019,"1,941.00","2,636.00",1.36,,,,,,
,,2019 - 2020,"6,089.00","6,692.00",1.1,,,,,,
,,2020 - 2021,"39,644.00","65,222.00",1.65,,,,,,
,,2021 - 2022,"40,336.00","91,572.00",2.27,,,,,,
,,2022 - 2023,"12,160.00","27,289.00",2.24,,,,,,
,9. Chhotaudepur,2014 - 2015,222,227,1.02,,,,,,
,,2015 - 2016,193,171,0.89,,,,,,
,,2016 - 2017,82,92,1.12,,,,,,
,,2017 - 2018,335,431,1.29,,,,,,
,,2018 - 2019,252,342,1.36,,,,,,
,,2019 - 2020,"1,661.00","2,605.00",1.57,,,,,,
,,2020 - 2021,"1,612.00","2,840.00",1.76,,,,,,
,,2021 - 2022,"1,540.00","3,179.00",2.06,,,,,,
,,2022 - 2023,"1,040.00","1,831.00",1.76,,,,,,
,10. Dang,2013 - 2014,"19,384.00","17,917.00",0.92,,,,,,
,,2014 - 2015,"16,235.00","16,030.00",0.99,,,,,,
