State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,"2,497.00","2,407.10",0.96
,,2017 - 2018,,,,"2,500.00","2,425.00",0.97
,,2018 - 2019,,,,"2,505.00","2,410.00",0.96
,5. Imphal west,2013 - 2014,,,,"2,436.00","2,287.00",0.94
,,2014 - 2015,,,,"2,437.00","2,318.00",0.95
,,2015 - 2016,,,,"2,460.00","2,312.00",0.94
,,2016 - 2017,,,,"2,463.00","2,298.00",0.93
,,2017 - 2018,,,,"2,467.00","2,344.00",0.95
,,2018 - 2019,,,,"2,468.00","2,325.00",0.94
,6. Senapati,2013 - 2014,,,,"1,544.00","1,326.00",0.86
,,2014 - 2015,,,,"1,544.00","1,356.00",0.88
,,2015 - 2016,,,,"1,560.00","1,342.00",0.86
,,2016 - 2017,,,,"1,565.00","1,354.00",0.87
,,2017 - 2018,,,,"1,570.00","1,361.00",0.87
,,2018 - 2019,,,,"1,577.00","1,419.00",0.9
,7. Tamenglong,2013 - 2014,,,,"1,744.00","1,561.00",0.9
,,2014 - 2015,,,,"1,754.00","1,621.00",0.92
,,2015 - 2016,,,,"1,775.00","1,748.00",0.98
,,2016 - 2017,,,,"1,780.00","1,584.00",0.89
,,2017 - 2018,,,,"1,782.00","1,584.00",0.89
,,2018 - 2019,,,,"1,789.00","1,700.00",0.95
,8. Thoubal,2013 - 2014,,,,"2,647.00","2,438.00",0.92
,,2014 - 2015,,,,"2,667.00","2,552.00",0.96
,,2015 - 2016,,,,"2,700.00","2,619.00",0.97
,,2016 - 2017,,,,"2,702.00","2,545.30",0.94
,,2017 - 2018,,,,"2,702.00","2,570.00",0.95
,,2018 - 2019,,,,"2,710.00","2,610.00",0.96
,9. Ukhrul,2013 - 2014,,,,"1,922.00","1,714.00",0.89
,,2014 - 2015,,,,"1,932.00","1,801.00",0.93
,,2015 - 2016,,,,"1,940.00","1,775.00",0.91
,,2016 - 2017,,,,"1,945.00","1,770.00",0.91
,,2017 - 2018,,,,"1,950.00","1,786.00",0.92
,,2018 - 2019,,,,"1,955.00","1,805.00",0.92
12. Meghalaya,1. East garo hills,2013 - 2014,,,,193,205,1.06
,,2014 - 2015,,,,194,210,1.08
,,2015 - 2016,,,,195,218,1.12
,,2016 - 2017,,,,217,221,1.02
,,2017 - 2018,,,,218,222,1.02
,,2018 - 2019,,,,220,225,1.02
,,2019 - 2020,,,,221,227,1.03
,,2020 - 2021,,,,221,227,1.03
,,2022 - 2023,,,,222,230,1.04
