State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,100,100,1
,11. Patiala,2014 - 2015,,,,400,460,1.15
,,2015 - 2016,,,,"1,400.00","2,100.00",1.5
,,2016 - 2017,,,,"1,400.00","2,100.00",1.5
,,2018 - 2019,,,,"1,600.00","2,400.00",1.5
,,2021 - 2022,,,,"1,700.00","1,800.00",1.06
,12. Sangrur,2014 - 2015,,,,400,410,1.03
,,2015 - 2016,,,,400,700,1.75
,,2016 - 2017,,,,100,200,2
,,2017 - 2018,,,,500,900,1.8
,,2018 - 2019,,,,400,700,1.75
,,2019 - 2020,,,,400,600,1.5
,,2021 - 2022,,,,300,500,1.67
,13. Tarn taran,2013 - 2014,,,,100,170,1.7
,,2015 - 2016,,,,100,100,1
,,2016 - 2017,,,,200,300,1.5
,,2017 - 2018,,,,200,100,0.5
,,2019 - 2020,,,,100,100,1
,,2021 - 2022,,,,100,100,1
16. Rajasthan,1. Ajmer,2013 - 2014,,,,340,608,1.79
,,2014 - 2015,,,,519,960,1.85
,,2015 - 2016,,,,736,"1,345.00",1.83
,,2016 - 2017,,,,976,"1,534.00",1.57
,,2017 - 2018,,,,439,787,1.79
,,2018 - 2019,,,,576,"1,605.00",2.79
,,2019 - 2020,,,,684,"2,631.00",3.85
,,2020 - 2021,,,,683,"1,588.00",2.33
,,2021 - 2022,,,,"1,006.00","3,880.00",3.86
,,2022 - 2023,,,,929,"2,602.00",2.8
,2. Alwar,2013 - 2014,,,,226,222,0.98
,,2014 - 2015,,,,350,983,2.81
,,2015 - 2016,,,,476,"1,574.00",3.31
,,2016 - 2017,,,,481,"1,193.00",2.48
,,2017 - 2018,,,,413,"1,013.00",2.45
,,2018 - 2019,,,,288,844,2.93
,,2019 - 2020,,,,376,"1,328.00",3.53
,,2020 - 2021,,,,408,"1,192.00",2.92
,,2021 - 2022,,,,276,"1,005.00",3.64
,,2022 - 2023,,,,249,865,3.47
,3. Banswara,2013 - 2014,,,,2,1,0.5
,,2014 - 2015,,,,1,1,1
,,2015 - 2016,,,,1,1,1
,,2016 - 2017,,,,4,3,0.75
,,2018 - 2019,,,,19,145,7.63
,,2019 - 2020,,,,1,1,1
,4. Baran,2013 - 2014,,,,23,32,1.39
,,2014 - 2015,,,,24,35,1.46
,,2015 - 2016,,,,27,45,1.67
,,2016 - 2017,,,,33,118,3.58
,,2017 - 2018,,,,8,15,1.88
,,2018 - 2019,,,,11,23,2.09
,,2019 - 2020,,,,38,89,2.34
,,2020 - 2021,,,,21,52,2.48
,,2021 - 2022,,,,38,77,2.03
,,2022 - 2023,,,,42,91,2.17
,5. Barmer,2013 - 2014,,,,2,2,1
,,2016 - 2017,,,,1,,0
,6. Bharatpur,2013 - 2014,,,,66,100,1.52
,,2014 - 2015,,,,69,107,1.55
,,2015 - 2016,,,,97,503,5.19
,,2016 - 2017,,,,166,803,4.84
,,2017 - 2018,,,,130,752,5.78
,,2018 - 2019,,,,98,550,5.61
,,2019 - 2020,,,,65,297,4.57
,,2020 - 2021,,,,46,219,4.76
,,2021 - 2022,,,,29,184,6.34
,,2022 - 2023,,,,46,137,2.98
,7. Bhilwara,2013 - 2014,,,,105,387,3.69
,,2014 - 2015,,,,121,454,3.75
,,2015 - 2016,,,,150,615,4.1
,,2016 - 2017,,,,146,191,1.31
,,2017 - 2018,,,,88,347,3.94
,,2018 - 2019,,,,18,98,5.44
,,2019 - 2020,,,,97,230,2.37
,,2020 - 2021,,,,30,89,2.97
,,2021 - 2022,,,,97,199,2.05
,,2022 - 2023,,,,92,176,1.91
,8. Bikaner,2014 - 2015,,,,11,7,0.64
,,2015 - 2016,,,,2,10,5
,,2016 - 2017,,,,18,18,1
,,2017 - 2018,,,,7,8,1.14
,,2018 - 2019,,,,11,14,1.27
,,2019 - 2020,,,,27,29,1.07
,,2020 - 2021,,,,17,19,1.12
,,2021 - 2022,,,,17,18,1.06
,,2022 - 2023,,,,9,135,15
,9. Bundi,2013 - 2014,,,,"1,280.00","3,857.00",3.01
,,2014 - 2015,,,,819,"2,456.00",3
,,2015 - 2016,,,,866,"2,625.00",3.03
,,2016 - 2017,,,,994,"2,824.00",2.84
,,2017 - 2018,,,,934,"2,602.00",2.79
,,2018 - 2019,,,,855,"2,360.00",2.76
,,2019 - 2020,,,,599,"2,276.00",3.8
,,2020 - 2021,,,,856,"2,550.00",2.98
,,2021 - 2022,,,,312,"1,126.00",3.61
,,2022 - 2023,,,,537,"1,911.00",3.56
,10. Chittorgarh,2013 - 2014,,,,279,558,2
,,2014 - 2015,,,,235,884,3.76
,,2015 - 2016,,,,249,996,4
,,2016 - 2017,,,,264,684,2.59
,,2017 - 2018,,,,198,753,3.8
,,2018 - 2019,,,,158,635,4.02
,,2019 - 2020,,,,180,669,3.72
,,2020 - 2021,,,,132,579,4.39
,,2021 - 2022,,,,67,246,3.67
,,2022 - 2023,,,,108,476,4.41
,11. Churu,2013 - 2014,,,,1,1,1
,,2014 - 2015,,,,1,1,1
,,2016 - 2017,,,,2,3,1.5
,,2017 - 2018,,,,1,1,1
,,2018 - 2019,,,,7,25,3.57
,,2019 - 2020,,,,2,9,4.5
,,2020 - 2021,,,,1,3,3
,,2021 - 2022,,,,1,13,13
,,2022 - 2023,,,,2,8,4
,12. Dausa,2013 - 2014,,,,12,24,2
,,2014 - 2015,,,,34,16,0.47
,,2015 - 2016,,,,35,23,0.66
,,2016 - 2017,,,,40,55,1.38
,,2017 - 2018,,,,15,34,2.27
,,2018 - 2019,,,,25,48,1.92
,,2019 - 2020,,,,52,138,2.65
,,2020 - 2021,,,,34,60,1.76
,,2021 - 2022,,,,3,8,2.67
,,2022 - 2023,,,,34,121,3.56
,13. Dholpur,2013 - 2014,,,,51,87,1.71
,,2014 - 2015,,,,70,115,1.64
,,2015 - 2016,,,,106,198,1.87
,,2016 - 2017,,,,100,195,1.95
,,2017 - 2018,,,,90,179,1.99
,,2018 - 2019,,,,78,141,1.81
,,2019 - 2020,,,,58,103,1.78
,,2020 - 2021,,,,94,419,4.46
,,2021 - 2022,,,,67,335,5
,,2022 - 2023,,,,36,180,5
,14. Ganganagar,2013 - 2014,,,,56,168,3
,,2014 - 2015,,,,70,140,2
,,2015 - 2016,,,,85,170,2
,,2016 - 2017,,,,107,413,3.86
,,2017 - 2018,,,,139,61,0.44
,,2018 - 2019,,,,105,107,1.02
,,2019 - 2020,,,,121,84,0.69
,,2020 - 2021,,,,107,425,3.97
,,2021 - 2022,,,,36,58,1.61
,,2022 - 2023,,,,37,93,2.51
,15. Hanumangarh,2013 - 2014,,,,40,455,11.38
,,2014 - 2015,,,,44,494,11.23
,,2015 - 2016,,,,88,133,1.51
,,2016 - 2017,,,,423,"4,805.00",11.36
,,2017 - 2018,,,,187,"2,135.00",11.42
,,2018 - 2019,,,,63,869,13.79
,,2019 - 2020,,,,112,"1,568.00",14
,,2020 - 2021,,,,185,"1,969.00",10.64
,,2021 - 2022,,,,153,"2,018.00",13.19
,,2022 - 2023,,,,155,"2,420.00",15.61
,16. Jaipur,2013 - 2014,,,,"9,136.00","12,186.00",1.33
,,2014 - 2015,,,,"9,064.00","19,390.00",2.14
,,2015 - 2016,,,,"9,665.00","17,222.00",1.78
,,2016 - 2017,,,,"10,613.00","22,479.00",2.12
,,2017 - 2018,,,,"9,481.00","17,378.00",1.83
,,2018 - 2019,,,,"9,416.00","13,112.00",1.39
,,2019 - 2020,,,,"8,683.00","15,819.00",1.82
,,2020 - 2021,,,,"9,104.00","16,885.00",1.85
,,2021 - 2022,,,,"8,751.00","13,035.00",1.49
,,2022 - 2023,,,,"9,339.00","11,123.00",1.19
,17. Jaisalmer,2014 - 2015,,,,1,1,1
,,2015 - 2016,,,,1,1,1
,,2016 - 2017,,,,1,2,2
,,2020 - 2021,,,,1,2,2
,18. Jalore,2013 - 2014,,,,1,3,3
,,2014 - 2015,,,,2,2,1
,,2016 - 2017,,,,2,2,1
,,2017 - 2018,,,,1,2,2
,,2019 - 2020,,,,2,,0
,,2020 - 2021,,,,12,30,2.5
,,2021 - 2022,,,,24,31,1.29
,,2022 - 2023,,,,16,21,1.31
,19. Jhalawar,2013 - 2014,,,,54,216,4
,,2014 - 2015,,,,61,126,2.07
,,2015 - 2016,,,,52,184,3.54
,,2016 - 2017,,,,82,246,3
,,2017 - 2018,,,,34,46,1.35
,,2018 - 2019,,,,3,5,1.67
,,2019 - 2020,,,,45,21,0.47
,,2020 - 2021,,,,29,94,3.24
,,2021 - 2022,,,,44,105,2.39
,,2022 - 2023,,,,43,126,2.93
,20. Jhunjhunu,2013 - 2014,,,,69,137,1.99
,,2014 - 2015,,,,108,215,1.99
,,2015 - 2016,,,,275,550,2
,,2016 - 2017,,,,230,230,1
,,2017 - 2018,,,,186,186,1
,,2018 - 2019,,,,203,203,1
,,2019 - 2020,,,,168,118,0.7
,,2020 - 2021,,,,162,94,0.58
,,2021 - 2022,,,,206,83,0.4
,,2022 - 2023,,,,215,"1,020.00",4.74
,21. Jodhpur,2015 - 2016,,,,1,1,1
,,2016 - 2017,,,,5,20,4
,,2017 - 2018,,,,31,124,4
,,2018 - 2019,,,,3,12,4
,,2019 - 2020,,,,40,,0
,,2020 - 2021,,,,22,88,4
,,2021 - 2022,,,,4,25,6.25
,22. Karauli,2013 - 2014,,,,1,1,1
,,2014 - 2015,,,,1,1,1
,,2015 - 2016,,,,10,32,3.2
,,2016 - 2017,,,,9,28,3.11
,,2017 - 2018,,,,14,40,2.86
,,2018 - 2019,,,,9,25,2.78
,,2019 - 2020,,,,13,25,1.92
,,2020 - 2021,,,,22,32,1.45
,,2021 - 2022,,,,3,4,1.33
,,2022 - 2023,,,,3,20,6.67
,23. Kota,2013 - 2014,,,,48,72,1.5
,,2014 - 2015,,,,37,90,2.43
,,2015 - 2016,,,,159,636,4
,,2016 - 2017,,,,49,123,2.51
,,2017 - 2018,,,,52,60,1.15
,,2018 - 2019,,,,39,78,2
,,2019 - 2020,,,,34,84,2.47
,,2020 - 2021,,,,99,289,2.92
,,2021 - 2022,,,,64,182,2.84
,,2022 - 2023,,,,70,207,2.96
,24. Nagaur,2013 - 2014,,,,"1,385.00","2,136.00",1.54
,,2014 - 2015,,,,"1,213.00","2,838.00",2.34
,,2015 - 2016,,,,"1,323.00","3,074.00",2.32
,,2016 - 2017,,,,"1,348.00","7,806.00",5.79
,,2017 - 2018,,,,"1,129.00","6,433.00",5.7
,,2018 - 2019,,,,583,"1,109.00",1.9
,,2019 - 2020,,,,"1,331.00","2,376.00",1.79
,,2020 - 2021,,,,"1,137.00","5,011.00",4.41
,,2021 - 2022,,,,"1,332.00","5,480.00",4.11
,,2022 - 2023,,,,"1,442.00","5,734.00",3.98
,25. Pali,2013 - 2014,,,,14,26,1.86
,,2014 - 2015,,,,1,1,1
,,2017 - 2018,,,,11,21,1.91
,,2018 - 2019,,,,12,16,1.33
,,2019 - 2020,,,,15,29,1.93
,,2020 - 2021,,,,10,13,1.3
,,2021 - 2022,,,,15,17,1.13
,,2022 - 2023,,,,13,18,1.38
,26. Pratapgarh,2013 - 2014,,,,18,33,1.83
,,2014 - 2015,,,,57,143,2.51
,,2015 - 2016,,,,61,61,1
,,2016 - 2017,,,,55,70,1.27
,,2017 - 2018,,,,30,60,2
,,2018 - 2019,,,,53,56,1.06
,,2019 - 2020,,,,121,129,1.07
,,2020 - 2021,,,,96,116,1.21
,,2021 - 2022,,,,34,47,1.38
,,2022 - 2023,,,,5,6,1.2
,27. Rajsamand,2013 - 2014,,,,26,78,3
,,2014 - 2015,,,,26,78,3
,,2015 - 2016,,,,31,93,3
,,2016 - 2017,,,,33,99,3
,,2017 - 2018,,,,17,51,3
,,2018 - 2019,,,,11,33,3
,,2019 - 2020,,,,16,48,3
,,2020 - 2021,,,,18,54,3
,,2021 - 2022,,,,19,57,3
,,2022 - 2023,,,,4,12,3
,28. Sawai madhopur,2013 - 2014,,,,40,20,0.5
,,2014 - 2015,,,,50,40,0.8
,,2015 - 2016,,,,23,23,1
,,2016 - 2017,,,,84,172,2.05
,,2017 - 2018,,,,72,72,1
,,2018 - 2019,,,,84,84,1
,,2019 - 2020,,,,67,67,1
,,2020 - 2021,,,,64,64,1
,,2021 - 2022,,,,31,233,7.52
,,2022 - 2023,,,,58,78,1.34
,29. Sikar,2013 - 2014,,,,129,"1,088.00",8.43
,,2014 - 2015,,,,104,864,8.31
,,2015 - 2016,,,,266,"2,128.00",8
,,2016 - 2017,,,,393,"3,172.00",8.07
,,2017 - 2018,,,,339,"2,794.00",8.24
,,2018 - 2019,,,,401,"3,220.00",8.03
,,2019 - 2020,,,,441,"3,551.00",8.05
,,2020 - 2021,,,,343,"2,763.00",8.06
,,2021 - 2022,,,,408,"5,115.00",12.54
,,2022 - 2023,,,,"1,245.00","1,712.00",1.38
,30. Sirohi,2013 - 2014,,,,20,188,9.4
,,2014 - 2015,,,,34,90,2.65
,,2015 - 2016,,,,27,270,10
,,2016 - 2017,,,,24,240,10
,,2017 - 2018,,,,28,280,10
,,2018 - 2019,,,,25,190,7.6
,,2019 - 2020,,,,6,60,10
,,2020 - 2021,,,,19,178,9.37
,,2021 - 2022,,,,20,200,10
,,2022 - 2023,,,,20,200,10
,31. Tonk,2013 - 2014,,,,105,105,1
,,2014 - 2015,,,,119,119,1
,,2015 - 2016,,,,193,193,1
,,2016 - 2017,,,,286,270,0.94
,,2017 - 2018,,,,180,180,1
,,2018 - 2019,,,,187,187,1
,,2019 - 2020,,,,167,167,1
,,2020 - 2021,,,,298,298,1
,,2021 - 2022,,,,248,248,1
,,2022 - 2023,,,,292,291,1
,32. Udaipur,2013 - 2014,,,,59,103,1.75
,,2014 - 2015,,,,57,119,2.09
,,2015 - 2016,,,,45,129,2.87
,,2016 - 2017,,,,53,108,2.04
,,2017 - 2018,,,,62,170,2.74
,,2018 - 2019,,,,29,48,1.66
,,2019 - 2020,,,,32,73,2.28
,,2020 - 2021,,,,27,63,2.33
,,2021 - 2022,,,,16,47,2.94
,,2022 - 2023,,,,19,40,2.11
17. Tripura,1. Dhalai,2013 - 2014,,,,160,164,1.03
,,2014 - 2015,,,,302,300,0.99
,,2015 - 2016,,,,383,365,0.95
,,2016 - 2017,,,,499,484,0.97
,,2017 - 2018,,,,477,467,0.98
,,2018 - 2019,,,,381,375.48,0.99
,,2019 - 2020,,,,507,516,1.02
,,2020 - 2021,,,,516,496,0.96
,,2021 - 2022,,,,481,478,0.99
,,2022 - 2023,,,,558,588,1.05
,2. Gomati,2013 - 2014,,,,101,89,0.88
,,2014 - 2015,,,,136,127,0.93
,,2015 - 2016,,,,357,325,0.91
,,2016 - 2017,,,,413,390,0.94
,,2017 - 2018,,,,480,498,1.04
,,2018 - 2019,,,,476,424.49,0.89
,,2019 - 2020,,,,446,408,0.91
,,2020 - 2021,,,,600,507,0.85
,,2021 - 2022,,,,856,730,0.85
,,2022 - 2023,,,,765,702,0.92
,3. Khowai,2013 - 2014,,,,136,117,0.86
,,2014 - 2015,,,,295,237,0.8
,,2015 - 2016,,,,222,185,0.83
,,2016 - 2017,,,,232,193,0.83
,,2017 - 2018,,,,352,294,0.84
,,2018 - 2019,,,,442,387,0.88
,,2019 - 2020,,,,534,507,0.95
,,2020 - 2021,,,,455,420,0.92
,,2021 - 2022,,,,401,366,0.91
,,2022 - 2023,,,,446,461,1.03
,4. North tripura,2013 - 2014,,,,153,129,0.84
,,2014 - 2015,,,,289,235,0.81
,,2015 - 2016,,,,470,390,0.83
,,2016 - 2017,,,,499,428,0.86
,,2017 - 2018,,,,553,468,0.85
,,2018 - 2019,,,,515,389.71,0.76
,,2019 - 2020,,,,380,290,0.76
,,2020 - 2021,,,,306,246,0.8
,,2021 - 2022,,,,341,265,0.78
,,2022 - 2023,,,,112,94,0.84
,5. Sepahijala,2013 - 2014,,,,97,80,0.82
,,2014 - 2015,,,,333,272,0.82
,,2015 - 2016,,,,467,395,0.85
,,2016 - 2017,,,,477,404,0.85
,,2017 - 2018,,,,415,338,0.81
,,2018 - 2019,,,,364,302.09,0.83
,,2019 - 2020,,,,303,253,0.83
,,2020 - 2021,,,,233,204,0.88
,,2021 - 2022,,,,245,205,0.84
,,2022 - 2023,,,,424,411,0.97
,6. South tripura,2013 - 2014,,,,213,190,0.89
,,2014 - 2015,,,,276,236,0.86
,,2015 - 2016,,,,414,370,0.89
,,2016 - 2017,,,,466,430,0.92
,,2017 - 2018,,,,517,468,0.91
,,2018 - 2019,,,,464,425.58,0.92
,,2019 - 2020,,,,393,368,0.94
,,2020 - 2021,,,,477,436,0.91
,,2021 - 2022,,,,640,578,0.9
,,2022 - 2023,,,,683,662,0.97
,7. Unakoti,2013 - 2014,,,,64,49,0.77
,,2014 - 2015,,,,202,155,0.77
,,2015 - 2016,,,,224,182,0.81
,,2016 - 2017,,,,218,173,0.79
,,2017 - 2018,,,,209,162,0.78
,,2018 - 2019,,,,350,227.08,0.65
,,2019 - 2020,,,,144,92,0.64
,,2020 - 2021,,,,186,127,0.68
,,2021 - 2022,,,,260,174,0.67
,,2022 - 2023,,,,300,233,0.78
,8. West tripura,2013 - 2014,,,,104,79,0.76
,,2014 - 2015,,,,224,169,0.75
,,2015 - 2016,,,,410,337,0.82
,,2016 - 2017,,,,396,314,0.79
,,2017 - 2018,,,,471,362,0.77
,,2018 - 2019,,,,401,318.88,0.8
,,2019 - 2020,,,,493,397.47,0.81
,,2020 - 2021,,,,330,275,0.83
,,2021 - 2022,,,,324,263,0.81
,,2022 - 2023,,,,230,217,0.94
18. Uttar Pradesh,1. Agra,2013 - 2014,,,,94,206,2.19
,,2014 - 2015,,,,58,26,0.45
,,2015 - 2016,,,,385,383,0.99
,,2016 - 2017,,,,91,256,2.81
,,2017 - 2018,,,,48,112,2.33
,,2018 - 2019,,,,43,70,1.63
,,2019 - 2020,,,,56,155,2.77
,,2020 - 2021,,,,116,375,3.23
,,2021 - 2022,,,,55,178,3.24
,,2022 - 2023,,,,60,93,1.55
,2. Aligarh,2013 - 2014,,,,147,146,0.99
,,2014 - 2015,,,,127,165,1.3
,,2015 - 2016,,,,157,156,0.99
,,2016 - 2017,,,,108,149,1.38
,,2017 - 2018,,,,99,146,1.47
,,2018 - 2019,,,,241,390,1.62
,,2019 - 2020,,,,113,186,1.65
,,2020 - 2021,,,,175,272,1.55
,,2021 - 2022,,,,134,218,1.63
,,2022 - 2023,,,,152,235,1.55
,3. Allahabad,2013 - 2014,,,,"4,270.00","4,526.00",1.06
,,2014 - 2015,,,,"4,439.00","2,934.00",0.66
,,2015 - 2016,,,,"3,569.00","1,710.00",0.48
,,2016 - 2017,,,,"4,982.00","7,757.00",1.56
,,2017 - 2018,,,,"3,771.00","2,685.00",0.71
,,2018 - 2019,,,,"3,860.00","5,543.00",1.44
,,2019 - 2020,,,,"3,696.00","4,158.00",1.13
,,2020 - 2021,,,,"4,309.00","5,300.00",1.23
,,2021 - 2022,,,,"4,858.00","6,932.00",1.43
,,2022 - 2023,,,,"5,382.00","8,202.00",1.52
,4. Ambedkar nagar,2013 - 2014,,,,"4,002.00","1,016.00",0.25
,,2014 - 2015,,,,"3,866.00","2,505.00",0.65
,,2015 - 2016,,,,"3,697.00","3,678.00",0.99
,,2016 - 2017,,,,"2,716.00","1,651.00",0.61
,,2017 - 2018,,,,"4,093.00","6,013.00",1.47
,,2018 - 2019,,,,"4,529.00","7,328.00",1.62
,,2019 - 2020,,,,"2,944.00","4,843.00",1.65
,,2020 - 2021,,,,"4,440.00","6,909.00",1.56
,,2021 - 2022,,,,"4,884.00","7,946.00",1.63
,,2022 - 2023,,,,"5,344.00","8,278.00",1.55
,5. Amethi,2013 - 2014,,,,"4,874.00","1,238.00",0.25
,,2014 - 2015,,,,"4,598.00","2,979.00",0.65
,,2015 - 2016,,,,"3,814.00","3,795.00",1
,,2016 - 2017,,,,"5,060.00","3,076.00",0.61
,,2017 - 2018,,,,"5,176.00","7,604.00",1.47
,,2018 - 2019,,,,"5,081.00","8,221.00",1.62
,,2019 - 2020,,,,"5,168.00","8,501.00",1.64
,,2020 - 2021,,,,"5,055.00","7,866.00",1.56
,,2021 - 2022,,,,"5,697.00","9,269.00",1.63
,,2022 - 2023,,,,"6,236.00","9,660.00",1.55
,6. Amroha,2013 - 2014,,,,182,182,1
,,2014 - 2015,,,,153,147,0.96
,,2015 - 2016,,,,57,51,0.89
,,2016 - 2017,,,,71,67,0.94
,,2017 - 2018,,,,211,200,0.95
,,2018 - 2019,,,,134,137,1.02
,,2019 - 2020,,,,63,77,1.22
,,2020 - 2021,,,,68,75,1.1
,,2021 - 2022,,,,330,"1,524.00",4.62
,,2022 - 2023,,,,366,567,1.55
,7. Auraiya,2013 - 2014,,,,138,241,1.75
,,2014 - 2015,,,,72,40,0.56
,,2015 - 2016,,,,49,65,1.33
,,2016 - 2017,,,,40,63,1.58
,,2017 - 2018,,,,103,170,1.65
,,2018 - 2019,,,,107,161,1.5
,,2019 - 2020,,,,105,101,0.96
,,2020 - 2021,,,,73,94,1.29
,,2021 - 2022,,,,114,185,1.62
,,2022 - 2023,,,,125,194,1.55
,8. Azamgarh,2013 - 2014,,,,"5,859.00","3,334.00",0.57
,,2014 - 2015,,,,"6,140.00","8,756.00",1.43
,,2015 - 2016,,,,"5,721.00","5,218.00",0.91
,,2016 - 2017,,,,"6,337.00","9,278.00",1.46
,,2017 - 2018,,,,"5,601.00","5,724.00",1.02
,,2018 - 2019,,,,"6,434.00","8,287.00",1.29
,,2019 - 2020,,,,"6,337.00","8,865.00",1.4
,,2020 - 2021,,,,"6,242.00","7,334.00",1.17
,,2021 - 2022,,,,"6,911.00","12,571.00",1.82
,,2022 - 2023,,,,"7,574.00","11,444.00",1.51
,9. Baghpat,2013 - 2014,,,,13,13,1
,,2014 - 2015,,,,14,11,0.79
,,2015 - 2016,,,,18,18,1
,,2016 - 2017,,,,13,18,1.38
,,2017 - 2018,,,,90,132,1.47
,,2018 - 2019,,,,10,16,1.6
,,2019 - 2020,,,,5,8,1.6
,,2020 - 2021,,,,13,20,1.54
,,2021 - 2022,,,,136,221,1.63
,,2022 - 2023,,,,149,231,1.55
,10. Bahraich,2013 - 2014,,,,"1,276.00","1,266.00",0.99
,,2014 - 2015,,,,"1,364.00","1,030.00",0.76
,,2015 - 2016,,,,"1,193.00","1,187.00",0.99
,,2016 - 2017,,,,"1,587.00","2,185.00",1.38
,,2017 - 2018,,,,"1,194.00","1,754.00",1.47
,,2018 - 2019,,,,"1,162.00","1,880.00",1.62
,,2019 - 2020,,,,"1,409.00","2,318.00",1.65
,,2020 - 2021,,,,"1,306.00","2,032.00",1.56
,,2021 - 2022,,,,"1,488.00","2,421.00",1.63
,,2022 - 2023,,,,"1,630.00","2,525.00",1.55
,11. Ballia,2013 - 2014,,,,"2,888.00","1,643.00",0.57
,,2014 - 2015,,,,756,544,0.72
,,2015 - 2016,,,,973,887,0.91
,,2016 - 2017,,,,"2,843.00","4,162.00",1.46
,,2017 - 2018,,,,"2,886.00","4,915.00",1.7
,,2018 - 2019,,,,"2,907.00","6,209.00",2.14
,,2019 - 2020,,,,"2,779.00","5,625.00",2.02
,,2020 - 2021,,,,"2,844.00","6,262.00",2.2
,,2021 - 2022,,,,"3,104.00","4,417.00",1.42
,,2022 - 2023,,,,"3,840.00","5,676.00",1.48
,12. Balrampur,2013 - 2014,,,,"1,897.00","1,882.00",0.99
,,2014 - 2015,,,,"1,756.00","1,325.00",0.75
,,2015 - 2016,,,,"1,496.00","1,489.00",1
,,2016 - 2017,,,,"1,789.00","2,463.00",1.38
,,2017 - 2018,,,,"1,749.00","2,569.00",1.47
,,2018 - 2019,,,,"1,616.00","2,615.00",1.62
,,2019 - 2020,,,,"1,720.00","2,829.00",1.64
,,2020 - 2021,,,,"1,676.00","2,608.00",1.56
,,2021 - 2022,,,,"1,739.00","2,829.00",1.63
,,2022 - 2023,,,,"2,021.00","3,131.00",1.55
,13. Banda,2013 - 2014,,,,"3,351.00","1,850.00",0.55
,,2014 - 2015,,,,"7,530.00","5,007.00",0.66
,,2015 - 2016,,,,"6,724.00","3,470.00",0.52
,,2016 - 2017,,,,"3,433.00","3,817.00",1.11
,,2017 - 2018,,,,"1,543.00","1,478.00",0.96
,,2018 - 2019,,,,"1,808.00","2,298.00",1.27
,,2019 - 2020,,,,"4,685.00","6,700.00",1.43
,,2020 - 2021,,,,"3,322.00","4,724.00",1.42
,,2021 - 2022,,,,"2,857.00","3,080.00",1.08
,,2022 - 2023,,,,"4,185.00","5,809.00",1.39
,14. Barabanki,2013 - 2014,,,,"2,697.00",685,0.25
,,2014 - 2015,,,,"2,665.00","1,727.00",0.65
,,2015 - 2016,,,,"2,198.00","2,187.00",0.99
,,2016 - 2017,,,,"2,409.00","1,465.00",0.61
,,2017 - 2018,,,,"2,685.00","3,944.00",1.47
,,2018 - 2019,,,,"2,809.00","4,545.00",1.62
,,2019 - 2020,,,,"2,552.00","4,198.00",1.64
,,2020 - 2021,,,,"2,740.00","4,263.00",1.56
,,2021 - 2022,,,,"3,561.00","5,794.00",1.63
,,2022 - 2023,,,,"3,992.00","5,780.00",1.45
,15. Bareilly,2013 - 2014,,,,822,"1,774.00",2.16
,,2014 - 2015,,,,"2,882.00","2,824.00",0.98
,,2015 - 2016,,,,374,370,0.99
,,2016 - 2017,,,,"2,106.00","2,900.00",1.38
,,2017 - 2018,,,,"1,928.00","4,544.00",2.36
,,2018 - 2019,,,,"2,146.00","5,893.00",2.75
,,2019 - 2020,,,,"3,532.00","6,245.00",1.77
,,2020 - 2021,,,,"2,056.00","6,209.00",3.02
,,2021 - 2022,,,,"7,433.00","12,153.00",1.64
,,2022 - 2023,,,,"8,133.00","7,832.00",0.96
,16. Basti,2013 - 2014,,,,"3,368.00","3,341.00",0.99
,,2014 - 2015,,,,"4,669.00","3,525.00",0.75
,,2015 - 2016,,,,"2,952.00","2,937.00",0.99
,,2016 - 2017,,,,"4,311.00","4,766.00",1.11
,,2017 - 2018,,,,"4,262.00","5,856.00",1.37
,,2018 - 2019,,,,"4,222.00","3,323.00",0.79
,,2019 - 2020,,,,"4,384.00","3,893.00",0.89
,,2020 - 2021,,,,"4,390.00","4,460.00",1.02
,,2021 - 2022,,,,"4,976.00","5,016.00",1.01
,,2022 - 2023,,,,"5,446.00","6,089.00",1.12
,17. Bijnor,2013 - 2014,,,,209,209,1
,,2014 - 2015,,,,51,49,0.96
,,2015 - 2016,,,,24,21,0.88
,,2016 - 2017,,,,70,67,0.96
,,2017 - 2018,,,,156,148,0.95
,,2018 - 2019,,,,38,39,1.03
,,2019 - 2020,,,,99,121,1.22
,,2020 - 2021,,,,82,90,1.1
,,2021 - 2022,,,,54,249,4.61
,,2022 - 2023,,,,59,91,1.54
,18. Budaun,2013 - 2014,,,,903,"1,948.00",2.16
,,2014 - 2015,,,,"1,078.00","1,057.00",0.98
,,2015 - 2016,,,,957,947,0.99
,,2016 - 2017,,,,819,"1,127.00",1.38
,,2017 - 2018,,,,"1,149.00","2,708.00",2.36
,,2018 - 2019,,,,817,"2,243.00",2.75
,,2019 - 2020,,,,803,"1,420.00",1.77
,,2020 - 2021,,,,933,"2,818.00",3.02
,,2021 - 2022,,,,"1,026.00","1,678.00",1.64
,,2022 - 2023,,,,882,849,0.96
,19. Bulandshahr,2013 - 2014,,,,434,431,0.99
,,2014 - 2015,,,,390,294,0.75
,,2015 - 2016,,,,247,246,1
,,2016 - 2017,,,,533,734,1.38
,,2017 - 2018,,,,752,"1,105.00",1.47
,,2018 - 2019,,,,613,992,1.62
,,2019 - 2020,,,,448,737,1.65
,,2020 - 2021,,,,"1,049.00","1,632.00",1.56
,,2021 - 2022,,,,530,862,1.63
