State,District,Year,rice_area,rice_production,rice_yield
Andhra Pradesh,Krishna,2017-2018,258728.0,1031955.0,8.39
Andhra Pradesh,Krishna,2018-2019,274014.0,1147048.0,8.58
Andhra Pradesh,Krishna,2019-2020,315036.0,1261309.0,8.32
Andhra Pradesh,Krishna,2020-2021,338617.0,1198556.0,7.640000000000001
Andhra Pradesh,Krishna,2021-2022,268513.0,928371.0,7.35
Andhra Pradesh,Krishna,2022-2023,167427.0,665011.0,8.03
Andhra Pradesh,Kurnool,2013-2014,124894.0,458400.0,7.33
Andhra Pradesh,Kurnool,2014-2015,114898.0,444262.0,7.5
Andhra Pradesh,Kurnool,2015-2016,55592.0,171582.0,5.91
Andhra Pradesh,Kurnool,2016-2017,108715.0,434885.0,7.89
Andhra Pradesh,Kurnool,2017-2018,102090.0,362463.0,7.130000000000001
Andhra Pradesh,Kurnool,2018-2019,109897.0,420986.0,7.449999999999999
Andhra Pradesh,Kurnool,2019-2020,121473.0,481209.0,7.9
Andhra Pradesh,Kurnool,2020-2021,122938.0,400245.0,6.87
Andhra Pradesh,Kurnool,2021-2022,117156.0,382980.0,6.8100000000000005
Andhra Pradesh,Kurnool,2022-2023,16333.0,54918.0,6.71
Andhra Pradesh,Nandyal,2022-2023,98196.0,393843.0,8.14
Andhra Pradesh,Ntr,2022-2023,63982.0,248986.0,7.74
Andhra Pradesh,Palnadu,2022-2023,58473.0,217012.0,7.390000000000001
Andhra Pradesh,Parvathipuram manyam,2022-2023,72813.0,241927.0,6.529999999999999
Andhra Pradesh,Prakasam,2013-2014,138578.0,532265.0,7.640000000000001
Andhra Pradesh,Prakasam,2014-2015,105297.0,405915.0,7.689999999999999
Andhra Pradesh,Prakasam,2015-2016,44385.0,178687.0,8.21
Andhra Pradesh,Prakasam,2016-2017,40072.0,143898.0,7.17
Andhra Pradesh,Prakasam,2017-2018,47353.0,181578.0,7.640000000000001
Andhra Pradesh,Prakasam,2018-2019,65268.0,228602.0,7.05
Andhra Pradesh,Prakasam,2019-2020,80375.0,303151.0,7.53
Andhra Pradesh,Prakasam,2020-2021,88359.0,301875.0,6.82
Andhra Pradesh,Prakasam,2021-2022,89512.0,286626.0,6.35
Andhra Pradesh,Prakasam,2022-2023,26523.0,91994.0,6.92
Andhra Pradesh,Spsr nellore,2013-2014,224893.0,911108.0,7.71
Andhra Pradesh,Spsr nellore,2014-2015,240723.0,969015.0,7.87
Andhra Pradesh,Spsr nellore,2015-2016,288250.0,1289686.0,8.21
Andhra Pradesh,Spsr nellore,2016-2017,204628.0,865094.0,8.31
Andhra Pradesh,Spsr nellore,2017-2018,224528.0,1036542.0,8.530000000000001
Andhra Pradesh,Spsr nellore,2018-2019,166863.0,685185.0,7.75
Andhra Pradesh,Spsr nellore,2019-2020,232405.0,989475.0,8.129999999999999
Andhra Pradesh,Spsr nellore,2020-2021,313218.0,1226945.0,7.640000000000001
Andhra Pradesh,Spsr nellore,2021-2022,273534.0,1169190.0,8.149999999999999
Andhra Pradesh,Spsr nellore,2022-2023,150491.0,671290.0,8.45
Andhra Pradesh,Sri sathya sai,2022-2023,6527.0,18180.0,5.75
Andhra Pradesh,Srikakulam,2013-2014,203142.0,355266.0,4.12
Andhra Pradesh,Srikakulam,2014-2015,210215.0,447672.0,4.84
Andhra Pradesh,Srikakulam,2015-2016,206794.0,477885.0,5.02
Andhra Pradesh,Srikakulam,2016-2017,205755.0,611698.0,5.76
Andhra Pradesh,Srikakulam,2017-2018,214727.0,543422.0,5.5600000000000005
Andhra Pradesh,Srikakulam,2018-2019,214662.0,446103.0,4.91
Andhra Pradesh,Srikakulam,2019-2020,219160.0,624960.0,6.04
Andhra Pradesh,Srikakulam,2020-2021,209595.0,548914.0,5.65
Andhra Pradesh,Srikakulam,2021-2022,205195.0,538618.0,5.54
Andhra Pradesh,Srikakulam,2022-2023,159837.0,501208.0,6.29
Andhra Pradesh,Tirupati,2022-2023,100597.0,386133.0,7.71
Andhra Pradesh,Visakhapatanam,2013-2014,105396.0,184656.0,3.68
Andhra Pradesh,Visakhapatanam,2014-2015,105428.0,177807.0,4.12
Andhra Pradesh,Visakhapatanam,2015-2016,107605.0,230259.0,4.55
Andhra Pradesh,Visakhapatanam,2016-2017,109915.0,246564.0,4.35
Andhra Pradesh,Visakhapatanam,2017-2018,108960.0,228877.0,4.54
Andhra Pradesh,Visakhapatanam,2018-2019,102884.0,176139.0,4.279999999999999
Andhra Pradesh,Visakhapatanam,2019-2020,103557.0,249515.0,5.26
Andhra Pradesh,Visakhapatanam,2020-2021,108270.0,269225.0,5.92
Andhra Pradesh,Visakhapatanam,2021-2022,102370.0,254772.0,5.470000000000001
Andhra Pradesh,Visakhapatanam,2022-2023,5480.0,18248.0,6.359999999999999
Andhra Pradesh,Vizianagaram,2013-2014,116778.0,290925.0,5.21
Andhra Pradesh,Vizianagaram,2014-2015,124586.0,331840.0,5.87
Andhra Pradesh,Vizianagaram,2015-2016,126691.0,373257.0,5.71
Andhra Pradesh,Vizianagaram,2016-2017,125299.0,380552.0,6.08
Andhra Pradesh,Vizianagaram,2017-2018,128842.0,384688.0,6.23
Andhra Pradesh,Vizianagaram,2018-2019,124618.0,294071.0,5.55
Andhra Pradesh,Vizianagaram,2019-2020,126647.0,407698.0,6.380000000000001
Andhra Pradesh,Vizianagaram,2020-2021,116599.0,335744.0,5.99
Andhra Pradesh,Vizianagaram,2021-2022,131877.0,386725.0,6.04
Andhra Pradesh,Vizianagaram,2022-2023,94505.0,341775.0,6.84
