State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2022 - 2023,"2,72,560.00","6,15,123.00",2.26,,,,,,,,,
,14. Nandyal,2022 - 2023,"33,223.00","56,952.00",1.71,16,29,1.81,,,,,,
,15. Ntr,2022 - 2023,"39,208.00","1,31,034.00",3.34,3,8,2.67,,,,,,
,16. Palnadu,2022 - 2023,"1,04,942.00","3,17,708.00",3.03,8,22,2.75,,,,,,
,17. Parvathipuram manyam,2022 - 2023,"8,845.00","27,229.00",3.08,,,,,,,,,
,18. Prakasam,2013 - 2014,"82,988.00","2,76,301.00",3.33,"1,352.00","4,501.00",3.33,,,,,,
,,2014 - 2015,"71,520.00","2,52,407.00",3.53,651,"2,298.00",3.53,,,,,,
,,2015 - 2016,"58,025.00","1,63,447.00",2.82,214,602,2.81,,,,,,
,,2016 - 2017,"14,105.00","43,441.00",3.08,"1,671.00","5,151.00",3.08,,,,,,
,,2017 - 2018,"35,076.00","84,281.00",2.4,496,"1,192.00",2.4,,,,,,
,,2018 - 2019,"38,467.00","77,234.00",2.01,255,513,2.01,,,,,,
,,2019 - 2020,"45,376.00","22,296.00",0.49,"1,114.00","3,219.00",2.89,,,,,,
,,2020 - 2021,"32,175.00","44,541.00",1.38,808,"1,118.00",1.38,,,,,,
,,2021 - 2022,"32,341.00","62,180.00",1.92,"9,008.00","17,320.00",1.92,,,,,,
,,2022 - 2023,"46,588.00","79,038.00",1.7,"2,483.00","6,985.00",2.81,,,,,,
,19. Spsr nellore,2013 - 2014,"5,220.00","13,081.00",2.51,"1,565.00","3,922.00",2.51,,,,,,
,,2014 - 2015,"6,615.00","20,463.00",3.09,"2,872.00","8,885.00",3.09,,,,,,
,,2015 - 2016,"4,617.00","10,969.00",2.38,998,"2,372.00",2.38,,,,,,
,,2016 - 2017,"2,124.00","5,169.00",2.43,"5,484.00","13,355.00",2.44,,,,,,
,,2017 - 2018,"3,863.00","7,591.00",1.97,964,"1,895.00",1.97,,,,,,
,,2018 - 2019,791,"2,097.00",2.65,"2,223.00","5,895.00",2.65,,,,,,
,,2019 - 2020,"1,012.00",435,0.43,"1,025.00","2,590.00",2.53,,,,,,
,,2020 - 2021,"2,748.00","7,539.00",2.74,620,"1,702.00",2.75,,,,,,
,,2021 - 2022,"1,936.00","5,741.00",2.97,"4,779.00","14,172.00",2.97,,,,,,
,,2022 - 2023,"5,207.00","9,765.00",1.88,"10,449.00","29,396.00",2.81,,,,,,
,20. Sri sathya sai,2022 - 2023,"5,978.00","3,397.00",0.57,76,140,1.84,,,,,,
,21. Srikakulam,2013 - 2014,"9,846.00","28,843.00",2.93,,,,,,,,,
,,2014 - 2015,"9,563.00","42,122.00",4.4,,,,,,,,,
,,2015 - 2016,"8,883.00","28,105.00",3.16,,,,,,,,,
,,2016 - 2017,"7,155.00","24,143.00",3.37,,,,,,,,,
,,2017 - 2018,"7,478.00","27,390.00",3.66,,,,,,,,,
,,2018 - 2019,"5,488.00","16,246.00",2.96,,,,,,,,,
,,2019 - 2020,"5,712.00","3,016.00",0.53,,,,,,,,,
,,2020 - 2021,"3,723.00","13,491.00",3.62,,,,,,,,,
,,2021 - 2022,"3,457.00","9,619.00",2.78,,,,,,,,,
,,2022 - 2023,"1,381.00","3,454.00",2.5,,,,,,,,,
