State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,,,,,,,"24,261.00","19,40,880.00",80,,,,,,
,,2021 - 2022,,,,,,,"24,934.00","20,99,443.00",84.2,,,,,,
,,2022 - 2023,,,,,,,"25,054.00","21,35,403.00",85.23,,,,,,
,22. Vadodara,2013 - 2014,,,,,,,"7,450.00","4,54,450.00",61,,,,,,
,,2014 - 2015,,,,,,,"6,490.00","3,95,890.00",61,,,,,,
,,2015 - 2016,,,,,,,"10,010.00","6,75,675.00",67.5,,,,,,
,,2016 - 2017,,,,,,,"2,050.00","1,33,250.00",65,,,,,,
,,2017 - 2018,,,,,,,"4,444.00","2,79,972.00",63,,,,,,
,,2018 - 2019,,,,,,,"1,547.00","10,056.00",6.5,,,,,,
,,2019 - 2020,,,,,,,59,"3,770.00",63.9,,,,,,
,,2020 - 2021,,,,,,,969,"63,954.00",66,,,,,,
,,2021 - 2022,,,,,,,"1,169.00","76,803.00",65.7,,,,,,
,,2022 - 2023,,,,,,,199,"12,622.00",63.43,,,,,,
,23. Valsad,2013 - 2014,,,,,,,"8,602.00","3,75,907.00",43.7,,,,,,
,,2014 - 2015,,,,,,,"7,172.00","5,30,728.00",74,,,,,,
,,2015 - 2016,,,,,,,"7,280.00","4,36,800.00",60,,,,,,
,,2016 - 2017,,,,,,,"8,978.00","5,38,680.00",60,,,,,,
,,2017 - 2018,,,,,,,"6,918.00","3,59,736.00",52,,,,,,
,,2018 - 2019,,,,,,,"6,150.00","4,12,050.00",67,,,,,,
,,2019 - 2020,,,,,,,"6,120.00","4,10,652.00",67.1,,,,,,
,,2020 - 2021,,,,,,,"6,069.00","4,09,658.00",67.5,,,,,,
,,2021 - 2022,,,,,,,"5,341.00","3,62,120.00",67.8,,,,,,
,,2022 - 2023,,,,,,,"5,929.00","4,00,812.00",67.6,,,,,,
11. Haryana,1. Ambala,2013 - 2014,,,,,,,"10,000.00","7,12,000.00",71.2,,,,,,
,,2014 - 2015,,,,,,,"10,000.00","7,06,000.00",70.6,,,,,,
,,2015 - 2016,,,,,,,"10,000.00","6,75,000.00",67.5,,,,,,
,,2016 - 2017,,,,,,,"9,800.00","7,66,000.00",78.16,,,,,,
,,2017 - 2018,,,,,,,"11,800.00","9,58,200.00",81.2,,,,,,
,,2018 - 2019,,,,,,,"11,500.00","8,29,600.00",72.14,,,,,,
,,2019 - 2020,,,,,,,"11,400.00","9,09,600.00",79.79,,,,,,
,,2020 - 2021,,,,,,,"10,300.00","7,99,740.00",77.64,,,,,,
,,2021 - 2022,,,,,,,"9,951.00","8,07,820.00",81.18,,,,,,
,2. Bhiwani,2013 - 2014,,,,,,,"2,000.00","1,51,000.00",75.5,,,,,,
,,2014 - 2015,,,,,,,"2,000.00","1,52,000.00",76,,,,,,
,,2015 - 2016,,,,,,,"2,000.00","1,44,000.00",72,,,,,,
,,2016 - 2017,,,,,,,"4,000.00","2,50,000.00",62.5,,,,,,
,,2017 - 2018,,,,,,,"2,800.00","2,14,900.00",76.75,,,,,,
,,2018 - 2019,,,,,,,"2,700.00","1,99,700.00",73.96,,,,,,
,,2019 - 2020,,,,,,,"2,400.00","1,90,000.00",79.17,,,,,,
,,2020 - 2021,,,,,,,"2,960.00","2,16,650.00",73.19,,,,,,
,,2021 - 2022,,,,,,,"2,962.00","1,94,040.00",65.51,,,,,,
,3. Charki dadri,2017 - 2018,,,,,,,"1,300.00","99,500.00",76.54,,,,,,
,,2018 - 2019,,,,,,,"1,300.00","1,20,000.00",92.31,,,,,,
,,2019 - 2020,,,,,,,"1,100.00","88,300.00",80.27,,,,,,
,,2020 - 2021,,,,,,,"1,900.00","1,63,740.00",86.18,,,,,,
,,2021 - 2022,,,,,,,"1,436.00","1,36,310.00",94.92,,,,,,
,4. Faridabad,2015 - 2016,,,,,,,"1,000.00","72,000.00",72,,,,,,
,,2016 - 2017,,,,,,,"1,500.00","1,21,000.00",80.67,,,,,,
,,2017 - 2018,,,,,,,300,"27,600.00",92,,,,,,
,,2018 - 2019,,,,,,,400,"22,000.00",55,,,,,,
,,2019 - 2020,,,,,,,200,"13,500.00",67.5,,,,,,
,,2020 - 2021,,,,,,,280,"17,020.00",60.79,,,,,,
,,2021 - 2022,,,,,,,321,"26,300.00",81.93,,,,,,
,5. Fatehabad,2016 - 2017,,,,,,,500,"31,000.00",62,,,,,,
,,2017 - 2018,,,,,,,"1,300.00","1,10,500.00",85,,,,,,
,,2018 - 2019,,,,,,,"1,500.00","1,17,400.00",78.27,,,,,,
,,2019 - 2020,,,,,,,"1,100.00","96,100.00",87.36,,,,,,
,,2020 - 2021,,,,,,,"1,500.00","1,07,580.00",71.72,,,,,,
,,2021 - 2022,,,,,,,"1,196.00","92,120.00",77.02,,,,,,
,6. Gurgaon,2018 - 2019,,,,,,,100,"7,800.00",78,,,,,,
,,2021 - 2022,,,,,,,6,0,0,,,,,,
,7. Hisar,2013 - 2014,,,,,,,"1,000.00","88,000.00",88,,,,,,
,,2014 - 2015,,,,,,,"1,000.00","70,000.00",70,,,,,,
,,2015 - 2016,,,,,,,"1,000.00","64,000.00",64,,,,,,
,,2016 - 2017,,,,,,,"1,700.00","1,14,000.00",67.06,,,,,,
,,2017 - 2018,,,,,,,"1,800.00","1,35,300.00",75.17,,,,,,
,,2018 - 2019,,,,,,,"1,500.00","1,16,500.00",77.67,,,,,,
,,2019 - 2020,,,,,,,"1,300.00","95,100.00",73.15,,,,,,
,,2020 - 2021,,,,,,,"1,540.00","1,18,190.00",76.75,,,,,,
,,2021 - 2022,,,,,,,"1,989.00","1,66,180.00",83.55,,,,,,
,8. Jhajjar,2013 - 2014,,,,,,,"3,000.00","2,46,000.00",82,,,,,,
,,2014 - 2015,,,,,,,"3,000.00","2,14,000.00",71.33,,,,,,
,,2015 - 2016,,,,,,,"3,000.00","2,29,000.00",76.33,,,,,,
,,2016 - 2017,,,,,,,"3,000.00","2,27,000.00",75.67,,,,,,
,,2017 - 2018,,,,,,,"2,900.00","1,93,100.00",66.59,,,,,,
,,2018 - 2019,,,,,,,"2,200.00","1,75,300.00",79.68,,,,,,
,,2019 - 2020,,,,,,,"1,600.00","1,21,000.00",75.63,,,,,,
,,2020 - 2021,,,,,,,"2,310.00","1,86,810.00",80.87,,,,,,
,,2021 - 2022,,,,,,,"3,653.00","2,46,610.00",67.51,,,,,,
,9. Jind,2013 - 2014,,,,,,,"4,000.00","3,18,000.00",79.5,,,,,,
,,2014 - 2015,,,,,,,"4,000.00","2,71,000.00",67.75,,,,,,
,,2015 - 2016,,,,,,,"3,000.00","2,14,000.00",71.33,,,,,,
,,2016 - 2017,,,,,,,"4,600.00","3,47,000.00",75.43,,,,,,
,,2017 - 2018,,,,,,,"4,900.00","3,91,600.00",79.92,,,,,,
,,2018 - 2019,,,,,,,"4,700.00","3,69,100.00",78.53,,,,,,
,,2019 - 2020,,,,,,,"3,900.00","3,12,600.00",80.15,,,,,,
,,2020 - 2021,,,,,,,"4,500.00","4,13,100.00",91.8,,,,,,
,,2021 - 2022,,,,,,,"5,352.00","3,91,190.00",73.09,,,,,,
,10. Kaithal,2013 - 2014,,,,,,,"4,000.00","3,36,000.00",84,,,,,,
,,2014 - 2015,,,,,,,"3,000.00","2,14,000.00",71.33,,,,,,
,,2015 - 2016,,,,,,,"3,000.00","2,75,000.00",91.67,,,,,,
,,2016 - 2017,,,,,,,"4,000.00","3,80,000.00",95,,,,,,
,,2017 - 2018,,,,,,,"5,200.00","4,70,400.00",90.46,,,,,,
,,2018 - 2019,,,,,,,"4,900.00","4,71,500.00",96.22,,,,,,
,,2019 - 2020,,,,,,,"4,600.00","4,31,300.00",93.76,,,,,,
,,2020 - 2021,,,,,,,"4,500.00","4,79,910.00",106.65,,,,,,
,,2021 - 2022,,,,,,,"4,553.00","4,17,500.00",91.7,,,,,,
,11. Karnal,2013 - 2014,,,,,,,"12,000.00","9,46,000.00",78.83,,,,,,
,,2014 - 2015,,,,,,,"11,000.00","9,35,000.00",85,,,,,,
,,2015 - 2016,,,,,,,"11,000.00","9,44,000.00",85.82,,,,,,
,,2016 - 2017,,,,,,,"11,800.00","11,04,000.00",93.56,,,,,,
,,2017 - 2018,,,,,,,"13,300.00","12,38,600.00",93.13,,,,,,
,,2018 - 2019,,,,,,,"13,300.00","11,17,000.00",83.98,,,,,,
,,2019 - 2020,,,,,,,"12,000.00","10,10,800.00",84.23,,,,,,
,,2020 - 2021,,,,,,,"11,400.00","11,95,600.00",104.88,,,,,,
,,2021 - 2022,,,,,,,"11,188.00","10,26,600.00",91.76,,,,,,
,12. Kurukshetra,2013 - 2014,,,,,,,"12,000.00","9,06,000.00",75.5,,,,,,
,,2014 - 2015,,,,,,,"11,000.00","8,98,000.00",81.64,,,,,,
,,2015 - 2016,,,,,,,"10,000.00","8,09,000.00",80.9,,,,,,
,,2016 - 2017,,,,,,,"10,000.00","8,56,000.00",85.6,,,,,,
,,2017 - 2018,,,,,,,"12,200.00","11,27,700.00",92.43,,,,,,
,,2018 - 2019,,,,,,,"12,000.00","9,73,100.00",81.09,,,,,,
,,2019 - 2020,,,,,,,"12,200.00","10,32,100.00",84.6,,,,,,
,,2020 - 2021,,,,,,,"10,960.00","9,60,550.00",87.64,,,,,,
,,2021 - 2022,,,,,,,"11,607.00","10,12,700.00",87.25,,,,,,
,13. Mewat,2013 - 2014,,,,,,,"1,000.00","73,000.00",73,,,,,,
,,2016 - 2017,,,,,,,200,"16,000.00",80,,,,,,
,,2017 - 2018,,,,,,,100,"8,400.00",84,,,,,,
,,2018 - 2019,,,,,,,400,"31,300.00",78.25,,,,,,
,,2019 - 2020,,,,,,,400,"32,100.00",80.25,,,,,,
,,2020 - 2021,,,,,,,310,"26,720.00",86.19,,,,,,
,,2021 - 2022,,,,,,,575,"47,100.00",81.91,,,,,,
,14. Palwal,2013 - 2014,,,,,,,"2,000.00","1,05,000.00",52.5,,,,,,
,,2014 - 2015,,,,,,,"2,000.00","87,000.00",43.5,,,,,,
,,2015 - 2016,,,,,,,"2,000.00","1,36,000.00",68,,,,,,
,,2016 - 2017,,,,,,,"2,200.00","1,11,000.00",50.45,,,,,,
,,2017 - 2018,,,,,,,"2,300.00","1,35,500.00",58.91,,,,,,
,,2018 - 2019,,,,,,,"2,300.00","1,16,900.00",50.83,,,,,,
,,2019 - 2020,,,,,,,"2,400.00","1,34,600.00",56.08,,,,,,
,,2020 - 2021,,,,,,,"3,300.00","2,09,610.00",63.52,,,,,,
,,2021 - 2022,,,,,,,"4,015.00","3,20,000.00",79.7,,,,,,
,15. Panchkula,2015 - 2016,,,,,,,"1,000.00","64,000.00",64,,,,,,
,,2016 - 2017,,,,,,,500,"45,000.00",90,,,,,,
,,2017 - 2018,,,,,,,500,"42,200.00",84.4,,,,,,
,,2018 - 2019,,,,,,,500,"39,100.00",78.2,,,,,,
,,2019 - 2020,,,,,,,500,"42,300.00",84.6,,,,,,
,,2020 - 2021,,,,,,,420,"36,200.00",86.19,,,,,,
,,2021 - 2022,,,,,,,"1,214.00","99,140.00",81.66,,,,,,
,16. Panipat,2013 - 2014,,,,,,,"7,000.00","5,38,000.00",76.86,,,,,,
,,2014 - 2015,,,,,,,"6,000.00","5,01,000.00",83.5,,,,,,
,,2015 - 2016,,,,,,,"5,000.00","4,10,000.00",82,,,,,,
,,2016 - 2017,,,,,,,"6,500.00","5,42,000.00",83.38,,,,,,
,,2017 - 2018,,,,,,,"7,800.00","6,63,700.00",85.09,,,,,,
,,2018 - 2019,,,,,,,"7,600.00","7,25,500.00",95.46,,,,,,
,,2019 - 2020,,,,,,,"5,600.00","4,76,700.00",85.13,,,,,,
,,2020 - 2021,,,,,,,"6,300.00","5,65,530.00",89.77,,,,,,
,,2021 - 2022,,,,,,,"7,327.00","6,85,630.00",93.58,,,,,,
,17. Rewari,2020 - 2021,,,,,,,20,"1,720.00",86,,,,,,
,,2021 - 2022,,,,,,,13,0,0,,,,,,
,18. Rohtak,2013 - 2014,,,,,,,"8,000.00","5,01,000.00",62.63,,,,,,
,,2014 - 2015,,,,,,,"8,000.00","5,44,000.00",68,,,,,,
,,2015 - 2016,,,,,,,"9,000.00","6,04,000.00",67.11,,,,,,
,,2016 - 2017,,,,,,,"10,000.00","7,09,000.00",70.9,,,,,,
,,2017 - 2018,,,,,,,"11,300.00","8,61,900.00",76.27,,,,,,
,,2018 - 2019,,,,,,,"8,600.00","5,94,300.00",69.1,,,,,,
,,2019 - 2020,,,,,,,"8,000.00","5,83,000.00",72.88,,,,,,
,,2020 - 2021,,,,,,,"8,530.00","6,21,190.00",72.82,,,,,,
,,2021 - 2022,,,,,,,"10,175.00","6,97,730.00",68.57,,,,,,
,19. Sirsa,2016 - 2017,,,,,,,200,"16,000.00",80,,,,,,
,,2017 - 2018,,,,,,,200,"16,900.00",84.5,,,,,,
,,2018 - 2019,,,,,,,100,"7,800.00",78,,,,,,
,,2020 - 2021,,,,,,,110,"9,470.00",86.09,,,,,,
,,2021 - 2022,,,,,,,87,0,0,,,,,,
,20. Sonipat,2013 - 2014,,,,,,,"8,000.00","6,53,000.00",81.63,,,,,,
,,2014 - 2015,,,,,,,"7,000.00","5,56,000.00",79.43,,,,,,
,,2015 - 2016,,,,,,,"7,000.00","6,02,000.00",86,,,,,,
,,2016 - 2017,,,,,,,"8,000.00","7,00,000.00",87.5,,,,,,
,,2017 - 2018,,,,,,,"8,900.00","8,40,900.00",94.48,,,,,,
,,2018 - 2019,,,,,,,"8,500.00","8,07,300.00",94.98,,,,,,
,,2019 - 2020,,,,,,,"7,700.00","6,01,000.00",78.05,,,,,,
,,2020 - 2021,,,,,,,"8,900.00","8,27,500.00",92.98,,,,,,
,,2021 - 2022,,,,,,,"8,846.00","6,83,650.00",77.28,,,,,,
,21. Yamunanagar,2013 - 2014,,,,,,,"27,000.00","18,54,000.00",68.67,,,,,,
,,2014 - 2015,,,,,,,"27,000.00","18,87,000.00",69.89,,,,,,
,,2015 - 2016,,,,,,,"25,000.00","17,50,000.00",70,,,,,,
,,2016 - 2017,,,,,,,"23,000.00","18,32,000.00",79.65,,,,,,
,,2017 - 2018,,,,,,,"26,000.00","21,71,900.00",83.53,,,,,,
,,2018 - 2019,,,,,,,"24,800.00","16,78,700.00",67.69,,,,,,
,,2019 - 2020,,,,,,,"19,900.00","15,60,200.00",78.4,,,,,,
,,2020 - 2021,,,,,,,"19,700.00","16,30,980.00",82.79,,,,,,
,,2021 - 2022,,,,,,,"20,190.00","16,89,260.00",83.67,,,,,,
12. Himachal Pradesh,1. Bilaspur,2013 - 2014,,,,,,,3,14,4.67,,,,,,
,,2014 - 2015,,,,,,,32,889,27.78,,,,,,
,,2015 - 2016,,,,,,,3,27,9,,,,,,
,,2016 - 2017,,,,,,,3,27,9,,,,,,
,,2017 - 2018,,,,,,,3,31,10.33,,,,,,
,,2018 - 2019,,,,,,,3,27,9,,,,,,
,,2019 - 2020,,,,,,,1,9,9,,,,,,
,,2020 - 2021,,,,,,,3,37,12.33,,,,,,
,,2021 - 2022,,,,,,,2,24,12,,,,,,
,,2022 - 2023,,,,,,,3,37,12.33,,,,,,
,2. Hamirpur,2013 - 2014,,,,,,,34,169,4.97,,,,,,
,,2014 - 2015,,,,,,,33,908,27.52,,,,,,
,,2015 - 2016,,,,,,,33,305,9.24,,,,,,
,,2016 - 2017,,,,,,,33,301,9.12,,,,,,
,,2017 - 2018,,,,,,,33,366,11.09,,,,,,
,,2018 - 2019,,,,,,,27,246,9.11,,,,,,
,,2019 - 2020,,,,,,,25,303,12.12,,,,,,
,,2020 - 2021,,,,,,,28,43,1.54,,,,,,
,,2021 - 2022,,,,,,,28,43,1.54,,,,,,
,,2022 - 2023,,,,,,,30,47,1.57,,,,,,
,3. Kangra,2013 - 2014,,,,,,,456,"1,224.00",2.68,,,,,,
,,2014 - 2015,,,,,,,534,"13,528.00",25.33,,,,,,
,,2015 - 2016,,,,,,,627,"9,423.00",15.03,,,,,,
,,2016 - 2017,,,,,,,620,"9,322.00",15.04,,,,,,
,,2017 - 2018,,,,,,,627,"9,568.00",15.26,,,,,,
,,2018 - 2019,,,,,,,479,"7,204.00",15.04,,,,,,
,,2019 - 2020,,,,,,,501,"7,535.00",15.04,,,,,,
,,2020 - 2021,,,,,,,803,"9,773.00",12.17,,,,,,
,,2021 - 2022,,,,,,,859,"10,454.00",12.17,,,,,,
,,2022 - 2023,,,,,,,810,"9,858.00",12.17,,,,,,
,4. Shimla,2013 - 2014,,,,,,,18,17,0.94,,,,,,
,,2014 - 2015,,,,,,,25,701,28.04,,,,,,
,,2015 - 2016,,,,,,,1,17,17,,,,,,
,,2016 - 2017,,,,,,,1,17,17,,,,,,
,,2017 - 2018,,,,,,,1,21,21,,,,,,
,5. Sirmaur,2013 - 2014,,,,,,,754,"1,559.00",2.07,,,,,,
,,2014 - 2015,,,,,,,795,"15,519.00",19.52,,,,,,
,,2015 - 2016,,,,,,,"1,030.00","24,158.00",23.45,,,,,,
,,2016 - 2017,,,,,,,"1,118.00","34,784.00",31.11,,,,,,
,,2017 - 2018,,,,,,,"1,030.00","23,158.00",22.48,,,,,,
,,2018 - 2019,,,,,,,860,"26,754.00",31.11,,,,,,
,,2019 - 2020,,,,,,,865,"24,315.00",28.11,,,,,,
,,2020 - 2021,,,,,,,481,"10,962.00",22.79,,,,,,
,,2021 - 2022,,,,,,,452,"10,301.00",22.79,,,,,,
,,2022 - 2023,,,,,,,446,"10,164.00",22.79,,,,,,
,6. Solan,2013 - 2014,,,,,,,54,204,3.78,,,,,,
,,2014 - 2015,,,,,,,53,"1,359.00",25.64,,,,,,
,,2015 - 2016,,,,,,,53,"1,039.00",19.6,,,,,,
,,2016 - 2017,,,,,,,52,"1,028.00",19.77,,,,,,
,,2017 - 2018,,,,,,,53,"1,039.00",19.6,,,,,,
,,2018 - 2019,,,,,,,53,"1,047.00",19.75,,,,,,
,,2019 - 2020,,,,,,,51,922,18.08,,,,,,
,,2020 - 2021,,,,,,,13,158,12.15,,,,,,
,,2021 - 2022,,,,,,,13,158,12.15,,,,,,
,,2022 - 2023,,,,,,,13,158,12.15,,,,,,
,7. Una,2013 - 2014,,,,,,,130,309,2.38,,,,,,
,,2014 - 2015,,,,,,,128,"3,777.00",29.51,,,,,,
,,2015 - 2016,,,,,,,127,"2,547.00",20.06,,,,,,
,,2016 - 2017,,,,,,,126,"2,520.00",20,,,,,,
,,2017 - 2018,,,,,,,127,"2,547.00",20.06,,,,,,
,,2018 - 2019,,,,,,,163,"3,260.00",20,,,,,,
,,2019 - 2020,,,,,,,160,"3,059.00",19.12,,,,,,
,,2020 - 2021,,,,,,,140,"1,704.00",12.17,,,,,,
,,2021 - 2022,,,,,,,137,"1,667.00",12.17,,,,,,
,,2022 - 2023,,,,,,,138,"1,679.00",12.17,,,,,,
13. Jammu and Kashmir,1. Jammu,2019 - 2020,,,,,,,33,77,2.33,,,,,,
,,2020 - 2021,,,,,,,33,77,2.33,,,,,,
,,2021 - 2022,,,,,,,33,77,2.33,,,,,,
,2. Kathua,2016 - 2017,,,,28,42,1.5,,,,,,,,,
,3. Kishtwar,2019 - 2020,,,,,,,4,6,1.5,,,,,,
,,2020 - 2021,,,,,,,4,6,1.5,,,,,,
,4. Rajauri,2016 - 2017,,,,17,25.5,1.5,,,,,,,,,
,5. Samba,2014 - 2015,,,,23,34.5,1.5,,,,,,,,,
,,2015 - 2016,,,,193,289.5,1.5,,,,,,,,,
,,2020 - 2021,,,,,,,1,1.5,1.5,,,,,,
,6. Udhampur,2014 - 2015,,,,"1,282.00","1,923.00",1.5,,,,,,,,,
14. Jharkhand,1. Chatra,2013 - 2014,,,,,,,284,"14,090.00",49.61,,,,,,
,,2014 - 2015,,,,,,,237,"9,960.00",42.03,,,,,,
,2. East singhbum,2013 - 2014,,,,,,,6,298,49.67,,,,,,
,,2014 - 2015,,,,,,,2,8,4,,,,,,
,3. Garhwa,2013 - 2014,,,,,,,147,"12,239.00",83.26,,,,,,
,,2014 - 2015,,,,,,,98,"8,384.00",85.55,,,,,,
,4. Godda,2013 - 2014,,,,,,,16,783,48.94,,,,,,
,,2014 - 2015,,,,,,,21,883,42.05,,,,,,
,5. Gumla,2013 - 2014,,,,,,,5,248,49.6,,,,,,
,,2014 - 2015,,,,,,,4,168,42,,,,,,
,6. Hazaribagh,2013 - 2014,,,,,,,61,"1,887.00",30.93,,,,,,
,,2014 - 2015,,,,,,,48,"1,636.00",34.08,,,,,,
,7. Koderma,2013 - 2014,,,,,,,50,738,14.76,,,,,,
,,2014 - 2015,,,,,,,25,474,18.96,,,,,,
,8. Latehar,2014 - 2015,,,,,,,1,42,42,,,,,,
,9. Lohardaga,2013 - 2014,,,,,,,132,"6,142.00",46.53,,,,,,
,,2014 - 2015,,,,,,,130,"6,231.00",47.93,,,,,,
,10. Palamu,2013 - 2014,,,,,,,231,"16,641.00",72.04,,,,,,
,,2014 - 2015,,,,,,,147,"9,645.00",65.61,,,,,,
,11. Sahebganj,2013 - 2014,,,,,,,66,"3,274.00",49.61,,,,,,
15. Karnataka,1. Bagalkot,2013 - 2014,,,,,,,"86,942.00","90,02,844.00",103.55,,,,,,
,,2014 - 2015,,,,,,,"93,679.00","1,02,34,431.00",109.25,,,,,,
,,2015 - 2016,,,,,,,"94,085.00","90,27,456.00",95.95,,,,,,
,,2016 - 2017,,,,,,,"88,266.00","63,72,805.00",72.2,,,,,,
,,2017 - 2018,,,,,,,"83,339.00","67,29,624.00",80.75,,,,,,
,,2018 - 2019,,,,,,,"1,01,924.00","78,43,052.00",76.95,,,,,,
,,2019 - 2020,,,,,,,"82,455.00","57,88,027.00",70.2,,,,,,
,,2020 - 2021,,,,,,,"82,529.00","75,92,668.00",92,,,,,,
,,2021 - 2022,,,,,,,"1,07,170.00","92,16,637.00",86,,,,,,
,,2022 - 2023,,,,,,,"1,22,259.00","90,47,160.00",74,,,,,,
,2. Bangalore rural,2013 - 2014,,,,,,,1,89,89,,,,,,
,,2015 - 2016,,,,,,,6,484,80.67,,,,,,
,,2018 - 2019,,,,,,,59,"5,044.00",85.49,,,,,,
,,2019 - 2020,,,,,,,109,"9,152.00",83.96,,,,,,
,,2020 - 2021,,,,,,,79,"7,584.00",96,,,,,,
,,2021 - 2022,,,,,,,117,"11,196.00",95.69,,,,,,
,,2022 - 2023,,,,,,,161,"14,465.00",89.84,,,,,,
,3. Belgaum,2013 - 2014,,,,,,,"1,59,443.00","1,43,89,731.00",90.25,,,,,,
,,2014 - 2015,,,,,,,"1,80,571.00","1,62,96,533.00",90.25,,,,,,
,,2015 - 2016,,,,,,,"1,75,778.00","1,45,28,052.00",82.65,,,,,,
,,2016 - 2017,,,,,,,"1,63,511.00","1,07,18,146.00",65.55,,,,,,
,,2017 - 2018,,,,,,,"2,08,729.00","2,06,22,425.00",98.8,,,,,,
,,2018 - 2019,,,,,,,"2,06,864.00","1,90,62,518.00",92.15,,,,,,
,,2019 - 2020,,,,,,,"1,89,896.00","1,77,32,573.00",93.38,,,,,,
,,2020 - 2021,,,,,,,"2,01,448.00","2,03,46,248.00",101,,,,,,
,,2021 - 2022,,,,,,,"2,71,730.00","2,60,86,055.00",96,,,,,,
,,2022 - 2023,,,,,,,"2,78,487.00","2,67,34,714.00",96,,,,,,
,4. Bellary,2013 - 2014,,,,,,,"6,004.00","4,84,823.00",80.75,,,,,,
,,2014 - 2015,,,,,,,"3,406.00","3,49,456.00",102.6,,,,,,
,,2015 - 2016,,,,,,,"7,835.00","8,03,871.00",102.6,,,,,,
,,2016 - 2017,,,,,,,"6,994.00","5,11,611.00",73.15,,,,,,
,,2017 - 2018,,,,,,,"4,405.00","3,72,443.00",84.55,,,,,,
,,2018 - 2019,,,,,,,"10,096.00","5,75,472.00",57,,,,,,
,,2019 - 2020,,,,,,,"6,016.00","6,07,910.00",101.05,,,,,,
,,2020 - 2021,,,,,,,"5,940.00","4,75,200.00",80,,,,,,
,,2021 - 2022,,,,,,,"9,758.00","9,36,783.00",96,,,,,,
,,2022 - 2023,,,,,,,"1,104.00","99,401.00",90.04,,,,,,
,5. Bengaluru urban,2014 - 2015,,,,,,,2,182,91,,,,,,
,,2017 - 2018,,,,,,,2,188,94,,,,,,
,,2018 - 2019,,,,,,,30,"2,565.00",85.5,,,,,,
,,2019 - 2020,,,,,,,47,"3,926.00",83.53,,,,,,
,,2020 - 2021,,,,,,,30,"2,880.00",96,,,,,,
,,2021 - 2022,,,,,,,29,"2,822.00",97.31,,,,,,
,,2022 - 2023,,,,,,,26,"2,381.00",91.58,,,,,,
,6. Bidar,2013 - 2014,,,,,,,"26,490.00","19,37,744.00",73.15,,,,,,
,,2014 - 2015,,,,,,,"28,867.00","18,92,232.00",65.55,,,,,,
,,2015 - 2016,,,,,,,"19,418.00","8,48,567.00",43.7,,,,,,
,,2016 - 2017,,,,,,,"17,712.00","9,59,105.00",54.15,,,,,,
,,2017 - 2018,,,,,,,"15,523.00","11,50,254.00",74.1,,,,,,
,,2018 - 2019,,,,,,,"13,037.00","7,30,724.00",56.05,,,,,,
,,2019 - 2020,,,,,,,"11,318.00","3,13,829.00",27.73,,,,,,
,,2020 - 2021,,,,,,,"8,452.00","4,73,312.00",56,,,,,,
,,2021 - 2022,,,,,,,"15,621.00","13,74,664.00",88,,,,,,
,,2022 - 2023,,,,,,,"13,678.00","11,07,907.00",81,,,,,,
,7. Bijapur,2013 - 2014,,,,,,,"44,914.00","34,56,132.00",76.95,,,,,,
,,2014 - 2015,,,,,,,"49,050.00","39,14,190.00",79.8,,,,,,
,,2015 - 2016,,,,,,,"43,846.00","22,07,646.00",50.35,,,,,,
,,2016 - 2017,,,,,,,"35,226.00","24,09,458.00",68.4,,,,,,
,,2017 - 2018,,,,,,,"20,777.00","18,35,648.00",88.35,,,,,,
,,2018 - 2019,,,,,,,"53,010.00","42,80,558.00",80.75,,,,,,
,,2019 - 2020,,,,,,,"35,538.00","24,70,752.00",69.52,,,,,,
,,2020 - 2021,,,,,,,"38,920.00","30,74,680.00",79,,,,,,
,,2021 - 2022,,,,,,,"78,033.00","78,81,283.00",101,,,,,,
,,2022 - 2023,,,,,,,"90,344.00","84,02,014.00",93,,,,,,
,8. Chamarajanagar,2013 - 2014,,,,,,,"3,050.00","2,89,750.00",95,,,,,,
,,2014 - 2015,,,,,,,"3,573.00","2,98,703.00",83.6,,,,,,
,,2015 - 2016,,,,,,,"2,899.00","2,56,127.00",88.35,,,,,,
,,2016 - 2017,,,,,,,"1,875.00","1,30,031.00",69.35,,,,,,
,,2017 - 2018,,,,,,,"6,788.00","7,48,038.00",110.2,,,,,,
,,2018 - 2019,,,,,,,"7,035.00","6,88,375.00",97.85,,,,,,
,,2019 - 2020,,,,,,,"6,620.00","5,61,079.00",84.76,,,,,,
,,2020 - 2021,,,,,,,"6,844.00","7,18,620.00",105,,,,,,
,,2021 - 2022,,,,,,,"10,266.00","9,65,049.00",94,,,,,,
,,2022 - 2023,,,,,,,"10,217.00","7,15,224.00",70,,,,,,
,9. Chikballapur,2014 - 2015,,,,,,,58,"5,290.00",91.21,,,,,,
,,2018 - 2019,,,,,,,132,"11,286.00",85.5,,,,,,
,,2019 - 2020,,,,,,,43,"3,602.00",83.77,,,,,,
,,2020 - 2021,,,,,,,53,"5,088.00",96,,,,,,
,,2021 - 2022,,,,,,,152,"14,582.00",95.93,,,,,,
,,2022 - 2023,,,,,,,83,"7,497.00",90.33,,,,,,
