State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,,,,28,"3,172.00",113.29,,,,,,
,,2015 - 2016,,,,,,,18,"1,989.00",110.5,,,,,,
,,2016 - 2017,,,,,,,18,"2,205.00",122.5,,,,,,
,,2017 - 2018,,,,,,,17,692,40.71,,,,,,
,,2018 - 2019,,,,,,,17,"1,606.00",94.47,,,,,,
,,2019 - 2020,,,,,,,20,"1,212.00",60.6,,,,,,
,,2020 - 2021,,,,,,,14,767,54.79,,,,,,
,2. Aurangabad,2013 - 2014,,,,,,,143,"3,537.00",24.73,,,,,,
,,2014 - 2015,,,,,,,132,"14,896.00",112.85,,,,,,
,,2015 - 2016,,,,,,,65,"6,613.00",101.74,,,,,,
,,2016 - 2017,,,,,,,46,"5,635.00",122.5,,,,,,
,,2017 - 2018,,,,,,,47,"1,913.00",40.7,,,,,,
,,2018 - 2019,,,,,,,47,"4,441.00",94.49,,,,,,
,,2019 - 2020,,,,,,,3,182,60.67,,,,,,
,,2020 - 2021,,,,,,,60,"3,287.00",54.78,,,,,,
,,2021 - 2022,,,,,,,57,"3,263.00",57.25,,,,,,
,3. Banka,2013 - 2014,,,,,,,"2,440.00","1,79,615.00",73.61,,,,,,
,,2014 - 2015,,,,,,,"2,960.00","2,02,907.00",68.55,,,,,,
,,2015 - 2016,,,,,,,"2,589.00","1,46,909.00",56.74,,,,,,
,,2016 - 2017,,,,,,,"2,714.00","1,88,621.00",69.5,,,,,,
,,2017 - 2018,,,,,,,862,"50,665.00",58.78,,,,,,
,,2018 - 2019,,,,,,,857,"75,779.00",88.42,,,,,,
,,2019 - 2020,,,,,,,540,"36,233.00",67.1,,,,,,
,,2020 - 2021,,,,,,,199,"13,924.00",69.97,,,,,,
,,2021 - 2022,,,,,,,321,"13,482.00",42,,,,,,
,,2022 - 2023,,,,,,,288,"14,725.00",51.13,,,,,,
,4. Begusarai,2013 - 2014,,,,,,,"1,394.00","1,00,907.00",72.39,,,,,,
,,2014 - 2015,,,,,,,"2,556.00","1,54,941.00",60.62,,,,,,
,,2015 - 2016,,,,,,,"2,601.00","1,55,828.00",59.91,,,,,,
,,2016 - 2017,,,,,,,"2,569.00","1,46,188.00",56.9,,,,,,
,,2017 - 2018,,,,,,,"2,123.00","1,35,942.00",64.03,,,,,,
,,2018 - 2019,,,,,,,"2,137.00","1,30,998.00",61.3,,,,,,
,,2019 - 2020,,,,,,,"4,049.00","3,20,028.00",79.04,,,,,,
,,2020 - 2021,,,,,,,"4,288.00","2,75,895.00",64.34,,,,,,
,,2021 - 2022,,,,,,,"4,187.00","1,74,388.00",41.65,,,,,,
,,2022 - 2023,,,,,,,"4,405.00","3,75,951.00",85.35,,,,,,
,5. Bhagalpur,2013 - 2014,,,,,,,"5,578.00","4,00,664.00",71.83,,,,,,
,,2014 - 2015,,,,,,,"5,932.00","3,99,316.00",67.32,,,,,,
,,2015 - 2016,,,,,,,"5,921.00","3,35,727.00",56.7,,,,,,
,,2016 - 2017,,,,,,,"5,909.00","3,28,042.00",55.52,,,,,,
,,2017 - 2018,,,,,,,"1,765.00","97,260.00",55.1,,,,,,
,,2018 - 2019,,,,,,,"1,725.00","97,615.00",56.59,,,,,,
,,2019 - 2020,,,,,,,"1,731.00","97,998.00",56.61,,,,,,
,,2020 - 2021,,,,,,,"3,219.00","1,94,265.00",60.35,,,,,,
,,2021 - 2022,,,,,,,"1,539.00","64,027.00",41.6,,,,,,
,,2022 - 2023,,,,,,,"1,508.00","59,608.00",39.53,,,,,,
