State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,"2,62,439.00","7,87,702.00",3,,,,,,,,,
,,2020 - 2021,,,,"2,82,383.00","5,69,461.00",2.02,,,,,,,,,
,,2021 - 2022,,,,"2,83,850.00","8,57,623.00",3.02,,,,,,,,,
,,2022 - 2023,,,,"1,55,463.00","4,93,337.00",3.17,,,,,,,,,
,14. Jashpur,2013 - 2014,,,,"1,80,506.00","2,77,510.00",1.54,,,,,,,,,
,,2014 - 2015,,,,"1,80,700.00","2,90,404.00",1.61,,,,,,,,,
,,2015 - 2016,,,,"1,80,626.00","1,62,391.00",0.9,,,,,,,,,
,,2016 - 2017,,,,"1,81,149.00","2,03,388.00",1.12,,,,,,,,,
,,2017 - 2018,,,,"1,83,914.00","2,15,537.00",1.17,,,,,,,,,
,,2018 - 2019,,,,"1,84,319.00","1,59,508.00",0.87,,,,,,,,,
,,2019 - 2020,,,,"1,84,271.00","1,91,219.00",1.04,,,,,,,,,
,,2020 - 2021,,,,"1,85,802.00","2,78,425.00",1.5,,,,,,,,,
,,2021 - 2022,,,,"1,86,144.00","2,11,996.00",1.14,,,,,,,,,
,,2022 - 2023,,,,"1,70,756.00","2,87,493.00",1.68,,,,,,,,,
,15. Kabirdham,2013 - 2014,,,,"96,026.00","1,27,776.00",1.33,,,,,,,,,
,,2014 - 2015,,,,"1,02,157.00","1,38,630.00",1.36,,,,,,,,,
,,2015 - 2016,,,,"1,06,327.00","1,06,583.00",1,,,,,,,,,
,,2016 - 2017,,,,"1,05,359.00","1,34,788.00",1.28,,,,,,,,,
,,2017 - 2018,,,,"1,06,660.00","1,15,200.00",1.08,,,,,,,,,
,,2018 - 2019,,,,"1,14,013.00","1,18,982.00",1.04,,,,,,,,,
,,2019 - 2020,,,,"1,32,955.00","1,68,685.00",1.27,,,,,,,,,
,,2020 - 2021,,,,"1,32,777.00","1,64,021.00",1.24,,,,,,,,,
,,2021 - 2022,,,,"1,33,626.00","1,71,824.00",1.29,,,,,,,,,
,,2022 - 2023,,,,"1,33,437.00","2,84,508.00",2.13,,,,,,,,,
,16. Kanker,2013 - 2014,,,,"1,77,529.00","4,31,585.00",2.43,,,,,,,,,
,,2014 - 2015,,,,"1,78,689.00","4,77,197.00",2.67,,,,,,,,,
,,2015 - 2016,,,,"1,80,184.00","2,19,846.00",1.22,,,,,,,,,
,,2016 - 2017,,,,"1,81,719.00","4,24,052.00",2.33,,,,,,,,,
,,2017 - 2018,,,,"1,81,645.00","2,31,439.00",1.27,,,,,,,,,
,,2018 - 2019,,,,"1,89,122.00","2,77,742.00",1.47,,,,,,,,,
,,2019 - 2020,,,,"1,95,941.00","4,27,906.00",2.18,,,,,,,,,
,,2020 - 2021,,,,"1,81,961.00","3,77,337.00",2.07,,,,,,,,,
,,2021 - 2022,,,,"1,82,160.00","2,86,207.00",1.57,,,,,,,,,
,,2022 - 2023,,,,"1,87,210.00","5,29,577.00",2.83,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,,,,"86,164.00","1,66,721.00",1.93,,,,,,,,,
,18. Kondagaon,2013 - 2014,,,,"1,00,277.00","1,81,999.00",1.81,,,,,,,,,
,,2014 - 2015,,,,"1,00,383.00","1,93,520.00",1.93,,,,,,,,,
,,2015 - 2016,,,,"99,448.00","1,10,191.00",1.11,,,,,,,,,
,,2016 - 2017,,,,"1,04,768.00","1,83,987.00",1.76,,,,,,,,,
,,2017 - 2018,,,,"1,05,481.00","1,19,670.00",1.13,,,,,,,,,
,,2018 - 2019,,,,"1,06,490.00","1,44,674.00",1.36,,,,,,,,,
,,2019 - 2020,,,,"1,08,703.00","1,76,985.00",1.63,,,,,,,,,
,,2020 - 2021,,,,"1,09,870.00","1,49,540.00",1.36,,,,,,,,,
,,2021 - 2022,,,,"1,11,686.00","1,42,187.00",1.27,,,,,,,,,
,,2022 - 2023,,,,"1,13,779.00","2,42,443.00",2.13,,,,,,,,,
,19. Korba,2013 - 2014,,,,"1,09,179.00","1,50,499.00",1.38,,,,,,,,,
,,2014 - 2015,,,,"1,09,135.00","1,64,065.00",1.5,,,,,,,,,
,,2015 - 2016,,,,"1,10,143.00","86,754.00",0.79,,,,,,,,,
,,2016 - 2017,,,,"1,09,314.00","1,78,988.00",1.64,,,,,,,,,
,,2017 - 2018,,,,"1,08,938.00","1,44,436.00",1.33,,,,,,,,,
,,2018 - 2019,,,,"1,09,307.00","1,26,495.00",1.16,,,,,,,,,
,,2019 - 2020,,,,"1,07,701.00","1,64,585.00",1.53,,,,,,,,,
,,2020 - 2021,,,,"1,13,617.00","2,81,831.00",2.48,,,,,,,,,
,,2021 - 2022,,,,"1,13,411.00","1,50,046.00",1.32,,,,,,,,,
,,2022 - 2023,,,,"1,14,823.00","2,35,542.00",2.05,,,,,,,,,
,20. Korea,2013 - 2014,,,,"69,767.00","1,12,577.00",1.61,,,,,,,,,
,,2014 - 2015,,,,"73,095.00","1,30,407.00",1.78,,,,,,,,,
,,2015 - 2016,,,,"63,527.00","46,572.00",0.73,,,,,,,,,
,,2016 - 2017,,,,"67,750.00","1,18,762.00",1.75,,,,,,,,,
,,2017 - 2018,,,,"67,752.00","71,845.00",1.06,,,,,,,,,
,,2018 - 2019,,,,"68,571.00","92,310.00",1.35,,,,,,,,,
,,2019 - 2020,,,,"72,599.00","1,16,891.00",1.61,,,,,,,,,
,,2020 - 2021,,,,"73,990.00","1,65,757.00",2.24,,,,,,,,,
,,2021 - 2022,,,,"75,972.00","1,07,610.00",1.42,,,,,,,,,
,,2022 - 2023,,,,"41,495.00","62,142.00",1.5,,,,,,,,,
,21. Mahasamund,2013 - 2014,,,,"2,71,381.00","4,74,504.00",1.75,,,,,,,,,
,,2014 - 2015,,,,"2,72,551.00","5,10,063.00",1.87,,,,,,,,,
,,2015 - 2016,,,,"2,71,299.00","3,91,426.00",1.44,,,,,,,,,
,,2016 - 2017,,,,"2,82,318.00","5,05,564.00",1.79,,,,,,,,,
,,2017 - 2018,,,,"2,81,144.00","4,06,970.00",1.45,,,,,,,,,
,,2018 - 2019,,,,"2,94,928.00","3,70,014.00",1.25,,,,,,,,,
,,2019 - 2020,,,,"2,90,632.00","4,69,992.00",1.62,,,,,,,,,
,,2020 - 2021,,,,"2,83,655.00","4,75,208.00",1.68,,,,,,,,,
,,2021 - 2022,,,,"2,89,110.00","4,70,059.00",1.63,,,,,,,,,
,,2022 - 2023,,,,"2,94,357.00","6,26,688.00",2.13,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,"34,551.00","51,299.00",1.48,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,,,,"82,369.00","1,55,572.00",1.89,,,,,,,,,
,24. Mungeli,2013 - 2014,,,,"1,08,812.00","1,87,778.00",1.73,,,,,,,,,
,,2014 - 2015,,,,"1,08,824.00","2,20,811.00",2.03,,,,,,,,,
,,2015 - 2016,,,,"1,12,491.00","2,45,531.00",2.18,,,,,,,,,
,,2016 - 2017,,,,"1,14,169.00","2,90,230.00",2.54,,,,,,,,,
,,2017 - 2018,,,,"1,15,838.00","1,92,241.00",1.66,,,,,,,,,
,,2018 - 2019,,,,"1,19,885.00","2,02,563.00",1.69,,,,,,,,,
,,2019 - 2020,,,,"1,24,037.00","3,02,195.00",2.44,,,,,,,,,
,,2020 - 2021,,,,"1,27,686.00","3,34,871.00",2.62,,,,,,,,,
,,2021 - 2022,,,,"1,29,501.00","2,44,219.00",1.89,,,,,,,,,
,,2022 - 2023,,,,"1,30,074.00","3,01,490.00",2.32,,,,,,,,,
,25. Narayanpur,2013 - 2014,,,,"24,627.00","39,302.00",1.6,,,,,,,,,
,,2014 - 2015,,,,"24,856.00","44,005.00",1.77,,,,,,,,,
,,2015 - 2016,,,,"23,926.00","16,893.00",0.71,,,,,,,,,
,,2016 - 2017,,,,"24,086.00","39,774.00",1.65,,,,,,,,,
,,2017 - 2018,,,,"24,257.00","21,320.00",0.88,,,,,,,,,
,,2018 - 2019,,,,"24,591.00","25,331.00",1.03,,,,,,,,,
,,2019 - 2020,,,,"24,748.00","37,825.00",1.53,,,,,,,,,
,,2020 - 2021,,,,"21,390.00","27,684.00",1.29,,,,,,,,,
,,2021 - 2022,,,,"21,854.00","26,721.00",1.22,,,,,,,,,
,,2022 - 2023,,,,"22,488.00","42,932.00",1.91,,,,,,,,,
,26. Raigarh,2013 - 2014,,,,"2,37,928.00","3,03,252.00",1.27,,,,,,,,,
,,2014 - 2015,,,,"2,28,200.00","3,67,385.00",1.61,,,,,,,,,
,,2015 - 2016,,,,"2,28,820.00","2,52,504.00",1.1,,,,,,,,,
,,2016 - 2017,,,,"2,43,089.00","5,60,337.00",2.31,,,,,,,,,
,,2017 - 2018,,,,"2,27,207.00","4,07,752.00",1.79,,,,,,,,,
,,2018 - 2019,,,,"2,40,884.00","3,97,848.00",1.65,,,,,,,,,
,,2019 - 2020,,,,"2,44,702.00","5,17,811.00",2.12,,,,,,,,,
,,2020 - 2021,,,,"2,39,613.00","4,53,529.00",1.89,,,,,,,,,
,,2021 - 2022,,,,"2,38,712.00","3,93,033.00",1.65,,,,,,,,,
,,2022 - 2023,,,,"1,64,249.00","4,40,678.00",2.68,,,,,,,,,
,27. Raipur,2013 - 2014,,,,"1,85,684.00","3,14,837.00",1.7,,,,,,,,,
,,2014 - 2015,,,,"1,86,042.00","3,76,312.00",2.02,,,,,,,,,
,,2015 - 2016,,,,"1,65,748.00","2,64,662.00",1.6,,,,,,,,,
,,2016 - 2017,,,,"1,79,497.00","5,80,980.00",3.24,,,,,,,,,
,,2017 - 2018,,,,"1,62,416.00","3,29,784.00",2.03,,,,,,,,,
,,2018 - 2019,,,,"1,67,839.00","3,80,723.00",2.27,,,,,,,,,
,,2019 - 2020,,,,"1,72,813.00","5,11,646.00",2.96,,,,,,,,,
,,2020 - 2021,,,,"1,71,725.00","5,07,964.00",2.96,,,,,,,,,
,,2021 - 2022,,,,"1,72,678.00","5,06,956.00",2.94,,,,,,,,,
,,2022 - 2023,,,,"1,73,459.00","6,04,190.00",3.48,,,,,,,,,
,28. Rajnandgaon,2013 - 2014,,,,"2,81,928.00","4,28,897.00",1.52,,,,,,,,,
,,2014 - 2015,,,,"2,87,194.00","4,80,285.00",1.67,,,,,,,,,
,,2015 - 2016,,,,"2,68,648.00","1,99,339.00",0.74,,,,,,,,,
,,2016 - 2017,,,,"2,90,276.00","5,39,710.00",1.86,,,,,,,,,
,,2017 - 2018,,,,"2,94,317.00","3,07,925.00",1.05,,,,,,,,,
,,2018 - 2019,,,,"3,10,786.00","4,27,239.00",1.37,,,,,,,,,
,,2019 - 2020,,,,"3,40,270.00","6,13,716.00",1.8,,,,,,,,,
,,2020 - 2021,,,,"3,46,977.00","6,68,770.00",1.93,,,,,,,,,
,,2021 - 2022,,,,"3,52,622.00","6,49,508.00",1.84,,,,,,,,,
,,2022 - 2023,,,,"1,85,611.00","3,58,544.00",1.93,,,,,,,,,
,29. Sakti,2022 - 2023,,,,"1,24,017.00","3,75,235.00",3.03,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,,,,"1,06,006.00","2,64,183.00",2.49,,,,,,,,,
,31. Sukma,2013 - 2014,,,,"72,828.00","1,71,578.00",2.36,,,,,,,,,
,,2014 - 2015,,,,"78,438.00","1,74,280.00",2.22,,,,,,,,,
,,2015 - 2016,,,,"81,613.00","1,04,400.00",1.28,,,,,,,,,
,,2016 - 2017,,,,"81,527.00","1,43,028.00",1.75,,,,,,,,,
,,2017 - 2018,,,,"84,363.00","1,21,652.00",1.44,,,,,,,,,
,,2018 - 2019,,,,"82,205.00","1,11,313.00",1.35,,,,,,,,,
,,2019 - 2020,,,,"86,395.00","1,39,513.00",1.61,,,,,,,,,
,,2020 - 2021,,,,"86,729.00","1,58,838.00",1.83,,,,,,,,,
,,2021 - 2022,,,,"88,672.00","1,58,427.00",1.79,,,,,,,,,
,,2022 - 2023,,,,"89,813.00","2,50,656.00",2.79,,,,,,,,,
,32. Surajpur,2013 - 2014,,,,"1,08,262.00","1,89,774.00",1.75,,,,,,,,,
,,2014 - 2015,,,,"1,06,865.00","1,96,547.00",1.84,,,,,,,,,
,,2015 - 2016,,,,"1,07,800.00","1,35,447.00",1.26,,,,,,,,,
,,2016 - 2017,,,,"1,08,003.00","1,85,991.00",1.72,,,,,,,,,
,,2017 - 2018,,,,"1,08,911.00","1,51,397.00",1.39,,,,,,,,,
,,2018 - 2019,,,,"1,11,561.00","1,73,808.00",1.56,,,,,,,,,
,,2019 - 2020,,,,"1,13,276.00","1,79,222.00",1.58,,,,,,,,,
,,2020 - 2021,,,,"1,13,474.00","1,86,974.00",1.65,,,,,,,,,
,,2021 - 2022,,,,"1,15,008.00","1,84,742.00",1.61,,,,,,,,,
,,2022 - 2023,,,,"1,17,241.00","2,67,329.00",2.28,,,,,,,,,
,33. Surguja,2013 - 2014,,,,"1,16,893.00","2,02,401.00",1.73,,,,,,,,,
,,2014 - 2015,,,,"1,17,268.00","2,06,623.00",1.76,,,,,,,,,
,,2015 - 2016,,,,"1,16,481.00","1,67,130.00",1.43,,,,,,,,,
,,2016 - 2017,,,,"1,18,030.00","1,95,872.00",1.66,,,,,,,,,
,,2017 - 2018,,,,"1,16,713.00","1,73,296.00",1.48,,,,,,,,,
,,2018 - 2019,,,,"1,16,068.00","1,48,351.00",1.28,,,,,,,,,
,,2019 - 2020,,,,"1,15,066.00","1,76,024.00",1.53,,,,,,,,,
,,2020 - 2021,,,,"1,13,959.00","1,85,353.00",1.63,,,,,,,,,
,,2021 - 2022,,,,"1,15,588.00","1,87,443.00",1.62,,,,,,,,,
,,2022 - 2023,,,,"1,15,110.00","2,64,479.00",2.3,,,,,,,,,
8. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2013 - 2014,,,,"13,255.00","24,866.00",1.88,325,631,1.94,,,,,,
,,2014 - 2015,,,,"13,490.00","25,181.00",1.87,376,726,1.93,,,,,,
,,2015 - 2016,,,,"13,918.00","28,763.00",2.07,419,835,1.99,,,,,,
,,2016 - 2017,,,,"14,233.00","31,312.00",2.2,150,525,3.5,,,,,,
,,2017 - 2018,,,,"13,817.00","28,659.00",2.07,409,799,1.95,,,,,,
,,2018 - 2019,,,,"14,250.00","30,874.60",2.17,"3,350.00","8,486.00",2.53,,,,,,
,,2019 - 2020,,,,"13,450.00","27,796.00",2.07,"3,350.00","8,486.00",2.53,,,,,,
9. Daman and Diu,1. Daman,2013 - 2014,,,,"2,000.00","3,600.00",1.8,,,,,,,,,
,,2014 - 2015,,,,"1,891.50","3,800.00",2.01,,,,,,,,,
,,2015 - 2016,,,,"1,783.00","2,030.26",1.14,,,,,,,,,
,,2016 - 2017,,,,"2,000.00","2,570.66",1.29,,,,,,,,,
,,2017 - 2018,,,,"1,783.00","2,178.80",1.22,,,,,,,,,
,,2018 - 2019,,,,"1,432.00","1,822.66",1.27,,,,,,,,,
,,2019 - 2020,,,,"1,432.00","1,823.00",1.27,,,,,,,,,
10. Delhi,1. Delhi_Total,2013 - 2014,,,,"6,068.00","19,768.00",3.26,,,,,,,,,
,,2014 - 2015,,,,"6,035.00","17,269.00",2.86,,,,,,,,,
,,2015 - 2016,,,,"5,884.00","16,837.00",2.86,,,,,,,,,
,,2016 - 2017,,,,"5,973.00","17,260.00",2.89,,,,,,,,,
,,2017 - 2018,,,,"5,854.00","16,837.00",2.88,,,,,,,,,
,,2018 - 2019,,,,"5,848.00","16,826.00",2.88,,,,,,,,,
,,2019 - 2020,,,,"5,848.00","17,580.00",3.01,,,,,,,,,
11. Goa,1. North goa,2013 - 2014,,,,"14,740.00","44,206.00",3,"7,270.00","22,145.00",3.05,,,,,,
,,2014 - 2015,,,,"14,385.00","40,962.00",2.85,"6,820.00","18,826.00",2.76,,,,,,
,,2015 - 2016,,,,"13,115.00","36,831.00",2.81,"4,439.00","13,246.00",2.98,,,,,,
,,2016 - 2017,,,,"13,055.00","37,429.00",2.87,"4,272.00","11,838.00",2.77,,,,,,
,,2017 - 2018,,,,"12,454.00","34,934.00",2.81,"3,681.00","11,012.00",2.99,,,,,,
,,2018 - 2019,,,,"12,257.00","34,354.00",2.8,"3,243.00","8,882.00",2.74,,,,,,
,,2019 - 2020,,,,"10,871.00","25,820.00",2.38,"2,996.00","9,212.00",3.07,,,,,,
,,2020 - 2021,,,,"10,661.00","31,032.00",2.91,"2,356.00","7,614.00",3.23,,,,,,
,,2021 - 2022,,,,"10,554.00","31,253.00",2.96,"2,307.00","5,896.00",2.56,,,,,,
,,2022 - 2023,,,,"1,056.00","47,325.00",44.82,"2,303.00","6,924.00",3.01,,,,,,
,2. South goa,2013 - 2014,,,,"13,590.00","35,908.00",2.64,"7,220.00","24,252.00",3.36,,,,,,
,,2014 - 2015,,,,"13,455.00","40,307.00",3,"7,310.00","20,410.00",2.79,,,,,,
,,2015 - 2016,,,,"14,615.00","41,658.00",2.85,"9,175.00","23,333.00",2.54,,,,,,
,,2016 - 2017,,,,"14,575.00","39,680.00",2.72,"8,921.00","24,280.00",2.72,,,,,,
,,2017 - 2018,,,,"14,765.00","36,345.00",2.46,"7,620.00","20,706.00",2.72,,,,,,
,,2018 - 2019,,,,"13,584.00","35,918.00",2.64,"7,300.00","19,700.00",2.7,,,,,,
,,2019 - 2020,,,,"13,540.00","34,736.00",2.57,"7,291.00","20,607.00",2.83,,,,,,
,,2020 - 2021,,,,"12,779.00","30,540.00",2.39,"6,881.00","18,155.00",2.64,,,,,,
,,2021 - 2022,,,,"12,734.00","34,336.00",2.7,"6,752.00","18,946.00",2.81,,,,,,
,,2022 - 2023,,,,"1,201.00","47,105.00",39.22,"6,647.00","18,520.00",2.79,,,,,,
12. Gujarat,1. Ahmadabad,2013 - 2014,,,,"1,12,760.00","2,63,994.00",2.34,,,,"3,752.00","12,287.00",3.27,,,
,,2014 - 2015,,,,"1,16,904.00","3,05,692.00",2.61,,,,"8,530.00","30,715.00",3.6,,,
,,2015 - 2016,,,,"1,13,930.00","2,87,425.00",2.52,,,,"10,355.00","35,833.00",3.46,,,
,,2016 - 2017,,,,"1,19,870.00","3,11,998.00",2.6,,,,"27,900.00","95,566.00",3.43,,,
,,2017 - 2018,,,,"1,17,955.00","2,53,359.00",2.15,,,,"33,885.00","89,670.00",2.65,,,
,,2018 - 2019,,,,"1,13,463.00","1,49,704.00",1.32,,,,"9,807.00","35,305.00",3.6,,,
,,2019 - 2020,,,,"1,33,051.00","2,71,922.00",2.04,,,,"17,045.00","57,069.00",3.35,,,
,,2020 - 2021,,,,"1,32,795.00","3,14,134.00",2.37,,,,"31,283.00","1,02,100.00",3.26,,,
,,2021 - 2022,,,,"1,35,857.00","2,74,476.00",2.02,,,,"25,419.00","74,403.00",2.93,,,
,,2022 - 2023,,,,"1,51,525.00","4,25,327.00",2.81,,,,"30,297.00","93,231.00",3.08,,,
,2. Anand,2013 - 2014,,,,"1,13,845.00","2,95,917.00",2.6,,,,928,"2,958.00",3.19,,,
,,2014 - 2015,,,,"1,10,222.00","3,08,578.00",2.8,,,,544,"1,746.00",3.21,,,
,,2015 - 2016,,,,"1,08,474.00","3,00,227.00",2.77,,,,371,"1,204.00",3.25,,,
,,2016 - 2017,,,,"1,01,891.00","2,79,721.00",2.75,,,,755,"2,456.00",3.25,,,
,,2017 - 2018,,,,"1,10,798.00","2,99,878.00",2.71,,,,564,"1,503.00",2.66,,,
,,2018 - 2019,,,,"1,12,760.00","3,14,920.00",2.79,,,,"1,230.00","3,460.00",2.81,,,
,,2019 - 2020,,,,"1,12,839.00","2,07,115.00",1.84,,,,"2,353.00","6,941.00",2.95,,,
,,2020 - 2021,,,,"1,17,273.00","2,84,137.00",2.42,,,,"4,097.00","11,565.00",2.82,,,
,,2021 - 2022,,,,"1,09,958.00","2,78,438.00",2.53,,,,"4,814.00","15,199.00",3.16,,,
,,2022 - 2023,,,,"1,21,907.00","3,21,839.00",2.64,,,,"6,802.00","21,994.00",3.23,,,
,3. Aravalli,2014 - 2015,,,,"1,911.00",593,0.31,,,,,,,,,
,,2015 - 2016,,,,"1,095.00","1,284.00",1.17,,,,,,,,,
,,2016 - 2017,,,,"1,487.00","3,508.00",2.36,,,,,,,,,
,,2017 - 2018,,,,"1,208.00","2,930.00",2.43,,,,,,,,,
,,2018 - 2019,,,,"1,625.00","3,979.00",2.45,,,,,,,,,
,,2019 - 2020,,,,"1,554.00","2,507.00",1.61,,,,50,147,2.94,,,
,,2020 - 2021,,,,"1,207.00","2,106.00",1.74,,,,,,,,,
,,2021 - 2022,,,,"1,162.00","2,786.00",2.4,,,,,,,,,
,,2022 - 2023,,,,"1,442.00","3,804.00",2.64,,,,,,,,,
,4. Banas kantha,2015 - 2016,,,,75,88,1.17,,,,,,,,,
,5. Bharuch,2013 - 2014,,,,"11,260.00","15,672.00",1.39,,,,"1,430.00","4,558.00",3.19,,,
,,2014 - 2015,,,,"8,225.00","15,762.00",1.92,,,,"1,680.00","5,393.00",3.21,,,
,,2015 - 2016,,,,"4,970.00","8,773.00",1.77,,,,"1,500.00","4,034.00",2.69,,,
,,2016 - 2017,,,,"7,680.00","12,494.00",1.63,,,,"1,350.00","2,927.00",2.17,,,
,,2017 - 2018,,,,"7,990.00","15,103.00",1.89,,,,800,"2,132.00",2.67,,,
,,2018 - 2019,,,,"6,472.00","9,911.00",1.53,,,,90,252,2.8,,,
,,2019 - 2020,,,,"5,566.00","8,769.00",1.58,,,,"2,885.00","6,883.00",2.39,,,
,,2020 - 2021,,,,"8,038.00","14,279.00",1.78,,,,"2,910.00","6,912.00",2.38,,,
,,2021 - 2022,,,,"9,065.00","18,271.00",2.02,,,,"3,650.00","9,388.00",2.57,,,
,,2022 - 2023,,,,"9,846.00","17,289.00",1.76,,,,"3,685.00","9,116.00",2.47,,,
,6. Botad,2021 - 2022,,,,5,12,2.4,,,,,,,,,
,7. Chhotaudepur,2014 - 2015,,,,"18,541.00","25,944.00",1.4,,,,,,,,,
,,2015 - 2016,,,,"14,890.00","21,008.00",1.41,,,,,,,,,
,,2016 - 2017,,,,"16,635.00","20,293.00",1.22,,,,,,,,,
,,2017 - 2018,,,,"21,870.00","23,342.00",1.07,,,,,,,,,
,,2018 - 2019,,,,"21,315.00","29,190.00",1.37,,,,,,,,,
,,2019 - 2020,,,,"16,271.00","26,846.00",1.65,,,,,,,,,
,,2020 - 2021,,,,"19,449.00","30,528.00",1.57,,,,,,,,,
,,2021 - 2022,,,,"13,929.00","21,747.00",1.56,,,,,,,,,
,,2022 - 2023,,,,"15,810.00","20,456.00",1.29,,,,16,46,2.88,,,
,8. Dang,2013 - 2014,,,,"16,810.00","43,178.00",2.57,,,,,,,,,
,,2014 - 2015,,,,"14,457.00","21,602.00",1.49,,,,,,,,,
,,2015 - 2016,,,,"21,105.00","41,656.00",1.97,,,,,,,,,
,,2016 - 2017,,,,"22,205.00","53,641.00",2.42,,,,,,,,,
,,2017 - 2018,,,,"20,829.00","49,955.00",2.4,,,,,,,,,
,,2018 - 2019,,,,"20,400.00","60,575.00",2.97,,,,,,,,,
,,2019 - 2020,,,,"26,750.00","44,911.00",1.68,,,,,,,,,
,,2020 - 2021,,,,"26,800.00","51,820.00",1.93,,,,17,51,3,,,
,,2021 - 2022,,,,"27,864.00","79,401.00",2.85,,,,18,53,2.94,,,
,,2022 - 2023,,,,"28,370.00","49,998.00",1.76,,,,15,43,2.87,,,
,9. Dohad,2013 - 2014,,,,"38,783.00","34,587.00",0.89,,,,,,,,,
,,2014 - 2015,,,,"43,276.00","22,613.00",0.52,,,,,,,,,
,,2015 - 2016,,,,"40,561.00","11,199.00",0.28,,,,,,,,,
,,2016 - 2017,,,,"40,671.00","47,914.00",1.18,,,,,,,,,
,,2017 - 2018,,,,"49,880.00","59,028.00",1.18,,,,,,,,,
,,2018 - 2019,,,,"34,084.00","36,993.00",1.09,,,,,,,,,
,,2019 - 2020,,,,"43,010.00","51,421.00",1.2,,,,,,,,,
,,2020 - 2021,,,,"41,658.00","55,956.00",1.34,,,,,,,,,
,,2021 - 2022,,,,"40,900.00","48,865.00",1.19,,,,,,,,,
,,2022 - 2023,,,,"42,773.00","54,527.00",1.27,,,,,,,,,
,10. Gandhinagar,2013 - 2014,,,,"9,971.00","23,495.00",2.36,,,,3,10,3.33,,,
,,2014 - 2015,,,,"8,414.00","19,160.00",2.28,,,,5,16,3.2,,,
,,2015 - 2016,,,,"10,838.00","22,262.00",2.05,,,,,,,,,
,,2016 - 2017,,,,"9,184.00","11,463.00",1.25,,,,,,,,,
,,2017 - 2018,,,,"9,901.00","12,419.00",1.25,,,,128,341,2.66,,,
,,2018 - 2019,,,,"11,675.00","25,055.00",2.15,,,,16,41,2.56,,,
,,2019 - 2020,,,,"12,126.00","28,050.00",2.31,,,,6,18,3,,,
,,2020 - 2021,,,,"12,371.00","28,827.00",2.33,,,,115,345,3,,,
,,2021 - 2022,,,,"13,775.00","34,453.00",2.5,,,,180,526,2.92,,,
,,2022 - 2023,,,,"12,797.00","31,625.00",2.47,,,,60,174,2.9,,,
,11. Gir somnath,2020 - 2021,,,,6,10,1.67,,,,,,,,,
,,2021 - 2022,,,,5,10,2,,,,,,,,,
,,2022 - 2023,,,,10,19,1.9,,,,,,,,,
,12. Jamnagar,2020 - 2021,,,,,,,,,,70,210,3,,,
,13. Kheda,2013 - 2014,,,,"1,08,800.00","2,52,848.00",2.32,,,,"4,542.00","13,391.00",2.95,,,
,,2014 - 2015,,,,"98,831.00","2,53,080.00",2.56,,,,"3,499.00","9,167.00",2.62,,,
,,2015 - 2016,,,,"1,00,519.00","2,49,813.00",2.49,,,,"3,659.00","12,837.00",3.51,,,
,,2016 - 2017,,,,"1,02,915.00","2,65,985.00",2.58,,,,"7,699.00","25,845.00",3.36,,,
,,2017 - 2018,,,,"1,08,375.00","2,79,398.00",2.58,,,,"6,663.00","19,276.00",2.89,,,
,,2018 - 2019,,,,"1,12,873.00","3,59,556.00",3.19,,,,"7,647.00","24,470.00",3.2,,,
,,2019 - 2020,,,,"1,15,129.00","3,09,651.00",2.69,,,,"13,988.00","43,606.00",3.12,,,
,,2020 - 2021,,,,"1,14,407.00","3,29,582.00",2.88,,,,"12,053.00","36,105.00",3,,,
,,2021 - 2022,,,,"1,09,651.00","3,10,069.00",2.83,,,,"15,694.00","49,926.00",3.18,,,
,,2022 - 2023,,,,"1,13,422.00","3,28,694.00",2.9,,,,"12,785.00","39,230.00",3.07,,,
,14. Mahesana,2013 - 2014,,,,"4,970.00","9,973.00",2.01,,,,,,,,,
,,2014 - 2015,,,,"6,815.00","18,047.00",2.65,,,,27,87,3.22,,,
,,2015 - 2016,,,,"7,095.00","17,046.00",2.4,,,,45,146,3.24,,,
,,2016 - 2017,,,,"4,638.00","10,967.00",2.36,,,,90,293,3.26,,,
,,2017 - 2018,,,,"7,043.00","16,828.00",2.39,,,,402,"1,071.00",2.66,,,
,,2018 - 2019,,,,"3,010.00","7,371.00",2.45,,,,80,,0,,,
,,2019 - 2020,,,,"4,030.00","7,853.00",1.95,,,,170,501,2.95,,,
,,2020 - 2021,,,,"5,501.00","12,051.00",2.19,,,,173,519,3,,,
,,2021 - 2022,,,,"5,179.00","11,856.00",2.29,,,,189,553,2.93,,,
,,2022 - 2023,,,,"5,331.00","12,368.00",2.32,,,,242,701,2.9,,,
,15. Mahisagar,2014 - 2015,,,,"33,784.00","50,720.00",1.5,,,,10,32,3.2,,,
