State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,"2,21,042.00","7,44,209.00",3.37,"1,66,544.00","8,88,271.00",5.33,,,,,,
,,2020 - 2021,,,,"2,20,431.00","4,98,020.00",2.26,"1,78,180.00","9,26,819.00",5.2,,,,,,
,,2021 - 2022,,,,"2,29,825.00","5,33,960.00",2.32,"2,00,800.00","9,13,712.00",4.55,,,,,,
,,2022 - 2023,,,,"76,252.00","2,79,665.00",3.67,"55,830.00","3,01,259.00",5.4,,,,,,
,8. Eluru,2022 - 2023,,,,"89,222.00","3,59,679.00",4.03,"32,041.00","1,83,937.00",5.74,,,,,,
,9. Guntur,2013 - 2014,,,,"2,80,060.00","9,12,716.00",3.26,"48,107.00","1,83,288.00",3.81,,,,,,
,,2014 - 2015,,,,"2,55,607.00","10,00,190.00",3.91,"29,695.00","1,11,742.00",3.76,,,,,,
,,2015 - 2016,,,,"1,60,608.00","4,65,820.00",2.9,"2,610.00","9,051.00",3.47,,,,,,
,,2016 - 2017,,,,"1,63,747.00","6,85,336.00",4.19,"12,193.00","50,195.00",4.12,,,,,,
,,2017 - 2018,,,,"1,83,828.00","7,66,563.00",4.17,"18,663.00","86,279.00",4.62,,,,,,
,,2018 - 2019,,,,"2,16,433.00","8,57,796.00",3.96,"30,405.00","1,21,397.00",3.99,,,,,,
,,2019 - 2020,,,,"2,20,272.00","8,77,858.00",3.99,"26,430.00","1,05,191.00",3.98,,,,,,
,,2020 - 2021,,,,"2,13,628.00","6,68,086.00",3.13,"41,657.00","1,63,101.00",3.92,,,,,,
,,2021 - 2022,,,,"2,22,643.00","6,53,977.00",2.94,"31,529.00","1,12,621.00",3.57,,,,,,
,,2022 - 2023,,,,"61,705.00","2,58,966.00",4.2,650,"2,586.00",3.98,,,,,,
,10. Kadapa,2013 - 2014,,,,"51,753.00","1,48,842.00",2.88,"10,959.00","29,447.00",2.69,,,,,,
,,2014 - 2015,,,,"42,124.00","1,55,648.00",3.69,"3,761.00","10,189.00",2.71,,,,,,
,,2015 - 2016,,,,"18,625.00","50,337.00",2.7,"21,638.00","72,790.00",3.36,,,,,,
,,2016 - 2017,,,,"44,388.00","1,46,747.00",3.31,"5,941.00","18,893.00",3.18,,,,,,
,,2017 - 2018,,,,"30,717.00","70,496.00",2.3,"24,262.00","69,268.00",2.85,,,,,,
,,2018 - 2019,,,,"39,041.00","1,26,779.00",3.25,"6,799.00","20,932.00",3.08,,,,,,
,,2019 - 2020,,,,"32,647.00","99,769.00",3.06,"9,162.00","29,795.00",3.25,,,,,,
,,2020 - 2021,,,,"36,780.00","70,201.00",1.91,"23,407.00","77,665.00",3.32,,,,,,
,,2021 - 2022,,,,"52,146.00","87,223.00",1.67,"18,356.00","54,028.00",2.94,,,,,,
,,2022 - 2023,,,,"27,616.00","88,721.00",3.21,"10,431.00","37,475.00",3.59,,,,,,
,11. Kakinada,2022 - 2023,,,,"89,585.00","2,83,866.00",3.17,"65,539.00","3,26,035.00",4.97,,,,,,
,12. Konaseema,2022 - 2023,,,,"56,241.00","1,73,335.00",3.08,"70,549.00","4,11,301.00",5.83,,,,,,
,13. Krishna,2013 - 2014,,,,"2,64,371.00","7,73,285.00",2.92,"98,951.00","4,02,236.00",4.07,,,,,,
,,2014 - 2015,,,,"2,35,212.00","7,88,901.00",3.35,"52,830.00","2,09,894.00",3.97,,,,,,
,,2015 - 2016,,,,"2,10,818.00","7,07,083.00",3.35,"9,861.00","55,555.00",5.63,,,,,,
,,2016 - 2017,,,,"2,15,895.00","8,33,499.00",3.86,"15,514.00","64,217.00",4.14,,,,,,
,,2017 - 2018,,,,"2,35,984.00","9,30,721.00",3.94,"22,744.00","1,01,234.00",4.45,,,,,,
,,2018 - 2019,,,,"2,45,815.00","10,22,427.00",4.16,"28,199.00","1,24,621.00",4.42,,,,,,
,,2019 - 2020,,,,"2,43,863.00","9,45,538.00",3.88,"71,173.00","3,15,771.00",4.44,,,,,,
,,2020 - 2021,,,,"2,50,926.00","8,12,833.00",3.24,"87,691.00","3,85,723.00",4.4,,,,,,
,,2021 - 2022,,,,"2,47,769.00","8,46,875.00",3.42,"20,744.00","81,496.00",3.93,,,,,,
,,2022 - 2023,,,,"1,62,774.00","6,46,104.00",3.97,"4,653.00","18,907.00",4.06,,,,,,
,14. Kurnool,2013 - 2014,,,,"92,596.00","3,40,383.00",3.68,"32,298.00","1,18,017.00",3.65,,,,,,
,,2014 - 2015,,,,"91,569.00","3,61,514.00",3.95,"23,329.00","82,748.00",3.55,,,,,,
,,2015 - 2016,,,,"46,316.00","1,45,993.00",3.15,"9,276.00","25,589.00",2.76,,,,,,
,,2016 - 2017,,,,"79,264.00","3,22,068.00",4.06,"29,451.00","1,12,817.00",3.83,,,,,,
,,2017 - 2018,,,,"59,592.00","2,06,963.00",3.47,"42,498.00","1,55,500.00",3.66,,,,,,
,,2018 - 2019,,,,"88,858.00","3,46,199.00",3.9,"21,039.00","74,787.00",3.55,,,,,,
,,2019 - 2020,,,,"82,759.00","3,29,605.00",3.98,"38,714.00","1,51,604.00",3.92,,,,,,
,,2020 - 2021,,,,"83,979.00","2,47,240.00",2.94,"38,959.00","1,53,005.00",3.93,,,,,,
,,2021 - 2022,,,,"85,481.00","2,65,761.00",3.11,"31,675.00","1,17,219.00",3.7,,,,,,
,,2022 - 2023,,,,"11,676.00","39,426.00",3.38,"4,657.00","15,492.00",3.33,,,,,,
,15. Nandyal,2022 - 2023,,,,"64,432.00","2,50,121.00",3.88,"33,764.00","1,43,722.00",4.26,,,,,,
,16. Ntr,2022 - 2023,,,,"46,135.00","1,80,573.00",3.91,"17,847.00","68,413.00",3.83,,,,,,
,17. Palnadu,2022 - 2023,,,,"38,621.00","1,44,751.00",3.75,"19,852.00","72,261.00",3.64,,,,,,
,18. Parvathipuram manyam,2022 - 2023,,,,"71,419.00","2,37,456.00",3.32,"1,394.00","4,471.00",3.21,,,,,,
,19. Prakasam,2013 - 2014,,,,"58,034.00","2,13,391.00",3.68,"80,544.00","3,18,874.00",3.96,,,,,,
,,2014 - 2015,,,,"31,764.00","1,21,783.00",3.83,"73,533.00","2,84,132.00",3.86,,,,,,
,,2015 - 2016,,,,"14,187.00","61,438.00",4.33,"30,198.00","1,17,249.00",3.88,,,,,,
,,2016 - 2017,,,,"19,297.00","64,177.00",3.33,"20,775.00","79,721.00",3.84,,,,,,
,,2017 - 2018,,,,"27,547.00","1,07,543.00",3.9,"19,806.00","74,035.00",3.74,,,,,,
,,2018 - 2019,,,,"27,778.00","1,02,036.00",3.67,"37,490.00","1,26,566.00",3.38,,,,,,
,,2019 - 2020,,,,"29,872.00","1,11,711.00",3.74,"50,503.00","1,91,440.00",3.79,,,,,,
