State,District,Year,gram_area,gram_production,gram_yield
Chhattisgarh,Balod,2020-2021,4036.0,3311.0,0.82
Chhattisgarh,Balod,2021-2022,11305.0,9240.0,0.82
Chhattisgarh,Balod,2022-2023,8277.0,7917.0,0.96
Chhattisgarh,Baloda bazar,2013-2014,2994.0,2987.0,1.0
Chhattisgarh,Baloda bazar,2014-2015,2833.0,4319.0,1.52
Chhattisgarh,Baloda bazar,2015-2016,2922.0,2405.0,0.82
Chhattisgarh,Baloda bazar,2016-2017,2044.0,2918.0,1.43
Chhattisgarh,Baloda bazar,2017-2018,1272.0,1203.0,0.95
Chhattisgarh,Baloda bazar,2018-2019,4130.0,4180.0,1.01
Chhattisgarh,Baloda bazar,2019-2020,2577.0,1324.0,0.51
Chhattisgarh,Baloda bazar,2020-2021,1021.0,730.0,0.71
Chhattisgarh,Baloda bazar,2021-2022,1008.0,717.0,0.71
Chhattisgarh,Baloda bazar,2022-2023,826.0,697.0,0.84
Chhattisgarh,Balrampur,2013-2014,1166.0,836.0,0.72
Chhattisgarh,Balrampur,2014-2015,1015.0,1124.0,1.11
Chhattisgarh,Balrampur,2015-2016,1023.0,712.0,0.7
Chhattisgarh,Balrampur,2016-2017,1018.0,1077.0,1.06
Chhattisgarh,Balrampur,2017-2018,981.0,972.0,0.99
Chhattisgarh,Balrampur,2018-2019,1019.0,942.0,0.92
Chhattisgarh,Balrampur,2019-2020,1325.0,624.0,0.47
Chhattisgarh,Balrampur,2020-2021,924.0,663.0,0.72
Chhattisgarh,Balrampur,2021-2022,904.0,586.0,0.65
Chhattisgarh,Balrampur,2022-2023,230.0,136.0,0.59
Chhattisgarh,Bastar,2013-2014,298.0,272.0,0.91
Chhattisgarh,Bastar,2014-2015,271.0,369.0,1.36
Chhattisgarh,Bastar,2015-2016,217.0,192.0,0.88
Chhattisgarh,Bastar,2016-2017,226.0,266.0,1.18
Chhattisgarh,Bastar,2017-2018,263.0,266.0,1.01
Chhattisgarh,Bastar,2018-2019,373.0,399.0,1.07
Chhattisgarh,Bastar,2019-2020,380.0,180.0,0.47
Chhattisgarh,Bastar,2020-2021,487.0,391.0,0.8
Chhattisgarh,Bastar,2021-2022,290.0,219.0,0.76
Chhattisgarh,Bastar,2022-2023,200.0,146.0,0.73
Chhattisgarh,Bemetara,2013-2014,100680.0,84933.0,0.84
Chhattisgarh,Bemetara,2014-2015,92710.0,100363.0,1.08
Chhattisgarh,Bemetara,2015-2016,90315.0,68349.0,0.76
Chhattisgarh,Bemetara,2016-2017,81596.0,104770.0,1.28
Chhattisgarh,Bemetara,2017-2018,96223.0,106456.0,1.11
Chhattisgarh,Bemetara,2018-2019,104235.0,127562.0,1.22
Chhattisgarh,Bemetara,2019-2020,111645.0,12523.0,0.11
Chhattisgarh,Bemetara,2020-2021,67936.0,59335.0,0.87
Chhattisgarh,Bemetara,2021-2022,74383.0,56048.0,0.75
Chhattisgarh,Bemetara,2022-2023,64964.0,60055.0,0.92
Chhattisgarh,Bilaspur,2013-2014,2589.0,2163.0,0.84
Chhattisgarh,Bilaspur,2014-2015,2992.0,3314.0,1.11
Chhattisgarh,Bilaspur,2015-2016,2516.0,2027.0,0.81
Chhattisgarh,Bilaspur,2016-2017,2316.0,2638.0,1.14
Chhattisgarh,Bilaspur,2017-2018,1948.0,1912.0,0.98
Chhattisgarh,Bilaspur,2018-2019,2270.0,2385.0,1.05
Chhattisgarh,Bilaspur,2019-2020,1495.0,687.0,0.46
Chhattisgarh,Bilaspur,2020-2021,908.0,557.0,0.61
Chhattisgarh,Bilaspur,2021-2022,762.0,550.0,0.72
Chhattisgarh,Bilaspur,2022-2023,639.0,500.0,0.78
Chhattisgarh,Dantewada,2013-2014,4.0,3.0,0.75
Chhattisgarh,Dantewada,2014-2015,25.0,40.0,1.6
Chhattisgarh,Dantewada,2015-2016,30.0,16.0,0.53
Chhattisgarh,Dantewada,2016-2017,33.0,26.0,0.79
Chhattisgarh,Dantewada,2017-2018,25.0,8.0,0.32
Chhattisgarh,Dantewada,2018-2019,12.0,8.0,0.67
Chhattisgarh,Dantewada,2019-2020,12.0,4.0,0.33
Chhattisgarh,Dantewada,2020-2021,5.0,3.0,0.6
Chhattisgarh,Dantewada,2021-2022,5.0,3.0,0.6
Chhattisgarh,Dantewada,2022-2023,2.0,2.0,1.0
Chhattisgarh,Dhamtari,2013-2014,5141.0,4753.0,0.92
Chhattisgarh,Dhamtari,2014-2015,5835.0,7930.0,1.36
Chhattisgarh,Dhamtari,2015-2016,6579.0,5923.0,0.9
Chhattisgarh,Dhamtari,2016-2017,10190.0,12969.0,1.27
Chhattisgarh,Dhamtari,2017-2018,25145.0,27577.0,1.1
Chhattisgarh,Dhamtari,2018-2019,10040.0,12770.0,1.27
Chhattisgarh,Dhamtari,2019-2020,7953.0,4217.0,0.53
Chhattisgarh,Dhamtari,2020-2021,5559.0,5651.0,1.02
Chhattisgarh,Dhamtari,2021-2022,6879.0,6745.0,0.98
Chhattisgarh,Dhamtari,2022-2023,6879.0,7560.0,1.1
Chhattisgarh,Durg,2013-2014,17552.0,14643.0,0.83
Chhattisgarh,Durg,2014-2015,17624.0,19381.0,1.1
Chhattisgarh,Durg,2015-2016,15608.0,11483.0,0.74
Chhattisgarh,Durg,2016-2017,13719.0,16467.0,1.2
Chhattisgarh,Durg,2017-2018,15042.0,11412.0,0.76
Chhattisgarh,Durg,2018-2019,17399.0,15410.0,0.89
Chhattisgarh,Durg,2019-2020,24702.0,3188.0,0.13
Chhattisgarh,Durg,2020-2021,15092.0,15430.0,1.02
Chhattisgarh,Durg,2021-2022,15463.0,13278.0,0.86
Chhattisgarh,Durg,2022-2023,15566.0,14747.0,0.95
Chhattisgarh,Gariyaband,2013-2014,785.0,560.0,0.71
Chhattisgarh,Gariyaband,2014-2015,516.0,821.0,1.59
Chhattisgarh,Gariyaband,2015-2016,386.0,357.0,0.92
Chhattisgarh,Gariyaband,2016-2017,286.0,373.0,1.3
Chhattisgarh,Gariyaband,2017-2018,624.0,562.0,0.9
Chhattisgarh,Gariyaband,2018-2019,591.0,657.0,1.11
Chhattisgarh,Gariyaband,2019-2020,435.0,211.0,0.49
Chhattisgarh,Gariyaband,2020-2021,334.0,256.0,0.77
Chhattisgarh,Gariyaband,2021-2022,447.0,309.0,0.69
Chhattisgarh,Gariyaband,2022-2023,193.0,145.0,0.75
Chhattisgarh,Gaurella-pendra-marwahi,2019-2020,701.0,322.0,0.46
Chhattisgarh,Gaurella-pendra-marwahi,2020-2021,495.0,401.0,0.81
Chhattisgarh,Gaurella-pendra-marwahi,2021-2022,498.0,365.0,0.73
Chhattisgarh,Gaurella-pendra-marwahi,2022-2023,384.0,302.0,0.79
Chhattisgarh,Janjgir-champa,2013-2014,231.0,217.0,0.94
Chhattisgarh,Janjgir-champa,2014-2015,266.0,194.0,0.73
Chhattisgarh,Janjgir-champa,2015-2016,302.0,287.0,0.95
Chhattisgarh,Janjgir-champa,2016-2017,107.0,143.0,1.34
Chhattisgarh,Janjgir-champa,2017-2018,146.0,169.0,1.16
Chhattisgarh,Janjgir-champa,2018-2019,117.0,145.0,1.24
Chhattisgarh,Janjgir-champa,2019-2020,214.0,115.0,0.54
Chhattisgarh,Janjgir-champa,2020-2021,109.0,102.0,0.94
Chhattisgarh,Janjgir-champa,2021-2022,93.0,73.0,0.78
Chhattisgarh,Janjgir-champa,2022-2023,58.0,52.0,0.9
Chhattisgarh,Jashpur,2013-2014,1141.0,964.0,0.84
Chhattisgarh,Jashpur,2014-2015,1116.0,1373.0,1.23
Chhattisgarh,Jashpur,2015-2016,1104.0,666.0,0.6
Chhattisgarh,Jashpur,2016-2017,1115.0,1313.0,1.18
Chhattisgarh,Jashpur,2017-2018,745.0,743.0,1.0
Chhattisgarh,Jashpur,2018-2019,726.0,762.0,1.05
Chhattisgarh,Jashpur,2019-2020,737.0,305.0,0.41
Chhattisgarh,Jashpur,2020-2021,688.0,501.0,0.73
Chhattisgarh,Jashpur,2021-2022,571.0,389.0,0.68
Chhattisgarh,Jashpur,2022-2023,716.0,529.0,0.74
Chhattisgarh,Kabirdham,2013-2014,66909.0,41819.0,0.63
Chhattisgarh,Kabirdham,2014-2015,73853.0,78261.0,1.06
Chhattisgarh,Kabirdham,2015-2016,68200.0,55876.0,0.82
Chhattisgarh,Kabirdham,2016-2017,79247.0,74664.0,0.94
Chhattisgarh,Kabirdham,2017-2018,72571.0,56016.0,0.77
Chhattisgarh,Kabirdham,2018-2019,78537.0,59299.0,0.76
Chhattisgarh,Kabirdham,2019-2020,104060.0,36936.0,0.35
Chhattisgarh,Kabirdham,2020-2021,98024.0,55045.0,0.56
Chhattisgarh,Kabirdham,2021-2022,92696.0,61030.0,0.66
Chhattisgarh,Kabirdham,2022-2023,81268.0,74789.0,0.92
Chhattisgarh,Kanker,2013-2014,897.0,722.0,0.8
Chhattisgarh,Kanker,2014-2015,882.0,993.0,1.13
Chhattisgarh,Kanker,2015-2016,839.0,733.0,0.87
Chhattisgarh,Kanker,2016-2017,148.0,177.0,1.2
Chhattisgarh,Kanker,2017-2018,732.0,652.0,0.89
Chhattisgarh,Kanker,2018-2019,586.0,646.0,1.1
Chhattisgarh,Kanker,2019-2020,436.0,199.0,0.46
Chhattisgarh,Kanker,2020-2021,306.0,214.0,0.7
Chhattisgarh,Kanker,2021-2022,273.0,182.0,0.67
Chhattisgarh,Kanker,2022-2023,181.0,125.0,0.69
Chhattisgarh,Khairgarh chhuikhadan gandai,2022-2023,65259.0,56686.0,0.87
Chhattisgarh,Kondagaon,2013-2014,456.0,374.0,0.82
Chhattisgarh,Kondagaon,2014-2015,420.0,648.0,1.54
Chhattisgarh,Kondagaon,2015-2016,384.0,345.0,0.9
Chhattisgarh,Kondagaon,2016-2017,323.0,412.0,1.28
Chhattisgarh,Kondagaon,2017-2018,289.0,301.0,1.04
Chhattisgarh,Kondagaon,2018-2019,272.0,319.0,1.17
Chhattisgarh,Kondagaon,2019-2020,211.0,117.0,0.55
Chhattisgarh,Kondagaon,2020-2021,198.0,158.0,0.8
Chhattisgarh,Kondagaon,2021-2022,168.0,122.0,0.73
Chhattisgarh,Kondagaon,2022-2023,174.0,57.0,0.33
Chhattisgarh,Korba,2013-2014,313.0,183.0,0.58
Chhattisgarh,Korba,2014-2015,329.0,321.0,0.98
Chhattisgarh,Korba,2015-2016,332.0,167.0,0.5
Chhattisgarh,Korba,2016-2017,265.0,251.0,0.95
Chhattisgarh,Korba,2017-2018,242.0,197.0,0.81
Chhattisgarh,Korba,2018-2019,185.0,148.0,0.8
Chhattisgarh,Korba,2019-2020,112.0,39.0,0.35
Chhattisgarh,Korba,2020-2021,79.0,49.0,0.62
Chhattisgarh,Korba,2021-2022,51.0,32.0,0.63
Chhattisgarh,Korba,2022-2023,31.0,22.0,0.71
Chhattisgarh,Korea,2013-2014,538.0,335.0,0.62
Chhattisgarh,Korea,2014-2015,542.0,539.0,0.99
Chhattisgarh,Korea,2015-2016,415.0,189.0,0.46
Chhattisgarh,Korea,2016-2017,477.0,361.0,0.76
Chhattisgarh,Korea,2017-2018,402.0,267.0,0.66
Chhattisgarh,Korea,2018-2019,376.0,238.0,0.63
Chhattisgarh,Korea,2019-2020,489.0,184.0,0.38
Chhattisgarh,Korea,2020-2021,415.0,220.0,0.53
Chhattisgarh,Korea,2021-2022,427.0,198.0,0.46
Chhattisgarh,Korea,2022-2023,201.0,110.0,0.55
Chhattisgarh,Mahasamund,2013-2014,209.0,191.0,0.91
Chhattisgarh,Mahasamund,2014-2015,262.0,194.0,0.74
Chhattisgarh,Mahasamund,2015-2016,219.0,183.0,0.84
Chhattisgarh,Mahasamund,2016-2017,106.0,125.0,1.18
Chhattisgarh,Mahasamund,2017-2018,151.0,154.0,1.02
Chhattisgarh,Mahasamund,2018-2019,115.0,125.0,1.09
Chhattisgarh,Mahasamund,2019-2020,109.0,43.0,0.39
Chhattisgarh,Mahasamund,2020-2021,28.0,21.0,0.75
Chhattisgarh,Mahasamund,2021-2022,24.0,16.0,0.67
Chhattisgarh,Mahasamund,2022-2023,32.0,24.0,0.75
Chhattisgarh,Manendragarh chirimiri bharatpur,2022-2023,189.0,104.0,0.55
Chhattisgarh,Mohla manpur ambagarh chouki,2022-2023,676.0,587.0,0.87
Chhattisgarh,Mungeli,2013-2014,16066.0,14080.0,0.88
Chhattisgarh,Mungeli,2014-2015,16524.0,14660.0,0.89
Chhattisgarh,Mungeli,2015-2016,16539.0,16130.0,0.98
Chhattisgarh,Mungeli,2016-2017,14973.0,20645.0,1.38
Chhattisgarh,Mungeli,2017-2018,15695.0,13770.0,0.88
Chhattisgarh,Mungeli,2018-2019,15835.0,17041.0,1.08
Chhattisgarh,Mungeli,2019-2020,21542.0,2211.0,0.1
Chhattisgarh,Mungeli,2020-2021,19146.0,24685.0,1.29
Chhattisgarh,Mungeli,2021-2022,20361.0,14847.0,0.73
Chhattisgarh,Mungeli,2022-2023,19385.0,15360.0,0.79
Chhattisgarh,Narayanpur,2013-2014,49.0,34.0,0.69
Chhattisgarh,Narayanpur,2014-2015,51.0,56.0,1.1
